‾	Überstrich
🤸🏿‍♀	Akrobatik, Bodenturnen, Frau, Gymnastik, Person, Rad, Rad schlagen, Rad schlagende Frau, Rad schlagende Frau: dunkle Hautfarbe, Radschlag, Sport, Turnerin, dunkle Hautfarbe
🤼	Catchen, Catcher, Person, Ringer, Ringer(in), Ringkampf, Sport, Sportler, Wrestler, Wrestling, ringen
🤼‍♂	Catchen, Catcher, Männer, Ringer, Ringkampf, Sport, Wrestler, Wrestling, ringen, ringende Männer
🤼‍♀	Catcherin, Person, Ringer, Ringerin, Ringkampf, Sport, Wrestlerin, Wrestling, catchen, ringen, ringende Frauen
🤽	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspielerin, Wassersport
🤽🏻	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspieler(in): helle Hautfarbe, Wasserballspielerin, Wassersport, helle Hautfarbe
🤽🏼	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspieler(in): mittelhelle Hautfarbe, Wasserballspielerin, Wassersport, mittelhelle Hautfarbe
🤽🏽	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspieler(in): mittlere Hautfarbe, Wasserballspielerin, Wassersport, mittlere Hautfarbe
🤽🏾	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspieler(in): mitteldunkle Hautfarbe, Wasserballspielerin, Wassersport, mitteldunkle Hautfarbe
🤽🏿	Person, Schwimmsport, Sport, Sportler, Sportlerin, Wasser, Wasserball, Wasserballspieler, Wasserballspieler(in), Wasserballspieler(in): dunkle Hautfarbe, Wasserballspielerin, Wassersport, dunkle Hautfarbe
🤽‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wassersport
🤽🏻‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wasserballspieler: helle Hautfarbe, Wassersport, helle Hautfarbe
🤽🏼‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wasserballspieler: mittelhelle Hautfarbe, Wassersport, mittelhelle Hautfarbe
🤽🏽‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wasserballspieler: mittlere Hautfarbe, Wassersport, mittlere Hautfarbe
🤽🏾‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wasserballspieler: mitteldunkle Hautfarbe, Wassersport, mitteldunkle Hautfarbe
🤽🏿‍♂	Mann, Person, Schwimmsport, Sport, Sportler, Wasser, Wasserball, Wasserballspieler, Wasserballspieler: dunkle Hautfarbe, Wassersport, dunkle Hautfarbe
🤽‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wassersport
🤽🏻‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wasserballspielerin: helle Hautfarbe, Wassersport, helle Hautfarbe
🤽🏼‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wasserballspielerin: mittelhelle Hautfarbe, Wassersport, mittelhelle Hautfarbe
🤽🏽‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wasserballspielerin: mittlere Hautfarbe, Wassersport, mittlere Hautfarbe
🤽🏾‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wasserballspielerin: mitteldunkle Hautfarbe, Wassersport, mitteldunkle Hautfarbe
🤽🏿‍♀	Ballspiele, Frau, Person, Schwimmsport, Sport, Sportlerin, Wasser, Wasserball, Wasserballspielerin, Wasserballspielerin: dunkle Hautfarbe, Wassersport, dunkle Hautfarbe
🤾	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspielerin, Person, Sport, Sportler, schleudern, werfen
🤾🏻	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspieler(in): helle Hautfarbe, Handballspielerin, Person, Sport, Sportler, helle Hautfarbe, schleudern, werfen
🤾🏼	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspieler(in): mittelhelle Hautfarbe, Handballspielerin, Person, Sport, Sportler, mittelhelle Hautfarbe, schleudern, werfen
🤾🏽	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspieler(in): mittlere Hautfarbe, Handballspielerin, Person, Sport, Sportler, mittlere Hautfarbe, schleudern, werfen
🤾🏾	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspieler(in): mitteldunkle Hautfarbe, Handballspielerin, Person, Sport, Sportler, mitteldunkle Hautfarbe, schleudern, werfen
🤾🏿	Handball, Handballer, Handballerin, Handballspieler, Handballspieler(in), Handballspieler(in): dunkle Hautfarbe, Handballspielerin, Person, Sport, Sportler, dunkle Hautfarbe, schleudern, werfen
🤾‍♂	Handball, Handballspieler, Mann, Sport
🤾🏻‍♂	Handball, Handballspieler, Handballspieler: helle Hautfarbe, Mann, Sport, helle Hautfarbe
🤾🏼‍♂	Handball, Handballspieler, Handballspieler: mittelhelle Hautfarbe, Mann, Sport, mittelhelle Hautfarbe
🤾🏽‍♂	Handball, Handballspieler, Handballspieler: mittlere Hautfarbe, Mann, Sport, mittlere Hautfarbe
🤾🏾‍♂	Handball, Handballspieler, Handballspieler: mitteldunkle Hautfarbe, Mann, Sport, mitteldunkle Hautfarbe
🤾🏿‍♂	Handball, Handballspieler, Handballspieler: dunkle Hautfarbe, Mann, Sport, dunkle Hautfarbe
🤾‍♀	Frau, Handball, Handballerin, Handballspielerin, Person, Sport, Sportlerin, schleudern, werfen
🤾🏻‍♀	Frau, Handball, Handballerin, Handballspielerin, Handballspielerin: helle Hautfarbe, Person, Sport, Sportlerin, helle Hautfarbe, schleudern, werfen
🤾🏼‍♀	Frau, Handball, Handballerin, Handballspielerin, Handballspielerin: mittelhelle Hautfarbe, Person, Sport, Sportlerin, mittelhelle Hautfarbe, schleudern, werfen
🤾🏽‍♀	Frau, Handball, Handballerin, Handballspielerin, Handballspielerin: mittlere Hautfarbe, Person, Sport, Sportlerin, mittlere Hautfarbe, schleudern, werfen
🤾🏾‍♀	Frau, Handball, Handballerin, Handballspielerin, Handballspielerin: mitteldunkle Hautfarbe, Person, Sport, Sportlerin, mitteldunkle Hautfarbe, schleudern, werfen
🤾🏿‍♀	Frau, Handball, Handballerin, Handballspielerin, Handballspielerin: dunkle Hautfarbe, Person, Sport, Sportlerin, dunkle Hautfarbe, schleudern, werfen
🤹	Artist, Artistin, Jongleur, Jongleur(in), Jongleurin, Jongleuse, Multitasking, Person, Zirkus, geschickt, jonglieren
🤹🏻	Artist, Artistin, Jongleur, Jongleur(in), Jongleur(in): helle Hautfarbe, Jongleurin, Jongleuse, Multitasking, Person, Zirkus, geschickt, helle Hautfarbe, jonglieren
🤹🏼	Artist, Artistin, Jongleur, Jongleur(in), Jongleur(in): mittelhelle Hautfarbe, Jongleurin, Jongleuse, Multitasking, Person, Zirkus, geschickt, jonglieren, mittelhelle Hautfarbe
🤹🏽	Artist, Artistin, Jongleur, Jongleur(in), Jongleur(in): mittlere Hautfarbe, Jongleurin, Jongleuse, Multitasking, Person, Zirkus, geschickt, jonglieren, mittlere Hautfarbe
🤹🏾	Artist, Artistin, Jongleur, Jongleur(in), Jongleur(in): mitteldunkle Hautfarbe, Jongleurin, Jongleuse, Multitasking, Person, Zirkus, geschickt, jonglieren, mitteldunkle Hautfarbe
🤹🏿	Artist, Artistin, Jongleur, Jongleur(in), Jongleur(in): dunkle Hautfarbe, Jongleurin, Jongleuse, Multitasking, Person, Zirkus, dunkle Hautfarbe, geschickt, jonglieren
🤹‍♂	Artist, Entertainer, Jongleur, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, geschickt, jonglieren
🤹🏻‍♂	Artist, Entertainer, Jongleur, Jongleur: helle Hautfarbe, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, geschickt, helle Hautfarbe, jonglieren
🤹🏼‍♂	Artist, Entertainer, Jongleur, Jongleur: mittelhelle Hautfarbe, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, geschickt, jonglieren, mittelhelle Hautfarbe
🤹🏽‍♂	Artist, Entertainer, Jongleur, Jongleur: mittlere Hautfarbe, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, geschickt, jonglieren, mittlere Hautfarbe
🤹🏾‍♂	Artist, Entertainer, Jongleur, Jongleur: mitteldunkle Hautfarbe, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, geschickt, jonglieren, mitteldunkle Hautfarbe
🤹🏿‍♂	Artist, Entertainer, Jongleur, Jongleur: dunkle Hautfarbe, Jonglieren, Mann, Multitasking, Person, Unterhalter, Zirkus, dunkle Hautfarbe, geschickt, jonglieren
🤹‍♀	Frau, Jongleurin, Jonglieren, Multitasking, geschickt, jonglieren, multitasking
🤹🏻‍♀	Frau, Jongleurin, Jongleurin: helle Hautfarbe, Jonglieren, Multitasking, geschickt, helle Hautfarbe, jonglieren, multitasking
🤹🏼‍♀	Frau, Jongleurin, Jongleurin: mittelhelle Hautfarbe, Jonglieren, Multitasking, geschickt, jonglieren, mittelhelle Hautfarbe, multitasking
🤹🏽‍♀	Frau, Jongleurin, Jongleurin: mittlere Hautfarbe, Jonglieren, Multitasking, geschickt, jonglieren, mittlere Hautfarbe, multitasking
🤹🏾‍♀	Frau, Jongleurin, Jongleurin: mitteldunkle Hautfarbe, Jonglieren, Multitasking, geschickt, jonglieren, mitteldunkle Hautfarbe, multitasking
🤹🏿‍♀	Frau, Jongleurin, Jongleurin: dunkle Hautfarbe, Jonglieren, Multitasking, dunkle Hautfarbe, geschickt, jonglieren, multitasking
🧘	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz
🧘🏻	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person im Lotossitz: helle Hautfarbe, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz, helle Hautfarbe
🧘🏼	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person im Lotossitz: mittelhelle Hautfarbe, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz, mittelhelle Hautfarbe
🧘🏽	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person im Lotossitz: mittlere Hautfarbe, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz, mittlere Hautfarbe
🧘🏾	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person im Lotossitz: mitteldunkle Hautfarbe, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz, mitteldunkle Hautfarbe
🧘🏿	Frau, Lotussitz, Meditation, Person, Person im Lotossitz, Person im Lotossitz: dunkle Hautfarbe, Person in Lotussitz, Schneidersitz, Yoga, Zen, burmesischer Sitz, dunkle Hautfarbe
🧘‍♂	Mann im Lotossitz, Meditation, Yoga
🧘🏻‍♂	Mann im Lotossitz, Mann im Lotossitz: helle Hautfarbe, Meditation, Yoga, helle Hautfarbe
🧘🏼‍♂	Mann im Lotossitz, Mann im Lotossitz: mittelhelle Hautfarbe, Meditation, Yoga, mittelhelle Hautfarbe
🧘🏽‍♂	Mann im Lotossitz, Mann im Lotossitz: mittlere Hautfarbe, Meditation, Yoga, mittlere Hautfarbe
🧘🏾‍♂	Mann im Lotossitz, Mann im Lotossitz: mitteldunkle Hautfarbe, Meditation, Yoga, mitteldunkle Hautfarbe
🧘🏿‍♂	Mann im Lotossitz, Mann im Lotossitz: dunkle Hautfarbe, Meditation, Yoga, dunkle Hautfarbe
🧘‍♀	Frau im Lotossitz, Meditation, Yoga
🧘🏻‍♀	Frau im Lotossitz, Frau im Lotossitz: helle Hautfarbe, Meditation, Yoga, helle Hautfarbe
🧘🏼‍♀	Frau im Lotossitz, Frau im Lotossitz: mittelhelle Hautfarbe, Meditation, Yoga, mittelhelle Hautfarbe
🧘🏽‍♀	Frau im Lotossitz, Frau im Lotossitz: mittlere Hautfarbe, Meditation, Yoga, mittlere Hautfarbe
🧘🏾‍♀	Frau im Lotossitz, Frau im Lotossitz: mitteldunkle Hautfarbe, Meditation, Yoga, mitteldunkle Hautfarbe
🧘🏿‍♀	Frau im Lotossitz, Frau im Lotossitz: dunkle Hautfarbe, Meditation, Yoga, dunkle Hautfarbe
🛀	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, entspannen
🛀🏻	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, badende Person: helle Hautfarbe, entspannen, helle Hautfarbe
🛀🏼	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, badende Person: mittelhelle Hautfarbe, entspannen, mittelhelle Hautfarbe
🛀🏽	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, badende Person: mittlere Hautfarbe, entspannen, mittlere Hautfarbe
🛀🏾	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, badende Person: mitteldunkle Hautfarbe, entspannen, mitteldunkle Hautfarbe
🛀🏿	Bad, Badewanne, Badezimmer, Dusche, baden, badende Person, badende Person: dunkle Hautfarbe, dunkle Hautfarbe, entspannen
🛌	Bett, Heia, Im Bett liegende Person, Nachtruhe, gute Nacht, im Bett liegende Person, müde, schlaf schön, schlafen, zzz
🛌🏻	Bett, Heia, Im Bett liegende Person, Nachtruhe, gute Nacht, helle Hautfarbe, im Bett liegende Person, im Bett liegende Person: helle Hautfarbe, müde, schlaf schön, schlafen, zzz
🛌🏼	Bett, Heia, Im Bett liegende Person, Nachtruhe, gute Nacht, im Bett liegende Person, im Bett liegende Person: mittelhelle Hautfarbe, mittelhelle Hautfarbe, müde, schlaf schön, schlafen, zzz
🛌🏽	Bett, Heia, Im Bett liegende Person, Nachtruhe, gute Nacht, im Bett liegende Person, im Bett liegende Person: mittlere Hautfarbe, mittlere Hautfarbe, müde, schlaf schön, schlafen, zzz
🛌🏾	Bett, Heia, Im Bett liegende Person, Nachtruhe, gute Nacht, im Bett liegende Person, im Bett liegende Person: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, müde, schlaf schön, schlafen, zzz
🛌🏿	Bett, Heia, Im Bett liegende Person, Nachtruhe, dunkle Hautfarbe, gute Nacht, im Bett liegende Person, im Bett liegende Person: dunkle Hautfarbe, müde, schlaf schön, schlafen, zzz
🧑‍🤝‍🧑	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, sich an den Händen haltende Personen
🧑🏻‍🤝‍🧑🏻	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: helle Hautfarbe
🧑🏻‍🤝‍🧑🏼	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: helle Hautfarbe, mittelhelle Hautfarbe
🧑🏻‍🤝‍🧑🏽	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: helle Hautfarbe, mittlere Hautfarbe
🧑🏻‍🤝‍🧑🏾	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mitteldunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: helle Hautfarbe, mitteldunkle Hautfarbe
🧑🏻‍🤝‍🧑🏿	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, helle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: helle Hautfarbe, dunkle Hautfarbe
🧑🏼‍🤝‍🧑🏻	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittelhelle Hautfarbe, helle Hautfarbe
🧑🏼‍🤝‍🧑🏼	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittelhelle Hautfarbe
🧑🏼‍🤝‍🧑🏽	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittelhelle Hautfarbe, mittlere Hautfarbe
🧑🏼‍🤝‍🧑🏾	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe
🧑🏼‍🤝‍🧑🏿	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittelhelle Hautfarbe, dunkle Hautfarbe
🧑🏽‍🤝‍🧑🏻	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittlere Hautfarbe, helle Hautfarbe
🧑🏽‍🤝‍🧑🏼	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mittelhelle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittlere Hautfarbe, mittelhelle Hautfarbe
🧑🏽‍🤝‍🧑🏽	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittlere Hautfarbe
🧑🏽‍🤝‍🧑🏾	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittlere Hautfarbe, mitteldunkle Hautfarbe
🧑🏽‍🤝‍🧑🏿	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mittlere Hautfarbe, dunkle Hautfarbe
🧑🏾‍🤝‍🧑🏻	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, helle Hautfarbe, mitteldunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mitteldunkle Hautfarbe, helle Hautfarbe
🧑🏾‍🤝‍🧑🏼	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mitteldunkle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏾‍🤝‍🧑🏽	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mitteldunkle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mitteldunkle Hautfarbe, mittlere Hautfarbe
🧑🏾‍🤝‍🧑🏾	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, mitteldunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mitteldunkle Hautfarbe
🧑🏾‍🤝‍🧑🏿	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mitteldunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: mitteldunkle Hautfarbe, dunkle Hautfarbe
🧑🏿‍🤝‍🧑🏻	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, helle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: dunkle Hautfarbe, helle Hautfarbe
🧑🏿‍🤝‍🧑🏼	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mittelhelle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: dunkle Hautfarbe, mittelhelle Hautfarbe
🧑🏿‍🤝‍🧑🏽	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mittlere Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: dunkle Hautfarbe, mittlere Hautfarbe
🧑🏿‍🤝‍🧑🏾	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, mitteldunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: dunkle Hautfarbe, mitteldunkle Hautfarbe
🧑🏿‍🤝‍🧑🏿	Händchen halten, Hände, Hände halten, Menschen, Paar, Personen, Pärchen, dunkle Hautfarbe, sich an den Händen haltende Personen, sich an den Händen haltende Personen: dunkle Hautfarbe
👭	Frauen, Händchen halten, Händchen haltende Frauen, Paar, Pärchen aus Frau und Frau
👭🏻	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: helle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe
👩🏻‍🤝‍👩🏼	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: helle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mittelhelle Hautfarbe
👩🏻‍🤝‍👩🏽	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: helle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mittlere Hautfarbe
👩🏻‍🤝‍👩🏾	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: helle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mitteldunkle Hautfarbe
👩🏻‍🤝‍👩🏿	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: helle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, helle Hautfarbe
👩🏼‍🤝‍👩🏻	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittelhelle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mittelhelle Hautfarbe
👭🏼	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Frau, mittelhelle Hautfarbe
👩🏼‍🤝‍👩🏽	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittelhelle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Frau, mittelhelle Hautfarbe, mittlere Hautfarbe
👩🏼‍🤝‍👩🏾	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittelhelle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👩🏼‍🤝‍👩🏿	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittelhelle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mittelhelle Hautfarbe
👩🏽‍🤝‍👩🏻	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittlere Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mittlere Hautfarbe
👩🏽‍🤝‍👩🏼	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittlere Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Frau, mittelhelle Hautfarbe, mittlere Hautfarbe
👭🏽	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittlere Hautfarbe, Paar, Pärchen aus Frau und Frau, mittlere Hautfarbe
👩🏽‍🤝‍👩🏾	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittlere Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, mitteldunkle Hautfarbe, mittlere Hautfarbe
👩🏽‍🤝‍👩🏿	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mittlere Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mittlere Hautfarbe
👩🏾‍🤝‍👩🏻	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mitteldunkle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Frau, helle Hautfarbe, mitteldunkle Hautfarbe
👩🏾‍🤝‍👩🏼	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mitteldunkle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Frau, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👩🏾‍🤝‍👩🏽	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mitteldunkle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Frau, mitteldunkle Hautfarbe, mittlere Hautfarbe
👭🏾	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, mitteldunkle Hautfarbe
👩🏾‍🤝‍👩🏿	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: mitteldunkle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mitteldunkle Hautfarbe
👩🏿‍🤝‍👩🏻	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: dunkle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, helle Hautfarbe
👩🏿‍🤝‍👩🏼	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: dunkle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mittelhelle Hautfarbe
👩🏿‍🤝‍👩🏽	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: dunkle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mittlere Hautfarbe
👩🏿‍🤝‍👩🏾	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: dunkle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe, mitteldunkle Hautfarbe
👭🏿	Frauen, Händchen halten, Händchen haltende Frauen, Händchen haltende Frauen: dunkle Hautfarbe, Paar, Pärchen aus Frau und Frau, dunkle Hautfarbe
👫	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Paar, Pärchen aus Frau und Mann
👫🏻	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: helle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe
👩🏻‍🤝‍👨🏼	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: helle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mittelhelle Hautfarbe
