‾	nadčrtano
👩🏻‍🤝‍👩🏽	držati, dvojčici, par, roka, srednji ten kože, svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: svetel ten kože in srednji ten kože
👩🏻‍🤝‍👩🏾	držati, dvojčici, par, roka, srednje temen ten kože, svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: svetel ten kože in srednje temen ten kože
👩🏻‍🤝‍👩🏿	držati, dvojčici, par, roka, svetel ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: svetel ten kože in temen ten kože
👩🏼‍🤝‍👩🏻	držati, dvojčici, par, roka, srednje svetel ten kože, svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože in svetel ten kože
👭🏼	držati, dvojčici, par, roka, srednje svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože
👩🏼‍🤝‍👩🏽	držati, dvojčici, par, roka, srednje svetel ten kože, srednji ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože in srednji ten kože
👩🏼‍🤝‍👩🏾	držati, dvojčici, par, roka, srednje svetel ten kože, srednje temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože in srednje temen ten kože
👩🏼‍🤝‍👩🏿	držati, dvojčici, par, roka, srednje svetel ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje svetel ten kože in temen ten kože
👩🏽‍🤝‍👩🏻	držati, dvojčici, par, roka, srednji ten kože, svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednji ten kože in svetel ten kože
👩🏽‍🤝‍👩🏼	držati, dvojčici, par, roka, srednje svetel ten kože, srednji ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednji ten kože in srednje svetel ten kože
👭🏽	držati, dvojčici, par, roka, srednji ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednji ten kože
👩🏽‍🤝‍👩🏾	držati, dvojčici, par, roka, srednje temen ten kože, srednji ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednji ten kože in srednje temen ten kože
👩🏽‍🤝‍👩🏿	držati, dvojčici, par, roka, srednji ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednji ten kože in temen ten kože
👩🏾‍🤝‍👩🏻	držati, dvojčici, par, roka, srednje temen ten kože, svetel ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in svetel ten kože
👩🏾‍🤝‍👩🏼	držati, dvojčici, par, roka, srednje svetel ten kože, srednje temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in srednje svetel ten kože
👩🏾‍🤝‍👩🏽	držati, dvojčici, par, roka, srednje temen ten kože, srednji ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in srednji ten kože
👭🏾	držati, dvojčici, par, roka, srednje temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože
👩🏾‍🤝‍👩🏿	držati, dvojčici, par, roka, srednje temen ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: srednje temen ten kože in temen ten kože
👩🏿‍🤝‍👩🏻	držati, dvojčici, par, roka, svetel ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: temen ten kože in svetel ten kože
👩🏿‍🤝‍👩🏼	držati, dvojčici, par, roka, srednje svetel ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: temen ten kože in srednje svetel ten kože
👩🏿‍🤝‍👩🏽	držati, dvojčici, par, roka, srednji ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: temen ten kože in srednji ten kože
👩🏿‍🤝‍👩🏾	držati, dvojčici, par, roka, srednje temen ten kože, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: temen ten kože in srednje temen ten kože
👭🏿	držati, dvojčici, par, roka, temen ten kože, ženska, ženski, ženski se držita za roke, ženski se držita za roke: temen ten kože
👫	držati, ljubezen, moški, moški in ženska se držita za roke, par, roka, ženska
👫🏻	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: svetel ten kože, par, roka, svetel ten kože, ženska
👩🏻‍🤝‍👨🏼	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: svetel ten kože in srednje svetel ten kože, par, roka, srednje svetel ten kože, svetel ten kože, ženska
👩🏻‍🤝‍👨🏽	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: svetel ten kože in srednji ten kože, par, roka, srednji ten kože, svetel ten kože, ženska
👩🏻‍🤝‍👨🏾	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: svetel ten kože in srednje temen ten kože, par, roka, srednje temen ten kože, svetel ten kože, ženska
👩🏻‍🤝‍👨🏿	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: svetel ten kože in temen ten kože, par, roka, svetel ten kože, temen ten kože, ženska
👩🏼‍🤝‍👨🏻	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje svetel ten kože in svetel ten kože, par, roka, srednje svetel ten kože, svetel ten kože, ženska
👫🏼	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje svetel ten kože, par, roka, srednje svetel ten kože, ženska
👩🏼‍🤝‍👨🏽	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje svetel ten kože in srednji ten kože, par, roka, srednje svetel ten kože, srednji ten kože, ženska
👩🏼‍🤝‍👨🏾	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje svetel ten kože in srednje temen ten kože, par, roka, srednje svetel ten kože, srednje temen ten kože, ženska
👩🏼‍🤝‍👨🏿	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje svetel ten kože in temen ten kože, par, roka, srednje svetel ten kože, temen ten kože, ženska
👩🏽‍🤝‍👨🏻	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednji ten kože in svetel ten kože, par, roka, srednji ten kože, svetel ten kože, ženska
👩🏽‍🤝‍👨🏼	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednji ten kože in srednje svetel ten kože, par, roka, srednje svetel ten kože, srednji ten kože, ženska
👫🏽	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednji ten kože, par, roka, srednji ten kože, ženska
👩🏽‍🤝‍👨🏾	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednji ten kože in srednje temen ten kože, par, roka, srednje temen ten kože, srednji ten kože, ženska
👩🏽‍🤝‍👨🏿	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednji ten kože in temen ten kože, par, roka, srednji ten kože, temen ten kože, ženska
👩🏾‍🤝‍👨🏻	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje temen ten kože in svetel ten kože, par, roka, srednje temen ten kože, svetel ten kože, ženska
👩🏾‍🤝‍👨🏼	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje temen ten kože in srednje svetel ten kože, par, roka, srednje svetel ten kože, srednje temen ten kože, ženska
👩🏾‍🤝‍👨🏽	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje temen ten kože in srednji ten kože, par, roka, srednje temen ten kože, srednji ten kože, ženska
👫🏾	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje temen ten kože, par, roka, srednje temen ten kože, ženska
👩🏾‍🤝‍👨🏿	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: srednje temen ten kože in temen ten kože, par, roka, srednje temen ten kože, temen ten kože, ženska
👩🏿‍🤝‍👨🏻	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: temen ten kože in svetel ten kože, par, roka, svetel ten kože, temen ten kože, ženska
👩🏿‍🤝‍👨🏼	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: temen ten kože in srednje svetel ten kože, par, roka, srednje svetel ten kože, temen ten kože, ženska
👩🏿‍🤝‍👨🏽	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: temen ten kože in srednji ten kože, par, roka, srednji ten kože, temen ten kože, ženska
👩🏿‍🤝‍👨🏾	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: temen ten kože in srednje temen ten kože, par, roka, srednje temen ten kože, temen ten kože, ženska
👫🏿	držati, ljubezen, moški, moški in ženska se držita za roke, moški in ženska se držita za roke: temen ten kože, par, roka, temen ten kože, ženska
👬	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moški, par, prijatelja, zodiak
👬🏻	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: svetel ten kože, moški, par, prijatelja, svetel ten kože, zodiak
👨🏻‍🤝‍👨🏼	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: svetel ten kože in srednje svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, svetel ten kože, zodiak
👨🏻‍🤝‍👨🏽	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: svetel ten kože in srednji ten kože, moški, par, prijatelja, srednji ten kože, svetel ten kože, zodiak
👨🏻‍🤝‍👨🏾	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: svetel ten kože in srednje temen ten kože, moški, par, prijatelja, srednje temen ten kože, svetel ten kože, zodiak
👨🏻‍🤝‍👨🏿	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: svetel ten kože in temen ten kože, moški, par, prijatelja, svetel ten kože, temen ten kože, zodiak
👨🏼‍🤝‍👨🏻	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje svetel ten kože in svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, svetel ten kože, zodiak
👬🏼	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, zodiak
👨🏼‍🤝‍👨🏽	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje svetel ten kože in srednji ten kože, moški, par, prijatelja, srednje svetel ten kože, srednji ten kože, zodiak
👨🏼‍🤝‍👨🏾	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje svetel ten kože in srednje temen ten kože, moški, par, prijatelja, srednje svetel ten kože, srednje temen ten kože, zodiak
👨🏼‍🤝‍👨🏿	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje svetel ten kože in temen ten kože, moški, par, prijatelja, srednje svetel ten kože, temen ten kože, zodiak
👨🏽‍🤝‍👨🏻	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednji ten kože in svetel ten kože, moški, par, prijatelja, srednji ten kože, svetel ten kože, zodiak
👨🏽‍🤝‍👨🏼	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednji ten kože in srednje svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, srednji ten kože, zodiak
👬🏽	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednji ten kože, moški, par, prijatelja, srednji ten kože, zodiak
👨🏽‍🤝‍👨🏾	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednji ten kože in srednje temen ten kože, moški, par, prijatelja, srednje temen ten kože, srednji ten kože, zodiak
👨🏽‍🤝‍👨🏿	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednji ten kože in temen ten kože, moški, par, prijatelja, srednji ten kože, temen ten kože, zodiak
👨🏾‍🤝‍👨🏻	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje temen ten kože in svetel ten kože, moški, par, prijatelja, srednje temen ten kože, svetel ten kože, zodiak
👨🏾‍🤝‍👨🏼	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje temen ten kože in srednje svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, srednje temen ten kože, zodiak
👨🏾‍🤝‍👨🏽	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje temen ten kože in srednji ten kože, moški, par, prijatelja, srednje temen ten kože, srednji ten kože, zodiak
👬🏾	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje temen ten kože, moški, par, prijatelja, srednje temen ten kože, zodiak
👨🏾‍🤝‍👨🏿	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: srednje temen ten kože in temen ten kože, moški, par, prijatelja, srednje temen ten kože, temen ten kože, zodiak
👨🏿‍🤝‍👨🏻	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: temen ten kože in svetel ten kože, moški, par, prijatelja, svetel ten kože, temen ten kože, zodiak
👨🏿‍🤝‍👨🏼	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: temen ten kože in srednje svetel ten kože, moški, par, prijatelja, srednje svetel ten kože, temen ten kože, zodiak
👨🏿‍🤝‍👨🏽	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: temen ten kože in srednji ten kože, moški, par, prijatelja, srednji ten kože, temen ten kože, zodiak
👨🏿‍🤝‍👨🏾	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: temen ten kože in srednje temen ten kože, moški, par, prijatelja, srednje temen ten kože, temen ten kože, zodiak
👬🏿	dvojčka, homoseksualni par, ljubezen, moška se držita za roke, moška se držita za roke: temen ten kože, moški, par, prijatelja, temen ten kože, zodiak
💏	obletnica, par, poljub, romanca, srček
💏🏻	obletnica, par, poljub, poljub: svetel ten kože, romanca, srček, svetel ten kože
💏🏼	obletnica, par, poljub, poljub: srednje svetel ten kože, romanca, srednje svetel ten kože, srček
💏🏽	obletnica, par, poljub, poljub: srednji ten kože, romanca, srednji ten kože, srček
💏🏾	obletnica, par, poljub, poljub: srednje temen ten kože, romanca, srednje temen ten kože, srček
💏🏿	obletnica, par, poljub, poljub: temen ten kože, romanca, srček, temen ten kože
👩‍❤‍💋‍👨	moški, obletnica, par, poljub, poljub: ženska in moški, romanca, srček, ženska
👨‍❤‍💋‍👨	moški, obletnica, par, poljub, poljub: moški in moški, romanca, srček
👩‍❤‍💋‍👩	obletnica, par, poljub, poljub: ženska in ženska, romanca, srček, ženska
💑	ljubezen, par, par s srčkom, romanca, srce
💑🏻	ljubezen, par, par s srčkom, par s srčkom: svetel ten kože, romanca, srce, svetel ten kože
💑🏼	ljubezen, par, par s srčkom, par s srčkom: srednje svetel ten kože, romanca, srce, srednje svetel ten kože
💑🏽	ljubezen, par, par s srčkom, par s srčkom: srednji ten kože, romanca, srce, srednji ten kože
💑🏾	ljubezen, par, par s srčkom, par s srčkom: srednje temen ten kože, romanca, srce, srednje temen ten kože
💑🏿	ljubezen, par, par s srčkom, par s srčkom: temen ten kože, romanca, srce, temen ten kože
👩‍❤‍👨	ljubezen, moški, par, par s srčkom, par s srčkom: ženska in moški, romanca, srce, ženska
👨‍❤‍👨	ljubezen, moški, par, par s srčkom, par s srčkom: moški in moški, romanca, srce
👩‍❤‍👩	ljubezen, par, par s srčkom, par s srčkom: ženska in ženska, romanca, srce, ženska
👨‍👩‍👦	družina, družina: moški, ženska in fant, fant, mati, moški, otrok, oče, ženska
👨‍👩‍👧	dekle, družina, družina: moški, ženska in dekle, mati, moški, otrok, oče, ženska
👨‍👩‍👧‍👦	dekle, družina, družina: moški, ženska, dekle in fant, fant, mati, moški, otrok, oče, ženska
👨‍👩‍👦‍👦	družina, družina: moški, ženska, fant in fant, fant, mati, moški, otrok, oče, ženska
👨‍👩‍👧‍👧	dekle, družina, družina: moški, ženska, dekle in dekle, mati, moški, otrok, oče, ženska
👨‍👨‍👦	družina, družina: moški, moški in fant, fant, mati, moški, otrok, oče
👨‍👨‍👧	dekle, družina, družina: moški, moški in dekle, mati, moški, otrok, oče
👨‍👨‍👧‍👦	dekle, družina, družina: moški, moški, dekle in fant, fant, mati, moški, otrok, oče
👨‍👨‍👦‍👦	družina, družina: moški, moški, fant in fant, fant, mati, moški, otrok, oče
👨‍👨‍👧‍👧	dekle, družina, družina: moški, moški, dekle in dekle, mati, moški, otrok, oče
👩‍👩‍👦	družina, družina: ženska, ženska in fant, fant, mati, otrok, oče, ženska
👩‍👩‍👧	dekle, družina, družina: ženska, ženska in dekle, mati, otrok, oče, ženska
👩‍👩‍👧‍👦	dekle, družina, družina: ženska, ženska, dekle in fant, fant, mati, otrok, oče, ženska
👩‍👩‍👦‍👦	družina, družina: ženska, ženska, fant in fant, fant, mati, otrok, oče, ženska
👩‍👩‍👧‍👧	dekle, družina, družina: ženska, ženska, dekle in dekle, mati, otrok, oče, ženska
👨‍👦	družina, družina: moški in fant, fant, mati, moški, otrok, oče
👨‍👦‍👦	družina, družina: moški, fant in fant, fant, mati, moški, otrok, oče
👨‍👧	dekle, družina, družina: moški in dekle, mati, moški, otrok, oče
👨‍👧‍👦	dekle, družina, družina: moški, dekle in fant, fant, mati, moški, otrok, oče
👨‍👧‍👧	dekle, družina, družina: moški, dekle in dekle, mati, moški, otrok, oče
👩‍👦	družina, družina: ženska in fant, fant, mati, otrok, oče, ženska
👩‍👦‍👦	družina, družina: ženska, fant in fant, fant, mati, otrok, oče, ženska
👩‍👧	dekle, družina, družina: ženska in dekle, mati, otrok, oče, ženska
👩‍👧‍👦	dekle, družina, družina: ženska, dekle in fant, fant, mati, otrok, oče, ženska
👩‍👧‍👧	dekle, družina, družina: ženska, dekle in dekle, mati, otrok, oče, ženska
🗣️	glava, govoreča glava, govoriti, govorjenje, obraz, silhueta
👤	doprsje, senca, silhueta, silhueta doprsja
👥	doprsje, prijatelja, silhueta, silhueti doprsja
🫂	hvala, ki se objemata, nasvidenje, objem, oeba, osebi, osebi, ki se objemata, prijateljstvo, tolažba, živijo
👪️	družina, mati, otrok, oče
🧑‍🧑‍🧒	družina: odrasel, odrasel, otrok, družina: odrasla oseba, družina: odrasla oseba, odrasla oseba, otrok, odrasla oseba, otrok
🧑‍🧑‍🧒‍🧒	družina: odrasel, odrasel, otrok, otrok, družina: odrasla oseba, družina: odrasla oseba, odrasla oseba, otrok, otrok, odrasla oseba, otrok
🧑‍🧒	družina: odrasla oseba, družina: odrasla oseba, otrok, otrok
🧑‍🧒‍🧒	družina: odrasla oseba, družina: odrasla oseba, otrok, otrok, otrok
👣	oblačila, odtis, stopinja, stopinje, telo
🫆	forenzika, identiteta, prstni odtis, varnost
🦰	rdečelasec, rdeči lasje, redečelas
🦱	afro, koder, kodrast, kodrasti lasje
🦳	bel, lasje, siv, sivi lasje, star
🦲	brez las, kamoterapija, obrit, plešast
🐵	banana, obraz, opica, opičji obraz
🐒	banana, opica, žival
🦍	gorila, žival
🦧	opica, orangutan, žival
🐶	domači ljubljenček, obraz, pasji obraz, pes, žival
🐕️	domači ljubljenček, pes, psi, žival, živali
🦮	pes vodnik, slepi, vodnik, žival
🐕‍🦺	policijski, pomoč, reševalni, službeni pes, vojaški, žival
🐩	pes, pudelj, puhast, žival
🐺	obraz, volk, volčji obraz, žival
🦊	lisica, obraz, žival
🦝	radoveden, rakun, zvijačen, zvit, žival
🐱	domači ljubljenček, mačji obraz, mačka, obraz, žival
🐈️	domači ljubljenček, mačka, mačke, žival, živali
🐈‍⬛	mačji, mačka, mjav, noč čarovnic, smola, črna, črna mačka, žival
🦁	lev, obraz, safari, zodiak, žival
🐯	obraz, plenilec, tiger, tigrov obraz, žival
🐅	plenilec, tiger, velika mačka, žival, živalski vrt
🐆	leopard, plenilec, velika mačka, žival, živalski vrt
🐴	kmetija, konj, konjev obraz, obraz, žival
🫎	los, rogovje, sesalec, žival
🫏	mula, osel, osliček, sesalec, trmast, žival
🐎	dirkanje, kmetija, konj, konjske dirke, žival
🦄	obraz, samorog
🦓	progasta, proge, zebra, žival
🦌	jelen, rogovi, žival
🦬	bivol, bizon, močen, zober, čreda, žival
🐮	krava, kravji obraz, mleko, obraz, žival
🐂	bik, kmetija, vol, zodiak, žival
🐃	bivol, voda, vodni bivol, žival, živalski vrt
🐄	kmetija, krava, mleko, žival, živali
🐷	kmetija, obraz, prašič, prašičji obraz, žival
🐖	kmetija, prašič, slanina, svinja, žival
🐗	divja svinja, divji, igra prestolov, prašič, žival
🐽	obraz, prašič, prašičji rilec, rilec, žival
🐏	ovca, oven, rogovi, zodiak, žival
🐑	kmetija, ovca, ovčka, volna, žival
🐐	kmetija, koza, kozorog, zodiak, žival
🐪	dromedar, grba, kamela, puščava, žival
🐫	dvogrba kamela, dvogrbo, grba, kamela, žival
🦙	alpaka, gvanako, lama, vikunja, volna, žival
🦒	pike, žirafa, žival
🐘	slon, žival
🦣	izumrtje, mamut, okel, velik, volnatost, žival
🦏	nosorog, žival
🦛	hipo, povodni konj, žival
🐭	miš, mišji obraz, miška, obraz, žival
🐁	miš, miška, žival
🐀	podgana, žival
🐹	domači ljubljenček, hrček, obraz, žival
🐰	domači ljubljenček, obraz, zajec, zajček, zajčji obraz, žival
🐇	domači ljubljenček, zajec, zajček, žival
🐿️	progasta veverica, veverica, žival
🦫	bober, glodavec, jez, sekalci, zobje, žival
🦔	jež, ježek, žival
🦇	netopir, žival
🐻	grizli, medved, obraz, žival
🐻‍❄	beli, medved, polarni, severni medved
🐨	avstralija, koala, medved, žival
🐼	bambus, obraz, panda, žival
🦥	len, lenivec, počasen, zaspan, žival
🦦	igriva, lovi ribe, vidra, žival
🦨	dihur, skunk, smrdi, žival
🦘	Avstralija, kenguru, mlad kenguru, skok, vrečar, žival
🦡	jazbec, medarski jazbec, nadloga, žival
🐾	odtis, odtisi tac, tace, šapa
🦃	puran, zahvalni dan, žival
🐔	kokoš, kokoška, kura, žival
🐓	petelin, ptiči, žival, živali
🐣	ki se izvali, mladič, piščanček, pišče, pišče, ki se izvali, valjenje, žival
🐤	mladič, piščanček, valjenje, žival
🐥	gleda naprej, mladič, piščanček, piščanček, gleda naprej, žival
🐦️	ptica, ptič, ptiček, žival
🐧	antarktika, pingvin, žival
🕊️	golobica, leteti, mir, ptič, žival
🦅	orel, ptica, žival
🦆	ptica, raca, žival
🦢	grdi raček, labod, mlad labod, ptica, žival
🦉	modra, pamet, ptica, sova, žival
🦤	Mavricij, dodo, izumrl, izumrtje, ptica, velik, velikan, žival
🪶	lahek, letenje, perje, pero, pisanje, ptica
🦩	flamingo, nastopaški, tropski, vpadljiv, žival
🦚	bahava, barvita, pav, pavica, ponosna, ptica, žival
🦜	govor, papagaj, pirat, ptič, žival
🪽	angelsko, božansko, krilo, letalstvo, letenje, mitologija, ptica
🐦‍⬛	kljun, kos, krokar, poljska vrana, ptica, ptič, sraka, vrana, črn prič, črna, žival
🪿	gaganje, gos, goska, jata, neumno, perjad, perutnica, ptica
🐦‍🔥	dvig, dvigniti se, fantazija, feniks, na novo odkriti, nesmrten, obnoviti, ognjeni ptič, oživeti, pojaviti se, preobraziti, preporod, reinkarnacija, reinkarnirati, veličastje, vnovično rojstvo, vstati
🐸	obraz, princesa, žaba, žabji obraz, žival
🐊	florida, krokodil, žival, živali, živalski vrt
🐢	želva, želve, žival, živali
🦎	kuščar, plazilec, žival
🐍	kača, kačenosec, prinašalec, zodiak
🐲	obraz, pravljica, zmaj, zmajski obraz, žival
🐉	igra prestolov, pravljica, vitezi, zmaj, žival
🦕	brahiozaver, brontozaver, dinozaver, diplodok, zavropod
🦖	dinozaver, tiranozaver
🐳	brizganje, ki brizga vodo, kit, kit, ki brizga vodo, obraz, ocean, žival
🐋	kit, ocean, plaža, žival
🐬	delfin, fliper, ocean, plaža, žival
🦭	morje, morski lev, ocean, plavanje, tjulenj, žival
🐟️	riba, ribi, ribolov, zodiak, žival
🐠	riba, tropska riba, tropsko, žival
🐡	riba, riba napihovalka, tropsko, žival
🦈	morski pes, riba, žival
🐙	bitje, hobotnica, ocean, žival
🐚	plaža, spiralna školjka, spiralno, školjka, žival
🪸	greben, korala, ocean, podnebne spremembe
🪼	akvarij, au, lovke, meduza, morje, morska, nevretenčar, ocean, opeklina, plankton, želo
🐌	narava, polž, vrt, žival
🦋	insekt, lep, metulj, žival
🐛	vrt, žival, žuželka
🐜	mravlja, vrt, žival, žuželka
🐝	med, pomlad, čebela, žival, žuželka
🪲	hrošč, insekt, narava, žival, žužek, žuželka
🐞	hrošč, narava, pikapolonica, žival, žuželka
🦗	kobilica, mrčes, muren, čriček, žival, žuželka
🪳	insekt, narava, ogabno, ščurek, žival, žuželka
🕷️	pajek, žival, žuželka
🕸️	mreža, pajek, pajkova mreža
🦂	horoskop, zodiak, škorpijon, žival
🦟	bolezen, insekt, komar, malarija, mrzlica, virus
🪰	bolezen, domača muha, gnitje, insekt, letenje, ličinka, muha, muha cece, nadležen, obad, žival
🪱	deževnik, kolobarnik, zajedavec, zemlja, črv, žival
🦠	ameba, bakterija, mikrob, virus, znanost
💐	obletnica, rastlina, romanca, roža, šopek
🌸	cvet, rastlina, roža, češnja, češnjev cvet
💮	bela cvetlica, cvetlica, roža
🪷	budizem, cvet, hinduizem, lepota, lotos, pomirjenost, čistost
🏵️	rastlina, rozeta
🌹	cvetlica, rastlina, roža, valentinovo, vrtnica
🥀	ovenela, ovenela roža, roža
🌺	hibiskus, rastlina, roža
🌻	rastlina, roža, sonce, sončnica
🌼	cvet, rastlina, regrat, roža
🌷	cvet, rastlina, roža, tulipan
🪻	bob, cvet, cvetlica, hijacinta, odolina, roža, sivka, vijolična, volčji bob
🌱	mlado, poganjek, rastlina, sadika
🪴	dolgčas, gojenje, hiša, lončnica, neuporabno, okras, praprot, rasti, rastlina
🌲	božično drevo, drevo, gozd, rastlina, zimzeleno drevo
🌳	drevo, listnato, listnato drevo, odpadanje, rastlina
🌴	drevo, palma, plaža, rastlina, tropsko
🌵	kaktus, narava, puščava, rastlina
🌾	klas, rastlina, riž, snop riža
🌿	list, rastlina, zelišče
☘️	deteljica, irsko, rastlina
🍀	4, detelja, list, rastlina, štiri, štiriperesna deteljica
🍁	javor, javorov list, list, padanje, rastlina
🍂	jesen, list, padanje, padlo listje, rastlina
🍃	ki se vrtinči v vetru, list, listje, listje, ki se vrtinči v vetru, pihati, rastlina, veter, vrtinčiti se
🪹	dom, gnezdenje, prazno gnezdo
🪺	gnezdenje, gnezdo z jajcema, ptice
🍄	goba, mario, rastlina
🪾	drevo brez listja, nerodovitnost, suša, zima
🍇	grozd, grozdje, rastlina, sadje
🍈	melona, rastlina, sadje
🍉	lubenica, rastlina, sadje
🍊	agrum, mandarina, pomaranča, rastlina, sadje, vitamin c
🍋	agrum, kislo, limona, rastlina, sadje
🍋‍🟩	citrus, grenko, kislo, kislost, koktajl, limeta, lupinica, margarita, mojito, okras, osvežujoče, sadež, salsa, tekila, tropsko
🍌	banana, rastlina, sadje
🍍	ananas, rastlina, sadje, tropsko
🥭	hrana, mango, sadež, tropski
🍎	hrana, jabolko, rastlina, rdeče, rdeče jabolko, sadje
🍏	jabolko, rastlina, sadje, zeleno, zeleno jabolko
🍐	hrana, hruška, rastlina, sadje
🍑	breskev, hrana, rastlina, sadje
🍒	hrana, rastlina, sadje, češnja, češnje
🍓	jagoda, rastina, rastlina, sadež, sadje
🫐	borovnica, borovnice, hrana, jagoda, jagodičevje, modra, sadje, črnica
🥝	hrana, kivi, sadje
