‾	horná čiara
🦠	améba, baktéria, biológia, jednobunkový organizmus, laboratórium, meňavka, mikrobiológia, mikroorganizmus, mikrób, organizmus, prvok, veda, vírus, výskum, živočích
💐	kvetina, kytica, láska, narodeniny, príroda, rande, rastlina, romanca, ruže, výročie
🌸	jar, kvet, kvetina, príroda, rastlina, čerešňa, čerešňový kvet
💮	biely kvet, japonský, kvetina, rastlina, romanca, výborná práca, znak dobre vykonanej práce
🪷	Budhizmus, Hinduizmus, India, Vietnam, budhizmus, hinduizmus, krása, kvet, lotos, mier, pokoj, čistota
🏵️	kvet, príroda, rastlina, rozeta, ružička
🌹	kvetina, láska, príroda, rastlina, ruža, sad, valentín, záhrada, červená
🥀	kvet, kvetina, príroda, ruža, zvädnutá, zvädnutá kvetina, záhrada
🌺	ibištek, kvet, kvetina, príroda, rastlina, rozkvitnutá
🌻	kvet, kvetina, príroda, rastlina, slnečnica, slnko
🌼	kvet, kvetina, lúka, príroda, púpava, rastlina, žltá kvetina
🌷	kvet, kvetina, kvitnúť, príroda, rastlina, rozkvitnúť, tulipán
🪻	hyacint, jar, kvet, levanduľa, lupina, papuľka, pyštek
🌱	klíčiť, listy, mladá, príroda, rastlina, sadenica, výhonok
🪴	dekorácia, doma, kvetináč, rastlina, rásť, výzdoba, zalievať, zeleň
🌲	borovica, ihličnan, ihličnatý strom, jedlička, jedľa, les, neopadavý, príroda, rastlina, smrek, strom, vianoce, vianočný stromček, vždyzelený
🌳	listnatý strom, opadavý, príroda, rastlina, strom
🌴	palma, pláž, príroda, rastlina, strom, tropický
🌵	kaktus, pichliače, príroda, púšť, rastlina, sucho
🌾	farma, jačmeň, jedlo, klas, rastlina, ryža, snop ryže
🌿	bylina, bylinka, list, príroda, rastlina
☘️	príroda, rastlina, trojlístok, zelený, írsky, šťastie
🍀	4, list, príroda, rastlina, írsky, ďatelina, štvorlístok, štyri, šťastie, šťastný
🍁	javor, javorový list, jeseň, kanada, list, opadavý, padať, príroda, rastlina
🍂	jeseň, list, opadavý, opadnutý list, padať, príroda, rastlina
🍃	fúkať, list, list vo vetre, príroda, rastlina, vietor, vánok
🪹	domov, hniezdenie, hniezdo, prázdne hniezdo
🪺	hniezdenie, hniezdo, hniezdo s vajcami, vajce, vajíčko, vták, vtáča
🍄	hríb, huba, mario, muchotrávka, príroda, rastlina
🪾	neúroda, strom bez listov, sucho, zima
🍇	Dionýzos, hrozno, jedlo, ovocie, rastlina, réva, vinná réva
🍈	cukrový melón, jedlo, melón, ovocie, rastlina, žltá dyňa
🍉	dyňa, jedlo, melón, ovocie, rastlina, vodný melón, červený melón
🍊	jedlo, mandarinka, mandarínka, nektárinka, oranžové, ovocie, pomaranč, rastlina, vitamín c
🍋	citrus, citrón, jedlo, ovocie, rastlina, tropické, žltý citrón
🍋‍🟩	citrus, džús, kokteil, kyslé, limetka, margarita, mojito, ovocie, tequila, tropické
🍌	banán, draslík, hlad, jedlo, ovocie, príroda, rastlina
🍍	ananás, jedlo, ovocie, piňakoláda, rastlina, tropické
🥭	dužnatý plod, jedlo, mango, ovocie, sladké, tropické
🍎	diéta, jablko, jedlo, ovocie, rastlina, červené, červené jablko, životospráva
🍏	jablko, jedlo, ovocie, rastlina, zelené, zelené jablko
🍐	hruška, jedlo, ovocie, príroda, rastlina, sad, záhrada
🍑	broskyňa, jedlo, ovocie, rastlina
🍒	jedlo, ovocie, rastlina, čerešne, čerešňa, červená
🍓	jahoda, jedlo, ovocie, rastlina, záhrada
🫐	bobuľa, jedlo, ovocie, čučoriedka, čučoriedky
🥝	jedlo, kivi, ovocie
🍅	jedlo, paradajka, rajčina, rastlina, zelenina, záhrada, červená
🫒	jedlo, oliva
🥥	jedlo, kokos, kokosový orech, orech, ovocie, palma, piña colada, piňakoláda
🥑	avokádo, hlad, jedlo, ovocie
🍆	baklažán, jedlo, rastlina, zelenina, záhrada, ľuľok
🥔	hlad, jedlo, príroda, zelenina, zemiak, záhrada
🥕	jedlo, karotka, mrkva, príroda, zelenina, záhrada
🌽	farma, gazdovstvo, jedlo, klas, kukurica, kukuričný, kukuričný klas, rastlina
🌶️	feferónka, hlad, jedlo, korenie, paprika, príroda, pálivá, rastlina, zelenina, čili, čili paprička, štipľavá
🫑	jedlo, kapia, paprika, zelenina
🥒	jedlo, kvašák, kyslá, nakladaná, uhorka, zaváraná, zelenina
🥬	bok čoj, hlávkový šalát, jedlo, kapusta, kel, listová zelenina, pak čoj, zelenina, zelené, čínska kapusta, šalát
🥦	brokolica, jedlo, kapusta, zelenina, záhrada
🧄	cesnak, dochutenie, korenie, ochutenie, zelenina
🧅	cibuľa, dochutenie, korenie, ochutenie, zelenina
🥜	arašid, arašidy, jedlo, orech, zelenina
🫘	fazuľa, jedlo, malý, struk, strukovina
🌰	gaštan, les, príroda, rastlina
🫚	korenina, koreň, koreň ďumbiera, pivo, rastlina, zdravie, zázvor, štipľavý
🫛	edamame, fazuľa, hrach, hrachový struk, struk, strukovina, vegetariánske, zelenina
🍄‍🟫	hnedý hríb, huba, huby, jedlo, príroda, vegetarián, výhonok, zelenina
🫜	cvikla, koreňová zelenina, repa, zelenina, záhrada
🍞	bochník, chlieb, jedlo, karbohydráty, múčny, peceň, pšenica, reštaurácia, sacharidy, toastový chlieb
🥐	croissant, francúzske, francúzsky, jedlo, pečivo, rožok
🥖	bageta, chlieb, francúzske, jedlo, pečivo
🫓	arabský, chlebová placka, chlieb, jedlo, lavaš, naan, pečivo, pita, placka, tortilla
🥨	jedlo, pečivo, praclík, skrútené, skrútený, slané, spletený
🥯	bagel, chleba, chlieb, nátierka, pekáreň, pečivo, pomazánka, raňajky, žemľa
🥞	jedlo, lievance, lievance so sirupom, lievanec, palacinka, palacinky
🧇	forma, mriežka, múčnik, raňajky, sendvičovač, vaflovač, vafľa, vafľovač
🧀	ementál, jedlo, kus syra, syr
🍖	hlad, jedlo, kosť, mäso, mäso s kosťou
🍗	hlad, hydina, hydinové stehno, jedlo, kosť, kura, kuracie stehno, morka, mäso
🥩	bravčové, jahňacie, jahňací steak, jedlo, kotleta, krvavé, mäso, plátok mäsa, rezeň, steak, červené mäso
🥓	hlad, jedlo, mäso, slanina, sádlo, varenie
🍔	burger, cheeseburger, fast food, hamburger, hlad, jedlo
🍟	fast food, hranolky, hranolčeky, jedlo, pomfritky, zemiakové hranolky
🍕	hlad, jedlo, kus, pizza, saláma, syr
🌭	fast food, hlad, hotdog, jedlo, párok, párok v rožku, rožok, v rožku
🥪	chlieb, desiata, jedlo, obložený chlieb, plátky, sendvič
🌮	jedlo, mexické, placka, taco
🌯	burrito, jedlo, mexické, rolka, tortilla, wrap
🫔	jedlo, kukuričné cesto, mexické, pamonha, tamal
🥙	falafel, gyros, jedlo, kebab, placka, plnené, plnený, sendvič
🧆	bôby, cícer, falafel, fašírka, gule, guličky
🥚	jedlo, vajce, vajíčko
🍳	hlad, jedenie, jedlo, panvica, praženica, reštaurácia, vajce, varenie, volské oko
🥘	hrniec, jedlo, kastról, kuchyňa, paella, panvica, panvica s jedlom, rajnica, varenie, zapečené jedlo
🍲	hlad, hrniec, jedlo, kastról, kotlík, kotlík s jedlom, miska, polievka, tanier, tanier jedla
🫕	fondue, jedlo, rozpustiť, syr, tavený syr, čokoláda, švajčiarske
🥣	cereálie, jedlo, kaša, lyžička, misa s lyžicou, miska s lyžicou, ovsené vločky, polievka, puding, raňajky
🥗	hlad, jedlo, zdravie, zelený, šalát
🍿	fast food, film, jedlo, kino, popcorn, pukance
🧈	maslo, mliekarenské, mliekareň, mliečne, mliečny výrobok
🧂	chuť, chuťová prísada, jedlo, korenie, koreniť, ochucovadlo, ochutenie, ochutiť, okoreniť, posoliť, príchuť, slaný, soľ, soľnička
🥫	jedlo, jedlo v konzerve, konzerva, plechovica, plechovka
🍱	balíček, bento, jedlo, krabička na jedlo, ryža, sashimi, sushi, škatuľka
🍘	hlad, jedlo, kreker, morská riasa, ryža, ryžová sušienka, ryžový kreker, sušienka
🍙	guľa, japonská, kopček, kopček ryže, ryža, ryžová guľa
🍚	hlad, jedlo, miska ryže, ryža, uvarená, uvarená ryža
🍛	hlad, jedlo, kari, karí, ryža, ryža s kari, ryža s karí
🍜	horúci, jedlo, miska, miska s horúcim jedlom, paličky, para, pariaca sa miska, pho, polievka, ramen, rezance, reštaurácia, tanier
🍝	cestoviny, jedlo, mäsové guľky, paradajková omáčka, reštaurácia, talianske, špagety
🍠	batát, jedlo, pečený, pečený sladký zemiak, sladký, zemiak
🍢	ihlica, jedlo, jedlo na špajdli, kebab, morské plody, palička, ražeň, ražniči, šašlík, špajľa
🍣	hlad, jedlo, losos, ryža, sushi, suši, tuniak
🍤	garnát, jedlo, kreveta, pražená kreveta, smažená, smažené, tempura
🍥	fašírka, koláč, ryba, rybací, rybia fašírka, rybí koláč so špirálou, ryžový, sushi, špirála
🥮	jesenný festival, jeseň, jüe-ping, koláč, mesačný koláč, pečivo, slávnosť, vítanie jesene, yuèbǐng, čínsky
🍡	dango, dezert, japonský, palička, sladkosť, špajľa
🥟	buchta, buchtička, dim sum, empanada, gyoza, haluška, jedlo, knedlička, knedlík, piroh, pirôžok, pirôžtek, ravioli
🥠	budúcnosť, jedlo, koláčik šťastia, predpoveď, proroctvo, sušienka s predpoveďou, čínsky koláčik
🥡	donáška, dovoz jedla, jedlo, krabička na jedlo, paličky, ryža, rýchle občerstvenie, škatuľka
🦀	horoskop, krab, oceán, príroda, rak, voda, zverokruh, zviera
🦞	dary mora, homár, klepetá, krab, kôrovec, morské plody, morský rak, morský živočích, pancier, plody mora, polievka z homára, rak, zviera
🦐	hlad, jedlo, kreveta, malá, mäkkýš, oceán, príroda, zviera
🦑	jedlo, kalmár, mäkkýš, oceán, príroda, zviera
🦪	perla, potápanie, ustrica
🍦	dezert, jedlo, krém, sladkosť, strojová zmrzlina, točená zmrzlina, zmrzlina, čapovaná
🍧	dezert, dreň, hlad, jedlo, mrazená dreň, ochutená ľadová drť, reštaurácia, sladkosť, zmrzlina
🍨	dezert, jedlo, krém, sladkosť, sorbet, zmrzlina
🍩	dezert, donut, hlad, jedlo, sladkosť, čokoládová šiška, šiška
🍪	dezert, hlad, jedlo, koláčik, sladkosť, sušienka, čokoláda
🎂	dezert, koláč, narodeninová torta, narodeniny, oslava, sladkosť, torta, zákusok
🍰	dezert, jedlo, koláč, kus, kus torty, sladkosť, torta, zákusok
🧁	cukor, cupcake, dezert, dobrota, koláč, košíček, lahôdka, maškrta, pekáreň, pečivo, pochúťka, poleva, sladkosť, sladký, torta, zákusok
🥧	cesto, jablkový koláč, jedlo, koláč, kúsok koláča, ovocný, pečivo, plnený koláč, plnka
🍫	dezert, jedlo, sladkosť, tabuľka čokolády, tyčinka, čokoláda
🍬	bonbón, cukrík, dezert, jedlo, maškrta, sladkosť, zubný kaz
🍭	dezert, jedlo, lízanka, lízatko, maškrta, sladkosť, zubný kaz
🍮	dezert, hlad, jedlo, koláč, koláčik, puding, sladkosť, zákusok
🍯	džbán, hlad, jedlo, macko pu, med, medveď, pohár, pohár medu, sladkosť, včela
🍼	detská, detská fľaša, detská fľaška, dojča, fľaša, jedlo, mlieko, novorodenec, nápoj, príkrm
🥛	jedlo, mlieko, nápoj, pohár, pohár mlieka
☕️	drink, espresso, horúce, horúci nápoj, jedlo, káva, nápoj, para, čaj
🫖	kanvica, nápoj, odvar, čaj, čajník, čajová kanvica
🍵	drink, jedlo, nápoj, oolong, pohár, zelený čaj, čaj, čajová šálka, čajová šálka bez uška, šálka, šálka čaju
🍶	bar, drink, fľaša, japonský, jedlo, nápoj, pohár, saké
🍾	bar, drink, fľaša, fľaša s odlietajúcou zátkou, jedlo, nápoj, otváranie zátky, sekt, zátka, šampanské
🍷	bar, drink, jedlo, krčma, nápoj, pohár, vináreň, víno, vínový pohár, červené víno
🍸️	alkohol, bar, drink, jedlo, kokteilový pohár, koktejl, koktejlový pohár, martini, party, pohár
🍹	bar, drink, jedlo, klub, koktejl, party, tropický, tropický nápoj
🍺	alkohol, bar, drink, jedlo, krígeľ, nemecko, nápoj, oktoberfest, pivo, pivový pohár, pohár, polliter
🍻	bar, drink, jedlo, krígeľ, nazdravie, pivo, pohár, prípitok, štrngajúce pivné poháre, štrngajúce pivové poháre, štrngať, štrngnutie
🥂	jedlo, nápoj, oslavovať, pohár, prípitok, sekt, šampanké, štrngajúce poháriky, štrngať, štrngnutie
🥃	alkohol, brandy, kapurková, kbš, koňak, likér, nápoj, panák, pohár, pohár na whisky, pohárik, whisky, štamprlík
🫗	liatie, liať, nehoda, nápoj, pohár, prázdny, rozliať, voda, vyliať
🥤	cola, drink, džús, limonáda, nápoj, piť, pohár so slamkou, slamka, voda
🧋	boba, bublinky, jedlo, mlieko, nápoj, perlivý čaj, pop boba, taiwan, tapiokové perly, čaj
🧃	džús, džús v krabičke, krabicový džús, nápoj, nápoj v krabičke, nápojová krabička, pitie v krabičke, slamka
🧉	maté, nápoj, pitie
🧊	chlad, kocka ľadu, studený, ľad, ľadovec, ľadová kocka
🥢	japonsko, jedlo, paličky, sushi, čína
🍽️	jedlo, kuchyňa, nož, tanier, vidlička, nôž, nôž a tanier, obed, prestieranie, príbor, tanier, varenie, večera, vidlička, vidlička, nôž a tanier
🍴	jedlo, mňam, nôž, prestieranie, príbor, varenie, vidlička, vidlička a nôž
🥄	jedenie, jedlo, lyžica, príbor, stolovanie
🔪	krájať, kuchynský nôž, kuchár, nástroj, nôž, rezať, varenie, zbraň, šéfkuchár
🫙	dóza, nádoba, pohár, prázdny, pyré, zaváranina, zásoby
🏺	amfora, drink, džbán, krčah, nádoba, nápoj, varenie, vodnár, zbraň, zverokruh
🌍	afrika, európa, glóbus, glóbus s Európou a Afrikou, planéta, svet, zem, zemeguľa, zemeguľa s Európou a Afrikou
🌎️	amerika, glóbus, glóbus s Amerikami, planéta, príroda, svet, zem, zemeguľa s Amerikou
🌏	austrália, glóbus, glóbus s Áziou a Austráliou, planéta, svet, zem, zemeguľa, zemeguľa s Áziou a Austráliou, ázia
🌐	glóbus, poludníky, svet, web, zem, zemeguľa, zemeguľa s poludníkmi
🗺️	cestovanie, mapa, mapa sveta, svet
🗾	cestovanie, japonsko, mapa, mapa Japonska, mapa japonska, ostrov
🧭	azimut, buzola, juh, kompas, magnet, magnetický, magnetka, navigácia, orientačné preteky, orientačný beh, orientácia, sever, smer, svetové strany, východ, západ
🏔️	cestovanie, chlad, hora, hory so zasneženými vrcholmi, príroda, sneh, vrch, vrchol, zasnežený vrch
⛰️	cestovanie, hora, kopec, príroda, vrch, štít
🌋	cestovanie, erupcia, hora, počasie, príroda, sopka, vrch
🗻	Fudžisan, cestovanie, fudži, hora, príroda, vrch
🏕️	cestovanie, dovolenka, kemping, príroda, stanovanie, táborenie
🏖️	cestovanie, leto, more, pláž, pláž so slnečníkom, slnečník, teplo
🏜️	cestovanie, hory, pustatina, púšť
🏝️	cestovanie, dovolenka, oceán, opustený, opustený ostrov, ostrov
🏞️	cestovanie, hory, národný park, obrázok, park, príroda, rezervácia
🏟️	aréna, budova, ihrisko, mesto, šport, štadión
🏛️	antika, budova, dom, grécko, historická budova, historické, klasicistická, panteón
🏗️	budova, dom, stavba, stavba budovy, žeriav
🧱	hlina, malta, murovať, murársky, múr, oddeliť, postaviť, prekážka, stena, tehla, tehlová stena, tehlový, tehly, zamurovať
🪨	balvan, drsný, kameň, skala, tvrdý
🪵	brvno, drevo, klát, poleno
🛖	búda, chatrč, chyža, domov, jurta, prístrešok
🏘️	budova, cesta, dedina, dom, domy, rodinnné domy, ulica
🏚️	budova, dom, mesto, opustený dom, ošarpaná, ošarpaný dom, ruina, spustnutý dom, zemetrasenie
🏠️	budova, bydlisko, dedina, dom, domov, predmestie, ranč, rodinný dom, usadiť sa
🏡	budova, bydlisko, dedina, dom so záhradou, domov, predmestie, ranč, rodinný dom, strom, záhrada
🏢	administratíva, administratívna budova, budova, kancelárie, kancelárska budova, mesto, práca, zamestnanie
🏣	budova, japonská, japonská pošta, pošta
🏤	budova, európska, európska pošta, mesto, pošta
🏥	budova, doktor, lekár, nemocnica
🏦	banka, budova, sporiteľňa
🏨	budova, cestovanie, hotel
🏩	budova, hodinový, hodinový hotel, hotel, láska, verejná, verejný dom
🏪	budova, mesto, nonstop, obchod, potraviny, predajňa, tovar, večierka, zmiešaný tovar
🏫	budova, učiť sa, vzdelanie, škola
🏬	budova, nákupné centrum, obchodný dom, obchody, oddelenie
🏭️	budova, priemysel, továreň
🏯	budova, hrad, japonský, japonský zámok
🏰	budova, európska, historický, hrad, zámok
💒	budova, kaplnka, kostol, láska, romanca, romantika, svadba
🗼	tokijská veža, tokio, veža
🗽	amerika, cestovanie, mesto, new york, ny, sloboda, socha, socha slobody, usa, veľkomesto
⛪️	budova, kaplnka, kostol, kresťan, kresťanská, kríž, náboženstvo, viera
🕌	budova, islam, mešita, moslim, náboženstvo, viera
🛕	chrám, hinduista, hinduistický chrám, hinduizmus, svätyňa
🕍	budova, chrám, judaizmus, náboženstvo, synagóga, viera, žid, židovstvo
⛩️	chrám, japonský, náboženstvo, svätyňa, šintoistická svätyňa, šintoistický chrám, šintó
🕋	Hadždž, cestovanie, islam, kába, moslim, moslimstvo, náboženstvo
⛲️	fontána, kúpele, vodomet, vodostrek
⛺️	cestovanie, dovolenka, kempovanie, kempovať, leto, príroda, stan, tábor, táboriť
🌁	hmla, hmlisto, most, počasie
🌃	hviezda, noc, noc s hviezdami, obrázok, počasie
🏙️	budova, mesto, mestská panoráma, obrázok, veľkomesto
🌄	hora, obrázok, počasie, príroda, ráno, slnko, svit, východ slnka, východ slnka nad horami
🌅	obrázok, počasie, príroda, ráno, slnko, svitanie, východ slnka
🌆	budova, mesto, mestská panoráma pri súmraku, mestská panoráma pri zotmení, obrázok, panelák, panoráma, počasie, slnko, večer, zotmenie, západ slnka
🌇	budova, mesto, obrázok, počasie, slnko, súmrak, zotmenie, západ slnka
🌉	most, most v noci, noc, obrázok, počasie
♨️	horúca para, horúce, horúce pramene, horúci prameň, kúpele, para, teplo, žriedla
🎠	hody, kolotoč, kolotočový kôň, kôň, zábava
🛝	hra, ihrisko, kĺzačka, šmykľavka, šmýkanie, šmýkačka
🎡	hody, koleso, kolotoč, lunapark, ruské, ruské koleso, zábavný park
🎢	dráha, horská dráha, húsenková, kolotoč, lunapark, zábavný park
💈	holič, kaderníctvo, pútač, pútač holičstva, strih, stĺp v tvare špirály, vlasy, účes, špirála
🎪	budova, cirkus, stan, zábava, šapito
🚂	cestovanie, dopravný prostriedok, lokomotíva, parný, rušeň, vlak, železnica
🚃	cestovanie, doprava, dopravný prostriedok, elektrický, električka, trolejbus, vagón, vlak, vozeň, vozeň električky, železnica
🚄	cestovanie, dopravný prostriedok, rýchlostný, rýchlovlak, tgv, vlak, šinkansen, železnica
🚅	cestovanie, dopravný prostriedok, japonský, japonský rýchlovlak, oblá časť, rýchlostný, rýchlostný vlak s oblou prednou časťou, rýchlovlak, vlak, šinkansen, železnica
🚆	cestovanie, doprava, dopravný prostriedok, lokomotíva, rušeň, vlak, železnica
🚇️	cestovanie, dopravný prostriedok, dráha, metro, podzemná, tunel
🚈	cestovanie, doprava, dopravný prostriedok, električka, mestský vlak, vlak, ľahké metro, železnica
🚉	dopravný prostriedok, elektrický vlak, rušeň, stanica, vlak, železnica
🚊	cestovanie, doprava, dopravný prostriedok, električka, trolejbus, vozidlo
🚝	doprava, dopravný prostriedok, jednokoľajka, jednokoľajová, monorail, rýchlovlak, visutá dráha
🚞	dopravný prostriedok, horská, vlak, vozeň, výlet, zubačka, železnica
🚋	cestovanie, dopravný prostriedok, električka, trolejbus, vagón električky, vozeň, vozeň električky
🚌	autobus, cestovanie, doprava, dopravný prostriedok, vozidlo, škola
🚍️	autobus, cestovanie, dopravný prostriedok, prichádzajúce, prichádzajúci autobus, vozidlo
🚎	autobus, cestovanie, doprava, dopravný prostriedok, električka, trolejbus, vozidlo
🚐	autobus, cestovanie, dopravný prostriedok, minibus, van, vozidlo
🚑️	dopravný prostriedok, lekár, nehoda, pohotovosť, prvá pomoc, sanitka, vozidlo, záchranka, úraz
🚒	auto, dopravný prostriedok, hasiči, hasičské auto, oheň, požiar, požiarnicke auto, vozidlo
🚓	auto, dopravný prostriedok, hliadka, policajné auto, polícia, siréna, vozidlo
🚔️	auto, dopravný prostriedok, polícia, prichádzajúce, prichádzajúce policajné auto, vozidlo
🚕	auto, cestovanie, doprava, dopravný prostriedok, taxi, taxík, vozidlo
🚖	cestovanie, dopravný prostriedok, prichádzajúce, prichádzajúci taxík, taxi
🚗	auto, dopravný prostriedok, osobné, riadiť, vozidlo, červené, šoférovať
🚘️	auto, automobil, cestovanie, doprava, dopravný prostriedok, osobné, prichádzajúce, prichádzajúce auto, vozidlo, červené
🚙	SUV, auto, cestovanie, dopravný prostriedok, jazda, rekreačné, vozidlo, šoférovanie
🛻	auto, doprava, nákladiak, nákladné auto, pick-up, pikap, preprava, vozidlo, zásobovanie
🚚	doprava, dopravný prostriedok, kamión, kamión – zásobovanie, vozidlo, zásobovacie auto, zásobovanie, šoférovanie
🚛	doprava, dopravný prostriedok, kamión, nákladné auto, nákladné auto s otáčajúcou sa nápravou, náklaďák, náves, sťahovanie, transport, ťahač s návesom
🚜	dedina, dopravný prostriedok, farma, gazdovstvo, statok, traktor, vozidlo
🏎️	auto, cestovanie, f1, formula, preteky, pretekárske auto, vozidlo, červené, šport
🏍️	cestovanie, dopravný prostriedok, motocykel, motorka, preteky
🛵	doprava, dopravný prostriedok, moped, motorka, skúter, vozidlo
🦽	hendikep, invalid, invalidita, mechanický invalidný vozík, pomôcka, postihnutie, prístupnosť
🦼	elektrický invalidný vozík, handicap, hendikep, invalid, invalidita, pomôcka, postihnutie, prístupnosť
🛺	autorikša, motorikša, rikša, tuk‑tuk
🚲️	bicykel, cestný bicykel, doprava, dopravný prostriedok, jazda, jazdenie, spinning, vozidlo
🛴	dopravný prostriedok, kolobežka, šport
🛹	doska, kolieska, skateboard, skejt, skejtbord, skejtbordista, skejtbordistka, skejtbordový, skejťák, šport
🛼	koliesková, koliesková korčuľa, korčuľa, korčuľovanie, korčuľovať sa, šport
🚏	autobus, autobusová zastávka, cestovanie, doprava, zastávka
🛣️	cesta, cestovanie, diaľnica, ulica
🛤️	koľaje, koľajnice, vlak, železnica, železničná trať
🛢️	barel, nafta, olej, olejový sud, ropa, sud
⛽️	benzín, cestovanie, diesel, nafta, palivo, pumpa, stanica, čerpacia stanica, čerpacie zariadenie
🛞	auto, koleso, kruh, otáčanie, pneumatika, vozidlo
🚨	auto, dopravný prostriedok, maják, otáčajúce sa, policajný maják, polícia, svetlo, výstraha
🚥	cestovanie, križovatka, premávka, semafor, signál, svetlo, vodorovný semafor
🚦	križovatka, premávka, semafor, signál, svetlo, zvislý semafor
🛑	osemuholník, stop, zastaviť, značka, značka stop, značka zastavenia
🚧	bariéra, blokovať, práce na ceste, uzávera, zábrana
⚓️	cestovanie, kotva, loď, nástroj, oceán, prístav
🛟	bezpečnosť, bója, koleso, plávanie, pomoc, vznášanie, záchrana, záchranné koleso, záchranný kruh
⛵️	cestovanie, dopravný prostriedok, jachta, loď, more, plachetnica, plachtiť, rezort, stredisko, čln
🛶	doprava, kanoe, loď, loďka, čln
🚤	cestovanie, jazero, leto, loď, loď dopravný prostriedok, luxus, miliónar, motor, motorový čln, rýchlostný čln, rýchly čln, čln
🛳️	cestovanie, dopravný prostriedok, dovolenka, loď, parník, pasažier, výletná loď, zaoceánska loď
⛴️	doprava, dopravný prostriedok, loď, oceán, plaviť sa, rieka, trajekt
🛥️	cestovanie, dopravný prostriedok, loď, motorová loď, motorový čln, oceán, čln
🚢	dopravný prostriedok, loď, parník, pasažier, titanic
✈️	cestovanie, doprava, dopravný prostriedok, letieť, letisko, lietadlo
🛩️	cestovanie, dopravný prostriedok, letisko, lietadlo, malé lietadlo
🛫	cestovanie, check-in, dopravný prostriedok, letisko, lietadlo, odlet, odlet lietadla, odlety, registrácia
🛬	cestovanie, dopravný prostriedok, letisko, lietadlo, pristávajúce, prílet, prílet lietadla, prílety
🪂	padák, paragliding, parašutizmus, plachtenie, zoskok s padákom, závesné lietanie
💺	cestovanie, kreslo, sedadlo, stolička, vlak
🚁	cestovanie, doprava, dopravný prostriedok, helikoptéra, vrtuľník
🚟	cestovanie, doprava, dopravný prostriedok, lanovka, lanovková železnica, závesná, železnica
🚠	cestovanie, dopravný prostriedok, gondola, hora, horská lanovka, kabínka, lanovka, vrchol
🚡	cestovanie, dopravný prostriedok, gondola, kabína, lanovka, lanovková doprava, visutá, visutá lanovka
🛰️	dopravný prostriedok, družica, komunikácia, satelit, veda, vesmír, výskum
🚀	aeroplán, astronautika, cestovanie, dopravný prostriedok, kozmos, raketa, vesmír, štart
🛸	lietajúci tanier, mimozemský, mimozešťania, ufo, ufóni
🛎️	hotel, hotelový sluha, recepčný zvonček, zvonček
🧳	balenie, baliť, baliť sa, batožina, cesta, cestovanie, cestovať, cestovná horúčka, dovolenka, kufor, kufor na kolieskach, prázdniny
⌛️	hodiny, meranie času, piesok, piesočné, presýpacie hodiny, čas, časovač
⏳️	bežiace presýpacie hodiny, meranie času, piesok, presýpacie hodiny, presýpacie hodiny s padajúcim pieskom, čas, časovač
⌚️	hodinky, hodiny, čas
⏰️	budík, hodiny, neskoro, zvonenie, čakanie, čas
⏱️	hodiny, stopky, čas, šport
⏲️	budík, hodiny, meranie času, čas, časovač
🕰️	hodiny, kozubové hodiny, krbové hodiny, čas
🕛️	00, 12, 12:00, dvanásť, dvanásť hodín, hod, hodín, polnoc, poludnie, čas
🕧	00:30, 12, 12:30, 30, dvanásť, hodín, pol jednej, tridsať, čas
🕐️	00, 1, 13, 13:00, 1:00, hod, hodiny, jedna, jedna hodina, čas
🕜	1, 13:30, 1:30, 30, hod, hodiny, pol druhej, tridsať, čas
🕑️	00, 14:00, 2, 2:00, dve, dve hodiny, hod, hodiny, čas
🕝	14:30, 2, 2:30, 30, dve, hodiny, pol tretej, tridsať, čas
🕒️	00, 15, 15:00, 3, 3:00, hod, hodiny, tri, tri hodiny, čas
🕞	15:30, 3, 30, 3:30, hodiny, pol štvrtej, tri, tridsať, čas
🕓️	00, 16, 16:00, 4, 4:00, hod, hodiny, čas, štyri, štyri hodiny
🕟	16, 16:30, 30, 4, 4:30, hodiny, pol piatej, tridsať, čas, štyri
🕔️	00, 17, 17:00, 5, 5:00, hod, hodiny, päť, päť hodín, čas
🕠	17, 17:30, 30, 5, 5:30, hodiny, pol šiestej, päť, tridsať, čas
🕕️	00, 18, 18:00, 6, 6:00, hod, hodiny, čas, šesť, šesť hodín
🕡	18, 18:30, 30, 6, 6:30, hodiny, pol siedmej, tridsať, čas, šest
🕖️	00, 19, 19:00, 7, 7:00, hod, hodiny, sedem, sedem hodín, čas
🕢	19:30, 30, 7, 7:30, hodiny, pol ôsmej, sedem, tridsať, čas
🕗️	00, 20, 20:00, 8, 8:00, hod, hodiny, osem, osem hodín, čas
🕣	20:30, 30, 8, 8:30, hodiny, osem, pol deviatej, tridsať, čas
🕘️	00, 21:00, 9, 9:00, deväť, deväť hodín, hod, hodiny, čas
🕤	21:30, 30, 9, 9:30, deväť, hodiny, pol desiatej, tridsať, čas
🕙️	00, 10, 10:00, 22, 22:00, desať, desať hodín, hod, hodiny, čas
🕥	10, 10:30, 22, 22:30, 30, desať, hodiny, pol jedenástej, tridsať, čas
🕚️	00, 11, 11:00, 23, 23:00, hod, hodiny, jedenásť, jedenásť hodín, čas
🕦	11, 11:30, 23, 23:30, 30, hodiny, jedenásť, pol dvanástej, tridsať, čas
🌑	mesiac, noc, nov, nočná obloha, počasie, príroda, tmavý, vesmír
