‾	föléhúzás, fölülhúzás, fölülvonás
🚵🏻‍♀	bicaj, bicajos, bicikli, biciklis, hegy, hegyikerékpáros nő, hegyikerékpáros nő: világos bőrtónus, kerékpár, kerékpáros, mountain bike, nő, sport, teker, világos bőrtónus
🚵🏼‍♀	bicaj, bicajos, bicikli, biciklis, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepesen világos bőrtónus, kerékpár, kerékpáros, közepesen világos bőrtónus, mountain bike, nő, sport, teker
🚵🏽‍♀	bicaj, bicajos, bicikli, biciklis, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepes bőrtónus, kerékpár, kerékpáros, közepes bőrtónus, mountain bike, nő, sport, teker
🚵🏾‍♀	bicaj, bicajos, bicikli, biciklis, hegy, hegyikerékpáros nő, hegyikerékpáros nő: közepesen sötét bőrtónus, kerékpár, kerékpáros, közepesen sötét bőrtónus, mountain bike, nő, sport, teker
🚵🏿‍♀	bicaj, bicajos, bicikli, biciklis, hegy, hegyikerékpáros nő, hegyikerékpáros nő: sötét bőrtónus, kerékpár, kerékpáros, mountain bike, nő, sport, sötét bőrtónus, teker
🤸	cigánykerék, sport, sportoló, torna
🤸🏻	cigánykerék, cigánykerék: világos bőrtónus, sport, sportoló, torna, világos bőrtónus
🤸🏼	cigánykerék, cigánykerék: közepesen világos bőrtónus, közepesen világos bőrtónus, sport, sportoló, torna
🤸🏽	cigánykerék, cigánykerék: közepes bőrtónus, közepes bőrtónus, sport, sportoló, torna
🤸🏾	cigánykerék, cigánykerék: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sport, sportoló, torna
🤸🏿	cigánykerék, cigánykerék: sötét bőrtónus, sport, sportoló, sötét bőrtónus, torna
🤸‍♂	cigánykerekező férfi, cigánykerék, férfi, sport, torna, tornász, tornázik
🤸🏻‍♂	cigánykerekező férfi, cigánykerekező férfi: világos bőrtónus, cigánykerék, férfi, sport, torna, tornász, tornázik, világos bőrtónus
🤸🏼‍♂	cigánykerekező férfi, cigánykerekező férfi: közepesen világos bőrtónus, cigánykerék, férfi, közepesen világos bőrtónus, sport, torna, tornász, tornázik
🤸🏽‍♂	cigánykerekező férfi, cigánykerekező férfi: közepes bőrtónus, cigánykerék, férfi, közepes bőrtónus, sport, torna, tornász, tornázik
🤸🏾‍♂	cigánykerekező férfi, cigánykerekező férfi: közepesen sötét bőrtónus, cigánykerék, férfi, közepesen sötét bőrtónus, sport, torna, tornász, tornázik
🤸🏿‍♂	cigánykerekező férfi, cigánykerekező férfi: sötét bőrtónus, cigánykerék, férfi, sport, sötét bőrtónus, torna, tornász, tornázik
🤸‍♀	cigánykerekező nő, cigánykerék, nő, sport, torna, tornász, tornásznő, tornázik
🤸🏻‍♀	cigánykerekező nő, cigánykerekező nő: világos bőrtónus, cigánykerék, nő, sport, torna, tornász, tornásznő, tornázik, világos bőrtónus
🤸🏼‍♀	cigánykerekező nő, cigánykerekező nő: közepesen világos bőrtónus, cigánykerék, közepesen világos bőrtónus, nő, sport, torna, tornász, tornásznő, tornázik
🤸🏽‍♀	cigánykerekező nő, cigánykerekező nő: közepes bőrtónus, cigánykerék, közepes bőrtónus, nő, sport, torna, tornász, tornásznő, tornázik
🤸🏾‍♀	cigánykerekező nő, cigánykerekező nő: közepesen sötét bőrtónus, cigánykerék, közepesen sötét bőrtónus, nő, sport, torna, tornász, tornásznő, tornázik
🤸🏿‍♀	cigánykerekező nő, cigánykerekező nő: sötét bőrtónus, cigánykerék, nő, sport, sötét bőrtónus, torna, tornász, tornásznő, tornázik
🤼	birkózás, birkózó, birkózók, harc, sport, sportoló
🤼‍♂	birkozás, birkozó, birkózó férfiak, férfi, férfi birkózás, harc, sport
🤼‍♀	birkozás, birkozó, birkózó nők, harc, nő, női birkózás, sport
🤽	póló, sport, víz, vízilabda
🤽🏻	póló, sport, világos bőrtónus, víz, vízilabda, vízilabda: világos bőrtónus
🤽🏼	közepesen világos bőrtónus, póló, sport, víz, vízilabda, vízilabda: közepesen világos bőrtónus
🤽🏽	közepes bőrtónus, póló, sport, víz, vízilabda, vízilabda: közepes bőrtónus
🤽🏾	közepesen sötét bőrtónus, póló, sport, víz, vízilabda, vízilabda: közepesen sötét bőrtónus
🤽🏿	póló, sport, sötét bőrtónus, víz, vízilabda, vízilabda: sötét bőrtónus
🤽‍♂	férfi, póló, sport, vízilabda, vízilabdázó férfi, vízisport
🤽🏻‍♂	férfi, póló, sport, világos bőrtónus, vízilabda, vízilabdázó férfi, vízilabdázó férfi: világos bőrtónus, vízisport
🤽🏼‍♂	férfi, közepesen világos bőrtónus, póló, sport, vízilabda, vízilabdázó férfi, vízilabdázó férfi: közepesen világos bőrtónus, vízisport
🤽🏽‍♂	férfi, közepes bőrtónus, póló, sport, vízilabda, vízilabdázó férfi, vízilabdázó férfi: közepes bőrtónus, vízisport
🤽🏾‍♂	férfi, közepesen sötét bőrtónus, póló, sport, vízilabda, vízilabdázó férfi, vízilabdázó férfi: közepesen sötét bőrtónus, vízisport
🤽🏿‍♂	férfi, póló, sport, sötét bőrtónus, vízilabda, vízilabdázó férfi, vízilabdázó férfi: sötét bőrtónus, vízisport
🤽‍♀	nő, póló, sport, vízilabda, vízilabdás, vízilabdázó nő
🤽🏻‍♀	nő, póló, sport, világos bőrtónus, vízilabda, vízilabdás, vízilabdázó nő, vízilabdázó nő: világos bőrtónus
🤽🏼‍♀	közepesen világos bőrtónus, nő, póló, sport, vízilabda, vízilabdás, vízilabdázó nő, vízilabdázó nő: közepesen világos bőrtónus
🤽🏽‍♀	közepes bőrtónus, nő, póló, sport, vízilabda, vízilabdás, vízilabdázó nő, vízilabdázó nő: közepes bőrtónus
🤽🏾‍♀	közepesen sötét bőrtónus, nő, póló, sport, vízilabda, vízilabdás, vízilabdázó nő, vízilabdázó nő: közepesen sötét bőrtónus
🤽🏿‍♀	nő, póló, sport, sötét bőrtónus, vízilabda, vízilabdás, vízilabdázó nő, vízilabdázó nő: sötét bőrtónus
🤾	dob, kézilabda, labda, sport, sportoló
🤾🏻	dob, kézilabda, kézilabda: világos bőrtónus, labda, sport, sportoló, világos bőrtónus
🤾🏼	dob, kézilabda, kézilabda: közepesen világos bőrtónus, közepesen világos bőrtónus, labda, sport, sportoló
🤾🏽	dob, kézilabda, kézilabda: közepes bőrtónus, közepes bőrtónus, labda, sport, sportoló
🤾🏾	dob, kézilabda, kézilabda: közepesen sötét bőrtónus, közepesen sötét bőrtónus, labda, sport, sportoló
🤾🏿	dob, kézilabda, kézilabda: sötét bőrtónus, labda, sport, sportoló, sötét bőrtónus
🤾‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, sport
🤾🏻‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, kézilabdázó férfi: világos bőrtónus, sport, világos bőrtónus
🤾🏼‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, kézilabdázó férfi: közepesen világos bőrtónus, közepesen világos bőrtónus, sport
🤾🏽‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, kézilabdázó férfi: közepes bőrtónus, közepes bőrtónus, sport
🤾🏾‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, kézilabdázó férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sport
🤾🏿‍♂	férfi, kézilabda, kézilabdás, kézilabdázik, kézilabdázó férfi, kézilabdázó férfi: sötét bőrtónus, sport, sötét bőrtónus
🤾‍♀	dob, kézilabda, kézilabdázó nő, labda, nő, sport
🤾🏻‍♀	dob, kézilabda, kézilabdázó nő, kézilabdázó nő: világos bőrtónus, labda, nő, sport, világos bőrtónus
🤾🏼‍♀	dob, kézilabda, kézilabdázó nő, kézilabdázó nő: közepesen világos bőrtónus, közepesen világos bőrtónus, labda, nő, sport
🤾🏽‍♀	dob, kézilabda, kézilabdázó nő, kézilabdázó nő: közepes bőrtónus, közepes bőrtónus, labda, nő, sport
🤾🏾‍♀	dob, kézilabda, kézilabdázó nő, kézilabdázó nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, labda, nő, sport
🤾🏿‍♀	dob, kézilabda, kézilabdázó nő, kézilabdázó nő: sötét bőrtónus, labda, nő, sport, sötét bőrtónus
🤹	egyensúly, egyszerre, kézügyesség, multitask, zsonglőr, zsonglőrködik, ügyes
🤹🏻	egyensúly, egyszerre, kézügyesség, multitask, világos bőrtónus, zsonglőr, zsonglőr: világos bőrtónus, zsonglőrködik, ügyes
🤹🏼	egyensúly, egyszerre, kézügyesség, közepesen világos bőrtónus, multitask, zsonglőr, zsonglőr: közepesen világos bőrtónus, zsonglőrködik, ügyes
🤹🏽	egyensúly, egyszerre, kézügyesség, közepes bőrtónus, multitask, zsonglőr, zsonglőr: közepes bőrtónus, zsonglőrködik, ügyes
🤹🏾	egyensúly, egyszerre, kézügyesség, közepesen sötét bőrtónus, multitask, zsonglőr, zsonglőr: közepesen sötét bőrtónus, zsonglőrködik, ügyes
🤹🏿	egyensúly, egyszerre, kézügyesség, multitask, sötét bőrtónus, zsonglőr, zsonglőr: sötét bőrtónus, zsonglőrködik, ügyes
🤹‍♂	egyensúly, egyszerre, férfi, több feladat, zsonglőr, zsonglőr férfi
🤹🏻‍♂	egyensúly, egyszerre, férfi, több feladat, világos bőrtónus, zsonglőr, zsonglőr férfi: világos bőrtónus
🤹🏼‍♂	egyensúly, egyszerre, férfi, közepesen világos bőrtónus, több feladat, zsonglőr, zsonglőr férfi: közepesen világos bőrtónus
🤹🏽‍♂	egyensúly, egyszerre, férfi, közepes bőrtónus, több feladat, zsonglőr, zsonglőr férfi: közepes bőrtónus
🤹🏾‍♂	egyensúly, egyszerre, férfi, közepesen sötét bőrtónus, több feladat, zsonglőr, zsonglőr férfi: közepesen sötét bőrtónus
🤹🏿‍♂	egyensúly, egyszerre, férfi, sötét bőrtónus, több feladat, zsonglőr, zsonglőr férfi: sötét bőrtónus
🤹‍♀	egyensúly, egyszerre, nő, női zsonglőr, több feladat, zsonglőr, zsonglőr nő
🤹🏻‍♀	egyensúly, egyszerre, nő, női zsonglőr, több feladat, világos bőrtónus, zsonglőr, zsonglőr nő: világos bőrtónus
🤹🏼‍♀	egyensúly, egyszerre, közepesen világos bőrtónus, nő, női zsonglőr, több feladat, zsonglőr, zsonglőr nő: közepesen világos bőrtónus
🤹🏽‍♀	egyensúly, egyszerre, közepes bőrtónus, nő, női zsonglőr, több feladat, zsonglőr, zsonglőr nő: közepes bőrtónus
🤹🏾‍♀	egyensúly, egyszerre, közepesen sötét bőrtónus, nő, női zsonglőr, több feladat, zsonglőr, zsonglőr nő: közepesen sötét bőrtónus
🤹🏿‍♀	egyensúly, egyszerre, nő, női zsonglőr, sötét bőrtónus, több feladat, zsonglőr, zsonglőr nő: sötét bőrtónus
🧘	ember lótuszülésben, jóga, jógázik, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál
🧘🏻	ember lótuszülésben, ember lótuszülésben: világos bőrtónus, jóga, jógázik, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál, világos bőrtónus
🧘🏼	ember lótuszülésben, ember lótuszülésben: közepesen világos bőrtónus, jóga, jógázik, közepesen világos bőrtónus, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál
🧘🏽	ember lótuszülésben, ember lótuszülésben: közepes bőrtónus, jóga, jógázik, közepes bőrtónus, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál
🧘🏾	ember lótuszülésben, ember lótuszülésben: közepesen sötét bőrtónus, jóga, jógázik, közepesen sötét bőrtónus, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál
🧘🏿	ember lótuszülésben, ember lótuszülésben: sötét bőrtónus, jóga, jógázik, lótuszülés, meditáció, meditál, nő lótuszülésben, relaxáció, relaxál, sötét bőrtónus
🧘‍♂	férfi lótuszülésben, jóga, meditáció
🧘🏻‍♂	férfi lótuszülésben, férfi lótuszülésben: világos bőrtónus, jóga, meditáció, világos bőrtónus
🧘🏼‍♂	férfi lótuszülésben, férfi lótuszülésben: közepesen világos bőrtónus, jóga, közepesen világos bőrtónus, meditáció
🧘🏽‍♂	férfi lótuszülésben, férfi lótuszülésben: közepes bőrtónus, jóga, közepes bőrtónus, meditáció
🧘🏾‍♂	férfi lótuszülésben, férfi lótuszülésben: közepesen sötét bőrtónus, jóga, közepesen sötét bőrtónus, meditáció
🧘🏿‍♂	férfi lótuszülésben, férfi lótuszülésben: sötét bőrtónus, jóga, meditáció, sötét bőrtónus
🧘‍♀	jóga, meditáció, nő lótuszülésben
🧘🏻‍♀	jóga, meditáció, nő lótuszülésben, nő lótuszülésben: világos bőrtónus, világos bőrtónus
🧘🏼‍♀	jóga, közepesen világos bőrtónus, meditáció, nő lótuszülésben, nő lótuszülésben: közepesen világos bőrtónus
🧘🏽‍♀	jóga, közepes bőrtónus, meditáció, nő lótuszülésben, nő lótuszülésben: közepes bőrtónus
🧘🏾‍♀	jóga, közepesen sötét bőrtónus, meditáció, nő lótuszülésben, nő lótuszülésben: közepesen sötét bőrtónus
🧘🏿‍♀	jóga, meditáció, nő lótuszülésben, nő lótuszülésben: sötét bőrtónus, sötét bőrtónus
🛀	fürdik, fürdés, fürdő ember, fürdőkád
🛀🏻	fürdik, fürdés, fürdő ember, fürdő ember: világos bőrtónus, fürdőkád, világos bőrtónus
🛀🏼	fürdik, fürdés, fürdő ember, fürdő ember: közepesen világos bőrtónus, fürdőkád, közepesen világos bőrtónus
🛀🏽	fürdik, fürdés, fürdő ember, fürdő ember: közepes bőrtónus, fürdőkád, közepes bőrtónus
🛀🏾	fürdik, fürdés, fürdő ember, fürdő ember: közepesen sötét bőrtónus, fürdőkád, közepesen sötét bőrtónus
🛀🏿	fürdik, fürdés, fürdő ember, fürdő ember: sötét bőrtónus, fürdőkád, sötét bőrtónus
🛌	alszik, alvás, ember az ágyban, szálloda, ágy, álmos
🛌🏻	alszik, alvás, ember az ágyban, ember az ágyban: világos bőrtónus, szálloda, világos bőrtónus, ágy, álmos
🛌🏼	alszik, alvás, ember az ágyban, ember az ágyban: közepesen világos bőrtónus, közepesen világos bőrtónus, szálloda, ágy, álmos
🛌🏽	alszik, alvás, ember az ágyban, ember az ágyban: közepes bőrtónus, közepes bőrtónus, szálloda, ágy, álmos
🛌🏾	alszik, alvás, ember az ágyban, ember az ágyban: közepesen sötét bőrtónus, közepesen sötét bőrtónus, szálloda, ágy, álmos
🛌🏿	alszik, alvás, ember az ágyban, ember az ágyban: sötét bőrtónus, szálloda, sötét bőrtónus, ágy, álmos
🧑‍🤝‍🧑	egymás kezét fogó emberek, fogás, kéz, kézenfogva, pár
🧑🏻‍🤝‍🧑🏻	egymás kezét fogó emberek, egymás kezét fogó emberek: világos bőrtónus, fogás, kéz, kézenfogva, pár, világos bőrtónus
🧑🏻‍🤝‍🧑🏼	egymás kezét fogó emberek, egymás kezét fogó emberek: világos bőrtónus és közepesen világos bőrtónus, fogás, kéz, kézenfogva, közepesen világos bőrtónus, pár, világos bőrtónus
🧑🏻‍🤝‍🧑🏽	egymás kezét fogó emberek, egymás kezét fogó emberek: világos bőrtónus és közepes bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, pár, világos bőrtónus
🧑🏻‍🤝‍🧑🏾	egymás kezét fogó emberek, egymás kezét fogó emberek: világos bőrtónus és közepesen sötét bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, pár, világos bőrtónus
🧑🏻‍🤝‍🧑🏿	egymás kezét fogó emberek, egymás kezét fogó emberek: világos bőrtónus és sötét bőrtónus, fogás, kéz, kézenfogva, pár, sötét bőrtónus, világos bőrtónus
🧑🏼‍🤝‍🧑🏻	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen világos bőrtónus és világos bőrtónus, fogás, kéz, kézenfogva, közepesen világos bőrtónus, pár, világos bőrtónus
🧑🏼‍🤝‍🧑🏼	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen világos bőrtónus, fogás, kéz, kézenfogva, közepesen világos bőrtónus, pár
🧑🏼‍🤝‍🧑🏽	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen világos bőrtónus és közepes bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, közepesen világos bőrtónus, pár
🧑🏼‍🤝‍🧑🏾	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen világos bőrtónus és közepesen sötét bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, közepesen világos bőrtónus, pár
🧑🏼‍🤝‍🧑🏿	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen világos bőrtónus és sötét bőrtónus, fogás, kéz, kézenfogva, közepesen világos bőrtónus, pár, sötét bőrtónus
🧑🏽‍🤝‍🧑🏻	egymás kezét fogó emberek, egymás kezét fogó emberek: közepes bőrtónus és világos bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, pár, világos bőrtónus
🧑🏽‍🤝‍🧑🏼	egymás kezét fogó emberek, egymás kezét fogó emberek: közepes bőrtónus és közepesen világos bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, közepesen világos bőrtónus, pár
🧑🏽‍🤝‍🧑🏽	egymás kezét fogó emberek, egymás kezét fogó emberek: közepes bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, pár
🧑🏽‍🤝‍🧑🏾	egymás kezét fogó emberek, egymás kezét fogó emberek: közepes bőrtónus és közepesen sötét bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, közepesen sötét bőrtónus, pár
🧑🏽‍🤝‍🧑🏿	egymás kezét fogó emberek, egymás kezét fogó emberek: közepes bőrtónus és sötét bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, pár, sötét bőrtónus
🧑🏾‍🤝‍🧑🏻	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen sötét bőrtónus és világos bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, pár, világos bőrtónus
🧑🏾‍🤝‍🧑🏼	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen sötét bőrtónus és közepesen világos bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, közepesen világos bőrtónus, pár
🧑🏾‍🤝‍🧑🏽	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen sötét bőrtónus és közepes bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, közepesen sötét bőrtónus, pár
🧑🏾‍🤝‍🧑🏾	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen sötét bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, pár
🧑🏾‍🤝‍🧑🏿	egymás kezét fogó emberek, egymás kezét fogó emberek: közepesen sötét bőrtónus és sötét bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, pár, sötét bőrtónus
🧑🏿‍🤝‍🧑🏻	egymás kezét fogó emberek, egymás kezét fogó emberek: sötét bőrtónus és világos bőrtónus, fogás, kéz, kézenfogva, pár, sötét bőrtónus, világos bőrtónus
🧑🏿‍🤝‍🧑🏼	egymás kezét fogó emberek, egymás kezét fogó emberek: sötét bőrtónus és közepesen világos bőrtónus, fogás, kéz, kézenfogva, közepesen világos bőrtónus, pár, sötét bőrtónus
🧑🏿‍🤝‍🧑🏽	egymás kezét fogó emberek, egymás kezét fogó emberek: sötét bőrtónus és közepes bőrtónus, fogás, kéz, kézenfogva, közepes bőrtónus, pár, sötét bőrtónus
🧑🏿‍🤝‍🧑🏾	egymás kezét fogó emberek, egymás kezét fogó emberek: sötét bőrtónus és közepesen sötét bőrtónus, fogás, kéz, kézenfogva, közepesen sötét bőrtónus, pár, sötét bőrtónus
🧑🏿‍🤝‍🧑🏿	egymás kezét fogó emberek, egymás kezét fogó emberek: sötét bőrtónus, fogás, kéz, kézenfogva, pár, sötét bőrtónus
👭	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👭🏻	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏻‍🤝‍👩🏼	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: világos bőrtónus és közepesen világos bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏻‍🤝‍👩🏽	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: világos bőrtónus és közepes bőrtónus, közepes bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏻‍🤝‍👩🏾	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏻‍🤝‍👩🏿	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: világos bőrtónus és sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek, világos bőrtónus
👩🏼‍🤝‍👩🏻	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen világos bőrtónus és világos bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👭🏼	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen világos bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏼‍🤝‍👩🏽	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen világos bőrtónus és közepes bőrtónus, közepes bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏼‍🤝‍👩🏾	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen világos bőrtónus és közepesen sötét bőrtónus, közepesen sötét bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏼‍🤝‍👩🏿	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen világos bőrtónus és sötét bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek
👩🏽‍🤝‍👩🏻	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepes bőrtónus és világos bőrtónus, közepes bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏽‍🤝‍👩🏼	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepes bőrtónus és közepesen világos bőrtónus, közepes bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👭🏽	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepes bőrtónus, közepes bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏽‍🤝‍👩🏾	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepes bőrtónus és közepesen sötét bőrtónus, közepes bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏽‍🤝‍👩🏿	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepes bőrtónus és sötét bőrtónus, közepes bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek
👩🏾‍🤝‍👩🏻	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen sötét bőrtónus és világos bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek, világos bőrtónus
👩🏾‍🤝‍👩🏼	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen sötét bőrtónus és közepesen világos bőrtónus, közepesen sötét bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏾‍🤝‍👩🏽	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen sötét bőrtónus és közepes bőrtónus, közepes bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👭🏾	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen sötét bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, testvérek
👩🏾‍🤝‍👩🏿	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: közepesen sötét bőrtónus és sötét bőrtónus, közepesen sötét bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek
👩🏿‍🤝‍👩🏻	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: sötét bőrtónus és világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek, világos bőrtónus
👩🏿‍🤝‍👩🏼	LGBT, LMBT, barátnők, barátok, barátság, gyerekek, húg, kislányok, kézen fogva, kézen fogva álló nők, kézen fogva álló nők: sötét bőrtónus és közepesen világos bőrtónus, közepesen világos bőrtónus, legjobb barátnők, leszbikus, lányok, nők, nővér, pár, randevú, randi, szövetség, sötét bőrtónus, testvérek
