🎺	meeshaa, muuziqaa, xurumbaa
🎻	meeshaa, muuziqaa, vaayoliinii
🪕	baanjoo, muuziqaa
🥁	dibbee, muuziqaa, ulee dibbee
🪘	kongaa, meeshaa, shubbisaa, shubbisaa dheeraa
🪇	chaa chaa, dhahannaa, marakaas, meeshaa, muuziqaa, raasaa, raasuu, shubbisa, waarii aartii
🪈	baandii, baandii hiriiraa, meeshaa, muuziqaa, nama ulullee afuufu, orkeestiraa, ulullee, waraabduu
📱	bilbila, bilbila mobaayilaa, mobaayila, telefoona, walqunnamtii
📲	bilbila, bilbila mobaayilaa xiyyaa wajjin, bilbiluu, fudhachuu, ijaaruu, moobaayila, teleefoona, walqunnamtii, xiyya
☎️	bilbila, teleefoona
📞	bilbila, fudhataa, fudhataa teleefoonaa, teleefoona, walqunnamtii
📟️	peejeerii, walqunnamtii
📠	faaksii, maashinii faaksii, walqunnamtii
🔋	baatirii
🪫	annisaa xiqqaa, baatirii, baatirii dhume, dhumate
🔌	cuqqaallaa, elektirikii, humna ibsaa
💻️	dhuunfaa, koompiitara, koompiitara laaptooppii, pc, waajjira
🖥️	koompiitara, koompiitara minjaalaa
🖨️	koompiitara, maashinii maxxansaa
⌨️	kiiboordii, kompitara
🖱️	kompitara, maawuzii kompiitaraa
🖲️	koompiitara, kubbaa agarsiiftuu
💽	diiskii, diiskii koompiitaraa, diiskii xiqqaa, koompiitara, optikaala
💾	diskii, koompiitara
💿️	cd, diskii, diskii optikaalaa, dvd, koompiitara, optikaala
📀	biluureey, cd, diskii, dvd, kompiitera
🧮	abakaasii, kaalkuleetara, shallaggii
🎥	booliwuudii, fiilmii, hooliwuudii, kaameraa, man-do’ii, waraabuu
🎞️	fiilmii, fireemii, man-do’ii
📽️	fiilmii, man-do’ii, projektara, viidiyoo
🎬️	bilbila dhooftuu, fiilmii, gabatee bilbila dhooftuu, gocha
📺️	teleevizhinii, tv, viidiyoo
📷️	instaagiraamii, kaameraa, ofii suuraa ka’uu, qarxamsuu, suuraa, viidiyoo
📸	ibsaa, kaameraa, kaameraa ibsaa qabu, suursagalee, viidiyoo
📹️	kaameraa, kaamkoordii, suursagalee, viidiyoo
📼	moofaa, teeppii, viidiyoo
🔍	barbaaduu, fuullee, fuullee guddiftuu gara bitaa akeeku, guddistuu, laabiratoorii, meeshaa, saayinsii
🔎	baafata, barbaaduu, fuullee, fuullee guddiftuu gara mirgaatti akeeku, guddisuu, laaboraatoorii, meeshaa, saayinsii
🕯️	dungoo, ifa
💡	ampuulii, elektirikii, ibsaa, qoosaa, yaada
🔦	elektirikii, ibsaa, ibsaa harkaa, meeshaa, tiriika harkaa
🏮	Jaappaan, diimaa, dungoo, dungoo waraqaa diimaa, ifa, mana dhugaatii, mana nyaataa
🪔	diyaa, ibsaa, quyyisa, zayitii
📔	barnoota, barreeffama, barruu yaadannoo, barruu yaadannoo haguuggii faayame qabu, faayame, haguuggii, kitaaba, mana barumsaa
📕	barnoota, cufaa, kitaaba
📖	asoosamoota, banaa, barnoota, beekumsa, dubbisuu, kitaaba, man kitaabaa, minaaba
📗	barnoota, dubbisuu, kitaaba, magariisa, mana kitaabaa
📘	barnoota, cuquliisa, dubbisuu, kalaqa, kitaaba, mana kitaabaa
📙	barnoota, birtukaana, dubbisuu, kitaaba, kitaaba bifa birtukaanaa, mana kitaabaa
📚️	asoosama, barnoota, beekumsa, dubbisuu, kitaaba, kitaabolee, mana barumsaa, mana kitaabaa, minaaba, qayyabachuu
📓	barruu yaadannoo
📒	barruu yaadannoo, galmee
📃	fuula, fuula maraa qabu, maruu, sanada
📜	maruu, waraqaa
📄	fuula, fuula ol garagalaa, sanada
📰	gaazexaa, oduu, walqunnamtii, waraqaa
🗞	gaazexaa, maramaa, oduu, waraqaa
📑	fuulawwan, fuulawwan olkaa’uu, mallattoo, qalama mallattoo
🔖	qabxii, toorbarruu
🏷️	moggaasa
💰️	baankii, baasii, biliyoona, boorsaa, boorsaa maallaqaa, dolaara, gatii, injifachuu, kaffalame, kaffaluu, maallaqa, maallaqa baasuu, maallaqa callaa, miliyoona, qodaa warqee, qumaara, sooressa
🪙	Maallaqa, Saantima, Sooressaa, Warqee, yuuroo
💴	baankii, kaffaltii, maallaqa, yeen
💵	baankii, dolaara, jijjiirraa maallaqaa, kaffaltii, maallaqa
💶	100, baankii, maallaqa, nagahee, sharafa, sooressa, yuuroo
💷	baankii, biliyoona, maallaqa, maallaqa callaa, nagahee, paawundii, sharafa
💸	baankii, balali’uu, biliyoona, dolaara, kaffaluu, maallaqa, maallaqa callaa, maallaqa qochoo qabu, nagahee, qochoo
💳️	baankii, kaardii, kaardii liqii, kaffalchiisi, kaffalchiisuu, kaffaluu, liqaa, maallaqa, maallaqa callaa
🧾	nagahee, qabiinsa herreegaa, ragaa, unkaa kaffaltii
💹	baankii, chaartii, chaartii yeen wajjin dabalaa deemu, dabaluu, gabaa, gara olii, giraafii, guddachuu, maallaqa, ol ka’uu, sharafa, yeen
✉️	iimeelii, poostaa, xalayaa
📧	ergaa, iimeelii, xalayaa
📨	dhufaa jira, ergame, fudhachuu, iimeelii, poostaa, poostaa dhufaa jiru, qaqqabsiisuu, xalayaa
📩	ergame, erguu, gadi, iimeelii, poostaa, poostaa xiyya qabu, walqunnamtii, xalayaa, xiyya
📤️	ergame, iimeelii, saanduqa, saanduqa ala, xalayaa
📥️	fudhachuu, iimeelii, saanduqa, saanduqa keessa, xalayaaa
📦️	fe’umsa, geejjibuu, qaqqabsiisuu, qarqaba, saanduqa, walqunnamtii
📫️	cufaa, ergannoo, quunnamtii, sanduuqa ergannoo cufaa alaabaa olqabame waliin, sanduuqa poostaa
📪️	cufaa, ergaa, gadi buufame, saanduqa ergaa, saanduqa poostaa, saanduqa poostaa cufaa kan alaabaa gadi bu’e qabu
📬️	banaa, saanduqa ergaa, saanduqa ergaa banaa alaabaa ol kaafame, saanduqa poostaa, xalayaa
📭️	banaa, gadi bu’e, saanduqa ergaa, saanduqa ergaa banaa alaabaa gadi bu’e waliin, saanduqa poostaa, xalayaa
📮	saanduqa ergaa, saanduqa poostaa, xalayaa
🗳️	filannoo, saanduqa, saanduqa filannoo sagalee waliin
✏️	irsaasii
✒️	kobbee
🖋️	burqaa, kobbee
🖊️	kobbee, qalama
🖌️	fakkii kaasuu
🖍️	qalama
📝	miidiyaa, qubeessaa, walqunnamtii, yaadannoo, yaadannoowwan
💼	boorsaa, waajjira
📁	faayila, fooldera, fooldera faayilaa
📂	bani, faayila, fooldera, fooldera faayilaa bani
🗂️	indeeksii, kaardii, qoqqoodduu
📅	dhaha baraa, guyyaa
📆	kalaandarii, kalaandarii cicciruu
🗒️	barruu yaadannoo maraa, yaadannoo
🗓️	kalaandarii
📇	indeeksii, kaardii, kan durii
📈	akeeka, daataa, gabatee, giraafii, ol, olii fi gara mirgaatti, taattoo, taattoo dabalaa jiru
📉	adeemsa, buusuu, chaartii, chaartii hir’achaa dhufe, daataa, gadi bu’aa, giraafii, negaatiivii
📊	baar chaartii, baarii, chaartii, giraafii
📋️	gabatee qabsiisaa, tarree hojiiwwan hojjetaman, yaadannoo
📌	ispiilii, qabsiiftuu
📍	argama, kaartaa, qabsiistuu
📎	walqabsiistuu
🖇️	geessituu, walqabsiiftuu waraqaa
📏	herreega, kofa, roga qajeelaa, sarartuu, sarartuu qajeelaa
📐	herreega, kofa, rog-sadee, sarartuu, sirreessuu
✂️	kutuu, meeshaa, muruu, qaxxaamurree, waraqaa
🗃️	faayila, kaardii, saanduqa, saanduqa faayilii kaardii
🗄️	faayila, faayila uumuu, teessoo faayilaa, teessoo meeshaa
🗑️	kuusaa kosii
🔒️	cufaa, dhuunfaa, hidhame, hidhuu
🔓️	banaa, banuu, cabe, cufuu
🔏	furtuun cufuu, kobbee, nageenya, qalama, qalamaan cufame
🔐	amansiisaa, cufame, furtuu, furtuudhaan cufame, hidhaa biskileettii, hidhame, hidhuu
🔑	banuu, furtuu, furtuu guddaa, furtuuwwan, hidhuu, jecha darbii
🗝️	cufuu, furtuu, moofaa, ragaa xiqqoo
🔨	burruusa, mana fooyyessuu, meeshaa, suphaa
🪓	baqaqsuu, kutuu, qoraan, qottoo
⛏️	albuuda baasuu, burruusa, meeshaa, qotuu
⚒️	burruusa, burruusa fi qabduu, meeshaa, qabduu
🛠️	burruusa, burruusa fi hiiktuu, hiiktuu, meeshaa
🗡️	albee, cuubee, goraadee, meeshaa waraanaa
⚔️	meeshaa waraanaa, sootala, walqaxxaamuraa
💣️	balaafamaa, boombii, dhohiinsa, dhuka’uu, ho’a, qoosaa
🪃	Boomerang, Dhalatoota, meeshaa waraanaa
🏹	futtaasaa, futtaasaa fi xiyya, meeshaa, meeshaa waraanaa, xiyya
🛡️	gaachana, meeshaa waraanaa
🪚	Meesha, Nyaata Muraa, irraa qeexxa’uu, kutuu
🔧	furtuu, hiituu, mana fooyyeessuu, meeshaa
🪛	mata-diriiraa, meeshaa, mijataa
🔩	booltii, booltii fi naatii, mana fooyyessuu, meeshaa, naatii
⚙️	maarshii, meeshaa
🗜️	meeshaa, walitti dhiibuu, walqabsiiftuu
⚖️	gulantaa, gulantaa madaallii, haqa, madaala, meeshaa, ulfaatina
🦯	jaamaa, qaqqabinsa, qaroo dhabaa, ulee sakattaatuu
🔗	geessituu, hidhaa
⛓️	cancala, cancaloota
🪝	Okkoo
🧰	laphee, makaanikii, meeshaa, saanduqa, saanduqa diimaa
🧲	boca u, harkisa, kottee fardaa, maagineettawaa, maagineettii, pozaatiivii negaativii
🪜	Tarkaanfii Yaabbannoo, Yaabbannoo, yaabuu
⚗️	keemistirii, meeshaa
🧪	keemistii, keemistirii, laaboraatoorii, saayinsii, ujummoo yaalii, yaalii
🧫	baakteeriyaa, baayoloojii, baayoloojistii, guddisuu, laaboraatoorii
🧬	baayoloojistii, dhaal-maya, dna, jijjiirama tirannaa, jireenya, qaccee
🔬	laabiraatoorii, meeshaa, saayinsii, shifargaa, yaalii
🔭	meeshaa, quunnamuu, saayinsii, teleskooppii
📡	alagaa, anteenaa, diishii, quunnamtii, saayinsii, satalaayitii
💉	dhukkubsachuu, doktora, lilmoo, lilmoo waraannachuu, talaallii, wal’aansa
🩸	arjooma dhiigaa, coba dhiigaa, dhiiguu, marsaa laguu, miidhaa, wal’aansa, xurii
💊	dhukkubsataa, doktora, kiniinii, qorichoota, vaayitaamiinii, yaalame
🩹	hidhaa, hiituu maxxanfamtuu
🩼	gargaarsa, miidhame, uggurame
🩺	dooktora, hakiima, isteetoskooppii, onnee, wal’aansa
🩻	carallaa aduu, lafee, lafeewwan, qadaada sammuu
🚪	balbala, balbala duubaa, balbala fuulduraa, gorduuba, saanduqa uffataa
🛗	liftii
🪞	calaqqisiisa, daawwitii, meeshaa miidhaginaa
🪟	Foddaa
🛏️	ciisuu, hoteela, siree
🛋️	hoteela, ibsaa, soofaa, soofaa fi ibsaa
🪑	barcuma, teessoo
🚽	mana dhiqannaa, mana fincaanii
🪠	hartuu, haxaa’uu, haxooftuu, qulqulleessuu
🚿	bishaan, dhagna dhiqannaa
🛁	dhagna dhiqachuu, gabatee dhiqannaa
🪤	baaduu, kiyyoo, qamaaxura, sossobuu
🪒	haadduu areedaa, qara, qarabaa
🧴	aduu ittistuu, dibata, jiistuu, qaruuraa dibataa, shaampoo
🧷	qabduu ittisaa
🧹	falfala, hartuu, haxaa’uu, qulqulleessuu
🧺	miiccaa, qotuu, shaalii, shirrishirrii
🧻	fooxaa waraqaa, maraa waraqaa, waraqaa fincaanii
🪣	baaldii, shenkelloo
🧼	danqaruu, dhiqachuu, hoomacha, qulqulleessuu, qulqulluu, saamunaa
🫧	afuuffee, bololi’uu, hoomacha, saamunaa
🪥	qulqulleessuu, rigaa, rigaa ilkaanii
🧽	cuuphuu, ispoonjii, qulqulleessuu, u’urataa, xuuxuu
🧯	dhaamsuu, ibidda, ibidda dhaamsituu
🛒	bittaa, gaarii
🚬	tamboo, tamboo aarsuu, xuuxuu
⚰️	du’a, du’aa, saanduqa reeffaa, vaampaayerii
🪦	awwaalcha, dhagaa awwaalchaa, du’aa, nagaan boqodhu, yaadannoo
⚱️	awwaalcha, du’a
🧿	ajaa’ibsiisaa, callee, cuquliisa, faaya, ija hamaa, kudhaama
🪬	barruu harkaa, eegumsa, qabeenya, qajeelfama
🗿	fuula, fuula dhagaa, imala, siidaa
🪧	hubachiisa, kaardii, mallattoo
🪪	eenyummeessaa, heeyyama, ragaa, sanada
🏧	atm, baankii, battalumatti kan hojjetu, maallaqa, maallaqa callaa, mallatoo ATM, ofumaan kan hojjetu
🚮	kosii, kuusaa kosii, mallattoo kosii kuusaa keessaa
🚰	bishaan, bishaan dhugaatii, dhuguu, kan dhugamu
♿️	argannaa, barcuma qaama miidhamaa, mallattoo wiilcherii, qaama miidhamaa, wiilcherii
🚹️	dhiira, kutaa dhiirotaa, mana fincaanii
🚺️	dubartii, kutaa dubartootaa, mana fincaanii
🚻	mana fincaanii
🚼️	daa’ima, jijjiiramuu, mallattoo daa’imaa
🚾	bishaan, kuusaa, kuusaa bishaanii, mana fincaanii
🛂	paaspoortii, to’annoo
🛃	gumuruka, saamsuu
🛄	boorsaa, fudhachuu, gahe, imala, qophaa’aa, saamsuu, sakatta’ame, xiyyaara
🛅	boorsaa, boorsaa bitaa, furtuu
⚠️	akeekkachiisa, of eeggannoo
🚸	ijoollee, ijoollee qaxxaamuraa jiran, nama miilaan deemu, qaxxaamuruu, tiraafika
⛔️	dhorkaa, dhorkamaa, hin darbiin, kufaatii, lakki, seenuun hin danda’amu, tiraafika
🚫	dhorkaa, dhorkamaa, lakki, seensa, xuuxuu
🚳	biskileettii, biskileettiin dhorkaadha, dhorkaa, lakki, miti
🚭️	dhoowwaa, dhorkaa, dhorkamaa, lakki, miti, tamboo aarsuu, tamboo xuuxuu, tamboo xuuxuun dhorkaadha
🚯	dhorkaadha, dhorkamaa, kosii, kosii gatuun dhorkaadha, lakki, miti
🚱	bishaan, bishaan dhugaatiif hin taane, dhorkaa, gogaa, kan hin dhugamne, kan hin dhugne
🚷	dhorkamaa, dhorkame, lakki, miilaan deemuun hin ta’u, miti, nama miilllan deemu
📵	bilbila, bilbilli mobaayilaa dhorkaadha, dhorkaa, lakki, miti, mobaayila, teleefoona
🔞	18, dhorkaa, dhorkamaa, kudha saddeet, lakki, miti, namni kudha saddeet gadi hin jiru, umrii hin geenye, umurii daangessuu
☢️	mallattoo, raadiyoo-aktiivii
☣️	balaa lubbu qabeeyyiin dhufu, mallattoo
⬆️	bu’uura, kaaba, kallattii, xiyya, xiyya olii
↗️	kaaba bahaa, kallattii, xiyya, xiyya ol gara mirgaa
➡️	baha, kallattii, xiyya, xiyya mirgaa
↘️	kallattii, kibba bahaa, xiyya, xiyya gadi-mirgaa
⬇️	bu’uura, gadi, kallattii, kibba, xiyya, xiyya gadii
↙️	kallattii, kibba dhihaa, kibba lixaa, xiyya, xiyya gadi-bitaa
⬅️	bu’uura, dhiha, kallattii, lixa, xiyya, xiyya bitaa
↖️	kaaba dhihaa, kallattii, xiyya, xiyya ol-bitaa
↕️	xiyya, xiyya gubbaa-gajjallaa
↔️	xiyya, xiyyaa bita-mirgaa
↩️	xiyya, xiyya mirgaa gara bitaatti naanna’u
↪️	xiyya, xiyyaa bitaa gara mirgaatti naanna’u
⤴️	xiyya, xiyya mirgaa ol naanna’u
⤵️	gadi, xiyya, xiyya mirgaa gadi naanna’u
🔃	haaromsuu, irra deebiin fe’uu, kallattii sa’aatii, xiyya, xiyyoota olee kallattii sa’aatii
🔄	alkallattii sa’aatii, ammas, duubatti deebisuu, haaromsuu, qabduu xiyyoota alkallattii sa’aatii, xiyya
🔙	duuba, xiyya, xiyya DUUBAA
🔚	xiyya, xiyya XUMURAA, xumura
🔛	BANI!, IBSI!, mallattoo, xiyya
🔜	xiyya, xiyyaa YEROO DHIHOOTTI, yeroo dhihootti
🔝	gararraa, gubbaa, qe’ee, xiyya
🛐	amantaa, iddoo waaqeffannaa, kadhachuu, waaqessuu
⚛️	atoomii, mallattoo atoomii, nama amantii hin qabne
🕉️	Hinduu, amantii, om
✡️	Yihudoota, amantii, daawwit, judiizimii, urjii
☸️	amantaa, hordofaa amantaa budiiziimii, korboo
☯️	amantaa, dimshaasha, lamaanuu miti, lubbuuwwan, rakkisaa
✝️	amantaa, fannoo, fannoo laatinii, kiristaana, kiristoos
☦️	amantii, fannoo, fannoo ortodoksii, kiristaana
☪️	Musliima, amantii, islaama, ramadaana, urjii fi ji’a
☮️	fayyina, mallattoo nagaa, nagaa, nagaa qabeessa
🕎	amantaa, baattuu dungoo, yihudaa, yuudiziimii
🔯	amantii yihudii, carraa, urjii, urjii tuqaa jaha, yihudii
🪯	Kahaandaa, amantaa, amantii
♈️	horoskooppii, zodiyaakii
♉️	horoskooppii, jibicha, qotiyyoo, zodiyaakii
♊️	horooskooppii, lakkuu, zodiyaakii
♋️	Kaansarii, horooskooppii, torbaan-qabaa, zodiyaakii
♌️	Liyoo, horoskooppii, leenca, zodiyaakii
♍️	horooskooppii, zodiyaakii
♎️	haqa, horoskooppii, madaala, madaaluu, zodiyaakii
♏️	horoskooppii, qaajjibbuu, zodiyaakii
♐️	Saagiitaariyoos, horooskooppii, nama xiyyaa darbatu, zodiyaak
♑️	horooskooppii, kaapiriikoornii, re’ee, zodiyaakii
♒️	akuwaareesii, bishaan, horooskooppii, zodiyaak
♓️	horooskooppii, qurxummii, zodiyaak
⛎️	baataa, bofa, ofiiyukas, zoodiyaak
🔀	walqaxxaamure, xiyya
🔁	irra deebi’uu, kallattii sa’aatii, qabduu irra deebii, xiyya
🔂	altokko, kallattii sa’aatiin, qabduu qeenxee lama, xiyya
▶	mirga, qabduu ittiin taphachiifamu, rog-sadee, taphachiisuu, xiyya
⏩	dachaa, fuuldura, qabduu saffisa fuulduraa, saffisa, xiyya
⏭	kutaa itti aanu, qabduu weelluu itti aanu, rog-sadee, weelluu itti aanu, xiyya
⏯	dhaabuu, mirga, qabduu taphachiisu ykn dhaabu, rog-sadee, taphachiisuu, xiyya
◀	bitaa, duuba deebisuu, qabduu duubatti deebisu, rog-sadee, xiyya
⏪	dachaa, duubatti deebisuu, qabduu saffisaan duubatti deebisuu, xiyya
⏮	kutaa darbe, qabduu weelluu dhumaa, rog-sadee, weelluu darbe, xiyya
🔼	diimaa, qabduu, qabduu ol, xiyya
⏫	dachaa, qabduu saffisaan ol kaasu, xiyya
🔽	diimaa, gadi, qabduu, qabduu gadii, xiyya
⏬	dachaa, gadi, xiyya
⏸️	dachaa, dhaabi, qabduu ittiin dhaaban
⏹️	dhaabuu, qabduu dhaabuu, rog-arfee
⏺️	geengoo, qabduu waraabbii, waraabuu
🎦	fiilmii, kaameraa, man-do’ii
🔅	dimimmisa, gadi bu’aa, ifa, qabduu dimimmisaa
🔆	ifa, ifaa, qabduu ifaa
📶	agarsiiftuu, anteenaa, bilbila, mobaayila, neetiwoorkii, telefoona, walqunnamtii
🛜	bilbila ismaartii, biroodbaandii, hootispootii, interneetii, koompiitara, neetworkii, raawutara, walitti hidhaminsa, wayaa malee, wifi, wlan
📳	haalata, haalata kirkirsaa, haasawaa, kirkirsa, moobaayila, telefoona
📴	bilbila, bilbila mobaayilaa cufuu, cufuu, mobaayila, teleefoona
✖️	baay’isi, baay’isuu, x
➕️	herreega, ida’uu, mallattoo ulfaataa ida’uu
➖️	herreega, hir’isuu, mallattoo hir’isuu ulfaataa
➗️	herreega, mallattoo hiruu ulfaataa, qooduu
🟰	deebii, qixa, walqixa, walqixxummaa
‼️	mallattoo, mallattoo raajeffannoo dachaa, raajeffannoo, sirna tuqaalee
⁉️	gaaffii, mallattoo, mallattoo raajeffanno-gaaffii, raajeffannoo, sirna tuqaalee
❓️	?, gaaffii, mallattoo, sirna tuqaalee
❔️	?, gaaffii, mallattoo gaaffii, mallattoo gaaffii adii, sirna tuqaalee
❕️	!, caqasameera, mallattoo, mallattoo raajeffannoo adii, raajeffannoo, sirna tuqaalee
❗️	!, mallattoo, raajeffannoo, sirna tuqaalee
〰️	jajallataa, sarara dheeraa, sarara dheeraa jajallataa, sirna tuqaalee
💱	baankii, jijjiirraa, jijjiirraa maallaqaa, maallaqa
💲	biliyoona, dolaara, kaffaltii, kaffaluu, maallaqa, maallaqa callaa, mallattoo doolaaraa ulfaataa, miliyoona, qarshii
⚕️	faarmaasii, mana qorichaa, qoricha
♻️	deebisanii fayyadamuu, mallattoo deebisanii fayyadamuu
⚜	abbootii lafaa
🔱	asxaa, doonii, meeshaa, sibiila doonii
📛	baajii, maqaa
🔰	baala, jalqabaa, kan Jaappaan, keelloo, magariisa, mallattoo Jaappaan jalqabaaf, meeshaa
⭕️	geengoo, geengoo guddaa furdaa, o
✅️	filuu, guutuu, mallatoo sakatta’insaa, raawwatame, sakatta’ame, sakatta’uu, sirreeffame, xumurame
☑️	filannoo, mallattoo itti godhuu, raawwatameera, saanduqa, sakatta’ameera, sakatta’uu
✔️	fili, raawwatame, sakatta’ame, sakatta’uu
❌️	baay’isi, baay’isuu, x
❎️	baay’isi, baay’isuu, qabduu mallattoo qaxxaamuraa, x
➰️	furgaasaa, maraa
➿️	dachaa, furgaasaa, furgaasaa dachaa marame, maraa
〽️	kutaa, mallattoo, mallattoo jijjiirraa kutaa
✳️	urjii, urjii qara saddeet
✴️	urjii, urjii qara saddeet
❇️	calaqqisa
©️	mirga wabii, mirga waraabbii
®️	galmaa’e
™️	mallattoo, mallattoo daldalaa, tm
🔠	ABCD, galchuu, laatinii, qubee gurguddaa, qubee laatinii gurguddaa galchi, qubeewwan
🔡	abcd, galtee, laatinii, qubee laatinii xiqqaa galchi, qubee xiqqaa, qubeewwan
🔢	1234, galchuu, lakkoofsota
🔣	galtee, mallattoolee galtee, 〒♪&%
🔤	abc, galtee, laatinii, qubeewwan, qubeewwan laatinii galchi, tartiiba qubee
🅰️	A, a, gosa dhiigaa, qabduu
🆎	ab, gosa dhiigaa, qabduu
🅱️	b, gosa dhiigaa, qabduu
🆑	cl, qabduu
🆒	qabbanaa’aa, qabduu
🆓	bilisa, qabduu, qabduu BILISAA
ℹ️	i, odeeffannoo
🆔	eenyummaa, eenyummeessaa, qabduu
Ⓜ️	M itti marfame, geengoo, m
🆕	haaraa, qabduu
🆖	ng, qabduu
🅾️	gosa dhiigaa, o, qabduu
🆗	TOLE, qabduu, qabduu TOLEE, tole
🅿️	dhaabbii konkolaataa, p, qabduu
🆘	gargaaruu, qabduu, sos
🆙	OL!, ol, qabduu
🆚	qabduu, qabduu VS
🈁	"as", Jaappaan, katakaanaa, qabduu "as" Jaappaan, ココ
🈂️	Jaappaan, Kataakaanaa, qabduu “kaffaltii tajaajilaa” Jaappaan, “kaffaltii tajaajilaa”, サ
🈷	Jaappaan, hanga ji’aa, idiyeegiraafii, qabduu “hanga ji’aan” Jaappaan, 月
🈶	Jaappaan, idiyeegiraafii, kaffaltii malee miti, qabduu “kaffaltii malee miti” Jaappaan, 有
🈯	Jaappaan, idiyeegiraafii, qabduu “qabamaa” Jaappaan, “qabamaa”, 指
🉐	Jaappaan, idiyeegiraafii, qabduu “bittaa gaarii” Jaappaan, “bittaa gaarii”, 得
🈹	Jaappaan, idiyeegiraafii, qabduu “gatii gadi bu’aa” Jaappaan, “gatii gadi bu’aa”, 割
🈚	"baasiirraa bilisa", Afaan Jaappaan, ayidiyoogiraafii, qabduu "baasiirraa bilisa" kan Jaappaan, 無
🈲	Jaappaan, adiyoogiraafii, dhorkaa, qabduu “dhorkaa” Jaappaan
🉑	Jaappaan, idiyeegiraafii, qabduu “fudhatamaa” Jaappaan, “fudhatamaa”, 可
🈸	Jaappaan, idiyeegiraafii, qabduu “iyyannoo” Jaappaan, “iyyannoo”, 申
🈴	adiyoogiraafii, kan Jaappaan, qabduu “qabxii darbiinsaa” Jaappaan, qabxii darbiinsaa
🈳	adiyoogiraafii, kan Jaappaanii, qabduu “bakka duwwaa” Jaappaan, “bakka duwwaa”
㊗️	"Baga gammaddan", Jaappaan, idiyeegiraafii, qabduu "Baga gammaddan" Jaappaan, 祝
㊙️	"icciitii", Afaan Jaappaan, Qabduu ‘‘icciitii" Afaan Jaappaan, ayidiyoogiraafii, 秘
🈺	Jaappaan, daldalaaf banaa, idiyeegiraafii, qabduu “daldalaaf banaa” Jaappaan, 営
🈵	adiyoogiraafii, bakki duwwaa hin jiru, kan Jaappaan, qabduu Jaappaan “bakka duwwaa hin qabu” jedhu
🔴	diimaa, geengoo, ji’oomeetirii
🟠	birtukaana’aa, geengoo
🟡	geengoo, keelloo
🟢	geengoo, magariisa
🔵	cuquliisa, geengoo, ji’oomeetirii
🟣	dhiilgee, geengoo
🟤	daammii, geengoo
⚫️	geengoo, geengoo gurraacha, ji’oomeetirii
⚪️	geengoo, geengoo adii, ji’oomeetirii
🟥	diimaa, rog-arfee
🟧	birtukaana’aa, rog-arfee
🟨	keelloo, rog-arfee
🟩	magariisa, rog-arfee
🟦	cuquliisa, rog-afree
🟪	dhiilgee, rog-afree
🟫	Iskuweerii, bunni
⬛️	iskuweerii, ji’oomeetirii, rog-arfee, rog-arfee gurraacha guddaa
⬜️	ji’oomeetirii, rog-arfee, rog-arfee guddaa adii
◼️	ji’oomeetirii, rog-arfee, rog-arfee gurraacha giddugaleessa
◻️	ji’oomeetirii, rog-arfee, rog-arfee adii giddugaleessa
◾️	ji’omeetirii, rog-afree, rog-afree giddugaleessa-xiqqaa gurraach
◽️	ji’oomeetirii, rog-arfee
▪️	ji’oomeetirii, rog-arfee, rog-arfee gurraacha xiqqaa
▫️	iskuweerii, ji’oomeetirii, rog-arfee, rog-arfee adii xiqqaa
🔶	burtukaana, diyaamandii, diyaamandii burtukaana’aa guddaa, ji’oomeetirii
🔷	cuquliisa, daayimandii, daayimandii cuquliisa guddaa, ji’oomeetirii
🔸	burtukaana, diyaamandii, diyaamandii burtukaana’aa xiqqaa, ji’oomeetirii
🔹	cuquliisa, daayimandii, diyaamandii, diyaamandii cuquliisa xiqqaa, ji’oomeetirii
🔺	diimaa, ji’oomeetirii, rog-sadee diimaa ol agarsiisu
🔻	diimaa, gadi, ji’oomeetirii, rog-sadee diimaa gadi garagale
💠	daayimandii, daayimandii tuqaa qabu, ji’oomeetirii, keessa, qoosaa
🔘	ji’oomeetirii, qabduu, raadiyoo
🔳	ji’oomeetirii, qabduu, qabduu rog-arfee adii, rog-arfee
🔲	ji’oomeetirii, qabduu, qabduu rog-arfee gurraacha, rog-arfee
🏁	alaabaa, alaabaa cheekerdii, dorgommii, dorgomuu, ispoortii, mo’uu, tapha, xumura
🚩	alaabaa, alaabaa rog-sadee, goolfii, ijaarsa, utubaa
🎌	Jaappaan, alaabaawwan walqaxxaamuran, qaxxaamura, walqaxxaamure
🏴	alaabaa gurraacha, raasuu
🏳️	alaabaa adii, raasuu
🏳‍🌈	boonuu, dhalaa fi dhalaa, dhiiraa fi dhiira, dubartii fi dubartii, maatii, namichaa fi namicha, sabbata waaqaa
₡	Koloonii Kostaa Rikaa
