‾	trait suscrit
👫🏻	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau claire, homme, homme et femme se donnant la main, main dans la main, peau claire, petit ami, petite amie, rendez-vous
👩🏻‍🤝‍👨🏼	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau claire et peau moyennement claire, homme, homme et femme se donnant la main, main dans la main, peau claire, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏻‍🤝‍👨🏽	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau claire et peau légèrement mate, homme, homme et femme se donnant la main, main dans la main, peau claire, peau légèrement mate, petit ami, petite amie, rendez-vous
👩🏻‍🤝‍👨🏾	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau claire et peau mate, homme, homme et femme se donnant la main, main dans la main, peau claire, peau mate, petit ami, petite amie, rendez-vous
👩🏻‍🤝‍👨🏿	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau claire et peau foncée, homme, homme et femme se donnant la main, main dans la main, peau claire, peau foncée, petit ami, petite amie, rendez-vous
👩🏼‍🤝‍👨🏻	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau moyennement claire et peau claire, homme, homme et femme se donnant la main, main dans la main, peau claire, peau moyennement claire, petit ami, petite amie, rendez-vous
👫🏼	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau moyennement claire, homme, homme et femme se donnant la main, main dans la main, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏼‍🤝‍👨🏽	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau moyennement claire et peau légèrement mate, homme, homme et femme se donnant la main, main dans la main, peau légèrement mate, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏼‍🤝‍👨🏾	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau moyennement claire et peau mate, homme, homme et femme se donnant la main, main dans la main, peau mate, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏼‍🤝‍👨🏿	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau moyennement claire et peau foncée, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏽‍🤝‍👨🏻	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau légèrement mate et peau claire, homme, homme et femme se donnant la main, main dans la main, peau claire, peau légèrement mate, petit ami, petite amie, rendez-vous
👩🏽‍🤝‍👨🏼	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau légèrement mate et peau moyennement claire, homme, homme et femme se donnant la main, main dans la main, peau légèrement mate, peau moyennement claire, petit ami, petite amie, rendez-vous
👫🏽	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau légèrement mate, homme, homme et femme se donnant la main, main dans la main, peau légèrement mate, petit ami, petite amie, rendez-vous
👩🏽‍🤝‍👨🏾	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau légèrement mate et peau mate, homme, homme et femme se donnant la main, main dans la main, peau légèrement mate, peau mate, petit ami, petite amie, rendez-vous
👩🏽‍🤝‍👨🏿	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau légèrement mate et peau foncée, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau légèrement mate, petit ami, petite amie, rendez-vous
👩🏾‍🤝‍👨🏻	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau mate et peau claire, homme, homme et femme se donnant la main, main dans la main, peau claire, peau mate, petit ami, petite amie, rendez-vous
👩🏾‍🤝‍👨🏼	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau mate et peau moyennement claire, homme, homme et femme se donnant la main, main dans la main, peau mate, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏾‍🤝‍👨🏽	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau mate et peau légèrement mate, homme, homme et femme se donnant la main, main dans la main, peau légèrement mate, peau mate, petit ami, petite amie, rendez-vous
👫🏾	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau mate, homme, homme et femme se donnant la main, main dans la main, peau mate, petit ami, petite amie, rendez-vous
👩🏾‍🤝‍👨🏿	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau mate et peau foncée, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau mate, petit ami, petite amie, rendez-vous
👩🏿‍🤝‍👨🏻	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau foncée et peau claire, homme, homme et femme se donnant la main, main dans la main, peau claire, peau foncée, petit ami, petite amie, rendez-vous
👩🏿‍🤝‍👨🏼	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau foncée et peau moyennement claire, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau moyennement claire, petit ami, petite amie, rendez-vous
👩🏿‍🤝‍👨🏽	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau foncée et peau légèrement mate, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau légèrement mate, petit ami, petite amie, rendez-vous
👩🏿‍🤝‍👨🏾	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau foncée et peau mate, homme, homme et femme se donnant la main, main dans la main, peau foncée, peau mate, petit ami, petite amie, rendez-vous
👫🏿	amis, amoureux, couple, femme, femme et homme se tenant la main, femme et homme se tenant la main : peau foncée, homme, homme et femme se donnant la main, main dans la main, peau foncée, petit ami, petite amie, rendez-vous
👬	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, petit ami, rendez-vous, zodiaque
👬🏻	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, petit ami, rendez-vous, zodiaque
👨🏻‍🤝‍👨🏼	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau claire et peau moyennement claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏻‍🤝‍👨🏽	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau claire et peau légèrement mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau légèrement mate, petit ami, rendez-vous, zodiaque
👨🏻‍🤝‍👨🏾	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau claire et peau mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau mate, petit ami, rendez-vous, zodiaque
👨🏻‍🤝‍👨🏿	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau claire et peau foncée, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau foncée, petit ami, rendez-vous, zodiaque
👨🏼‍🤝‍👨🏻	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau moyennement claire et peau claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau moyennement claire, petit ami, rendez-vous, zodiaque
👬🏼	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau moyennement claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏼‍🤝‍👨🏽	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau moyennement claire et peau légèrement mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau légèrement mate, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏼‍🤝‍👨🏾	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau moyennement claire et peau mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau mate, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏼‍🤝‍👨🏿	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau moyennement claire et peau foncée, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏽‍🤝‍👨🏻	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau légèrement mate et peau claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau légèrement mate, petit ami, rendez-vous, zodiaque
👨🏽‍🤝‍👨🏼	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau légèrement mate et peau moyennement claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau légèrement mate, peau moyennement claire, petit ami, rendez-vous, zodiaque
👬🏽	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau légèrement mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau légèrement mate, petit ami, rendez-vous, zodiaque
👨🏽‍🤝‍👨🏾	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau légèrement mate et peau mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau légèrement mate, peau mate, petit ami, rendez-vous, zodiaque
👨🏽‍🤝‍👨🏿	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau légèrement mate et peau foncée, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau légèrement mate, petit ami, rendez-vous, zodiaque
👨🏾‍🤝‍👨🏻	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau mate et peau claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau mate, petit ami, rendez-vous, zodiaque
👨🏾‍🤝‍👨🏼	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau mate et peau moyennement claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau mate, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏾‍🤝‍👨🏽	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau mate et peau légèrement mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau légèrement mate, peau mate, petit ami, rendez-vous, zodiaque
👬🏾	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau mate, petit ami, rendez-vous, zodiaque
👨🏾‍🤝‍👨🏿	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau mate et peau foncée, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau mate, petit ami, rendez-vous, zodiaque
👨🏿‍🤝‍👨🏻	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau foncée et peau claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau claire, peau foncée, petit ami, rendez-vous, zodiaque
👨🏿‍🤝‍👨🏼	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau foncée et peau moyennement claire, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau moyennement claire, petit ami, rendez-vous, zodiaque
👨🏿‍🤝‍👨🏽	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau foncée et peau légèrement mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau légèrement mate, petit ami, rendez-vous, zodiaque
👨🏿‍🤝‍👨🏾	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau foncée et peau mate, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, peau mate, petit ami, rendez-vous, zodiaque
👬🏿	Gémeaux, LGBT, amis, amitié, amoureux, couple, deux hommes se donnant la main, deux hommes se tenant la main, deux hommes se tenant la main : peau foncée, fils, frères, gay, hommes, homosexuels, jumeaux, main dans la main, meilleurs amis, peau foncée, petit ami, rendez-vous, zodiaque
💏	amour, anniversaire, baiser, bisou, couple, femme, homme
💏🏻	amour, anniversaire, baiser, bisou, bisou : peau claire, couple, femme, homme, peau claire
💏🏼	amour, anniversaire, baiser, bisou, bisou : peau moyennement claire, couple, femme, homme, peau moyennement claire
💏🏽	amour, anniversaire, baiser, bisou, bisou : peau légèrement mate, couple, femme, homme, peau légèrement mate
💏🏾	amour, anniversaire, baiser, bisou, bisou : peau mate, couple, femme, homme, peau mate
💏🏿	amour, anniversaire, baiser, bisou, bisou : peau foncée, couple, femme, homme, peau foncée
👩‍❤‍💋‍👨	amour, anniversaire, baiser, bisou, bisou : femme et homme, couple, femme, homme
👨‍❤‍💋‍👨	amour, anniversaire, baiser, bisou, bisou : homme et homme, couple, femme, homme
👩‍❤‍💋‍👩	amour, anniversaire, baiser, bisou, bisou : femme et femme, couple, femme, homme
💑	amour, anniversaire, couple, couple avec cœur, cœur, femme, homme, rendez-vous
💑🏻	amour, anniversaire, couple, couple avec cœur, couple avec cœur : peau claire, cœur, femme, homme, peau claire, rendez-vous
💑🏼	amour, anniversaire, couple, couple avec cœur, couple avec cœur : peau moyennement claire, cœur, femme, homme, peau moyennement claire, rendez-vous
💑🏽	amour, anniversaire, couple, couple avec cœur, couple avec cœur : peau légèrement mate, cœur, femme, homme, peau légèrement mate, rendez-vous
💑🏾	amour, anniversaire, couple, couple avec cœur, couple avec cœur : peau mate, cœur, femme, homme, peau mate, rendez-vous
💑🏿	amour, anniversaire, couple, couple avec cœur, couple avec cœur : peau foncée, cœur, femme, homme, peau foncée, rendez-vous
👩‍❤‍👨	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme et homme, cœur, femme, homme, rendez-vous
👨‍❤‍👨	amour, anniversaire, couple, couple avec cœur, couple avec cœur : homme et homme, cœur, femme, homme, rendez-vous
👩‍❤‍👩	amour, anniversaire, couple, couple avec cœur, couple avec cœur : femme et femme, cœur, femme, homme, rendez-vous
👨‍👩‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, femme et garçon, femme, fils, garçon, homme, mère, père
👨‍👩‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme, femme et fille, femme, fille, fils, garçon, homme, mère, père
👨‍👩‍👧‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, femme, fille et garçon, femme, fille, fils, garçon, homme, mère, père
👨‍👩‍👦‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, femme, garçon et garçon, femme, fils, garçon, homme, mère, père
👨‍👩‍👧‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme, femme, fille et fille, femme, fille, fils, garçon, homme, mère, père
👨‍👨‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, homme et garçon, femme, fils, garçon, homme, mère, père
👨‍👨‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme, homme et fille, femme, fille, fils, garçon, homme, mère, père
👨‍👨‍👧‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, homme, fille et garçon, femme, fille, fils, garçon, homme, mère, père
👨‍👨‍👦‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, homme, garçon et garçon, femme, fils, garçon, homme, mère, père
👨‍👨‍👧‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme, homme, fille et fille, femme, fille, fils, garçon, homme, mère, père
👩‍👩‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme, femme et garçon, femme, fils, garçon, homme, mère, père
👩‍👩‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : femme, femme et fille, femme, fille, fils, garçon, homme, mère, père
👩‍👩‍👧‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme, femme, fille et garçon, femme, fille, fils, garçon, homme, mère, père
👩‍👩‍👦‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme, femme, garçon et garçon, femme, fils, garçon, homme, mère, père
👩‍👩‍👧‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : femme, femme, fille et fille, femme, fille, fils, garçon, homme, mère, père
👨‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme et garçon, femme, fils, garçon, homme, mère, père
👨‍👦‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, garçon et garçon, femme, fils, garçon, homme, mère, père
👨‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme et fille, femme, fille, fils, garçon, homme, mère, père
👨‍👧‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : homme, fille et garçon, femme, fille, fils, garçon, homme, mère, père
👨‍👧‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : homme, fille et fille, femme, fille, fils, garçon, homme, mère, père
👩‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme et garçon, femme, fils, garçon, homme, mère, père
👩‍👦‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme, garçon et garçon, femme, fils, garçon, homme, mère, père
👩‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : femme et fille, femme, fille, fils, garçon, homme, mère, père
👩‍👧‍👦	enfant, famille, famille avec un père, une mère et un fils, famille : femme, fille et garçon, femme, fille, fils, garçon, homme, mère, père
👩‍👧‍👧	enfant, famille, famille avec un père, une mère et un fils, famille : femme, fille et fille, femme, fille, fils, garçon, homme, mère, père
🗣️	parler, silhouette, tête qui parle
👤	buste, mystère, ombre, silhouette de buste
👥	amis, bff, bustes, gens, meilleur ami, meilleure amie, meilleures amies, meilleurs amis, personnes, silhouettes, silhouettes de bustes, tout le monde
🫂	accolade, amitié, au revoir, bonjour, câlin, embrassades, gratitude, merci, personne, étreinte
👪️	enfant, famille, famille avec un père, une mère et un fils, femme, fils, garçon, homme, mère, père
🧑‍🧑‍🧒	adulte, enfant, famille : adulte, famille : adulte, adulte, enfant
🧑‍🧑‍🧒‍🧒	adulte, enfant, famille : adulte, famille : adulte, adulte, enfant, enfant
🧑‍🧒	enfant, famille : adulte, famille : adulte, enfant, famille monoparentale
🧑‍🧒‍🧒	enfant, famille : adulte, famille : adulte, enfant, enfant, famille monoparentale
👣	empreintes, pied, pieds, pieds nus, traces de pas
🫆	dermatoglyphe, données biométriques, empreinte digitale, identité, sécurité
🦰	cheveux roux, rouquin, rouquine
🦱	afro, boucles, bouclés, cheveux bouclés
🦳	blancs, cheveux, cheveux blancs, gris, vieux
🦲	chauve, chimiothérapie, imberbe, rasé, sans cheveux
🐵	Georges le petit curieux, animal, singe, sourire, tête de singe, visage
🐒	animal, primate, singe
🦍	animal, gorille, primate
🦧	animal, orang-outan, primate, singe
🐶	animal, animal domestique, chien, chiot, tête de chien, visage
🐕️	aboyer, animal, animal domestique, chien
🦮	accessibilité, animal, aveugle, chien guide, guide, malvoyant, non-voyant
🐕‍🦺	accessibilité, aide, animal, assistance, chien d’assistance, chien-guide, handicap
🐩	animal, caniche, chien
🐺	animal, loup, louve, tête, tête de loup
🦊	animal, nature, renard, tête, visage
🦝	animal, curieux, raton laveur, sournois
🐱	animal, chat, chaton, miaou, minou, tête de chat
🐈️	animal, animal domestique, chat, chaton, miaou, miauler
🐈‍⬛	animal, chat, chat noir, chaton, félin, halloween, malchanceux, matou, miaou, noir, superstition
🦁	animal, astrologie, crinière, fort, horoscope, lion, roi, rugissement, safari, savane, tête de lion, visage, zodiaque
🐯	animal, félin, prédateur, tigre, tête de tigre, visage
🐅	animal, félin, prédateur, tigre, tigresse, zoo
🐆	animal, félin, léopard, prédateur, zoo
🐴	animal, cheval, dressage, ferme, jument, tête de cheval, équitation
🫎	animal, bois, cervidé, mammifère, orignal, ramure, élan
🫏	animal, bourricot, mammifère, mule, têtu, âne
🐎	animal, cheval, course hippique, hippodrome, tiercé
🦄	animal, licorne, licrone, tête, tête de licorne
🦓	animal, noir et blanc, rayure, rayures, zèbre, zébrure
🦌	animal, bois, cerf
🦬	animal, bison, buffle, cornes, herbivore, nature, troupeau
🐮	animal, lait, meuh, tête de vache, vache, visage
🐂	animal, astrologie, bœuf, ferme, horoscope, taureau, zodiaque
🐃	animal, buffle, corne, zoo
🐄	animal, ferme, lait, meuh, vache
🐷	animal, cochon, ferme, porc, tête de cochon, visage
🐖	animal, cochon, ferme, gros, jambon, porc, truie
🐗	Game of Thrones, animal, sanglier
🐽	animal, cochon, ferme, flair, groin, museau, porc, sentir, tête de cochon
🐏	animal, astrologie, bélier, corne, ferme, horoscope, mouton, zodiaque
🐑	animal, brebis, bêler, doux, ferme, laine, lait, mouton
🐐	Capricorne, animal, astrologie, chèvre, ferme, fromage, horoscope, lait, zodiaque
🐪	animal, bosse, dromadaire, désert, une bosse
🐫	animal, bosse, chameau, chameau à deux bosses, deux bosses, désert
🦙	alpaca, alpaga, animal, guanaco, laine, lama, llama, pérou, vicuña, vigogne
🦒	animal, cou, girafe, taches
🐘	animal, pachyderme, trompe, éléphant
🦣	animal, défenses, extinction, grand, géant, laineux, mammouth
🦏	animal, corne, rhinocéros
🦛	animal, hippo, hippopotame
🐭	animal, souris, tête de souris, visage
🐁	animal, souris
🐀	animal, rat
🐹	animal, animal domestique, hamster, tête, tête de hamster, visage
🐰	animal, animal domestique, dents, lapin, tête de lapin
🐇	animal, animal domestique, lapin
🐿️	animal, noisettes, écureuil
🦫	animal, barrage, castor, dents, rongeur
🦔	animal, hérisson, piquant, porc-épic, épines, épineux
🦇	animal, chauve-souris, vampire
🐻	animal, miel, nounours, ours, ours brun, teddy, tête, visage
🐻‍❄	arctique, blanc, ours, ours polaire
🐨	Australie, animal, koala
🐼	animal, panda, tête, tête de panda, visage
🦥	animal, aï, endormi, lent, paresseux
🦦	animal, joueur, loutre, mignon, pêcheur
🦨	animal, mouffette, odeur, puer, putois
🦘	austalie, joey, kangoo, kangourou, marsupial, marsupiaux, saut
🦡	animal, blaireau, ratel
🐾	empreintes, empreintes de pattes, empreintes d’animaux, pattes
🦃	action de grâces, animal, dinde, dindon, oiseau, thanksgiving, volaille
🐔	animal, coq, ferme, oiseau, poule, poulet, volaille
🐓	animal, coq, oiseau, volaille
🐣	animal, bébé, naissance, naître, nouveau-né, oiseau, poussin, poussin qui éclôt, éclosion, œuf
🐤	animal, oiseau, poussin, tête de poussin
🐥	animal, bébé, nouveau-né, oiseau, poussin, poussin de face
🐦️	animal, oiseau, ornithologie
🐧	Antarctique, animal, banquise, manchot, oiseau, pingouin
🕊️	animal, colombe, oiseau, paix, rameau, voler
🦅	aigle, animal, oiseau, rapace
🦆	animal, canard, coin-coin, oiseau
🦢	animal, cygne, jeune cygne, oiseau, vilain petit canard
🦉	animal, chouette, hibou, oiseau, sage
🦤	Dronte, Maurice, animal, dodo, espèce éteinte, extinction, grand, oiseau
🪶	léger, oiseau, plumage, plume, voler, écrire, écrivain
🦩	animal, flamant, oiseau, rose, tropical
🦚	animal, bel oiseau, coloré, fier, fière, oiseau, paon, paonne, prétentieux
🦜	animal, oiseau, parle, perroquet, pirate, répète
🪽	aile, angélique, aviation, céleste, mythologie, oiseau, s’envoler, s’élever, voler
🐦‍⬛	animal, bec, corbeau, corneille, corvidé, croasser, merle, noir, oiseau, oiseau noir
🪿	animal, bête, cacarder, canard, jars, oie, oiseau, troupeau, volaille, volée
🐦‍🔥	ailes, cendres, feu, gloire, immortel, mythologie, oiseau, phénix, renaissance, renaître, revivre, transformation
🐸	animal, crapaud, grenouille, tête, tête de grenouille
🐊	alligator, animal, caïman, crocodile, reptile, zoo
🐢	animal, carapace, lentement, reptile, tortue
🦎	animal, lézard, reptile
🐍	animal, reptile, serpent, serpent à sonnette, venin
🐲	animal, dragon, mythe, tradition, tête de dragon
🐉	Chine, Game of Thrones, animal, chinois, dragon, mythe, tradition
🦕	animal, brachiosaure, brontosaure, dinosaure, diplodocus, sauropode
🦖	T-Rex, T. rex, Tyrannosaurus Rex, Tyrannosaurus rex, animal, dinosaure, tyrannosaure
🐳	animal, baleine, baleine avec évent, baleine soufflant par son évent, mer, océan, plage, souffle
🐋	animal, baleine, mer, océan, plage
🐬	Flipper, animal, dauphin, mer, océan, plage
🦭	animal, lion de mer, océan, otarie, phoque
🐟️	Poissons, alimentation, animal, astrologie, horoscope, manger, nourriture, poisson, poissons, repas, zodiaque
🐠	animal, poisson, poisson tropical
🐡	animal, poisson, poisson-lune
🦈	Dents de la mer, animal, poisson, requin
🐙	animal, créature, mer, mollusque, océan, pieuvre, poulpe
🐚	animal, conque, coquillage, coquille, coquille en spirale, mer, plage, spirale
🪸	corail, océan, réchauffement climatique, récif
🪼	animal, aquarium, aïe, brûlure, gélatineux, invertébré, marin, mer, mou, méduse, océan, piqûre, plancton, tentacules, vie marine
🐌	animal, escargot, jardin, lentement, nature
🦋	animal, insecte, mignon, papillon, printemps
🐛	animal, chenille, insecte, jardin
🐜	animal, fourmi, insecte, jardin
🐝	abeille, animal, bourdon, guêpe, insecte, miel, nature, printemps
🪲	animal, insecte, scarabée
🐞	animal, bête, coccinelle, insecte, jardin, nature
🦗	animal, criquet, insecte, sauterelle
🪳	animal, blatte, cafard, coquerelle, insecte, nuisible
🕷️	animal, araignée, insecte
🕸️	araignée, toile, toile d’araignée
🦂	animal, astrologie, désert, horoscope, scorpion, zodiaque
🦟	fièvre, infection, insecte, maladie, malaria, moustique, piqûre, virus
🪰	animal, asticot, insecte, maladie, mouche, nuisible, pourrissement, puanteur, putréfaction, tsé-tsé
🪱	animal, annélide, insecte, lombric, parasite, ver, ver de terre
🦠	amibe, bactérie, biologie, microbe, microorganisme, phagocytose, pseudopode, science, virus
💐	amoureux, anniversaire, bouquet, fleur, fleurs, plante, rendez-vous, roses
🌸	bourgeon, fleur, fleur de cerisier, plante, printemps
💮	fleur, fleur blanche
🪷	beauté, bouddhisme, calme, fleur, hindouisme, lotus, pureté, sérénité
🏵️	plante, rosette
🌹	Saint-Valentin, amour, beauté, fleur, plante, rose, rouge
🥀	fanée, fleur, fleur fanée, mort, rose
