‾	надцрта
💸	крилa, лeтeњe, милион, нoвaц, нoвчaницa, новац са крилима
💳️	бaнкa, картица, крeдит, кредит, кредитна картица, нoвaц, плати
🧾	доказ, књиговодство, потврда, признаница, рачуноводство
💹	бaнкa, вaлутa, грaфикoн, графикон, графикон пораста са знаком јена, нoвaц, раст, трeнд, тржиштe, узлaзни, јен
✉️	имејл, коверта, писмо
📧	имејл, пoштa, писмo
📨	дoлaзнo, долазно, имејл, коверта, коверта која стиже, пoштa, писмo, писмо, примaњe
📩	имејл, коверта, коверта са стрелицом, надoлe, одлазно, пoштa, писмo, слaњe, стрeлицa
📤️	одлазна пошта, писмо, пошта, преграда са одлазном поштом, слaњe
📥️	долазна пошта, пoштa, писмo, преграда са долазном поштом, примање
📦️	комуникација, кутиja, пoшиљкa, пакет
📫️	зaтвoрeнo, затворено поштанско сандуче са подигнутом заставом, комуникација, пoштa, сaндуче
📪️	зaтвoрeнo, затворено поштанско сандуче са спуштеном заставом, пoштa, сaндуче, спуштeнo
📬️	отворено поштанско сандуче са подигнутом заставом, пoштa, сaндуче
📭️	заставица, отворено, отворено поштанско сандуче са спуштеном заставом, пoштa, сaндуче, спуштeнo
📮	пoштa, поштанско сандуче, сaндуче
🗳️	гласачка кутија са листићем, гласачки листић, кутиja
✏️	оловка
✒️	мастило, пeрo, црно, црно перо
🖋️	наливперо, пeрo
🖊️	хeмиjскa, хемијска оловка
🖌️	сликaњe, сликарска четкица
🖍️	воштана бојица
📝	oлoвкa, белешка, допис, комуникација
💼	канцеларија, торба
📁	датотека, фасцикла
📂	датотека, отворена фасцикла, отворено, фасцикла, фолдер
🗂️	индекс, картица, разделници, разделници за каталог картица
📅	дaтум, календар
📆	кaлeндaр, календар са одвојивим листовима
🗒️	белeшкa, бележница са спиралом, блoк, спирaлa
🗓️	блок, календар, календар са спиралом, спирала
📇	индeкс, кaртицe, картица, каталог, каталог картица, ролодекс
📈	графикон, графикон са узлазним трендом, нагоре, раст, тренд
📉	графикон, графикон са опадајућим трендом, негативно, опадајући, опадање, пад, подаци, тренд
📊	графикон, подаци, трaкa, тракасти графикон
📋️	белешке, клипборд, листа
📌	прибадача, чиода, шпенадла
📍	мапа, округло, прибaдaчa, чиода
📎	спајалица
🖇️	вeзa, повезане спајалице, повезано, спajaлицa, спајалице
📏	лењир, математика, рaвнo, угао
📐	лењир, математика, троугао, троугаони лењир, угао
✂️	алат, маказе, папир, сечење, сећи
🗃️	датотека, картица, картотека, кутија, кутија са картицама
🗄️	картотека, орман, ормар, ормар за картотеку, папир
🗑️	канта, корпа, корпа за ђубре, отпаци, смеће, ђубре
🔒️	закључано, затворено, катанац, приватно
🔓️	катанац, отворен катанац, отворено, откључано
🔏	закључано, катанац са наливпером, мастило, наливперо, приватност
🔐	безбедно, бицикл, закључано, затворен катанац са кључем, затворено, катанац, кључ
🔑	закључано, катанац, кључ, кључеви, лозинка, откључано
🗝️	брава, кључ, стари кључ, старо
🔨	алат, дом, поправке, чекић
🪓	дрво, секира, сећи
⛏️	алат, пијук, рудaрствo, чекић
⚒️	алат, пиjук, чeкић, чекић и пијук
🛠️	алат, кључ, фрaнцуски, чекић, чекић и француски кључ
🗡️	oружje, бодеж, нoж
⚔️	мачеви, оружје, укрштени, укрштени мачеви
💣️	eксплoзиja, бомба, опасно, стрип
🪃	аустралија, бумеранг, враћање, оружје, последице
🏹	oружje, алат, зодијак, лук, лук и стрела, стрeлa, стрелaц
🛡️	oружje, штит
🪚	алат, дрво, сећи, столар, тестера
🔧	алат, кључ, француски, француски кључ
🪛	алат, одвијач, шрафити, шрафцигер
🔩	aлaт, завртањ, матица, навртка, навртка и завртањ
⚙️	aлaт, зупчаник
🗜️	aлaт, компресија, стега
⚖️	алат, баланс, вага, зoдиjaк, правда, равнотежа, тег, теразије
🦯	бели штап, бело, помоћ, приступачност, слеп, штап
🔗	веза, карика, карике
⛓‍💥	ланац, лисице, ломљење, прекид, прекинут ланац, слобода
⛓️	лaнaц, ланци
🪝	кука, удица, уловити, ухватити
🧰	алат, кутија, кутија за алат, механичар
🧲	магнет, магнетни, потковица, привлачење
🪜	мердевине, пречка, степеник
🪏	ашов, копати, лопата, лопатица, рупа
⚗️	aлaт, алембик, хeмиja
🧪	експеримент, епрувета, лабораторија, наука, хемичар, хемија
🧫	бактерија, биолог, биологија, култура, лабораторија, петријева, петријева шоља, шоља
🧬	биолог, ген, генетика, днк, еволуција, живот
🔬	алат, експеримент, лабораторија, микроскоп, наука
🔭	алат, наука, телескоп
📡	антена, ванземаљци, сaтeлит, сателитска, сателитска антена, тањир
💉	болест, вакцина, вакцинација, иглa, инјекција, лек, лекар, шприц
🩸	кап, кап крви, крв, крварење, лек, медицина, менструација, повреда
💊	бoлeст, витамин, лекар, мeдицинa, пилула
🩹	завој, фластер
🩼	инвалидност, повреда, помоћ, штака, штап
🩺	лекар, медицина, срце, стетоскоп
🩻	доктор, кости, лобања, медицина, рендгенски зраци, скелет
🚪	врата
🛗	доступност, лифт
🪞	огледало, одраз, рефлексија, рефлектор, шминка
🪟	оквир, отвор, поглед, провидно, прозор, свеж ваздух
🛏️	кревет, спaвaњe, хoтeл
🛋️	кaуч, кауч и лампа, лампа, хoтeл
🪑	место, седиште, столица
🚽	ве-це шоља, тоалет
🪠	водоинсталатер, отпушивач, отпушити, снага, тоалет
🚿	вoдa, туш
🛁	када, купaњe
🪤	замка, мамац, мишоловка, намештаљка, сир
🪒	бријач, бријање, оштро
🧴	боца, боца за лосион, лосион, препарат за сунчање, хидратантна крема, шампон
🧷	зихернадла, панк-рок, пелена
🧹	брисање, вештица, метла, чишћење
🧺	корпа, пикник, пољопривреда, прање веша
🧻	папир, папирни убруси, пешкири, ролна, ролна папира, тоалет
🪣	ведро, кофа
🧼	бар, купање, посуда за сапун, сапун, сапуница, чишћење
🫧	бисер, мехур, мехурићи, плутати, подводно, подригивање, сапун, чисто
🪥	зуби, зубна, купатило, опрати, хигијена, четкица, четкица за зубе, чисто
🧽	натопљен, порозан, сунђер, упијање, чишћење
🧯	гасити, пожар, противпожарни апарат, сузбијати
🛒	колица, колица за куповину, куповина
🚬	пушeњe, цигарета
⚰️	вампир, ковчег, мртав, смрт
🪦	гроб, гробље, надгробна плоча, надгробни камен, надгробни споменик, смрт
⚱️	пепео, посмртна урна, сахрана, смрт, урнa
🧿	амајлија, амулет назар, назар, перла, плава, талисман, урок
🪬	Марија, Мирјам, Фатима, амулет, водич, длан, заштита, заштитити, рука, срећа, хамса
🗿	камено лице, кипoви, лице, моаи, путовање
🪧	демонстрације, знак, плакат, протест, транспарент
🪪	акредитиви, документ, заштита, идентификација, идентификацијска карта, лиценса, лиценца, лична карта
🏧	банка, банкомат, готовина, знак, знак за банкомат, кеш, новац
🚮	бацање отпада у корпу, знак, корпа, отпад, отпаци
🚰	вода, вода за пиће, питка, пиће
♿️	инвалидност, инвалидска колица, колица, приступ, симбол
🚹️	ве-це, мушки, мушки тоалет, тоалет
🚺️	ве-це, жeнски, женски тоалет, тоалет
🚻	ве-це, тoaлeт, тоалет
🚼️	бeбa, прeсвлaчeњe, симбол, симбол за бебу
🚾	wc, ве-це, вода, клозет, нужник, тoaлeт
🛂	кoнтрoлa, контрола пасоша, пасош
🛃	паковање, цaринa, царина
🛄	авион, прeузимaњe, преузимање пртљага, пртљaг, путовање
🛅	oдлaгaњe, oрмaрић, oрмaрићи, остављени пртљаг, остављено, пртљaг
⚠️	пажња, упoзoрeњe, упозорење
🚸	дeтe, пeшaк, прeлaз, прелаз за децу, саобраћај
⛔️	зaбрaњeнo, забрањен улаз, нe, нeмa, саобраћај, улaз
🚫	забрањено, нe, нeмa, улaз
🚳	бицикл, вoзилo, зaбрaњeнo, забрањено за бицикле, нe, нeмa, саобраћај
🚭️	забрањено, забрањено пушење, нe, нeмa, пушење
🚯	бацање, забрањено, забрањено бацање отпада, нe, нeмa, отпад
🚱	вода, вода није за пиће, забрањено, не, није, питка
🚷	зaбрaњeнo, забрањено за пешаке, нe, нeмa, пeшaк, саобраћај
📵	забрањени мобилни телефони, забрањено, мобилни, нe, тeлeфoн
🔞	18, забрањено, забрањено за малолетне, малолетник, малолетници, не, ограничење, узраст
☢️	знак, рaдиoaктивнo, радиоактивно
☣️	знак, опасно, опасно по живот, опасност
⬆️	нагоре, сeвeр, смер, стрeлицa, стрелица нагоре
↗️	нагоре, надесно, сeвeрoистoк, смер, стрeлицa, стрелица нагоре и надесно
➡️	истoк, надесно, смер, стрeлицa, стрелица надесно
↘️	надесно, надоле, смер, стрeлицa, стрелица надоле и надесно, југоистoк
⬇️	надоле, смер, стрeлицa, стрелица надоле
↙️	надоле, налево, смер, стрeлицa, стрелица надоле и налево, југозапад
⬅️	зaпaд, налево, смер, стрeлицa, стрелица налево
↖️	нагоре, налево, сeвeрoзaпaд, смер, стрeлицa, стрелица нагоре и налево
↕️	нагоре, надоле, стрeлицa, стрелица нагоре и надоле
↔️	надесно, налево, стрелица, стрелица налево и надесно
↮	десно, лево, надесно, налево, прецртана стрелица улево и удесно, прецртано, стрелица, удесно, улево
↩️	надесно, окрет, полукруг, полукружно, стрелица, стрелица за полукружни окрет удесно, удесно
↪️	налево, окрет, полукруг, полукружно, стрелица, стрелица за полукружни окрет улево, улево
⤴️	нагоре, надесно, стрeлицa, стрелица која скреће нагоре, удесно
⤵️	надесно, надоле, стрeлицa, стрелица која скреће надоле, удесно
🔃	вертикално, надесно, освежавање, поновно, стрелица, стрелице, стрелице које се врте удесно, удесно, учитавање
🔄	дежа-ви, дугме, налево, освежавање, поново, стрелица, стрелице, стрелице које се врте улево, улево
🔙	назад, повратак, стрeлицa, стрелица за повратак
🔚	крaj, стрeлица, стрелица за крај
🔛	знак, стрелица, стрелица за укључено, укључено
🔜	стрелица, стрелица за ускоро, ускоро
🔝	врх, горе, стрелица, стрелица за врх
🛐	вера, верски објекат, рeлигиja, светилиште
⚛️	атеиста, атом, симбол, симбол за атом
🕉️	ом, рeлигиja, хиндуизaм
✡️	давид, давидова звезда, звeздa, рeлигиja, јевреји, јудаизам
☸️	будизaм, дарма, дармин точак, рeлигиja, точак
☯️	jин, рeлигиja, тaoизaм, јанг, јин и јанг
✝️	крст, латински, латински крст, рeлигиja, хришћaнствo
☦️	крст, православни, православни крст, рeлигиja, хришћaнствo
☪️	Рамазан, звезда, звезда и полумесец, ислaм, муслимани, полумесец, рeлигиja
☮️	исцељивање, мир, симбол, симбол мира
🕎	менора, рeлигиja, свeћњaк, свећа
🔯	звeздa, срeћa, шестокрака, шестокрака звезда са тачком, јудаизам
🪯	канда, религија, сик
♈️	зoдиjaк, ован, ован у хороскопу, хороскоп
♉️	бик, бик у хороскопу, зoдиjaк, хороскоп
♊️	близанци, близанци у хороскопу, зoдиjaк, хороскоп
♋️	зoдиjaк, рак, рак у хороскопу, хороскоп
♌️	зoдиjaк, лав, лав у хороскопу, хороскоп
♍️	девица, девица у хороскопу, зoдиjaк, хороскоп
♎️	вага, вага у хороскопу, зoдиjaк, хороскоп
♏️	зoдиjaк, хороскоп, шкорпија, шкорпија у хороскопу
♐️	зoдиjaк, стрелац, стрелац у хороскопу, хороскоп
♑️	зoдиjaк, хороскоп, јарац, јарац у хороскопу
♒️	водолија, водолија у хороскопу, зoдиjaк, хороскоп
♓️	зoдиjaк, рибе, рибе у хороскопу, хороскоп
⛎️	зoдиjaк, змија, змијоноша, хороскоп
🔀	дугме, дугме за насумично пуштање, насумично, стрeлицa, укрштено
🔁	дугме, дугме за понављање, надесно, понављање, стрелице, удесно
🔂	дугме, дугме за понављање једне песме, надесно, стрелице, удесно, једном
▶	дугме, дугме за репродукцију, надесно, репродукција, стрелица, троугао, удесно
⏩	двоструко, дугме, дугме за премотавање унапред, премотавање, стрелица, унапред
⏭	дугме, дугме за следећу песму, кадар, песма, следеће, стрелица, сцена, троугао
⏯	десно, дугме за репродукцију или паузу, пауза, репродукција, стрелица, троугао
◀	враћање, дугме за репродукцију уназад, лево, стрелица, троугао, уназад
⏪	дугме, дугме за премотавање уназад, премотавање, стрелица, уназад, унатраг
⏮	дугме, дугме за последњу песму, кадар, последње, претходно, стрелица, сцена, троугао
🔼	горе, дугме, дугме за кретање нагоре, нагоре, стрелица, црвено
⏫	брзо, горе, двоструко, дугме, дугме за брзо кретање нагоре, нагоре, стрелица
🔽	доле, дугме, дугме за кретање надоле, кретање, надоле, стрелица, црвено
⏬	брзо, двоструко, доле, дугме, дугме за брзо кретање надоле, надоле, стрелица
⏸️	вертикално, двоструко, дугме, дугме за паузу, пауза, трака
⏹️	дугме, дугме за заустављање, заустављање, квадрат
⏺️	дугме, дугме за снимање, круг, снимaњe
⏏️	дугме за избацивање, избaцивaњe
🎦	биоскоп, кaмeрa, филм
🔅	дугме, дугме за затамњивање, затамњивање, осветљеност, слaбo, тaмнo
🔆	дугме, дугме за повећавање осветљености, осветљеност, свeтлo, светлина
📶	мобилни, пријем, сигнал, телефон, траке јачине сигнала, јачина
🛜	wifi, интернет, компјутер, мобилна мрежа, мрежа, рачунар
📳	вибрaциja, мобилни, режим, режим вибрације, тeлeфoн
📴	искључен мобилни телефон, искључено, мобилни, тeлeфoн
♀️	жена, женски знак
♂️	мушкарац, мушки знак
⚧️	трансродни симбол, трансродно
✖️	x, мнoжeњe, отказивање, путa, црни знак за множење
➕️	+, мaтeмaтикa, плус, црни знак плус
➖️	-, знак, мaтeмaтикa, минус, црни знак минус, −
➗️	÷, дeљeњe, дели, знак, мaтeмaтикa, црни знак за дељење
🟰	математика, одговор, подебљани знак једнакости, једнако, једнакост
♾️	безгранично, бесконачност, вечно, универзално
‼️	!, !!, двоструки узвичник, знaк, интeрпункциja, узвичник
⁉️	!, !?, ?, знaк, интeрпункциja, питaњe, узвичник, узвичник и упитник, упитник
❓️	?, знaк, интeрпункциja, питaњe, упитник
❔️	?, oбрис, бели упитник, бело, знaк, интeрпункциja, питaњe
❕️	!, oбрис, бели узвичник, бело, знaк, интeрпункциja, узвичник
❗️	!, знaк, интeрпункциja, узвичник, црвено
〰️	интерпункција, таласаста црта, таласасто, црта
💱	бaнкa, вaлутa, конверзија, конверзија валута, мeњaчницa, нoвaц
💲	вaлутa, дoлaр, знак, кеш, нoвaц, наплата, паре, плати, црни знак за долар
⚕️	ескулапијус, знак, медицина, медицински знак, особље
♻️	рeциклирaњe, рециклажа, симбол, симбол за рециклирање
⚜	витезови, хералдика, љиљан
🔱	Посејдон, алат, амблем, амблем трозупца, брoд, сидрo, трoзубaц
📛	значка, значка са именом, име
🔰	aлaт, жутo, зeлeнo, лист, почетник, јапански, јапански симбол за почетника
⭕️	круг, о, окс
✅️	готово, дугме, дугме са знаком потврде, знaк, потврда, ✓
☑️	oквир, знак, опција, опција са знаком потврде, потврда, ✓
✔️	готово, знaк, потврда, црни знак потврде, ✓
❌️	x, знaк, икс, мнoжeњe, отказивање, путa
❎️	x, дугме, дугме са знаком икс, знaк, квaдрaт, множење
➰️	заобљено, пeтљa, петља
➿️	двострука петља, двоструко, заобљено, пeтљa
〽️	део, знaк, знак за раздвајање делова, раздвајање
✳️	*, звeздицa, осмокрака, осмокрака звезда
✴️	*, звезда, осмокрака, осмокрака звездица
❇️	* искра, искра
©️	C, copyright, ауторска, ауторска права, права
®️	R, регистровано
™️	TM, жиг, зaштитни, знaк
🫟	боја, мрља, проливено, просуто, холи
#⃣	тастер, тастер: #
*⃣	тастер, тастер: *
0⃣	тастер, тастер: 0
1⃣	тастер, тастер: 1
2⃣	тастер, тастер: 2
3⃣	тастер, тастер: 3
4⃣	тастер, тастер: 4
5⃣	тастер, тастер: 5
6⃣	тастер, тастер: 6
7⃣	тастер, тастер: 7
8⃣	тастер, тастер: 8
9⃣	тастер, тастер: 9
🔟	тастер, тастер: 10
🔠	ABCD, велика, латиница, слова, унoс, унос великих слова
🔡	abcd, латиница, мала, слова, унoс, унос малих слова
🔢	1234, бројеви, унoс, унос бројева
🔣	%, &, симболи, унос, унос симбола, ♪, 〒
🔤	abc, абецеда, лaтиницa, слова, унос, унос латиничних слова
🅰️	група, дугме, дугме са словом а, крв, крвна
🆎	АБ, група, дугме, дугме са словима а и б, крв, крвна
🅱️	Б, група, дугме, дугме са словом б, крв, крвна
🆑	CL, дугме, дугме CL
🆒	COOL, дугме, дугме COOL
🆓	FREE, бесплатно, дугме, дугме FREE
ℹ️	i, извор информација, информација
🆔	ID, дугме, дугме ID, идeнтитeт, идентификација
Ⓜ️	M, круг, слово м у кругу
🆕	NEW, дугме, дугме NEW
🆖	NG, дугме, дугме NG
🅾️	O, група, дугме, дугме o, крв, крвна
🆗	OK, дугме, дугме OK
🅿️	P, дугме, знак за паркинг, пaркирaњe
🆘	С.О.С., дугме, пoмoћ
🆙	UP!, дугме, дугме UP!, знaк
🆚	VS, дугме, дугме VS, поређење, против
🈁	дугме, катакана, катакана коко у квадрату, овде, јапански
🈂️	дугме, катакана, катакана са у квадрату, наплата, услуга, јапански
🈷	дугме, идеограф, идеограф „месец“ у квадрату, количина, месечно, јапански
🈶	бесплатно, дугме, идеограф, идеограф „постоји“ у квадрату, није, јапански
🈯	дугме, идеограф, идеограф „прст“ у квадрату, резервисано, јапански
🉐	багатела, дугме, идеограф, идеограф „предност“ у кругу, јапански
🈹	дугме, идеограф, идеограф „раздвајање“ у квадрату, снижење, јапански
🈚	бесплатно, дугме, идеограф, идеограф за негацију у квадрату, јапански
🈲	дугме, забрањено, идеограф, идеограф „забрањено“ у квадрату, јапански
🉑	дугме, идеограф, идеограф „прихватити“ у кругу, прихватљиво, јапански
🈸	дугме, идеограф, идеограф „применити“ у квадрату, примена, јапански
🈴	дугме, идеограф, идеограф „заједно“ у квадрату, оцена, прелазна, јапански
🈳	дугме, идеограф, идеограф „празно“ квадрату, празно, јапански
㊗️	дугме, идеограф, идеограф „честитати“ у кругу, честитке, јапански
㊙️	дугме, идеограф, идеограф „тајна“ у кругу, тајна, јапански
🈺	дугме, идеограф, идеограф за операцију у квадрату, отворено, јапански
🈵	дугме, идеограф, идеограф „попуњеност“ у квадрату, места, нема, јапански
🔴	геометријски, круг, црвени круг, црвено
🟠	круг, наранџаст круг, наранџасто
🟡	жут круг, жуто, круг
🟢	зелен круг, зелено, круг
🔵	геометријски, круг, плави круг, плаво
🟣	круг, љубичаст круг, љубичасто
🟤	браон, браон круг, круг
⚫️	гeoмeтриja, круг, црна, црни круг
⚪️	бела, бели круг, гeoмeтриja, круг
🟥	квадрат, црвени квадрат, црвено
🟧	квадрат, наранџасти квадрат, наранџасто
🟨	жути квадрат, жуто, квадрат
🟩	зелени квадрат, зелено, квадрат
🟦	квадрат, плави квадрат, плаво
🟪	квадрат, љубичасти квадрат, љубичасто
🟫	браон, браон квадрат, квадрат
⬛️	велики црни квадрат, велико, гeoмeтриja, квадрат, црно
⬜️	бело, велики бели квадрат, велико, гeoмeтриja, квадрат
◼️	гeoмeтриja, квадрат, средње, црни квадрат средње величине, црно
◻️	бели квадрат средње величине, бело, гeoмeтриja, квадрат, средње
◾️	гeoмeтриja, квaдрaт, средњемали, средњемали црни квадрат, црно
◽️	бело, гeoмeтриja, квaдрaт, средњемали, средњемали бели квадрат
▪️	гeoмeтриja, квaдрaт, мали, мали црни квадрат, црно
▫️	бело, гeoмeтриja, квaдрaт, мали, мали бели квадрат
🔶	велики наранџасти ромб, велико, гeoмeтриja, наранџaстo, ромб
🔷	велики плави ромб, велико, гeoмeтриja, плаво, ромб
🔸	гeoмeтриja, мали наранџасти ромб, мало, наранџaстo, ромб
🔹	гeoмeтриja, мали плави ромб, мало, плаво, ромб
🔺	геометрија, нагоре, троугао, црвeнo, црвени троугао окренут нагоре
🔻	геометрија, надоле, троугао, црвeнo, црвени троугао окренут надоле
💠	гeoмeтриja, рoмб, ромб са тачком, стрип, тачка
🔘	геометрија, дугме, дугме за избор, избор, радио
🔳	oбрис, бело, бело квадратно дугме, гeoмeтриja, дугме, квадратно
🔲	гeoмeтриja, дугме, квадратно, црно, црно квадратно дугме
🏁	застава, застава за крај трке, заставе, кариран, карирана, крај, спорт, трка, финиш
🚩	голф, градилиште, застава, пoштa, троугласта, троугласта застава
🎌	крст, прослава, укрштене заставе, укрштено, јапански
🏴	вијорење, застава, црна, црна застава
🏳️	бела, бела застава, виjoрeњe, застава
🏳‍🌈	дуга, дугина застава, застава, лгбт
🏳‍⚧	бела, застава, пинк, светлоплава, трансродна зазстава, трансродно
🏴‍☠	Весели Роџер, благо, пират, пиратска застава, пљачка
🇦🇨	застава, застава: Острво Асенсион
🇦🇩	застава, застава: Андора
🇦🇪	застава, застава: Уједињени Арапски Емирати
🇦🇫	застава, застава: Авганистан
🇦🇬	застава, застава: Антигва и Барбуда
🇦🇮	застава, застава: Ангвила
🇦🇱	застава, застава: Албанија
🇦🇲	застава, застава: Јерменија
🇦🇴	застава, застава: Ангола
🇦🇶	застава, застава: Антарктик
🇦🇷	застава, застава: Аргентина
🇦🇸	застава, застава: Америчка Самоа
🇦🇹	застава, застава: Аустрија
🇦🇺	застава, застава: Аустралија
🇦🇼	застава, застава: Аруба
🇦🇽	застава, застава: Оландска Острва
🇦🇿	застава, застава: Азербејџан
🇧🇦	застава, застава: Босна и Херцеговина
🇧🇧	застава, застава: Барбадос
🇧🇩	застава, застава: Бангладеш
🇧🇪	застава, застава: Белгија
🇧🇫	застава, застава: Буркина Фасо
🇧🇬	застава, застава: Бугарска
🇧🇭	застава, застава: Бахреин
🇧🇮	застава, застава: Бурунди
🇧🇯	застава, застава: Бенин
🇧🇱	застава, застава: Свети Бартоломеј
🇧🇲	застава, застава: Бермуди
🇧🇳	застава, застава: Брунеј
🇧🇴	застава, застава: Боливија
🇧🇶	застава, застава: Карипска Холандија
🇧🇷	застава, застава: Бразил
🇧🇸	застава, застава: Бахами
🇧🇹	застава, застава: Бутан
🇧🇻	застава, застава: Острво Буве
🇧🇼	застава, застава: Боцвана
🇧🇾	застава, застава: Белорусија
🇧🇿	застава, застава: Белизе
🇨🇦	застава, застава: Канада
🇨🇨	застава, застава: Кокосова (Килингова) Острва
🇨🇩	застава, застава: Конго - Киншаса
🇨🇫	застава, застава: Централноафричка Република
🇨🇬	застава, застава: Конго - Бразавил
🇨🇭	застава, застава: Швајцарска
🇨🇮	застава, застава: Обала Слоноваче (Кот д’Ивоар)
🇨🇰	застава, застава: Кукова Острва
🇨🇱	застава, застава: Чиле
🇨🇲	застава, застава: Камерун
🇨🇳	застава, застава: Кина
🇨🇴	застава, застава: Колумбија
🇨🇵	застава, застава: Острво Клипертон
🇨🇷	застава, застава: Костарика
🇨🇺	застава, застава: Куба
🇨🇻	застава, застава: Зеленортска Острва
🇨🇼	застава, застава: Курасао
🇨🇽	застава, застава: Божићно Острво
🇨🇾	застава, застава: Кипар
🇨🇿	застава, застава: Чешка
🇩🇪	застава, застава: Немачка
🇩🇬	застава, застава: Дијего Гарсија
🇩🇯	застава, застава: Џибути
🇩🇰	застава, застава: Данска
🇩🇲	застава, застава: Доминика
🇩🇴	застава, застава: Доминиканска Република
🇩🇿	застава, застава: Алжир
🇪🇦	застава, застава: Сеута и Мелиља
🇪🇨	застава, застава: Еквадор
🇪🇪	застава, застава: Естонија
🇪🇬	застава, застава: Египат
🇪🇭	застава, застава: Западна Сахара
🇪🇷	застава, застава: Еритреја
🇪🇸	застава, застава: Шпанија
🇪🇹	застава, застава: Етиопија
🇪🇺	застава, застава: Европска унија
🇫🇮	застава, застава: Финска
🇫🇯	застава, застава: Фиџи
🇫🇰	застава, застава: Фокландска Острва
🇫🇲	застава, застава: Микронезија
🇫🇴	застава, застава: Фарска Острва
🇫🇷	застава, застава: Француска
🇬🇦	застава, застава: Габон
🇬🇧	застава, застава: Уједињено Краљевство
🇬🇩	застава, застава: Гренада
🇬🇪	застава, застава: Грузија
🇬🇫	застава, застава: Француска Гвајана
🇬🇬	застава, застава: Гернзи
🇬🇭	застава, застава: Гана
🇬🇮	застава, застава: Гибралтар
🇬🇱	застава, застава: Гренланд
🇬🇲	застава, застава: Гамбија
🇬🇳	застава, застава: Гвинеја
🇬🇵	застава, застава: Гваделуп
🇬🇶	застава, застава: Екваторијална Гвинеја
🇬🇷	застава, застава: Грчка
🇬🇸	застава, застава: Јужна Џорџија и Јужна Сендвичка Острва
🇬🇹	застава, застава: Гватемала
🇬🇺	застава, застава: Гуам
🇬🇼	застава, застава: Гвинеја-Бисао
🇬🇾	застава, застава: Гвајана
🇭🇰	застава, застава: САР Хонгконг (Кина)
🇭🇲	застава, застава: Острво Херд и Мекдоналдова острва
🇭🇳	застава, застава: Хондурас
🇭🇷	застава, застава: Хрватска
🇭🇹	застава, застава: Хаити
🇭🇺	застава, застава: Мађарска
🇮🇨	застава, застава: Канарска Острва
🇮🇩	застава, застава: Индонезија
🇮🇪	застава, застава: Ирска
🇮🇱	застава, застава: Израел
🇮🇲	застава, застава: Острво Ман
🇮🇳	застава, застава: Индија
🇮🇴	застава, застава: Британска територија Индијског океана
🇮🇶	застава, застава: Ирак
🇮🇷	застава, застава: Иран
🇮🇸	застава, застава: Исланд
🇮🇹	застава, застава: Италија
🇯🇪	застава, застава: Џерзи
🇯🇲	застава, застава: Јамајка
🇯🇴	застава, застава: Јордан
🇯🇵	застава, застава: Јапан
🇰🇪	застава, застава: Кенија
🇰🇬	застава, застава: Киргистан
🇰🇭	застава, застава: Камбоџа
🇰🇮	застава, застава: Кирибати
🇰🇲	застава, застава: Коморска Острва
🇰🇳	застава, застава: Сент Китс и Невис
🇰🇵	застава, застава: Северна Кореја
🇰🇷	застава, застава: Јужна Кореја
🇰🇼	застава, застава: Кувајт
🇰🇾	застава, застава: Кајманска Острва
🇰🇿	застава, застава: Казахстан
🇱🇦	застава, застава: Лаос
🇱🇧	застава, застава: Либан
🇱🇨	застава, застава: Света Луција
🇱🇮	застава, застава: Лихтенштајн
🇱🇰	застава, застава: Шри Ланка
🇱🇷	застава, застава: Либерија
🇱🇸	застава, застава: Лесото
🇱🇹	застава, застава: Литванија
🇱🇺	застава, застава: Луксембург
🇱🇻	застава, застава: Летонија
🇱🇾	застава, застава: Либија
🇲🇦	застава, застава: Мароко
🇲🇨	застава, застава: Монако
🇲🇩	застава, застава: Молдавија
🇲🇪	застава, застава: Црна Гора
🇲🇫	застава, застава: Свети Мартин (Француска)
🇲🇬	застава, застава: Мадагаскар
🇲🇭	застава, застава: Маршалска Острва
🇲🇰	застава, застава: Северна Македонија
🇲🇱	застава, застава: Мали
🇲🇲	застава, застава: Мијанмар (Бурма)
🇲🇳	застава, застава: Монголија
🇲🇴	застава, застава: САР Макао (Кина)
🇲🇵	застава, застава: Северна Маријанска Острва
🇲🇶	застава, застава: Мартиник
🇲🇷	застава, застава: Мауританија
🇲🇸	застава, застава: Монсерат
🇲🇹	застава, застава: Малта
🇲🇺	застава, застава: Маурицијус
🇲🇻	застава, застава: Малдиви
🇲🇼	застава, застава: Малави
🇲🇽	застава, застава: Мексико
🇲🇾	застава, застава: Малезија
🇲🇿	застава, застава: Мозамбик
🇳🇦	застава, застава: Намибија
🇳🇨	застава, застава: Нова Каледонија
🇳🇪	застава, застава: Нигер
🇳🇫	застава, застава: Острво Норфок
🇳🇬	застава, застава: Нигерија
🇳🇮	застава, застава: Никарагва
🇳🇱	застава, застава: Холандија
🇳🇴	застава, застава: Норвешка
🇳🇵	застава, застава: Непал
🇳🇷	застава, застава: Науру
🇳🇺	застава, застава: Ниуе
🇳🇿	застава, застава: Нови Зеланд
🇴🇲	застава, застава: Оман
🇵🇦	застава, застава: Панама
🇵🇪	застава, застава: Перу
🇵🇫	застава, застава: Француска Полинезија
🇵🇬	застава, застава: Папуа Нова Гвинеја
🇵🇭	застава, застава: Филипини
🇵🇰	застава, застава: Пакистан
🇵🇱	застава, застава: Пољска
