‾	επάνω γραμμή
🍮	γλυκό, επιδόρπιο, κρέμα καραμελέ, πουτίγκα
🍯	Γουίνι ο αρκούδος, αρκούδα, βάζο, βάζο με μέλι, βαρέλι, γλυκό, δοχείο με μέλι, μέλι, τρόφιμα, φαγητό
🍼	βρέφος, γάλα, γέννα, μπιμπερό, μπουκάλι, μωρά, μωρό, νεογέννητο, πίνω
🥛	γάλα, ποτήρι, ποτήρι γάλα, ποτό
☕️	αχνιστό, ζεστό, ζεστό ρόφημα, καφές, καφεΐνη, καφετέρια, πίνω, πρωί, ρόφημα, τσάι
🫖	πίνω, ποτό, σερβίρω, τσάι, τσαγερό, τσαγιέρα, φαγητό
🍵	κούπα, κούπα τσαγιού, κούπα τσαγιού χωρίς χερούλι, πίνω, ρόφημα, τσάι
🍶	εστιατόριο, κούπα, μπαρ, μπουκάλι, ποτό, ρόφημα, σάκε
🍾	μπαρ, μπουκάλι, μπουκάλι με φελλό που πετάγεται, πετάγεται, ποτό, φελλός
🍷	αλκοόλ, εστιατόριο, κλαμπ, κρασί, κρασοπότηρο, μεθώ, μπαρ, πίνω, ποτά, ποτήρι, ποτήρι κρασί, ποτήρι κρασιού, ποτό, ρόφημα
🍸️	Μαρτίνι, αλκοόλ, κλαμπ, κοκτέιλ, μπαρ, πίνω, ποτά, ποτήρι, ποτήρι του κοκτέιλ, ποτό
🍹	Μάι Τάι, αλκοόλ, κλαμπ, κοκτέιλ, μεθυσμένος, μεθώ, μπαρ, οινοποσία, πάρτι, πίνω, ποτά, ποτό, τροπικό, τροπικό ποτό
🍺	Γερμανία, Οκτόμπερφεστ, αλκοόλ, κρίκερ, μπαρ, μπύρα, πίνω, ποτά, ποτήρι μπίρας, ποτήρι μπύρας, ποτό
🍻	αλκοολούχο ποτό, μπαρ, μπύρα, πίνω, πίνω πολύ, ποτά, ποτήρι μπύρας, ποτήρια μπίρας που τσουγκρίζουν, ποτό, τσουγκρίζω
🥂	γιορτάζω, γιορτή, πίνω, ποτήρι, ποτήρια που τσουγκρίζουν, ποτό, τσούγκρισμα
🥃	αλκοολούχος, κυλινδρικός, ουίσκι, ποτήρι, ποτήρι ουίσκι, σφηνάκι
🫗	άδειο, έγχυση, ατύχημα, κατά λάθος, νερό, περίχυση, περίχυση υγρού, ποτήρι, υγρό
🥤	αναψυκτικό, βύνη, ζύθος, νερό, ποτήρι με καλαμάκι, σόδα, χυμός
🧋	γάλα, πέρλες, ποτό, ρόφημα, τσάι, τσάι μπόμπα, φαγητό, φυσαλίδες
🧃	γλυκό, καλαμάκι, κουτί ροφήματος, κουτί χυμού, ρόφημα
🧉	μάτε, ρόφημα
🧊	κρύο, παγάκι, παγωμένο, παγόβουνο
🥢	κινέζικα πιρούνια, ξυλάκια, χάσι
🍽️	δείπνο, μαγείρεμα, μαχαίρι, μαχαιροπίρουνα με πιάτο, πιάτο, πιρούνι, τρώω
🍴	δείπνο, εστιατόριο, λαχταριστό, μαγείρεμα, μαχαίρι, μαχαιροπίρουνα, νόστιμο, πεινασμένος, πιρούνι, πρωινό, σπάσιμο, ταΐζω, τρώω, φαΐ, φαγητό
🥄	κουτάλι, μαχαιροπίρουνα, τρώω
🔪	εργαλείο, κουζινομάχαιρο, μαγειρική, μαχαίρι, όπλο
🫙	άδειο, αποθήκευση, βαζάκι, δοχείο, μπαχαρικά, σάλτσα, τίποτα
🏺	Υδροχόος, αμφορέας, εργαλείο, ζωδιακός, ζώδιο, κανάτα, μαγείρεμα, μαγειρική, ποτό
🌍	Αφρική, Ευρώπη, γη, κόσμος, υδρόγειος, υδρόγειος με Ευρώπη και Αφρική
🌎️	Αμερική, γη, κόσμος, υδρόγειος, υδρόγειος με Βόρεια και Νότια Αμερική
🌏	Ασία, Αυστραλία, γη, κόσμος, υδρόγειος, υδρόγειος με Ασία και Αυστραλία
🌐	γη, διαδίκτυο, κόσμος, μεσημβρινοί, παγκόσμιος ιστός, σφαίρα, υδρόγειος, υδρόγειος με μεσημβρινούς
🗺️	κόσμος, παγκόσμιος χάρτης, χάρτης
🗾	Ιαπωνία, χάρτης, χάρτης της Ιαπωνίας
🧭	κατεύθυνση, μαγνητικό, μαγνητισμός, πλοήγηση, προσανατολισμός, πυξίδα
🏔️	βουνό, κρύο, χιονισμένο βουνό, χιόνι
⛰️	βουνό
🌋	έκρηξη, βουνό, ηφαίστειο, φύση
🗻	Φούτζι, βουνό, ηφαίστειο Φούτζι, φύση, όρος Φούτζι
🏕️	κατασκήνωση
🏖️	ομπρέλα, παραλία, παραλία με ομπρέλα
🏜️	έρημος
🏝️	έρημο, ερημονήσι, νησί
🏞️	εθνικό πάρκο, πάρκο
🏟️	γήπεδο, στάδιο
🏛️	κλασικό, κλασικό κτίριο
🏗️	γερανός, κατασκευή, κατασκευή κτιρίου, κτίριο, οικοδομή
🧱	ασβεστοκονίαμα, πηλός, σοβάς, τοίχος, τούβλα, τούβλο
🪨	βαρύ, βράχος, ογκόλιθος, πέτρα, ρίχνω, σκληρός, συμπαγές
🪵	αγράμματος, κορμός, κούτσουρο, ξυλεία, ξύλο
🛖	γιουρτ, καλυβάκι, καλύβα, καταφύγιο, σπίτι, στρογγυλό σπίτι
🏘️	κτίριο, οικία, οικίες, σπίτι, σπίτια
🏚️	εγκαταλελειμμένο, εγκαταλελειμμένο σπίτι, κτίριο, σπίτι
🏠️	εγκαθίσταμαι, εκεί όπου ανήκει η καρδιά, εξοχικό σπίτι, κτίριο, προάστιο, προαστιακός, ράντσο, σπίτι, σπιτικό
🏡	κήπος, κτίριο, σπίτι, σπίτι με κήπο
🏢	γραφείο, κτίριο, κτίριο γραφείων, κυβικός, πόλη
🏣	ιαπωνικό, ιαπωνικό ταχυδρομείο, κτίριο, ταχυδρομείο
🏤	ευρωπαϊκό, κτίριο, ταχυδρομείο
🏥	γιατρός, κτίριο, νοσοκομείο, φάρμακα
🏦	κτίριο, τράπεζα
🏨	κτίριο, ξενοδοχείο
🏩	αγάπη, κτίριο, ξενοδοχείο, ξενοδοχείο ημιδιαμονής
🏪	24, 24 ώρες, εξυπηρέτηση, κατάστημα, κτίριο, παντοπωλείο
🏫	κτίριο, σχολείο
🏬	κατάστημα, κτίριο, πολυκατάστημα, τομέας
🏭️	εργοστάσιο, κτίριο
🏯	ιαπωνικό, ιαπωνικό κάστρο, κάστρο, κτίριο
🏰	ευρωπαϊκό, κάστρο, κτίριο
💒	γάμος, ειδύλλιο, παντρεύομαι, παρεκκλήσι, ρομάντζο
🗼	Πύργος του Τόκιο, Τόκιο, πύργος
🗽	Άγαλμα της Ελευθερίας, ΝΥ, Νέα Υόρκη, άγαλμα, ελευθερία
⛪️	εκκλησία, ευλογία, ευλογώ, θρησκεία, κτίριο, ξωκλήσι, σταυρός, χριστιανικό
🕌	θρησκεία, ισλάμ, μουσουλμανικός, τέμενος
🛕	ινδουιστής, ινδουιστικός ναός, ναός
🕍	Ιουδαϊσμός, εβραίος, εβραϊκός, θρησκεία, ναός, συναγωγή
⛩️	θρησκεία, ναός, σιντοϊστικός, σιντοϊστικός ναός
🕋	θρησκεία, ισλάμ, καάμπα, μουσουλμανικός
⛲️	πηγή, σιντριβάνι
⛺️	κατασκήνωση, σκηνή
🌁	καιρός, ομίχλη, ομιχλώδες τοπίο
🌃	έναστρη νύχτα, αστέρι, καιρός, νύχτα
🏙️	αστικό τοπίο, κτίριο, περίγραμμα πόλης, πόλη
🌄	ήλιος, αυγή, αυγή πίσω από βουνά, βουνό, καιρός, πρωί
🌅	ήλιος, αυγή, καιρός, πρωί, φύση
🌆	ήλιος, απόγευμα, αστικό τοπίο, αστικό τοπίο το σούρουπο, αυγή, βράδυ, ηλιοβασίλεμα, καιρός, κτίριο, πόλη, σούρουπο, τοπίο
🌇	ήλιος, δύση του ήλιου, ηλιοβασίλεμα, καιρός, κτίριο, σούρουπο
🌉	γέφυρα, γέφυρα τη νύχτα, καιρός, νύχτα
♨️	ατμός, βγάζει ατμούς, βγάζει καπνούς, ζέστη, ζεστό, θερμές πηγές, ιαματικά λουτρά, ιαματικά νερά, πηγές
🎠	άλογο, αλογάκι καρουσέλ, διασκέδαση, καρουσέλ
🛝	παιδική χαρά, παιχνίδι, τσουλήθρα
🎡	λούνα παρκ, ρόδα, ρόδα λούνα-παρκ
🎢	λούνα παρκ, τρενάκι
💈	κουρέας, κούρεμα, μπαρμπέρης, ξύρισμα, πάσσαλος κουρείου, σύμβολο κουρείου
🎪	σκηνή, σκηνή τσίρκου, τσίρκο
🚂	ατμομηχανή, ατμομηχανή σιδηρόδρομου, ατμός, βαγόνι σιδηροδρομικών υπαλλήλων, καρβουνιάρης, μηχανή, σιδηρόδρομος, ταξιδεύω, τρένα, τρένο, όχημα
🚃	βαγόνι, βαγόνι τρένου, ηλεκτρικός, σιδηρόδρομος, τρένο, τραμ, τρόλεϊ, όχημα
🚄	Σιν-κάνσεν, γρήγορο τρένο, σιδηρόδρομος, σινκάνσεν, σινκανσέν, ταχεία, ταχύτητα, τρένο, όχημα
🚅	αεροδυναμικός, σιδηρόδρομος, σινκανσέν, σφαίρα, ταχύτητα, τρένο, υπερταχεία, όχημα
🚆	άφιξη, σιδηρόδρομος, τρένο, τσουφ τσουφ, όχημα
🚇️	μετρό, ταξιδεύω, υπόγειος, όχημα
🚈	αφίχθη, ελαφρύς σιδηρόδρομος, προαστιακός, σιδηρόδρομος, όχημα
🚉	σιδηρόδρομος, σταθμός, τρένο, όχημα
🚊	τραμ, τρόλεϊ, όχημα
🚝	τρένο μονής τροχιάς, όχημα
🚞	βαγόνι, βουνό, ορεινός σιδηρόδρομος, σιδηρόδρομος, ταξίδι, όχημα
🚋	βαγόνι, βαγόνι τραμ, τραμ, τρόλεϊ, όχημα
🚌	λεωφορείο, σχολικό, όχημα
🚍️	διερχόμενο, διερχόμενο λεωφορείο, λεωφορείο, όχημα
🚎	λεωφορείο, τραμ, τρόλεϊ, όχημα
🚐	λεωφορείο, μίνιμπας, οδηγώ, φορτηγάκι, όχημα
🚑️	ασθενοφόρο, επείγον, επείγουσα ανάγκη, όχημα
🚒	πυροσβεστικό, φορτηγό, φωτιά, όχημα
🚓	5–0, αστυνομία, αυτοκίνητο, μπάτσοι, περιπολία, περιπολικό, όχημα
🚔️	αστυνομία, αυτοκίνητο, διερχόμενο, διερχόμενο περιπολικό, όχημα
🚕	κίτρινο ταξί, οδηγώ, ταξί, όχημα
🚖	διερχόμενο, διερχόμενο ταξί, κίτρινο ταξί, οδηγώ, οχήματα, σταμάτα ένα ταξί, στο δρόμο, ταξί, όχημα
🚗	αυτοκίνητο, οδηγώ, όχημα
🚘️	αμάξι, αυτοκίνητο, διερχόμενο, διερχόμενο αυτοκίνητο, κινούμενο, όχημα
🚙	αμάξι, αμαξίδιο αθλημάτων, αναψυχής, αυτοκίνητο, όχημα, όχημα αναψυχής
🛻	αγροτικό, αυτοκίνητο, ημιφορτηγό, καρότσα, φορτηγάκι
🚚	αμάξι, διανομή, οδηγάω, φορτηγό, φορτηγό παράδοσης, όχημα
🚛	αμάξι, αρθρωτό όχημα, επικαθήμενο, ημιεπικαθήμενο, κινώ, μετακινούμαι, μισό, οδηγώ, συρόμενο, τριαξονικό, φορτηγό, όχημα
🚜	τρακτέρ, όχημα
🏎️	αγωνιστικό, αγωνιστικό όχημα, αυτοκίνητο, βρουμ βρουμ
🏍️	αγωνιστικό, μοτοσικλέτα
🛵	ηλεκτροκίνητος, σκουτεράκι, σκούτερ
🦽	αναπηρικό αμαξίδιο, καροτσάκι, προσβασιμότητα, χειροκίνητο
🦼	ηλεκτροκίνητο αναπηρικό αμαξίδιο, καροτσάκι, προσβασιμότητα
🛺	ποδήλατο-ταξί, τουκ τουκ
🚲️	ποδήλατο, ποδηλάτης, ποδηλασία, ποδηλατάδα, σπίνινγκ, όχημα
🛴	πατίνι, ποδοκίνητος
🛹	ρόδες, σανίδα, σκέιτ, σκέιτερ, σκέιτμπορντ
🛼	πατίνι, πατίνια, ρολάρω, ρόλερ, σκέιτ, σπορ, τροχοπέδιλο
🚏	λεωφορείο, στάση, στάση λεωφορείου
🛣️	αυτοκινητόδρομος, δρόμος
🛤️	σιδηρόδρομος, τρένο
🛢️	βαρέλι, βαρέλι πετρελαίου, πετρέλαιο
⛽️	αντλία, αντλία βενζίνης, αντλία καυσίμου, βενζίνη, καύσιμο, σταθμός
🛞	αυτοκίνητο, ελαστικό, κύκλος, μηχανάκι, ρόδα, στροφή, τροχός
🚨	αστυνομία, αυτοκίνητο, λυχνία, περιστρεφόμενος, σειρήνα, σειρήνα περιπολικού, συναγερμός, φάρος, φάρος περιπολικού, όχημα
🚥	διασταύρωση, κίνηση, κόκκινο φανάρι, λυχνία, οριζόντιο φανάρι, σήμα, φανάρι
🚦	διασταύρωση, κάθετο φανάρι, κίνηση, κυκλοφοριακό, κόκκινο φανάρι, λυχνία, πλήθος, σήμα, σηματοδότης, φανάρι, φωτεινός σηματοδότης
🛑	οκτάγωνο, σταματώ, στοπ, σύμβολο, σύμβολο στοπ
🚧	κατασκευές, φράγμα
⚓️	άγκυρα, εργαλείο, πλοίο
🛟	ασφάλεια, διάσωση, επίπλευση, κολύμπι, ναυαγοσώστης, στρογγυλό σωσίβιο, σωσίβιο
⛵️	βάρκα, γιοτ, θάλασσα, θέρετρο, ιστιοπλοΐα, ιστιοφόρο, όχημα
🛶	βάρκα, κανό
🚤	βάρκα, δισεκατομμυριούχος, εκατομμύριούχος, καλοκαίρι, λίμνη, πολυτέλεια, ταξιδεύω, ταχύπλοο, όχημα
🛳️	επιβάτης, επιβατηγό πλοίο, πλοίο, όχημα
⛴️	βάρκα, επιβάτης, φεριμπότ
🛥️	βάρκα, μηχανοκίνητο σκάφος, όχημα
🚢	επιβάτης, πλοίο, τιτανικός, όχημα
✈️	αεροπλάνο, πετώ, πτήση, ταξιδεύω, τζετ, όχημα
🛩️	αεροπλάνο, μικρό αεροπλάνο, όχημα
🛫	check-in, αεροπλάνο, αναχωρήσεις, αναχώρηση, αναχώρηση αεροπλάνου, όχημα
🛬	άφιξη αεροπλάνου, αεροπλάνο, αφίξεις, προσγείωση, φτάνει, όχημα
🪂	αιωροπτερισμός, αλεξίπτωτο, αλεξίπτωτο θαλάσσης, πτώση με αλεξίπτωτο
💺	κάθισμα, καρέκλα
🚁	ελικόπτερο, ταξίδι, όχημα
🚟	κρεμαστός, κρεμαστός σιδηρόδρομος, σιδηρόδρομος, όχημα
🚠	βουνό, γόνδολα, καλώδιο, οδοντωτό βαγόνι, τελεφερίκ, όχημα
🚡	βαγόνι, γραμμές του τραμ όχημα, γόνδολα, εναέριος, εναέριος καλωδιοκίνητος σιδηρόδρομος, σχοινοκίνητος, τελεφερίκ
🛰️	διάστημα, δορυφόρος
🚀	διάστημα, εκτόξευση, πύραυλοι, πύραυλος, ταξίδι
🛸	ΑΤΙΑ, εξωγήινοι, εξωγήινος, ιπτάμενος δίσκος, ούφο
🛎️	κουδούνι, κουδούνι αχθοφόρου, ξενοδοχείο
🧳	αποσκευές, αποσκευή, βαλίτσα, βαλίτσα με ροδάκια, βαλίτσες, πακετάρισμα, ταξίδι, ταξίδια, ταξιδεύω, χειραποσκευή
⌛️	άμμος, κλεψύδρα, χρονομετρητής, χρονόμετρο, χρόνος
⏳️	YOLO, άμμος, αναμονή, ζεις μόνο μια φορά, κλεψύδρα, κλεψύδρα με άμμο που ρέει, μια ζωή, χρονομετρητής, ώρες
⌚️	ρολόι, ώρα
⏰️	αναμονή, αργά, ξυπνητήρι, περιμένω, ρολόι, χρόνος, ώρες
⏱️	ρολόι, χρονόμετρο, χρόνος, ώρα
⏲️	ρολόι, χρονομετρητής, χρονόμετρο
🕰️	διακοσμητικό ρολόι, επιτραπέζιο ρολόι, ρολόι
🕛️	00, 12, 12:00, ακριβώς, δώδεκα, δώδεκα η ώρα, η ώρα, ρολόι, χρόνος, ώρα
🕧	12, 12:30, δώδεκα, δώδεκα και μισή, και μισή
🕐️	00, 1, 1:00, ακριβώς, η ώρα, μία, μία η ώρα, χρόνος
🕜	1, 1:30, και μισή, μία, μία και μισή, ώρα
🕑️	00, 2, 2:00, ακριβώς, δύο, δύο η ώρα, η ώρα, χρόνος
🕝	2, 2:30, 30, δύο, δύο και μισή, δύο και τριάντα, και μισή, ρολόι, τριάντα, ώρα
🕒️	00, 3, 3:00, ακριβώς, η ώρα, τρεις, τρεις η ώρα, χρόνος
🕞	3, 3:30, και μισή, ρολόι, τρεις, τρεις και μισή, ώρα
🕓️	00, 4, 4:00, ακριβώς, η ώρα, ρολόι, τέσσερις, τέσσερις η ώρα, ώρα
🕟	4, 4:30, και μισή, τέσσερις, τέσσερις και μισή, ώρα
🕔️	00, 5, 5:00, ακριβώς, η ώρα, πέντε η ώρα, χρόνος
🕠	5, 5:30, και μισή, πέντε, πέντε και μισή, τριάντα, χρόνος, ώρα
🕕️	00, 6, 6:00, έξι, έξι η ώρα, ακριβώς, η ώρα, χρόνος
🕡	6, 6:30, έξι, έξι και μισή, και μισή, ρολόι
🕖️	00, 7, 7:00, ακριβώς, επτά, επτά η ώρα, η ώρα, ρολόι
🕢	7, 7:30, επτά, επτά και μισή, και μισή, ρολόι, ώρα
🕗️	00, 8, 8:00, ακριβώς, η ώρα, οκτώ, οκτώ η ώρα, ρολόι, χρόνος
🕣	8, 8:30, και μισή, οκτώ, οκτώ και μισή, ρολόι, χρόνος, ώρα
🕘️	00, 9, 9:00, ακριβώς, εννέα η ώρα, εννιά, η ώρα, ρολόι, ώρα
🕤	30, 9, 9:30, εννέα και μισή, εννιά, και μισή, ρολόι, τριάντα, χρόνος
🕙️	00, 10, 10:00, ακριβώς, δέκα, δέκα η ώρα, η ώρα
🕥	10, 10:30, δέκα, δέκα και μισή, και μισή, ρολόι, χρόνος, ώρα
🕚️	00, 11, 11:00, έντεκα, έντεκα η ώρα, ακριβώς, η ώρα, ρολόι, χρόνος
🕦	11, 11:30, 30, έντεκα, έντεκα και μισή, και μισή, τριάντα, χρόνος
🌑	διάστημα, καιρός, νέα σελήνη, σελήνη, σκοτάδι, σκοτεινός, φεγγάρι
🌒	αύξων, αύξων μηνίσκος, διάστημα, καιρός, μηνίσκος, φεγγάρι
🌓	διάστημα, σελήνη, σελήνη πρώτου τετάρτου, τέταρτο, φεγγάρι
🌔	αμφίκυρτος, αύξων, αύξων αμφίκυρτος, διάστημα, καιρός, στρογγυλό φεγγάρι, φεγγάρι
🌕️	γεμάτο, διάστημα, καιρός, πανσέληνος, σελήνη, φεγγάρι
🌖	αμφίκυρτος, διάστημα, καιρός, φεγγάρι, φθίνων, φθίνων αμφίκυρτος
🌗	διάστημα, σελήνη, σελήνη τελευταίου τετάρτου, τέταρτο, φεγγάρι
🌘	διάστημα, καιρός, μηνίσκος, φεγγάρι, φθίνων, φθίνων μηνίσκος
🌙	διάστημα, ημισέληνος, καιρός, μηνίσκος, πανσέληνος, φεγγάρι
🌚	διάστημα, καιρός, νέα σελήνη με πρόσωπο, πρόσωπο, φεγγάρι
🌛	διάστημα, πρόσωπο, σελήνη, σελήνη πρώτου τετάρτου με πρόσωπο, τέταρτο, φεγγάρι
🌜️	πρόσωπο, σελήνη, σελήνη τελευταίου τετάρτου με πρόσωπο, τέταρτο, φεγγάρι, όνειρα
🌡️	θερμόμετρο, καιρός
☀️	ήλιος, ακτίνες, διάστημα, ηλιόλουστος, καιρός, φωτεινός
🌝	γεμάτο, διάστημα, καιρός, πανσέληνος, πανσέληνος με πρόσωπο, πρόσωπο, φεγγάρι, φωτεινό
🌞	ήλιος, ήλιος με πρόσωπο, διάστημα, ζέστη, ηλιόλουστος, καιρός, λάμπω, λαμπερός, μέρα, παραλία, πρόσωπο, φωτεινός
🪐	Κρόνος, πλανήτης, πλανήτης με δακτύλιο, σαρδόνιος
⭐️	αστέρι, αστέρια, αστρονομία, λευκό μεσαίο αστέρι
🌟	αστέρι, αστράφτω, αστραφτερό, γυαλιστερό, κερδίζω, λάμπω, λάμψη, λαμπερό, λαμπερό αστέρι, νικάω, νύχτα
🌠	αστέρι, αστέρι που πέφτει, διάστημα, νύχτα, πεφταστέρι, που πέφτει
🌌	γαλαξίας, διάστημα, καιρός
☁️	καιρός, σύννεφο
⛅️	ήλιος, ήλιος πίσω από σύννεφο, καιρός, σύννεφο
⛈️	αστραπή, βροντή, βροχή, καιρός, καταιγίδα, κεραυνός, σύννεφο, σύννεφο με αστραπή και βροχή
🌤️	ήλιος, ήλιος πίσω από μικρό σύννεφο, καιρός, σύννεφο
🌥️	ήλιος, ήλιος πίσω από μεγάλο σύννεφο, καιρός, σύννεφο
🌦️	ήλιος, ήλιος πίσω από σύννεφο με βροχή, βροχή, καιρός, σύννεφο
🌧️	βροχή, καιρός, σύννεφο, σύννεφο με βροχή
🌨️	καιρός, κρύο, σύννεφο, σύννεφο με χιόνι, χιονίζει, χιόνι
🌩️	αστραπή, καιρός, σύννεφο, σύννεφο με αστραπή
🌪️	ανεμοστρόβιλος, καιρός, στρόβιλος, σύννεφο, τυφώνας
🌫️	καιρός, ομίχλη, σύννεφο
🌬️	άνεμος, αέρας, καιρός, πρόσωπο, πρόσωπο ανέμου, σύννεφο
🌀	ζαλισμένος, καιρός, κυκλώνας, τυφώνας
🌈	ΛΟΑΤΚΙ, αμφιφυλόφιλος, βροχή, διεμφυλικός, καιρός, κοινότητα ομοφυλόφιλων, λεσβία, ομοφυλόφιλος, ουράνιο τόξο, περηφάνια, τρανσέξουαλ, υπερηφάνεια, φύση
🌂	βροχή, ενδυμασία, καιρός, κλειστή ομπρέλα, ομπρέλα
☂️	βροχή, ενδυμασία, καιρός, ομπρέλα
☔️	βροχή, ενδυμασία, καιρός, ομπρέλα, ομπρέλα με σταγόνες βροχής, σταγόνα
⛱️	ήλιος, βροχή, καιρός, ομπρέλα, ομπρέλα θαλάσσης, ομπρέλα στο έδαφος
⚡️	αγγελιοφόρος, αστραπή, ηλεκτρικό, ηλεκτρισμός, κίνδυνος, κεραυνός, τάση, υψηλή τάση, φύση, χτύπημα
❄️	καιρός, κρύο, χιονονιφάδα, χιόνι
☃️	καιρός, κρύο, χιονάνθρωπος, χιόνι
⛄️	καιρός, κρύο, χιονάνθρωπος, χιονάνθρωπος χωρίς χιόνι, χιόνι
☄️	διάστημα, κομήτης
🔥	εργαλείο, φλόγα, φωτιά
💧	δάκρυ, ιδρώτας, καιρός, κρύο, κόμικ, λυπημένος, νερό, στάλα, σταγόνα, φύση
🌊	αφρός κυμάτων, θαλάσσιο κύμα, καιρός, κύμα, σέρφερ, σέρφινγκ, σερφ, φύση, ψηλό κύμα, ωκεανός
🎃	Τζακ, απόκριες, γιορτή, κολοκύθα, φανάρι, φανάρι από κολοκύθα, χάλοουγιν
🎄	γιορτή, δέντρο, χριστουγεννιάτικο δέντρο, χριστούγεννα
🎆	βεγγαλικά, γιορτή, γιόλο, διασκέδαση, εορτασμός, μπουμ, πυροτεχνήματα
🎇	άνθηση, αστράκι, βοή, γιορτή, λάμψη, πυροτεχνήματα
🧨	ανάβω, δυναμίτης, εκρηκτικά, εκρηκτικός, εκτινάσσομαι, κροτίδα, πετάγομαι, πυροτεχνήματα, σπίθα, φωτιά
✨️	*, αστέρι, αστράκια, λάμψη, μαγεία, σπίθα, σπίθες
🎈	γενέθλια, γιορτάζω, γιορτή, μπαλόνι
🎉	γενέθλια, γιορτάζω, γιορτή, γιούχου, ενθουσιασμένος, ζήτω, καταπληκτικός, κομφετί, κονφετί, ορίστε, πάρτι, χαρτοπόλεμος
🎊	αποκριάτικος χορός, γιορτάζω, γιορτή, γιούχου, κομφετί, κονφετί, μπάλα, πάρτι, χορός, χορός με κονφετί
🎋	γιορτή, δέντρο, δέντρο ταναμπάτα, ιαπωνικό, μπάνερ
🎍	γιορτή, διακοσμητικό πεύκο, ιαπωνικό, μπαμπού, πεύκο, φυτό
🎎	γιορτή, ιαπωνικές κούκλες, ιαπωνικό, κούκλα, φεστιβάλ
🎏	γιορτή, διακοσμητικοί κυπρίνοι, διακοσμητικός, κυπρίνος
🎐	άνεμος, ανεμική αρμονική κωδωνοκρουσία, γιορτή, κουδούνι, κωδωνοκρουσία, μελωδός, χτυπώ καμπανάκι
🎑	γιορτή, τελετή, τελετή θέασης της σελήνης, φεγγάρι
🧧	δώρο, καλή τύχη, κόκκινος φάκελος, λεφτά, χρήματα, χρηματικό δώρο
🎀	γιορτή, κορδέλα
🎁	Χριστούγεννα, έκπληξη, γενέθλια, γιορτή, δώρο, εορτασμός, κουτί, τυλιγμένο, τυλιγμένο δώρο
🎗️	γιορτή, κορδέλα, κορδέλα τιμής, υπενθύμιση
🎟️	είσοδος, εισιτήριο, κάρτες εισόδου
🎫	είσοδος, εισιτήριο
🎖️	γιορτή, εορτασμός, παράσημο, στρατιωτικό, στρατιωτικό παράσημο
🏆️	άθλημα, βραβείο, κύπελλο, νίκη, νικάω, πρωταθλητές, πρωταθλητής, τρόπαιο
🏅	έπαθλο, βραβείο, μετάλιο, μετάλλιο, νικητής, χρυσό
🥇	μετάλλιο, μετάλλιο 1ης θέσης, πρώτος, χρυσό
🥈	αργυρό, δεύτερος, μετάλλιο, μετάλλιο 2ης θέσης
🥉	μετάλλιο, μετάλλιο 3ης θέσης, τρίτος, χάλκινο
⚽️	άθλημα, μπάλα, μπάλα ποδοσφαίρου, ποδόσφαιρο
⚾️	μπάλα, μπάλα μπέιζμπολ, σπορ
🥎	άθλημα, από χαμηλά, γάντι, μπάλα, σπορ, σόφτμπολ
🏀	άθλημα, διχτάκι, μπάλα, μπάλα μπάσκετ, σπορ, στεφάνη
🏐	αγώνας, μπάλα, μπάλα βόλεϊ
🏈	αμερικανικό, μπάλα, μπάλα αμερικάνικου ποδοσφαίρου, φούτμπολ
🏉	άθλημα, μπάλα, μπάλα ράγκμπι, ποδόσφαιρο, ράγκμπι, σπορ
🎾	μπάλα, μπάλα τένις, ρακέτα
🥏	ultimate, απόλυτο, δίσκος, ιπτάμενος δίσκος, φρίσμπι
🎳	άθλημα, μπάλα, μπόουλινγκ, παιχνίδι, σπορ, στράικ
🏏	αγώνας, κρίκετ, μπάλα, ρόπαλο
🏑	αγώνας, γήπεδο, μπάλα, μπαστούνι, χόκεϊ, χόκεϊ επί χόρτου
🏒	αγώνας, δίσκος, μπαστούνι, πάγος, χόκεϊ, χόκεϊ επί πάγου
🥍	γκολ, λακρός, μπάλα, ρακέτα, ρακέτα για λακρός, σπορ
🏓	μπάλα, παιχνίδι, πινγκ πονγκ, ρακέτα, ρακέτα πινγκ πονγκ
🏸	αγώνας, μπάντμιντον, μπαλάκι του μπάντμιντον, ρακέτα, φτερό
🥊	γάντι, γάντι του μποξ, μποξ, σπορ
🥋	καράτε, πολεμικές τέχνες, στολή, στολή πολεμικών τεχνών, τάε κβο ντο, τζούντο
🥅	γκολ, δίχτυ, σπορ, τέρμα
⛳️	γκολφ, σημαία σε οπή, σπορ, τρύπα
⛸️	πάγος, πατινάζ, πατινάζ στον πάγο
🎣	καλάμι, καλάμι ψαρέματος, ψάρι, ψαρεύω
🤿	αυτοκατάδυση, κατάδυση, κατάδυση με αναπνευστήρα, μάσκα κατάδυσης
🎽	αθλητικά, δρομέας, μπλουζάκι δρομέα, μπλούζα, τρέξιμο, φανέλα
🎿	άθλημα, σκι, σπορ, χιονοπέδιλα, χιόνι
🛷	έλκηθρο, γλιστρώ, πίστα, πίστες, τσουλήθρα, τσουλώ, χιόνι
🥌	κυρτή πέτρα, πέτρα, πέτρα κέρλινγκ, παιχνίδι
🎯	βελάκι, βελάκια, διάνα, κέντρο, παιχνίδι, στόχος, ταμπλό, χτύπημα
🪀	ανεβοκατεβαίνω, γιογιό, διακύμανση, κουνιέμαι, κυμαίνομαι, παιχνίδι
