‾	garis atas
👨🏼‍🤝‍👨🏾	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit cerah-sedang, warna kulit gelap-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah-sedang, warna kulit gelap-sedang, zodiak
👨🏼‍🤝‍👨🏿	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit cerah-sedang, warna kulit gelap, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah-sedang, warna kulit gelap, zodiak
👨🏽‍🤝‍👨🏻	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit sedang, warna kulit cerah, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah, warna kulit sedang, zodiak
👨🏽‍🤝‍👨🏼	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit sedang, warna kulit cerah-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah-sedang, warna kulit sedang, zodiak
👬🏽	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit sedang, zodiak
👨🏽‍🤝‍👨🏾	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit sedang, warna kulit gelap-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap-sedang, warna kulit sedang, zodiak
👨🏽‍🤝‍👨🏿	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit sedang, warna kulit gelap, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap, warna kulit sedang, zodiak
👨🏾‍🤝‍👨🏻	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap-sedang, warna kulit cerah, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah, warna kulit gelap-sedang, zodiak
👨🏾‍🤝‍👨🏼	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap-sedang, warna kulit cerah-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah-sedang, warna kulit gelap-sedang, zodiak
👨🏾‍🤝‍👨🏽	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap-sedang, warna kulit sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap-sedang, warna kulit sedang, zodiak
👬🏾	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap-sedang, zodiak
👨🏾‍🤝‍👨🏿	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap-sedang, warna kulit gelap, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap, warna kulit gelap-sedang, zodiak
👨🏿‍🤝‍👨🏻	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap, warna kulit cerah, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah, warna kulit gelap, zodiak
👨🏿‍🤝‍👨🏼	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap, warna kulit cerah-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit cerah-sedang, warna kulit gelap, zodiak
👨🏿‍🤝‍👨🏽	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap, warna kulit sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap, warna kulit sedang, zodiak
👨🏿‍🤝‍👨🏾	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap, warna kulit gelap-sedang, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap, warna kulit gelap-sedang, zodiak
👬🏿	berteman, cowok, dua pria bergandengan, dua pria bergandengan: warna kulit gelap, gandeng, gemini, kembar, pasangan, pegangan, pria, tangan, warna kulit gelap, zodiak
💏	berciuman, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang
💏🏻	berciuman, berciuman: warna kulit cerah, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, warna kulit cerah
💏🏼	berciuman, berciuman: warna kulit cerah-sedang, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, warna kulit cerah-sedang
💏🏽	berciuman, berciuman: warna kulit sedang, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, warna kulit sedang
💏🏾	berciuman, berciuman: warna kulit gelap-sedang, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, warna kulit gelap-sedang
💏🏿	berciuman, berciuman: warna kulit gelap, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, warna kulit gelap
👩‍❤‍💋‍👨	berciuman, berciuman: wanita, pria, cinta, cium, kasih, pacar, pacaran, pasangan, pria, romantis, sayang, wanita
👨‍❤‍💋‍👨	berciuman, berciuman: pria, pria, cinta, cium, kasih, pacar, pacaran, pasangan, pria, romantis, sayang
👩‍❤‍💋‍👩	berciuman, berciuman: wanita, wanita, cinta, cium, kasih, pacar, pacaran, pasangan, romantis, sayang, wanita
💑	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, romantis, sayang
💑🏻	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: warna kulit cerah, romantis, sayang, warna kulit cerah
💑🏼	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: warna kulit cerah-sedang, romantis, sayang, warna kulit cerah-sedang
💑🏽	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: warna kulit sedang, romantis, sayang, warna kulit sedang
💑🏾	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: warna kulit gelap-sedang, romantis, sayang, warna kulit gelap-sedang
💑🏿	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: warna kulit gelap, romantis, sayang, warna kulit gelap
👩‍❤‍👨	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: wanita, pria, pria, romantis, sayang, wanita
👨‍❤‍👨	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: pria, pria, pria, romantis, sayang
👩‍❤‍👩	cinta, hati, hubungan, kasih, pacar, pasangan, pasangan dengan hati, pasangan dengan hati: wanita, wanita, romantis, sayang, wanita
👨‍👩‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, wanita, anak laki-laki, mama, papa, pria, wanita
👨‍👩‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, wanita, anak perempuan, mama, papa, pria, wanita
👨‍👩‍👧‍👦	anak, anak laki-laki, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, wanita, anak perempuan, anak laki-laki, mama, papa, pria, wanita
👨‍👩‍👦‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, wanita, anak laki-laki, anak laki-laki, mama, papa, pria, wanita
👨‍👩‍👧‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, wanita, anak perempuan, anak perempuan, mama, papa, pria, wanita
👨‍👨‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, pria, anak laki-laki, mama, papa, pria
👨‍👨‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, pria, anak perempuan, mama, papa, pria
👨‍👨‍👧‍👦	anak, anak laki-laki, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, pria, anak perempuan, anak laki-laki, mama, papa, pria
👨‍👨‍👦‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, pria, anak laki-laki, anak laki-laki, mama, papa, pria
👨‍👨‍👧‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, pria, anak perempuan, anak perempuan, mama, papa, pria
👩‍👩‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: wanita, wanita, anak laki-laki, mama, papa, wanita
👩‍👩‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, wanita, anak perempuan, mama, papa, wanita
👩‍👩‍👧‍👦	anak, anak laki-laki, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, wanita, anak perempuan, anak laki-laki, mama, papa, wanita
👩‍👩‍👦‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: wanita, wanita, anak laki-laki, anak laki-laki, mama, papa, wanita
👩‍👩‍👧‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, wanita, anak perempuan, anak perempuan, mama, papa, wanita
👨‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, anak laki-laki, mama, papa, pria
👨‍👦‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: pria, anak laki-laki, anak laki-laki, mama, papa, pria
👨‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, anak perempuan, mama, papa, pria
👨‍👧‍👦	anak, anak laki-laki, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, anak perempuan, anak laki-laki, mama, papa, pria
👨‍👧‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: pria, anak perempuan, anak perempuan, mama, papa, pria
👩‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: wanita, anak laki-laki, mama, papa, wanita
👩‍👦‍👦	anak, anak laki-laki, ayah, bapak, ibu, keluarga, keluarga: wanita, anak laki-laki, anak laki-laki, mama, papa, wanita
👩‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, anak perempuan, mama, papa, wanita
👩‍👧‍👦	anak, anak laki-laki, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, anak perempuan, anak laki-laki, mama, papa, wanita
👩‍👧‍👧	anak, anak perempuan, ayah, bapak, ibu, keluarga, keluarga: wanita, anak perempuan, anak perempuan, mama, papa, wanita
🗣️	bayangan, berbicara, bicara, kepala, kepala berbicara, muka, ngomong, siluet, wajah
👤	bayangan, misteri, siluet, siluet foto setengah badan
👥	bayangan, beberapa siluet foto setengah badan, kawan, orang, semua orang, setiap orang, siluet, teman
🫂	halo, hangat, kasih sayang, nyaman, orang, orang berpelukan, peluk, perpisahan, rangkul, sahabat, selamat tinggal, terima kasih
👪️	anak, ayah, bapak, ibu, keluarga, mama, papa
🧑‍🧑‍🧒	anak, keluarga: orang dewasa, keluarga: orang dewasa, orang dewasa, anak, orang dewasa
🧑‍🧑‍🧒‍🧒	anak, keluarga: orang dewasa, keluarga: orang dewasa, orang dewasa, anak, anak, orang dewasa
🧑‍🧒	anak, keluarga: orang dewasa, keluarga: orang dewasa, anak
🧑‍🧒‍🧒	anak, keluarga: orang dewasa, keluarga: orang dewasa, anak, anak
👣	badan, jejak, jejak kaki, kaki, tubuh
🫆	detektif, forensik, identitas, jejak, keamanan, kriminal, misteri, petunjuk, sidik jari
🦰	cokelat kemerahan, rambut merah
🦱	afro, ikal, keriting, rambut keriting
🦳	abu-abu, putih, rambut, rambut putih, tua
🦲	botak, gundul, kemoterapi, tak berambut
🐵	binatang, hewan, monyet, muka, wajah, wajah monyet
🐒	binatang, hewan, monyet, pisang
🦍	binatang, gorila, hewan, kingkong
🦧	beruk, binatang, hewan, kera, monyet, orangutan
🐶	anjing, binatang, hewan, mamalia, muka, wajah, wajah anjing
🐕️	anjing, binatang, hewan, peliharaan
🦮	aksesibilitas, anjing pemandu, buta, memandu, panduan, pemandu, tunanetra
🐕‍🦺	aksesibilitas, anjing, anjing pembimbing, bantuan, bimbingan, layanan, pemandu, pembimbing
🐩	anjing, binatang, bulu lembut, hewan, pudel
🐺	binatang, hewan, muka, serigala, wajah
🦊	hewan, muka, rubah, wajah
🦝	binatang, cekatan, cerdik, hewan, licik, lihai, pandai, penasaran, pintar, rakun
🐱	anak kucing, binatang, hewan, kucing, muka, peliharaan, wajah, wajah kucing
🐈️	anak kucing, binatang, hewan, kucing, peliharaan
🐈‍⬛	binatang, hewan, hitam, kesialan, kucing, kucing hitam, meong, mitos, nasib buruk, sial, takhayul
🦁	Leo, alfa, aum, binatang, hewan, kuat, muka, safari, singa, surai, wajah, zodiak
🐯	besar, binatang, harimau, hewan, kucing, macan, muka, predator, wajah, wajah harimau
🐅	besar, binatang, harimau, hewan, kebun binatang, kucing, macan, predator
🐆	besar, binatang, hewan, kebun binatang, macan tutul, predator
🐴	binatang, hewan, kuda, mamalia, muka, wajah, wajah kuda
🫎	binatang, elk, hewan, mamalia, moose, rusa, rusa besar, tanduk
🫏	binatang, bodoh, hewan, himar, kedelai, keledai, kelede, keras kepala, mamalia, tendang
🐎	balap, binatang, hewan, kuda, pacuan
🦄	muka, unicorn, wajah
🦓	belang, binatang, hewan, zebra
🦌	binatang, hewan, rusa
🦬	bison, bison Eropa, hewan, kawanan, kerbau
🐮	binatang, hewan, moo, muka, peternakan, sapi, susu, wajah, wajah sapi
🐂	banteng, binatang, hewan, lembu, taurus, zodiak
🐃	air, binatang, hewan, kerbau
🐄	binatang, hewan, moo, sapi, susu
🐷	babi, bakon, binatang, hewan, muka, wajah, wajah babi
🐖	babi, babi betina, binatang, hewan, peternakan
🐗	babi, babi hutan, binatang, hewan
🐽	babi, hidung, hidung babi, muka, wajah
🐏	aries, binatang, domba, domba jantan, hewan, kebun binatang, mamalia, tanduk, zodiak
🐑	betina, binatang, bulu lembut, domba, domba betina, hewan, peternakan, wol
🐐	binatang, capricorn, hewan, kambing, peternakan, susu, zodiak
🐪	binatang, dromedari, gurun, hewan, punuk, satu, unta
🐫	baktrian, binatang, dua, gurun, hewan, punuk, unta, unta berpunuk dua
🦙	alpaca, alpaka, binatang, guanaco, guanako, hewan, llama, vikuna, wol
🦒	binatang, bintik, hewan, jerapah
🐘	binatang, gajah, hewan
🦣	berbulu, besar, binatang, gading, hewan, mamut, punah, raksasa
🦏	badak, binatang, hewan
🦛	binatang, hewan, kuda nil, nil
🐭	binatang, hewan, muka, tikus, wajah, wajah tikus
🐁	binatang, hewan, tikus, tikus putih
🐀	binatang, hewan, tikus
🐹	binatang, hamster, hewan, hewan peliharaan, muka, wajah
🐰	binatang, hewan, hewan peliharaan, kelinci, muka, wajah, wajah kelinci
🐇	binatang, hewan, hewan peliharaan, kelinci
🐿️	binatang, hewan, tupai
🦫	bendungan, berang-berang, binatang, biwara, gigi, hewan
🦔	berduri, binatang, hewan, landak
🦇	binatang, hewan, kelelawar, vampir
🐻	beruang, binatang, grizzly, hewan, madu, muka, wajah
🐻‍❄	arktika, beruang, beruang kutub, putih
🐨	australia, bawah, beruang, binatang, hewan, koala, marsupial, muka, wajah
🐼	bambu, binatang, hewan, muka, panda, wajah
🦥	kungkang, lamban, lambat, lelet, malas, pelan
🦦	bahagia, berang-berang, ceria, gembira, memancing ikan, menangkap ikan
🦨	bau, busuk, sigung
🦘	anak kanguru, berkantung, binatang, hewan, kangguru, kanguru, lompat, loncat, marsupial
🦡	binatang, hewan, luak, luwak, madu, musang, pengganggu
🐾	cakar, jejak, jejak hewan, jejak kaki hewan, kaki
🦃	binatang, burung, hewan, kalkun, thanksgiving
🐔	ayam, binatang, burung, hewan, ornitologi
🐓	ayam, ayam jago, binatang, burung, hewan, ornitologi
🐣	anak ayam, ayam, bayi, binatang, hewan, itik menetas, menetas, telur
🐤	anak ayam, ayam, bayi, binatang, burung, hewan, itik bayi, ornitologi
🐥	anak ayam, ayam, bayi, binatang, hewan, itik bayi menghadap ke depan, ornitologi
🐦️	binatang, burung, hewan, ornitologi
🐧	antarktika, binatang, burung, hewan, ornitologi, pinguin
🕊️	binatang, burung, damai, hewan, merpati, ornitologi, terbang
🦅	binatang, burung, elang, hewan, ornitologi
🦆	bebek, binatang, burung, hewan, ornitologi
🦢	anak angsa, angsa, angsa leher panjang, angsa muda, binatang, buruk rupa, burung, hewan, itik, ornitologi, soang
🦉	bijaksana, binatang, burung, burung hantu, hewan, ornitologi
🦤	Mauritius, besar, binatang, burung, dodo, hewan, ornitologi, punah
🪶	bulu, bulu ayam, burung, pena bulu, penerbangan, ringan
🦩	anggun, binatang, burung, flamboyan, flamingo, hewan, ornitologi, tropikal, tropis
🦚	bangga, binatang, burung, cantik, hewan, merak, merak betina, ornitologi, pamer, sok, sombong, warna-warni
🦜	bajak laut, bicara, binatang, burung, hewan, kakatua, nuri, ornitologi
🪽	bidadari, bulu, burung, malaikat, melayang, mitologi, mitos, penerbangan, sayap, terbang
🐦‍⬛	binatang, burung, burung hitam, gagak, hewan, hitam, ornitologi, paruh
🪿	angsa, angsa leher pendek, binatang, burung, gericau, hewan, konyol, ornitologi
🐦‍🔥	abadi, bangkit, burung api, fantasi, hidup kembali, kekal, kelahiran kembali, lahir kembali, phoenix, reinkarnasi
🐸	binatang, hewan, katak, kodok, muka, wajah
🐊	binatang, buaya, hewan, kebun binatang
🐢	binatang, hewan, kura-kura, penyu, reptil, terrapin
🦎	binatang, cicak, hewan, kadal, reptil
🐍	binatang, hewan, ofiukus, pembawa, reptil, ular, zodiak
🐲	binatang, dongeng, hewan, mistis, muka, naga, wajah, wajah naga
🐉	binatang, dongeng, hewan, kisah, ksatria, naga, peri
🦕	brachiosaurus, brontosaurus, dinosaur, diplodocus, sauropod
🦖	Rex, T, T-Rex, Tyrannosaurus, dinosaurus
🐳	binatang, hewan, ikan paus menyembur, laut, muka, pantai, paus, samudra, sembur, wajah
🐋	binatang, hewan, ikan paus, laut, pantai, paus, samudra
🐬	binatang, hewan, laut, lumba-lumba, pantai, samudra
🦭	anjing laut, binatang, hewan, laut, samudra, singa
🐟️	binatang, hewan, ikan, makan malam, memancing, pisces, zodiak
🐠	binatang, hewan, ikan, ikan tropis, tropis
🐡	binatang, hewan, ikan, ikan gembung
🦈	binatang, hewan, hiu, ikan
🐙	binatang, gurita, hewan, laut, mahluk, samudra
🐚	cangkang, cangkang spiral, kerang, laut, pantai, spiral
🪸	karang, koral, laut, lautan, perubahan iklim, samudra, terumbu karang
🪼	akuarium, binatang, hewan, invertebrata, jeli, kehidupan, laut, lautan, penyengat, plankton, samudra, sengat, tentakel, ubur-ubur
🐌	alam, binatang, hewan, keong, siput
🦋	cantik, kupu-kupu, serangga
🐛	binatang, hewan, kebun, serangga, serangga kecil, taman
🐜	binatang, hewan, kebun, semut, serangga, taman
🐝	alam, binatang, hewan, lebah, lebah madu, madu, musim semi, serangga
🪲	binatang, hewan, kumbang, serangga
🐞	alam, binatang, hewan, kebun, kepik, kumbang betina, perempuan, serangga, taman, wanita
🦗	belalang, hama, insek, jangkrik, serangga
🪳	binatang, coro, hama, hewan, kecoa, kecoak, lipas, serangga, sungut
🕷️	binatang, hewan, laba-laba, serangga
🕸️	jaring laba-laba, laba-laba, sarang
🦂	Scorpio, Scorpius, kalajengking, zodiak
🦟	demam, gigitan nyamuk, malaria, nyamuk, penyakit, sakit panas, serangga, virus
🪰	belatung, bersayap, binatang, busuk, hama, hewan, lalat, penyakit, serangga, terbang
🪱	annelida, binatang, cacing, cacing tanah, hermafrodit, hewan, melata, parasit
🦠	ameba, amuba, bakteri, ilmu pengetahuan, mikroba, sains, virus
💐	buket, bunga, karangan bunga, romantis, tanaman
🌸	bunga, mekar, musim semi, sakura, tanaman
💮	bunga, bunga putih, kembang, putih
🪷	Buddhisme, Hinduisme, bunga, damai, kecantikan, kembang, kesucian, ketenangan, tenang, teratai
🏵️	bros mawar, hiasan mawar, tanaman
🌹	bunga, mawar, tanaman
🥀	bunga, bunga kering, bunga layu, kecewa, layu, tanaman
🌺	bunga, kembang sepatu, tanaman, tumbuhan
🌻	bunga, bunga matahari, matahari, tanaman
🌼	bunga, bunga sitrus, mekar, tanaman
🌷	bunga, mekar, tanaman, tulip, tumbuhan
🪻	bunga, hyacinthus, indigo, kembang, lavender, lembayung, lupin, lupin biru, mulut singa, tanaman, tumbuhan, ungu, violet
🌱	daun, muda, semai, tanaman, tumbuhan, tunas
🪴	dalam pot, dekorasi, menanam, merawat, pot, rumah, tanaman pot, tumbuh, tumbuhan
🌲	hijau, pohon, pohon hijau abadi, pohon pinus, tanaman
🌳	gugur, hijau, pohon, pohon meranggas, tanaman
🌴	palem, pohon, pohon palem, tanaman, tropis
🌵	kaktus, padang pasir, pohon, tanaman
🌾	bulir, gandum, nasi, padi, seikat padi, tanaman
🌿	daun, herba, herbal, tanaman
☘️	clover, daun, irlandia, semanggi, shamrock, tanaman, tumbuhan
🍀	4, beruntung, daun, empat, empat daun semanggi, semanggi, tanaman
🍁	daun, daun maple, gugur, maple, tanaman
🍂	daun, daun berguguran, gugur, tanaman
🍃	angin, daun, daun tertiup angin, tanaman, terbang, tiup
🪹	bersarang, cabang, ranting, rumah, sarang, sarang burung, sarang burung kosong
🪺	bersarang, bertelur, burung, cabang, ranting, sarang, sarang dengan telur, telur, telur biru
🍄	jamur, mario bros, tanaman
🪾	gersang, kekeringan, musim dingin, pohon tanpa daun, tandus
🍇	Dionysus, anggur, buah
🍈	buah, melon
🍉	buah, semangka, tanaman
🍊	buah, buah jeruk, c, jeruk, oranye, vitamin
🍋	asam, buah, jeruk, lemon, masam
🍋‍🟩	asam, buah, jeruk, jeruk limau, jeruk nipis, kecut, koktail, mojito, salsa, segar, sitrus, tequila, tropis
🍌	buah, kalium, pisang, potasium
🍍	buah, colada, nanas, nenas, pina, tropikal, tropis
🥭	buah, makanan, mangga, tropis
🍎	apel, apel merah, buah, diet, kesehatan, makanan, matang, merah, sehat
🍏	apel, apel hijau, buah, hijau
🍐	buah, pir
🍑	buah, peach, persik
🍒	beri, buah, ceri, merah
🍓	beri, buah, stroberi
🫐	beri, bilberry, biru, bluberi, blueberry, buah, makanan
🥝	buah, buah kiwi, kiwi, makanan
🍅	buah, makanan, sayur, tomat
🫒	makanan, zaitun
🥥	colada, kelapa, palem, piña
🥑	alpukat, alpuket, avokad, avokado, buah, makanan
🍆	sayuran, terong, terung
🥔	kentang, makanan, sayur, sayuran
🥕	makanan, sayur, wortel
🌽	bonggol jagung, jagung, kebun, labirin, panen, perkebunan, telinga
🌶️	cabai, cabai pedas, panas, pedas
🫑	bel, cabai, makanan, paprika, sayuran
🥒	acar, ketimun, makanan, sayuran, timun
🥬	bok choy, burger, daun, hijau, kale, kubis, salad, selada, selada hijau
🥦	brokoli, kubis, liar
🧄	bawang putih, perisa
🧅	bawang, bawang bombai, bawang bombay, perisa
🥜	kacang, kacang tanah, makanan, sayur, sayuran
🫘	biji-bijian, ginjal, kacang merah, kacang-kacangan, kecil, legume, makanan
🌰	almon, kastanye, tanaman
🫚	akar, akar jahe, bir, bir pletok, hangat, herba, herbal, jahe, jamu, rempah
🫛	edamame, kacang, kacang polong, kedelai, kulit kacang, legum, polong, sayuran, soya
🍄‍🟫	alam, jamur, jamur cokelat, makanan, organik, portobello, sayuran, shitake, topping, topping piza, vegetarian
🫜	akar, bit, kebun, lobak, sayur, sayuran umbi, umbi
🍞	biji-bijian, gandum, karbo, makanan, restoran, roti, roti bakar, roti panggang
🥐	bulan sabit, croissant, gulung, makanan, prancis, roti, sarapan
🥖	baget, baguette, makanan, perancis, roti, roti baguette
🫓	arepa, gordita, lavash, makanan, naan, pita, roti, roti pipih
🥨	berkeluk, pretzel, simpul
🥯	bagel, roti, sarapan, schmear, toko roti
🥞	crepe, makanan, pancake, panekuk, sarapan, serabi
🧇	besi, bingung, sarapan, wafel, waffle
🧀	irisan, irisan keju, keju, potongan
🍖	daging, daging pada tulang, tulang
🍗	ayam, kaki, kaki ayam, kalkun, lapar, paha ayam, tulang, unggas
🥩	daging, daging babi, daging domba, irisan, merah, potongan, potongan daging, steak
🥓	babi asap, bacon, bakon, daging, makanan
🍔	burger, hamburger, lapar, makan, makanan, roti
🍟	goreng, kentang, kentang goreng, makanan
🍕	keju, makanan, pizza, potongan, roti
🌭	hot dog, hotdog, makanan, roti, sosis
🥪	roti, roti lapis, sandwich
🌮	khas meksiko, taco
🌯	bungkus, burrito, meksiko
🫔	dibungkus, makanan, meksiko, pamonha, tamale
🥙	falafel, kebab, makanan, roti isi, roti tawar isi
🧆	bakso, baso, bebola, falafel, kacang arab
🥚	makanan, telor, telur
🍳	goreng, makanan, memasak, menggoreng, sarapan, telur, wajan
🥘	kaserol, makanan, seafood, wajan, wajan dangkal
🍲	makanan, mangkuk, panci makanan, rebus, rebusan
🫕	cokelat, fondue, keju, makanan, meleleh, panci, ski
🥣	bubur, mangkok, mangkuk, mangkuk dengan sendok, oat, oatmeal, sarapan, sendok, sereal
🥗	hijau, salad, salad hijau, sayuran
🍿	berondong, bioskop, film, jagung, nonton, popcorn
🧈	mentega, produk susu
🧂	asin, bumbu, garam, kecewa, kesal, marah, perisa, rasa, sebal, wadah garam
🥫	kaleng, makanan, makanan kaleng
🍱	bento, kotak, kotak bento, makanan, nasi kotak
🍘	beras, biskuit, keripik, kerupuk beras, makanan
🍙	bola, jepang, makanan, nasi, nasi kepal
🍚	makanan, masak, nasi, nasi matang, putih
🍛	kari, makanan, nasi, nasi kari
🍜	indomie, makanan, mangkuk, mangkuk mengepul, mie, ramen, rebusan
🍝	italia, makanan, pasta, spageti, spaghetti
🍠	kentang, makanan, manis, panggang, ubi, ubi bakar, ubi panggang
🍢	kebab, laut, makanan, oden, otak-otak, sate, tempura, tusuk sate, udang
🍣	makanan, sushi
🍤	goreng, tempura, udang, udang goreng
🍥	ikan, kue, kue ikan dengan desain pusaran, makanan, pastri, pusaran
🥮	festival, kue bulan, musim gugur, perayaan, yuèbǐng
🍡	dango, jepang, makanan, manis, penutup, sate, stik
🥟	dumpling, empanada, gyoza, jiaozi, pangsit, pierogi
🥠	kue, kue keberuntungan, ramalan
🥡	bungkus, ember, kotak, kotak makanan, makanan, pesan antar, sumpit, tiram
🦀	Cancer, kepiting, zodiak
🦞	binatang, bisque, boga bahari, capit, hewan, lobster, seafood
🦐	binatang, hewan, ikan bercangkang, makanan, udang
🦑	binatang, cumi, cumi-cumi, hewan, makanan, moluska
🦪	menyelam, mutiara, selam, tiram
🍦	es, es krim lembut, krim, lembut, makanan, manis, penutup
🍧	es, es serut, makanan, manis, penutup, serut
🍨	es, es krim, krim, makanan, manis, penutup
🍩	donat, makanan, makanan penutup, manis, sarapan
🍪	biskuit, cokelat, keping, kue kering, makanan penutup, manis
🎂	bahagia, kue, kue ulang tahun, makanan penutup, manis, pastri, perayaan, selebrasi, ulang tahun
🍰	kue, makanan, manis, pastri, penutup, potongan
🧁	camilan, cupcake, gula, kue mangkok, kue mangkuk, makanan penutup, manis, pugasan, taburan, toko roti
🥧	apel, buah, daging, irisan, isian, labu kuning, pai, pastri
🍫	batangan, cemilan, cokelat, makanan, manis, penutup, sebatang cokelat
🍬	makanan, manis, penutup, permen
🍭	lolipop, makanan, makanan penutup, manis, permen, permen lolipop, restoran
🍮	custard, makanan penutup, manis, puding, puding susu
🍯	beruang, kendi, madu, makanan, manis, toples, toples madu
🍼	bayi, botol, botol bayi, minuman, susu
🥛	gelas, gelas susu, minum, susu
☕️	kafein, kopi, mengepul, minuman, minuman hangat, panas, teh
🫖	makanan, minum, seduh, teh, teko
🍵	cangkir, cangkir teh tanpa gagang, cawan, gagang, minum, minuman, oolong, teh
🍶	bar, botol, cangkir, cawan, minum, minuman, restoran, sake
🍾	bar, botol, botol dengan penyumbat terlepas, gabus, minuman, sumbat
🍷	alkohol, bar, gelas, gelas anggur, klub, minum, minuman, minuman keras, restoran, wine
🍸️	bar, gelas, gelas cocktail, koktail, minuman
