‾	üst çizgi
🍥	balık, balık köftesi, gıda, restoran, rulo balık köftesi, yiyecek, çörek
🥮	ay pastası, festival, kek, pasta, sonbahar, tatlı, yemek, yiyecek, yuèbǐng, çörek
🍡	Japon pirinç tatlısı, dango, gıda, pirinç tatlısı, pirinç tatlısı topları, restoran, tatlı, çubukta pirinç tatlısı topları
🥟	empanada, gyōza, gıda, hamur köftesi, haşlanmış içli hamur, jiaozi, mantı, pierogi, potsticker
🥠	fal kurabiyesi, gıda, içinden fal çıkan çin kurabiye, kehanet, talih kurabiyesi, şans kurabiyesi
🥡	eve servis, gıda, kutu, paket yemek, yemek, yiyecek, yiyecek paketi, çin yemeği
🦀	burç, deniz, yengeç, ıstakoz
🦞	bisque, deniz ürünü, hayvan, kabuklu, kırmızı, kıskaç, ıstakoz
🦐	deniz, deniz mahsulü, kabuklu deniz hayvanı, karides, küçük, okyanus, yiyecek
🦑	mürekkep balığı, okyanus, yiyecek, yumuşakçalar sınıfı
🦪	dalma, inci, istiridye
🍦	dondurma, dondurma külahı, gıda, krema, külah, restoran, vanilyalı dondurma, yumuşak dondurma
🍧	buz, meyveli, meyveli buz, restoran
🍨	buz, dondurma, gıda, krema, kup, restoran, tatlı
🍩	donat, donut, doughnut, gıda, restoran, tatlı, yiyecek, çikolatalı donut, çikolatalı lokma
🍪	cookie, gıda, kurabiye, restoran, çikolatalı kurabiye
🎂	dilek, doğum günü, doğum günü pastası, gıda, iyi ki doğdun, kek, krema, kutlama, mum, mutlu yıllar, nice senelere, parti, pasta, tatlı, yaş günü, yemek, yiyecek, üflemek
🍰	dilim pasta, doğum günü, gıda, pasta, pasta dilimi, restoran
🧁	cupcake, fırın, kapkek, kek, krema, muffin, pasta, pastane, pembe krema, tatlı, top kek, yemek, şekerli
🥧	elmalı pay, gıda, pasta, pay, poğaça, tart, tatlı, yemek, şeftalili pay
🍫	bar, gıda, restoran, tatlı, çikolata, çikolata barı
🍬	bayram, restoran, şeker, şekerleme
🍭	bayram, gıda, lolipop, restoran, çocuk, şeker, şekerleme
🍮	gıda, krem karamel, puding, restoran, tatlı
🍯	bal, bal kabı, gıda, kahvaltı, kap, restoran, tatlı
🍼	bebek, biberon, içecek, küçük şişe, süt, şişe
🥛	bardak, gıda, içecek, süt, süt bardağı
☕️	dumanı tüten, içecek, kahve, sıcak, sıcak içecek, çay
🫖	demleme, demlik, içecek, çay, çay demlemek, çaydanlık
🍵	içecek, yeşil çay, çay, çay fincanı
🍶	bar, fincan, içecek, restoran, sake, sake şişesi ve fincanı, şişe
🍾	bar, içki, kutlama, mantar, patlayan mantarlı şişe, şampanya, şişe
🍷	bar, bardak, bardak şarap, içecek, içedek, kadeh, kırmızı şarap, restoran, şarap bardağı, şarap kadehi
🍸️	bar, kokteyl, kokteyl bardağı, kokteyl kadehi, restoran
🍹	bar, içecek, kokteyl, restoran, tropik, tropik içecek
🍺	bar, bira kupası, kupa, restoran
🍻	bar, bira, bira kupaları tokuşturma, içki, kupa, kupalar, restoran
🥂	bardak, içecek, kadeh tokuşturma, kutlama, tokuşturma, şampanya
🥃	bardak, içki, kısa ve geniş, kısa ve geniş bardak, likör, tek içki, viski
🫗	bardak, boş, cam, dök, dökme, dökmek, dökülen sıvı, içecek, kaza, sıvı
🥤	ayran, gazoz, içecek, kamışlı bardak, kola, pipetli bardak, plastik bardak
🧋	baloncuk, boba, bubble tea, inci, inci çayı, içecek, süt, tayvan, çay
🧃	içecek, içecek kutusu, kutu, kutu meyve suyu, meyve suyu, pipet
🧉	içecek, mate çayı
🧊	aysberg, buz, buz küpü, soğuk
🥢	chopsticks, yemek çubukları, yemek çubuğu, çin yemek çubuğu
🍽️	bıçak, tabak, tabakla birlikte çatal ve bıçak, yemek, çatal
🍴	akşam yemeği, aç, beslenmek, brunch, bıçak, eline sağlık, kahvaltı, leziz, meyhane, mutfak, pişirmek, restoran, yemek, yiyecek, çatal, çatal ve bıçak, öğle yemeği
🥄	kaşık, yemek, yemek takımı
🔪	bıçak, mutfak bıçağı
🫙	baharatlık, bitmiş, boş, cam, kap, kavanoz, mutfak, saklama kabı, sos, tamtakır
🏺	alet, amfora, antika, içecek, kap, silah
🌍	Afrika, Avrupa, dünya, yerküre, yerkürede Avrupa-Afrika, yerkürede avrupa-afrika
🌎️	Amerika, Amerika bölgeleri, dünya, yerküre, yerkürede Amerika, yerkürede amerika
🌏	Asya, Avustralya, dünya, yerküre, yerkürede Asya-Avustralya, yerkürede asya-avustralya
🌐	boylamlar, dünya, meridyen, meridyenli yerküre, yerküre
🗺️	dünya, dünya haritası, harita
🗾	Japonya, Japonya haritası, harita, japonya haritası
🧭	hedef bulma, kaybolmak, manyetik, navigasyon, oryantiring, pusula, yön bulma
🏔️	dağ, kar, karla kaplı dağ, soğuk, uludağ
⛰️	dağ
🌋	dağ, doğa, volkan, yanardağ, yanardağ patlaması
🗻	Fuji Dağı, dağ, fuji dağı
🏕️	kamp, kamp yapma
🏖️	ada, kumsal, plaj, plaj ve şemsiye, tatil, şemsiye
🏜️	güneş, sıcak, çöl
🏝️	ada, çöl, ıssız ada
🏞️	açık hava, doğa, milli park, orman, park, ulusal park
🏟️	maç, stadyum
🏛️	bina, klasik, tarihi, tarihi yapı
🏗️	bina, bina inşaatı, inşaat, iş makinası, vinç
🧱	duvar, duvar örmek, harç, inşaat, kil, kiremit, kırmızı, seramik, taş, tuğla, tuğlalar
🪨	ağır, büyük kaya, katı, kaya, kayalık, sert, seyahat, taş, çakıl
🪵	ahşap, ağaç, kereste, kütük, odun, seyahat, tomruk
🛖	baraka, ev, kulübe, seyahat, sığınak, yer, yurt
🏘️	bina, ev, evler, komşu, konut, site
🏚️	bina, ev, harabe, terkedilmiş ev
🏠️	bina, ev, konut, yuva
🏡	bahçe, bahçeli ev, bina, ev, evim evim güzel evim, yazlık
🏢	belediye, bina, devlet dairesi, ofis, ofis binası
🏣	Japon, Japon postanesi, bina, japon postanesi, posta, postane
🏤	Avrupa, Avrupa postanesi, bina, posta, postane
🏥	bina, hastane, klinik, sağlık ocağı
🏦	banka, bina, dolar, para
🏨	bina, kalacak yer, otel
🏩	aşk, aşk oteli, bina, otel
🏪	24 saat açık, bina, market, sürekli açık, sürekli açık market
🏫	bina, ilkokul, lise, okul, okul binası
🏬	büyük mağaza, mağaza, çok katlı, çok katlı mağaza
🏭️	bina, fabrika, sanayi
🏯	Japon şatosu, bina, japon kalesi, kale, şato
🏰	avrupalı, bina, kale, şato
💒	düğün, evlenme, kilise, kilisede evlenme, romantizm
🗼	Tokyo, Tokyo kulesi, kule, tokyo kulesi
🗽	heykel, new york, nyc, Özgürlük Heykeli, özgürlük, özgürlük heykeli
⛪️	Hristiyan, bina, din, haç, hristiyan, kilise, papaz
🕌	Müslüman, cami, din, ibadet, ibadethane, islam, mescit, müslüman, İslam
🛕	Hindu tapınağı, hindu, tapınak
🕍	Yahudi, din, musevi, sinagog, tapınak, yahudi
⛩️	din, tapınak, Şinto tapınağı, şinto, şinto tapınağı
🕋	Kâbe, din, islam, kabe, kâbe, müslüman
⛲️	fıskiye, süs havuzu, çeşme
⛺️	kamp, kamp yeri, çadır
🌁	sis, sisli
🌃	gece, yıldızlar, yıldızlı gece, şehir
🏙️	bina, gökdelen, şehir, şehir manzarası
🌄	dağ, dağların arasından güneşin doğuşu, dağların ardında güneş, güneş, sabah güneşi
🌅	gün doğumu, güneş, güneşin doğuşu, sabah, sabah güneşi, şafak
🌆	akşam, alacakaranlık, bina, gün batımı, manzara, şehir, şehirde alacakaranlık
🌇	alacakaranlık, bina, binaların üzerinden gün batımı, gökdelen, gün batımı, maslak, new york, şehir
🌉	boğaz, gece, gece vakti köprü, golden gate, köprü, manzara
♨️	hamam, kaplıca, sıcak, ılıca
🎠	at, atlı karınca, atlıkarınca, atlıkarınca atı, eğlence, karusel
🛝	eğlence, eğlence parkı, kaydırak, kaymak, oyun, park, çocuk, çocuk parkı
🎡	dolap, dönme, dönme dolap, eğlence, eğlence parkı, lunapark
🎢	eğlence, eğlence parkı, hız, hız treni, lunapark, roller coaster, tren
💈	berber, berber dükkanı, berber işareti, işaret
🎪	eğlence, sirk, sirk çadırı, çadır
🚂	buhar, buharlı lokomotif, lokomotif, seyahat, taşıt, tren, tren yolu
🚃	demir yolu, demiryolu, elektrik, elektrikli tren, taşıt, toplu taşıma, tramvay, vagon
🚄	hızlı tren, marmaray, metro, shinkansen, taşıt, tren, yüksek hızlı tren
🚅	hızlı tren, mermi burunlu, mermi burunlu shinkansen, shinkansen, taşıt, tren, yuvarlak uçlu yüksek hızlı tren
🚆	demiryolu, taşıt, tren
🚇️	marmaray, metro, taşıt, toplu taşıma, tren, ulaşım
🚈	demiryolu, hafif, hafif raylı, taşıt, tren, tren yolculuğu, tren yolu
🚉	istasyon, taşıt, tren, tren istasyonu, tren yolu
🚊	metrobüs, taşıt, tramvay
🚝	araç, metro, monoray, taşıt, tramvay
🚞	dağ, dağ demiryolu, dağ teleferiği, demiryolu, taşıt, teleferik, tren, vagon, yolculuk
🚋	taşıt, toplu taşıma, tramvay, tramvay vagonu, vagon
🚌	minibüs, otobüs, taşıt, toplu taşıma
🚍️	araba, otobüs, servis, taşıt, toplu taşıma, yaklaşan, yaklaşan otobüs
🚎	otobüs, taşıt, toplu taşıma, troley, troleybüs
🚐	minibüs, otobüs, taşıt, toplu taşıma
🚑️	acil, ambulans, taşıt
🚒	araba, itfaiye, itfaiye arabası, itfaiye kamyonu, taşıt, yangın
🚓	araba, devriye arabası, polis, polis arabası, taşıt
🚔️	polis, polis arabası, taşıt, yaklaşan polis arabası
🚕	araba, sarı taksi, taksi, taşıt
🚖	taksi, taşıt, yaklaşan taksi
🚗	araba, araç, otomobil, taşıt
🚘️	araba, araç, otomobil, taşıt, yaklaşan, yaklaşan araba
🚙	aile arabası, araba, cip, eğlence taşıtı, karavan, mavi araba, minivan, spor araba, taşıt
🛻	araba, araç, gitmek, kamyon, kamyonet, otomobil, pikap, seyahat, ulaşım, yol
🚚	eve servis, kamyon, nakliye kamyonu, taşıt, teslimat kamyonu, ulaştırma
🚛	araba, araç, kamyon, taşıt, treyler, tır, çekici
🚜	taşıt, traktör
🏎️	araba, gokart, yarış, yarış arabası
🏍️	motor, motosiklet, yarış
🛵	motor, motorlu skuter, skuter
🦽	erişilebilirlik, tekerlekli sandalye
🦼	akülü tekerlekli sandalye, elektrikli tekerlekli sandalye, erişilebilirlik
🛺	elektrikli çekçek, tuk tuk
🚲️	bisiklet, bisiklete binmek, cycling, sürüş, taşıt
🛴	ayak, ayakla sürülen skuter, skuter
🛹	kaykay, kaykaycı, kaymak, rampa, spor, tahta, tekerlek
🛼	paten, paten kaymak, patenle kaymak, roller blade, roller skate, seyahat, spor, tekerlek, tekerlekli paten, tekerlekli patenler
🚏	durak, minibüs durağı, otobüs, otobüs durağı, toplu taşıma
🛣️	anayol, cadde, otoban, otoyol, çevre yolu
🛤️	demiryolu, tren, tren yolu
🛢️	benzin, benzin fıçısı, fıçı, petrol, petrol varili, varil
⛽️	akaryakıt istasyonu, benzin, benzin istasyonu, benzinci, gaz, istasyon, pompa, yakıt, yakıt pompası
🛞	araba, dönüş, jant, lastik, oto, otomobil, seyahat, tekerlek, yedek parça, yolculuk, çark
🚨	alarm, araba, polis arabası, polis lambası, polis tepe lambası, siren, tepe lambası
🚥	trafik, trafik lambası, trafik sinyalleri, yatay trafik ışıkları, yatay trafik ışığı, ışık
🚦	dikey trafik ışıkları, dikey trafik ışığı, trafik, trafik lambası, trafik sinyalleri, trafik ışıkları, ışık
🛑	dur, dur işareti, işaret, sekizgen
🚧	inşaat, inşaat işareti, işaret
⚓️	denizci, denizcilik, gemi, işaret, tekne, çapa, çıpa
🛟	can simidi, cankurtaran, cankurtaran simidi, deniz, güvenlik, havuz, hayat kurtaran, kurtarmak, simit, yüzme, önlem
⛵️	deniz tatil yeri, deniz tatili, tatil yeri, tekne, yat, yelkenli tekne
🛶	bot, kano, kayık, tekne
🚤	bot, sürat teknesi, taşıt, tekne
🛳️	gemi, motor, taşıt, tekne, vapur, yolcu, yolcu gemisi
⛴️	arabalı vapur, feribot, gemi, tekne, vapur
🛥️	motor, motorlu tekne, taşıt, tekne, toplu taşıma, vapur, yat
🚢	gemi, seyahat, taşıt, titanik, toplu taşıma, tur, vapur
✈️	jet, seyahat, taşıt, uçak, uçmak, yolculuk
🛩️	küçük uçak, taşıt, uçak
🛫	check in, chek in, kalkan uçak, kalkış, taşıt, uçak
🛬	inen uçak, iniş, inme, inmek, taşıt, uçak, varmak, varış
🪂	delta kanat, deniz paraşütü, paraşüt, paraşütle atlama
💺	koltuk, sandalye
🚁	helikopter, taşıt
🚟	asma, asma demiryolu, demiryolu, taşıt
🚠	dağ, dağ teleferik hattı, dağ teleferiği, kablo, taşıt, teleferik, telesiyej, vagon
🚡	gondol, hava tramvayı, havadan yol, kablo yolu, taşıt, teleferik, tramvay
🛰️	araç, uydu, uzay
🚀	roket, taşıt, uzay, yolculuk, çıkış
🛸	UFO, ufo, uzaylı, uçan daire
🛎️	otel, resepsiyon zili, zil, çan
🧳	bagaj, bavul, seyahat, tatil, valiz, yol, yolculuk, çanta
⌛️	kum, kum saati
⏳️	akan kum saati, kum akan kum saati, kum saati, sayaç, zamanlayıcı
⌚️	kol saati, saat
⏰️	alarm, saat, çalar saat
⏱️	kronometre, saat
⏲️	alarm, saat, zamanlayıcı
🕰️	raf saati, saat
🕛️	12:00, on iki, saat, saat 12
🕧	12:30, on iki buçuk, on iki otuz, saat, yarım
🕐️	1:00, bir, saat, saat 1
🕜	1:30, bir buçuk, saat
🕑️	2:00, iki, saat, saat 2
🕝	2:30, iki buçuk, saat
🕒️	3:00, saat, saat 3, üç
🕞	3:30, saat, üç buçuk
🕓️	4:00, dört, saat, saat 4
🕟	4:30, dört buçuk, saat
🕔️	5:00, beş, saat, saat 5
🕠	5:30, beş buçuk, saat
🕕️	6:00, altı, saat, saat 6
🕡	6:30, altı buçuk, saat
🕖️	7:00, saat, saat 7, yedi
🕢	7:30, saat, yedi buçuk
🕗️	8:00, saat, saat 8, sekiz
🕣	8:30, saat, sekiz buçuk
🕘️	9:00, dokuz, saat, saat 9
🕤	9:30, dokuz buçuk, saat
🕙️	10:00, on, saat, saat 10
🕥	10:30, on buçuk, saat
🕚️	11:00, on bir, saat, saat 11
🕦	11:30, on bir buçuk, saat
🌑	ay, karanlık, yeni, yeni ay
🌒	ay, büyüyen ay, hilal, yükselen
🌓	ay, ilk dördün, uzay
🌔	ay, geniş ay, yükselen, şişkin
🌕️	ay, dolu, dolunay, parlak, tam ay
🌖	ay, küçülen ay, solgun, uzay, şişkin
🌗	ay, dördün, son dördün
🌘	ay, ay kararması, ay tutulması, gece, gökyüzü, hilal, ince ay, solgun, uzay
🌙	ay, dilek, gece, gökyüzü, hilal, uzay, yeni ay
🌚	ay, gece, yeni ay, yeni ay yüzü, yüz, yüzü olan yeni ay
🌛	ay, dördün, ilk dördün, ilk dördün ay yüzü, yüz, yüzü olan ay, yüzü olan ilk dördün
🌜️	ay, dördün, son dördün, son dördün ay yüzü, yüz, yüzü olan ay, yüzü olan son dördün
🌡️	derece, hava durumu, termometre
☀️	aydınlık, güneş, güneşli, hava durumu, sıcak, uzay, ışık
🌝	ay, dolu, dolunay, dolunay yüzü, yüz, yüzü olan ay, yüzü olan dolunay
🌞	güneş, güneş yüz, parlak, sıcak, yaz, yüz
🪐	halkalı gezegen, satürn
⭐️	beyaz orta yıldız, gece, gökyüzü, kutup yıldızı, yıldız
🌟	dilek, dilek yıldızı, kutup yıldızı, kıvılcım, parlak, parlayan yıldız, parıldama, parıldayan yıldız, pırıltı, yıldız
🌠	gece, kayan, meteor yağmuru, uzay, yıldız, yıldız kayması
🌌	gökyüzü, samanyolu, uzay
☁️	bulut, hava durumu
⛅️	bulut, bulutlar ardındaki güneş, bulutlu güneş, güneş, hava, parçalı bulutlu
⛈️	bulut, gökgürültüsü, hava durumu, yağmur, şimşek ve yağmurlu bulut
🌤️	bulut, bulutun arkasındaki güneş, güneş, hava durumu, parçalı bulutlu
🌥️	bulut, bulutta kaybolan güneş, güneş, hava durumu, parçalı bulutlu
🌦️	bulut, güneş, hava durumu, parçalı bulutlu, yağmur, yağmur bulutunun arkasındaki güneş, yer yer yağmur
🌧️	bulut, hava durumu, yağmur, yağmur bulutu
🌨️	bulut, hava durumu, kar, kar bulutu, soğuk
🌩️	bulut, fırtına, hava durumu, yıldırım, şimşek, şimşek bulutu
🌪️	bulut, fırtına, hava durumu, hortum, tayfun
🌫️	bulut, gökyüzü, hava durumu, sis
🌬️	esme, hava durumu, rüzgar
🌀	baş dönmesi, hortum, siklon, tayfun
🌈	biseksüel, gay, gökkuşağı, hava durumu, lezbiyen, yağmur
🌂	kapalı şemsiye, yağmur, yağmurlu, şemsiye
☂️	giyim, hava durumu, mor şemsiye, yağmur, şemsiye
☔️	giyim, hava durumu, mor şemsiye, yağmur, yağmur damlalı şemsiye, yağmurlu, ıslak, şemsiye
⛱️	gölge, güneş, hava durumu, kumsal, plaj, sabit şemsiye, yağmur, şemsiye
⚡️	doğa, elektrik, fırtına, işaret, tehlike, voltaj, yüksek, yüksek voltaj, yüksek voltaj işareti, yüksek voltaj tehlikesi, yıldırım, şimşek
❄️	buz, hava durumu, kar, kar tanesi, kış, soğuk
☃️	hava durumu, kar, kardan adam, kış, soğuk
⛄️	kar, kar yağmadan kardan adam, kardan adam, karsız kardan adam, kış, soğuk
☄️	kuyruklu yıldız, uzay
🔥	alev, ateş, sıcak, yakmak
💧	damla, damlacık, su, ter, terli, çizgi roman
🌊	dalga, okyanus dalgası, su dalgası, sörf
🎃	Halloween, cadılar bayramı, fener, halloween, jack, kabak, kabak fener, kutlama
🎄	Noel ağacı, ağaç, kutlama, noel ağacı, süs, yılbaşı, çam
🎆	eğlence, havai fişek, kutlama, ışık
🎇	fişek, havai fişek, kutlama, kıvılcım, patlama
🧨	ateş, bomba, dinamit, havai fişek, kırmızı, kıvılcım, maytap, patlama, patlayıcı
✨️	*, mucize, parıldayan yıldızlar, parıltı, parıltılar, pırıldayan yıldızlar, pırıltı, sihir, yıldız, yıldızlar
🎈	balon, doğumgünü, kutlama, kırmızı balon, parti
🎉	harika, konfeti, kutlama, parti, parti konfetisi, tebrikler
🎊	konfeti, konfeti topu, kutlama, top
🎋	Star Festivali, ağaç, ağaç ve kağıt şeritler, japon, kağıt şeritler, kutlama, tanabata ağacı
🎍	Japon, Yeni Yıl, bambu, kutlama, çam, çam süsleme
🎎	Bebek Festivali, Japon, Japon oyuncak bebekleri, festival, japon oyuncak bebekleri, kutlama
🎏	flama, kutlama, sazan şekilli flama
🎐	rüzgar çanı, çan
🎑	ay, ay izleme, ay izleme töreni, izleme, kutlama
🧧	hediye, hóngbāo, iyi şans, iyi şanslar, kırmızı kağıt, kırmızı zarf, lai see, para, uzak doğu, zarf, çin hediyesi
🎀	kurdele, kutlama, kız, pembe kurdele
🎁	doğum günü, hediye, kutlama, paketlenmiş hediye, paketli
🎗️	anma, anma kurdelesi, kurdele, kutlama
🎟️	bilet, giriş, giriş bileti
🎫	bilet, eğlence, giriş
🎖️	askeri, askeri madalya, kutlama, madalya
🏆️	kupa, zafer kupası, ödül
🏅	altın madalya, madalya, spor madalyası
🥇	Birincilik madalyası, altın, birinci, birincilik madalyası, madalya
🥈	gümüş, ikinci, ikincilik madalyası, madalya, İkincilik madalyası
🥉	bronz, madalya, Üçüncülük madalyası, üçüncü, üçüncülük madalyası
⚽️	futbol, futbol topu, spor, top, topu
⚾️	beyzbol, beyzbol topu, spor, top
🥎	beyzbol, beyzbol eldiveni, eldiven, kol, oyun, softball, spor, tenis topu, top, top oynamak, yuvarlak
🏀	basketbol, basketbol potası, basketbol topu, pota, spor, top
🏐	maç, top, voleybol, voleybol topu
🏈	Amerikan, amerikan, amerikan futbolu, spor, top
🏉	Ragbi topu, futbol topu, ragbi, ragbi futbolu, spor, top
🎾	spor, tenis, tenis raketi ve topu, tenis topu, top
🥏	atmak, disk, frizbi, fırlatmak, oynamak, oyuncak, turuncu, tutmak, ultimate
🎳	bovling, bovling ekipmanı, bovling topu, oyun, top
🏏	kriket, maç, sopa, top
🏑	hokey, maç, saha, sopa, top, çim hokeyi
🏒	buz, buz hokeyi, buz hokeyi ve disk, disk, hokey, maç, sopa
🥍	atış, gol, lakros, maç, oyun, raket, sayı, sopa, spor, top, vurmak
🏓	masa tenisi, maç, pinpon, raket, top
🏸	badminton, maç, raket, tüylü top
🥊	boks, boks eldiveni, eldiven, spor
🥋	dövüş sporu, dövüş sporu forması, forma, judo, karate, spor, tekvando
🥅	ağ, kale, kale ağı, spor
⛳️	delik, delikteki bayrak, golf, golf bayrağı
⛸️	buz, buz pateni, paten
🎣	balık, balıkçı, dinlenme, eğlence, kamış, kamış olta ve balık, olta
🤿	aletli dalış, dalgıç maskesi, dalış, dalış maskesi, skuba, şnorkelle dalış
🎽	koşu, koşu tişörtü, spor, tişört, çizgi, çizgili koşu tişörtü
🎿	bot, kayak, kayak ve bot, spor
🛷	kar, kaymak, kızak
🥌	curling taşı, körling, körling oyunu, körling taşı, oyun, taş
🎯	hedef, hedefe isabet, isabet, on ikiden vurma, oyun, tam isabet
🪀	inip çıkma, oyuncak, yoyo
🪁	süzülme, uçma, uçurtma
🔫	revolver, silah, su tabancası, tabanca
🎱	bilardo, oyun, sekiz top
🔮	fal, fal bakma, kristal, kristal küre, küre
🪄	aktivite, asa, büyü, büyücü, cadı, değnek, etkinlik, sihir, sihirbaz, sihirli asa, sihirli değnek
🎮️	kontrol cihazı, oyun, oyun konsolu, oyun kontrol cihazı, video oyunu, xbox
🕹️	oyun, oyun çubuğu, video oyunu
🎰	kollu makina, kumar, kumar makinesi, oyun, şans oyunu
🎲	oyun, oyun zarı, tavla, zar
🧩	bulmaca, ipucu, karmaşık, kenetleme, oyun, parça, puzzle, yap boz, yapboz, yapboz parçası
🧸	ayı, ayıcık, dolgu, oyun, oyuncak, oyuncak ayı, peluş, pelüş, sevimli, uyku, çocuk
🪅	aktivite, cinco de mayo, etkinlik, kutlama, meksika, parti, pinata, pinyata, şapka, şeker
🪩	90‘lar, aynalı küre, dans, disko, disko topu, eğlence, gece hayatı, gece kulübü, parlak, parti
🪆	Rusya, aktivite, babuşka, bebek, bebekler, etkinlik, iç içe, matruşka, matruşka bebekleri, oyuncak, rus
♠️	iskambil, kart, maça, pik
♥️	iskambil, kart, kupa, kör
♦️	baklava, iskambil, karo, kart, kırmızı
♣️	iskambil, kart, sinek, trefl
♟️	harcanabilir, kullanılma, piyon, satranç
🃏	iskambil kartı, joker, kart
🀄️	Ejderha, Kızıl Ejder, kızıl ejder mahjong taşı, mahjong, taş
🎴	hanafuda, kart, kağıt oyunu, oyun, çiçek, çiçekli kart, çiçekli oyun kağıtları
🎭️	eğlence, performans, performans sanatı, sahne sanatları, sanat, tiyatro
🖼️	müze, resim, resimli çerçeve, sanat, yağlı boya, çerçeve
🎨	boya, boya paleti, palet, ressam, sanat, sanatçı, sanatçı paleti
🧵	dikiş, dikmek, ip, iplik, iğne, kırmızı ip, makara, terzi
🪡	aktivite, dikiş, dikiş iğnesi, dikme, etkinlik, iplik, iğne, nakış, sökük, terzi
🧶	ip, iplik yumağı, kedi, kroşe, top, tığ, yumak, yün, örgü, örgü ipi
🪢	aktivite, bağ, bağlama, bağlı, denizci düğümü, dolaşık, düğüm, halat, sicim
👓️	giyim, gözlük
🕶️	göz, gözlük, güneş gözlüğü, kara, siyah gözlük
🥽	dalgıç gözlüğü, dalmak, dalış gözlüğü, emniyet gözlüğü, göz koruması, gözlük, iş gözlüğü, kar gözlüğü, kayak, kayak gözlüğü, kaynak, kaynak gözlüğü, kaynakçı gözlüğü, koruma gözlüğü, koruyucu gözlük, yüzme, yüzücü gözlüğü
🥼	beyaz önlük, bilim insanı, deney, doktor, doktor önlüğü, dr, giysi, gömlek, hasta bakıcı, hastane, laboratuvar, laboratuvar önlüğü, önlük
🦺	acil durum, güvenlik, güvenlik yeleği, yelek
👔	giyim, gömlek, iş adamı, kravat, takım kıyafet
👕	alışveriş, giyim, gömlek, tişört
👖	blucin, blue jean, bluejean, giyim, kot, kot pantalon, pantolon
🧣	atkı, soğuk, sıkı giyinmek, yaka
🧤	el, eldiven, mavi eldiven
🧥	ceket, kaban, manto, mont, soğuk, sıkı giyinmek
🧦	çorap
👗	Kokteyl elbisesi, alışveriş, elbise, giyim, tek parça, şık
👘	elbise, giyim, kimono
🥻	elbise, giysi, sari
🩱	mayo, tek parça mayo
🩲	alt, iç çamaşırı, mayo, slip, slip mayo, tek parça
🩳	alt, iç çamaşırı, mayo, şort
👙	benekli bikini, bikini, deniz, deniz giysisi, giyim, havuz, kumsal, tatil, yaz
👚	alışveriş, bluz, giyim, giysiler, kadın giysisi
🪭	dans, flört, heyecan, nesne, serinletme, sıcak, utangaç, yelleme, yelpaze, çırpma, şak
👛	bozuk para, bozuk para çantası, cüzdan, giyim
👜	el çantası, giyim, kadın el çantası, çanta
👝	giyim, para kesesi, çanta
🛍️	alışveriş, alışveriş çantası, hediye, otel, paket, çanta
🎒	kırmızı sırt çantası, okul, okul sırt çantası, okul çantası, sırt çantası
🩴	ayakkabı, deniz terliği, eşya, flip flop, kumsal, kumsal terliği, parmak arası, parmak arası terlik, sahil, sandalet, terlik, zori
👞	ayakkabı, erkek ayakkabısı, giyim
👟	ayakkabı, bez ayakkabı, giyim, koşu ayakkabısı, spor
🥾	ayakkabı, bot, dağcılık, kamp, kar botu, kış, kışlık, sırt çantası, yürümek, yürüyüş, yürüyüş botu
🥿	ayakkabı, babet, bale, bale ayakkabısı, dans, düz ayakkabı, pabuç, patik, puant, rahat, terlik, topuksuz, yeşil ayakkabı, yürümek, yürüyüş
👠	ayakkabı, giyim, kırmızı ayakkabı, topuklu ayakkabı, yüksek topuklu ayakkabı
👡	ayakkabı, giyim, kadın, kadın sandaleti, sandalet, topuklu ayakkabı
🩰	bale, bale ayakkabıları, bale pabucu, dans
👢	bot, giyim, kadın, kadın botu, kadın çizmesi, çizme
🪮	Afro saç, kıvırcık saç, nesne, perma tarağı, saç, seçme, tarak, tarama, toka
👑	giyim, kral, kraliyet, kraliçe, taç
👒	giyim, kadın şapkası, şapka
🎩	eğlence, sihirbaz, silindir şapka, şapka
🎓️	kep, kutlama, mezuniyet, mezuniyet kepi
🧢	beyzbol şapkası, siperli şapka, şapka
🪖	asker, asker kaskı, askerlik, eşya, kafa, kask, miğfer, ordu, savaş, savaşçı
⛑️	beyaz haçlı kask, haç, kask, meslek, yardım, yardım ekibi kaskı, yüz, şapka
📿	boncuk, din, dua, giyim, kolye, tesbih, tespih
💄	kozmetik, kırmızı ruj, makyaj, ruj
💍	alyans, evlilik, nikah, nişan, pırlanta yüzük, romantizm, tek taş, yüzük
💎	elmas, mücevher, mücevher taşı, pırlanta, romantizm
🔇	iptal işaretli hoparlör, lütfen sessiz olun, ses kapalı, sessiz olun
🔈️	hoparlör ses düzeyi, kısık ses, ses düzeyi
🔉	düşük, düşük ses, düşük sesli hoparlör, ses açık
🔊	yüksek, yüksek ses, yüksek sesli hoparlör
📢	halka hitap, hoparlör, iletişim, megafon
📣	iletişim, karşılama, megafon
📯	borozan, klakson, posta, posta klaksonu
🔔	kilise, ses, tenefüs, zil, çan
🔕	iptal işaretli çan, ses yok, sessiz, çan, çan yok, üzeri çizili zil
🎼	müzik, müzik partisyonu, partisyon, sol anahtarı
🎵	müzik, müzik notası, nota
🎶	müzik, müzik notaları, nota, notalar
🎙️	mikrofon, müzik, stüdyo, stüdyo mikrofonu
🎚️	ayar çubuğu, ayarlama çubuğu, kol, müzik
