‾	bovenlijn
👩🏼‍🤝‍👨🏾	afspraakje, bae, date, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, lichtgetinte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: lichtgetinte huidskleur, donkergetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏼‍🤝‍👨🏿	afspraakje, bae, date, donkere huidskleur, flirten, hand, hand in hand, koppel, lichtgetinte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: lichtgetinte huidskleur, donkere huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏽‍🤝‍👨🏻	afspraakje, bae, date, flirten, getinte huidskleur, hand, hand in hand, koppel, lichte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: getinte huidskleur, lichte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏽‍🤝‍👨🏼	afspraakje, bae, date, flirten, getinte huidskleur, hand, hand in hand, koppel, lichtgetinte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: getinte huidskleur, lichtgetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👫🏽	afspraakje, bae, date, flirten, getinte huidskleur, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: getinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏽‍🤝‍👨🏾	afspraakje, bae, date, donkergetinte huidskleur, flirten, getinte huidskleur, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: getinte huidskleur, donkergetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏽‍🤝‍👨🏿	afspraakje, bae, date, donkere huidskleur, flirten, getinte huidskleur, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: getinte huidskleur, donkere huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏾‍🤝‍👨🏻	afspraakje, bae, date, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, lichte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: donkergetinte huidskleur, lichte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏾‍🤝‍👨🏼	afspraakje, bae, date, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, lichtgetinte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: donkergetinte huidskleur, lichtgetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏾‍🤝‍👨🏽	afspraakje, bae, date, donkergetinte huidskleur, flirten, getinte huidskleur, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkergetinte huidskleur, getinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👫🏾	afspraakje, bae, date, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkergetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏾‍🤝‍👨🏿	afspraakje, bae, date, donkere huidskleur, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkergetinte huidskleur, donkere huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏿‍🤝‍👨🏻	afspraakje, bae, date, donkere huidskleur, flirten, hand, hand in hand, koppel, lichte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: donkere huidskleur, lichte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏿‍🤝‍👨🏼	afspraakje, bae, date, donkere huidskleur, flirten, hand, hand in hand, koppel, lichtgetinte huidskleur, man, man en vrouw hand in hand, man en vrouw hand in hand: donkere huidskleur, lichtgetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏿‍🤝‍👨🏽	afspraakje, bae, date, donkere huidskleur, flirten, getinte huidskleur, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkere huidskleur, getinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👩🏿‍🤝‍👨🏾	afspraakje, bae, date, donkere huidskleur, donkergetinte huidskleur, flirten, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkere huidskleur, donkergetinte huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👫🏿	afspraakje, bae, date, donkere huidskleur, flirten, hand, hand in hand, koppel, man, man en vrouw hand in hand, man en vrouw hand in hand: donkere huidskleur, stel, vasthouden, verliefd, vrienden, vrouw
👬	beste vrienden, bff, broers, daten, flirten, hand, jongens, mannen, mannen hand in hand, paar, schatje, tweeling, vasthouden, vrienden
👬🏻	beste vrienden, bff, broers, daten, flirten, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: lichte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏻‍🤝‍👨🏼	beste vrienden, bff, broers, daten, flirten, hand, jongens, lichte huidskleur, lichtgetinte huidskleur, mannen, mannen hand in hand: lichte huidskleur, lichtgetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏻‍🤝‍👨🏽	beste vrienden, bff, broers, daten, flirten, getinte huidskleur, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: lichte huidskleur, getinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏻‍🤝‍👨🏾	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: lichte huidskleur, donkergetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏻‍🤝‍👨🏿	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: lichte huidskleur, donkere huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏼‍🤝‍👨🏻	beste vrienden, bff, broers, daten, flirten, hand, jongens, lichte huidskleur, lichtgetinte huidskleur, mannen, mannen hand in hand: lichtgetinte huidskleur, lichte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👬🏼	beste vrienden, bff, broers, daten, flirten, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: lichtgetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏼‍🤝‍👨🏽	beste vrienden, bff, broers, daten, flirten, getinte huidskleur, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: lichtgetinte huidskleur, getinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏼‍🤝‍👨🏾	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: lichtgetinte huidskleur, donkergetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏼‍🤝‍👨🏿	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: lichtgetinte huidskleur, donkere huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏽‍🤝‍👨🏻	beste vrienden, bff, broers, daten, flirten, getinte huidskleur, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: getinte huidskleur, lichte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏽‍🤝‍👨🏼	beste vrienden, bff, broers, daten, flirten, getinte huidskleur, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: getinte huidskleur, lichtgetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👬🏽	beste vrienden, bff, broers, daten, flirten, getinte huidskleur, hand, jongens, mannen, mannen hand in hand: getinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏽‍🤝‍👨🏾	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, getinte huidskleur, hand, jongens, mannen, mannen hand in hand: getinte huidskleur, donkergetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏽‍🤝‍👨🏿	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, getinte huidskleur, hand, jongens, mannen, mannen hand in hand: getinte huidskleur, donkere huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏾‍🤝‍👨🏻	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: donkergetinte huidskleur, lichte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏾‍🤝‍👨🏼	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: donkergetinte huidskleur, lichtgetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏾‍🤝‍👨🏽	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, getinte huidskleur, hand, jongens, mannen, mannen hand in hand: donkergetinte huidskleur, getinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👬🏾	beste vrienden, bff, broers, daten, donkergetinte huidskleur, flirten, hand, jongens, mannen, mannen hand in hand: donkergetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏾‍🤝‍👨🏿	beste vrienden, bff, broers, daten, donkere huidskleur, donkergetinte huidskleur, flirten, hand, jongens, mannen, mannen hand in hand: donkergetinte huidskleur, donkere huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏿‍🤝‍👨🏻	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, hand, jongens, lichte huidskleur, mannen, mannen hand in hand: donkere huidskleur, lichte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏿‍🤝‍👨🏼	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, hand, jongens, lichtgetinte huidskleur, mannen, mannen hand in hand: donkere huidskleur, lichtgetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏿‍🤝‍👨🏽	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, getinte huidskleur, hand, jongens, mannen, mannen hand in hand: donkere huidskleur, getinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👨🏿‍🤝‍👨🏾	beste vrienden, bff, broers, daten, donkere huidskleur, donkergetinte huidskleur, flirten, hand, jongens, mannen, mannen hand in hand: donkere huidskleur, donkergetinte huidskleur, paar, schatje, tweeling, vasthouden, vrienden
👬🏿	beste vrienden, bff, broers, daten, donkere huidskleur, flirten, hand, jongens, mannen, mannen hand in hand: donkere huidskleur, paar, schatje, tweeling, vasthouden, vrienden
💏	afspraakje, date, kus, kussen, liefde, personen, romantiek, stel, stelletje, verliefd
💏🏻	afspraakje, date, kus, kus: lichte huidskleur, kussen, lichte huidskleur, liefde, personen, romantiek, stel, stelletje, verliefd
💏🏼	afspraakje, date, kus, kus: lichtgetinte huidskleur, kussen, lichtgetinte huidskleur, liefde, personen, romantiek, stel, stelletje, verliefd
💏🏽	afspraakje, date, getinte huidskleur, kus, kus: getinte huidskleur, kussen, liefde, personen, romantiek, stel, stelletje, verliefd
💏🏾	afspraakje, date, donkergetinte huidskleur, kus, kus: donkergetinte huidskleur, kussen, liefde, personen, romantiek, stel, stelletje, verliefd
💏🏿	afspraakje, date, donkere huidskleur, kus, kus: donkere huidskleur, kussen, liefde, personen, romantiek, stel, stelletje, verliefd
👩‍❤‍💋‍👨	afspraakje, date, kus, kus: vrouw, man, kussen, liefde, man, personen, romantiek, stel, stelletje, verliefd, vrouw
👨‍❤‍💋‍👨	afspraakje, date, kus, kus: man, man, kussen, liefde, man, personen, romantiek, stel, stelletje, verliefd
👩‍❤‍💋‍👩	afspraakje, date, kus, kus: vrouw, vrouw, kussen, liefde, personen, romantiek, stel, stelletje, verliefd, vrouw
💑	hart, jubileum, liefde, personen, relatie, romantiek, stel, stel met hart, stelletje, stelletje met hart, verliefd
💑🏻	hart, jubileum, lichte huidskleur, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: lichte huidskleur, stelletje, stelletje met hart, verliefd
💑🏼	hart, jubileum, lichtgetinte huidskleur, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: lichtgetinte huidskleur, stelletje, stelletje met hart, verliefd
💑🏽	getinte huidskleur, hart, jubileum, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: getinte huidskleur, stelletje, stelletje met hart, verliefd
💑🏾	donkergetinte huidskleur, hart, jubileum, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: donkergetinte huidskleur, stelletje, stelletje met hart, verliefd
💑🏿	donkere huidskleur, hart, jubileum, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: donkere huidskleur, stelletje, stelletje met hart, verliefd
👩‍❤‍👨	hart, jubileum, liefde, man, personen, relatie, romantiek, stel, stel met hart, stel met hart: vrouw, man, stelletje, stelletje met hart, verliefd, vrouw
👨‍❤‍👨	hart, jubileum, liefde, man, personen, relatie, romantiek, stel, stel met hart, stel met hart: man, man, stelletje, stelletje met hart, verliefd
👩‍❤‍👩	hart, jubileum, liefde, personen, relatie, romantiek, stel, stel met hart, stel met hart: vrouw, vrouw, stelletje, stelletje met hart, verliefd, vrouw
👨‍👩‍👦	gezin, gezin: man, vrouw, jongen, jongen, kind, man, vrouw
👨‍👩‍👧	gezin, gezin: man, vrouw, meisje, kind, man, meisje, vrouw
👨‍👩‍👧‍👦	gezin, gezin: man, vrouw, meisje, jongen, jongen, kind, man, meisje, vrouw
👨‍👩‍👦‍👦	gezin, gezin: man, vrouw, jongen, jongen, jongen, kind, man, vrouw
👨‍👩‍👧‍👧	gezin, gezin: man, vrouw, meisje, meisje, kind, man, meisje, vrouw
👨‍👨‍👦	gezin, gezin: man, man, jongen, jongen, kind, man
👨‍👨‍👧	gezin, gezin: man, man, meisje, kind, man, meisje
👨‍👨‍👧‍👦	gezin, gezin: man, man, meisje, jongen, jongen, kind, man, meisje
👨‍👨‍👦‍👦	gezin, gezin: man, man, jongen, jongen, jongen, kind, man
👨‍👨‍👧‍👧	gezin, gezin: man, man, meisje, meisje, kind, man, meisje
👩‍👩‍👦	gezin, gezin: vrouw, vrouw, jongen, jongen, kind, vrouw
👩‍👩‍👧	gezin, gezin: vrouw, vrouw, meisje, kind, meisje, vrouw
👩‍👩‍👧‍👦	gezin, gezin: vrouw, vrouw, meisje, jongen, jongen, kind, meisje, vrouw
👩‍👩‍👦‍👦	gezin, gezin: vrouw, vrouw, jongen, jongen, jongen, kind, vrouw
👩‍👩‍👧‍👧	gezin, gezin: vrouw, vrouw, meisje, meisje, kind, meisje, vrouw
👨‍👦	gezin, gezin: man, jongen, jongen, kind, man
👨‍👦‍👦	gezin, gezin: man, jongen, jongen, jongen, kind, man
👨‍👧	gezin, gezin: man, meisje, kind, man, meisje
👨‍👧‍👦	gezin, gezin: man, meisje, jongen, jongen, kind, man, meisje
👨‍👧‍👧	gezin, gezin: man, meisje, meisje, kind, man, meisje
👩‍👦	gezin, gezin: vrouw, jongen, jongen, kind, vrouw
👩‍👦‍👦	gezin, gezin: vrouw, jongen, jongen, jongen, kind, vrouw
👩‍👧	gezin, gezin: vrouw, meisje, kind, meisje, vrouw
👩‍👧‍👦	gezin, gezin: vrouw, meisje, jongen, jongen, kind, meisje, vrouw
👩‍👧‍👧	gezin, gezin: vrouw, meisje, meisje, kind, meisje, vrouw
🗣️	gezicht, hoofd, silhouet, silhouet van sprekend hoofd, spreek, spreken
👤	buste, mysterieus, schaduw, silhouet, silhouet van persoon
👥	bff, buste, bustes in silhouet, schaduw, silhouet, silhouet van twee personen, vrienden
🫂	bedankt, dag, hallo, knuffel, knuffelen, liefde, omhelzing, personen in een omhelzing, persoon, vriendschap
👪️	gezin, kind
🧑‍🧑‍🧒	gezin, gezin: volwassene, volwassene, kind, kind, volwassene
🧑‍🧑‍🧒‍🧒	gezin, gezin: volwassene, volwassene, kind, kind, kind, volwassene
🧑‍🧒	gezin: volwassene, gezin: volwassene, kind, kind
🧑‍🧒‍🧒	gezin: volwassene, gezin: volwassene, kind, kind, kind
👣	afdruk, blote voeten, kleding, lopen, onderweg, voetafdruk, voetafdrukken
🫆	forensisch, identiteit, veiligheid, vingerafdruk
🦰	rood haar, rooie, rossig
🦱	afro, krulhaar, krullen, krullend haar
🦳	grijs, haar, oud, wit, wit haar
🦲	chemotherapie, geen haar, geschoren, haarloos, kaal
🐵	aap, apengezicht, dier, gezicht
🐒	aap, dier
🦍	dier, gorilla
🦧	aap, dier, orang-oetang
🐶	dier, gezicht, hond, hondengezicht, huisdier, viervoeter
🐕️	dier, hond, huisdier, viervoeter
🦮	blind, blindengeleidehond, dier, geleide, hond, toegankelijkheid
🐕‍🦺	assistentie, assistentiehond, dier, hond, hulp, toegankelijkheid
🐩	dier, hond, pluizig, poedel
🐺	dier, gezicht, wolf
🦊	dier, gezicht, vos
🦝	dier, nieuwsgierig, sluw, wasbeer
🐱	dier, gezicht, huisdier, kat, kattengezicht, kitten
🐈️	dier, huisdier, kat, kitten
🐈‍⬛	dier, halloween, kat, katachtig, miauw, pech, zwart, zwarte kat
🦁	Leo, brul, dier, gezicht, horoscoop, leeuw, leeuwengezicht, leo, simba, sterrenbeeld
🐯	dier, gezicht, roofdier, tijger, tijgergezicht
🐅	dier, roofdier, tijger
🐆	dier, luipaard, panter, roofdier
🐴	dier, gezicht, paard, paardengezicht
🫎	dier, eland, gewei, zoogdier
🫏	dier, ezel, grauwtje, koppig, muildier, pakezel, zoogdier
🐎	dier, paard, racen, racepaard, renpaard, ruitersport
🦄	eenhoorn, gezicht
🦓	dier, streep, zebra
🦌	dier, hert
🦬	bizon, buffel, dier, kudde, wisent
🐮	boe, dier, gezicht, koe, koeiengezicht
🐂	Taurus, dier, horoscoop, os, sterrenbeeld, stier
🐃	buffel, dier, water, waterbuffel
🐄	boe, dier, koe, melk
🐷	dier, gezicht, varken, varkensgezicht
🐖	big, dier, varken, zeug
🐗	dier, varken, zwijn
🐽	gezicht, neus, varken, varkensneus
🐏	Aries, dier, horoscoop, mannelijk, ram, schaap, sterrenbeeld
🐑	blaten, dier, ooi, ram, schaap, vrouwelijk
🐐	bok, dier, geit, horoscoop, steenbok, sterrenbeeld
🐪	bult, dier, dromedaris, kameel met één bult, woestijn
🐫	bult, dier, kameel, kameel met twee bulten, vervoermiddel, woestijn
🦙	alpaca, dier, guanaco, lama, vicuña, wol
🦒	dier, giraffe, vlekken
🐘	dier, olifant
🦣	dier, groot, mammoet, slagtand, uitsterven, wollig
🦏	dier, neushoorn
🦛	dier, hippopotamus, nijlpaard
🐭	dier, gezicht, muis, muizengezicht
🐁	dier, knaagdier, muis
🐀	dier, rat
🐹	dier, gezicht, hamster, huisdier
🐰	dier, gezicht, huisdier, konijn, konijnengezicht
🐇	dier, huisdier, konijn, konijntje
🐿️	dier, eekhoorn
🦫	bever, dam, dier, tanden
🦔	dier, egel, stekelig
🦇	dier, vampier, vleermuis
🐻	beer, berengezicht, dier, gezicht, knuffel
🐻‍❄	beer, ijsbeer, noordpool, wit
🐨	australië, beer, dier, down under, koala
🐼	bamboe, dier, gezicht, panda
🦥	lui, luiaard, traag
🦦	dier, otter, speels, vissen
🦨	dier, stank, stinkdier
🦘	buideldier, dier, joey, kangoeroe, springen
🦡	das, dier, honing, kwellen
🐾	afdruk, poot, pootafdrukken, poten
🦃	dier, gevogelte, kalkoen
🐔	dier, gevogelte, kip
🐓	dier, haan, ornithologie, vogel
🐣	baby, dier, ei, kuiken, kuiken uit ei, uitkomen, vogel
🐤	baby, dier, gevogelte, kuiken, kuikentje, vogel
🐥	baby, dier, gevogelte, kuiken, naar voren kijkend kuikentje, vogel
🐦️	dier, duif, vogel
🐧	antarctica, dier, pinguïn, vogel
🕊️	duif, ornithologie, vliegen, vogel, vrede
🦅	adelaar, dier, ornithologie, vogel
🦆	dier, eend, vogel, woerd
🦢	dier, jonge zwaan, lelijk eendje, vogel, zwaan, zwanenjong
🦉	dier, uil, vogel, wijs, wijsheid
🦤	dier, dodo, groot, ornithologie, uitsterven, vogel
🪶	licht, veer, verenkleed, vlucht, vogel
🦩	dier, flamboyant, flamingo, ornithologie, tropisch, vogel
🦚	dier, kleurrijk, mooie vogel, opzichtig, pauw, pauwhen, pronkerig, trots, trots als een pauw, vogel
🦜	dier, lorre, napraten, papegaai, piraat, praten, vogel
🪽	engelachtig, luchtvaart, mythologie, vleugel, vliegen, vogel
🐦‍⬛	dier, kauw, kraai, kraaiachtige, merel, ornithologie, raaf, roek, snavel, vogel, zwart
🪿	gans, gevogelte, onnozel, snateren, vogel
🐦‍🔥	as, fantasie, feniks, hergeboorte, herrezen, mythe, reïncarnatie, vogel, vuurvogel
🐸	dier, gezicht, kikker
🐊	dier, dierentuin, krokodil
🐢	dier, schildpad, waterschildpad
🦎	dier, hagedis, reptiel
🐍	Ophiuchus, dier, dierenriem, drager, serpent, slang
🐲	dier, draak, drakengezicht, gezicht, sprookje
🐉	dier, draak, ridders, sprookje
🦕	brachiosaurus, brontosaurus, dinosaurus, diplodocus, sauropode
🦖	Rex, T, T-Rex, Tyrannosaurus, dinosaurus
🐳	dier, gezicht, spuitend, spuitende walvis, spuitgat, walvis
🐋	dier, vis, walvis
🐬	dier, dolfijn, flipper
🦭	dier, leeuw, oceaan, zee, zeehond
🐟️	dier, horoscoop, sterrenbeeld, vis, vissen
🐠	dier, tropisch, tropische vis, vis
🐡	dier, kogelvis, vis
🦈	dier, haai, vis
🐙	dier, oceaan, octopus, zee
🐚	dier, schelp, spiraal, strand, zee
🪸	klimaat, koraal, oceaan, rif, verandering, zee
🪼	au, branden, gelei, kwal, oceaan, ongewerveld, stekel, tentakels, zee
🐌	dier, escargot, naaktslak, natuur, slak, tuin
🦋	insect, mooi, vlinder
🐛	beestje, dier, insect, rups
🐜	dier, insect, mier
🐝	bij, dier, hommel, honingbij, insect, wesp
🪲	beestje, dier, insect, kever
🐞	dier, insect, kever, lieveheersbeest, lieveheersbeestje
🦗	Orthoptera, dier, insect, krekel, sprinkhaan
🪳	bakkerstor, dier, insect, kakkerlak, plaag
🕷️	dier, geleedpotigen, insect, spin
🕸️	spin, spinnenweb, web
🦂	Scorpio, dier, horoscoop, schorpioen, sterrenbeeld
🦟	beet, insect, koorts, malaria, mug, ongedierte, virus, ziekte
🪰	dier, insect, made, ongedierte, rottend, vlieg, ziekte
🪱	dier, parasiet, regenworm, ringworm, worm
🦠	amoebe, bacteriën, microbe, virus, wetenschap
💐	afspraakje, bedankt, beterschap, bloem, boeket, date, jubileum, romantiek, verjaardag
🌸	bloem, bloesem, kers, kersenbloesem, plant
💮	bloem, bloemenstempel, witte bloem
🪷	Boeddhisme, Hindoeïsme, bloem, lotus, puurheid, rust, schoonheid, sereen, vrede
🏵️	plant, rozet
🌹	bloem, liefde, plant, roos, valentijn
🥀	bloem, sterven, verwelkt, verwelkte bloem
🌺	bloem, hibiscus, plant
🌻	bloem, plant, zon, zonnebloem
🌼	bloem, bloesem, boterbloem, paardenbloem, plant
🌷	bloem, plant, tulp
🪻	bloem, hyacint, lavendel, leeuwenbek, lupine, vlinderbloemige
🌱	jong, plant, spruit, stekje, zaailing
🪴	decor, groeien, huis, plant, pot, potplant, verzorgen
🌲	boom, dennenboom, naaldboom, plant, spar
🌳	bladeren verliezen, boom, boom die bladeren verliest, bos, loof verliezen, loofboom
🌴	boom, palm, palmboom, plant, tropisch, vakantie
🌵	cactus, droogte, plant, woestijn
🌾	aar, graan, plant, rijst, rijstaar, rijstplant
🌿	blad, kruid, plant
☘️	Iers, klavertjedrie, plant
🍀	4, blad, geluk, klaver, klavertjevier, plant, vier
🍁	blad, esdoorn, esdoornblad, vallend
🍂	blad, gevallen, herfst, vallend, vallende bladeren
🍃	blad, blad in de wind, blazen, fladderen, wind
🪹	leeg, leeg nest, nest, nestelen, tak, thuis
🪺	ei, eieren, nest, nest met eieren, nestelen, tak, vogel
🍄	paddenstoel, schimmel, zwam
🪾	boom zonder bladeren, droogte, kaal, winter
🍇	Dionysus, druif, druiven, fruit
🍈	fruit, kanteloep, meloen
🍉	fruit, watermeloen
🍊	c, citrus, fruit, mandarijn, nectarine, sinaasappel, vitamine
🍋	citroen, citrus, fruit, zuur
🍋‍🟩	citrus, cocktail, fruit, groen, limoen, margarita, sap, tropisch, vrucht, zuur
🍌	banaan, fruit, kalium
🍍	ananas, eten, fruit, tropisch, voedsel
🥭	eten, fruit, mango, tropisch
🍎	appel, dieet, fruit, gezondheid, rijp, rode appel, rood, voedsel
🍏	appel, fruit, groen, groene appel
🍐	fruit, peer
🍑	fruit, perzik
🍒	bessen, fruit, kers, kersen, rood
🍓	aardbei, bes, fruit
🫐	bes, bessen, blauw, blauwbessen, bosbes, bosbessen, fruit, voedsel
🥝	fruit, kiwi, voedsel
🍅	fruit, groente, tomaat, voedsel
🫒	olijf, voedsel
🥥	eten, kokosnoot, palm, palmboom, pina colada, voedsel
🥑	avocado, fruit, voedsel
🍆	aubergine, groente
🥔	aardappel, groente, voedsel
🥕	groente, voedsel, wortel
🌽	boerderij, doolhof, gewassen, kolf, maïs, maïskolf
🌶️	heet, hete peper, peper
🫑	capsicum, groente, paprika, peper, voedsel
🥒	augurk, eten, groente, komkommer
🥬	bladgroen, bladgroente, boerenkool, bok choy, burgers, kool, paksoi, salade, sla
🥦	broccoli, kool, wild
🧄	knoflook, smaakmaker
🧅	smaakmaker, ui
🥜	eten, groente, noot, pinda, pinda’s
🫘	bonen, kidneyboon, klein, peulvrucht, voedsel
🌰	amandel, kastanje, plant
🫚	bier, gember, gemberwortel, specerij, wortel
🫛	bonen, dop, edamame, erwt, erwtendop, groente, peul, peulvrucht
🍄‍🟫	bruine paddenstoel, bruine paddestoel, champignon, eten, groente, natuur, paddenstoel, paddo, pizza, schimmel, shiitake
🫜	biet, groente, knol, raap, tuin, wortel
🍞	brood, eten, koolhydraten, tarwe, voedsel
🥐	brood, croissant, eten, frans, ontbijt, voedsel
🥖	Frans, brood, eten, stokbrood
🫓	arepa, brood, eten, gordita, lavash, naan, pita, platbrood
🥨	gedraaid, krakeling, pretzel
🥯	bagel, bakkerij, brood, ontbijt, spread
🥞	crêpe, eten, flensje, ontbijt, pannenkoek, pannenkoeken
🧇	besluiteloos, ijzer, ontbijt, wafel
🧀	kaas, plak, stuk kaas
🍖	bot, vlees, vlees met bot
🍗	bot, gevogelte, honger, kalkoen, kip, kippenpoot, poot
🥩	biefstuk, bout, karbonade, kotelet, lamskotelet, rood, vlees
🥓	bacon, eten, ontbijt, spek, vlees
🍔	burger, eten, fastfood, hamburger, honger
🍟	eten, fastfood, frans, frietjes, patat
🍕	eten, honger, kaas, pepperoni, pizza, pizzapunt, punt
🌭	braadworst, frankfurter, hotdog, knakworst, worst
🥪	boterham, brood, sandwich
🌮	mexicaans, taco
🌯	burrito, mexicaans, wrap
🫔	Mexicaans, eten, pamonha, tamale, verpakt
🥙	eten, falafel, gevuld, gevuld pitabroodje, gyros, kebab, pitabrood
🧆	falafel, gehaktbal, kikkererwt
🥚	ei, eten, voedsel
🍳	bakken, ei, gemakkelijk, koken, ontbijt, pan, restaurant, spiegelei
🥘	braadpan, eten, ondiep, paella, paellapan, pan
🍲	eenpansgerecht, eten, stoofschotel, voedsel
🫕	chocolade, eten, fondue, gesmolten, kaas, pot, ski
🥣	cornflakes, eten, kom met lepel, muesli, ontbijt, ontbijtgranen, pap, soep, voedsel
🥗	eten, groen, groene salade, salade
🍿	film, maïs, pop, popcorn
🧈	boter, zuivel
🧂	gezouten, overstuur, smaak, specerij, zout, zoutvaatje
🥫	blik, blikvoedsel, ingeblikt, voedsel
🍱	bento, bentobox, box, voedsel
🍘	cracker, eten, rijst, rijstwafel
🍙	Japans, balletje, eten, rijst, rijstballetje
🍚	gekookt, gekookte rijst, rijst, voedsel
🍛	curry, curry en rijst, rijst, voedsel
🍜	chopsticks, dampend, dampende kom, eten, kom, noedels, pho, ramen, soep
🍝	eten, gehaktballen, pasta, restaurant, spaghetti
