‾	brūkšnys viršuje
🍺	alaus bokalas, alus, baras, bokalas, gėrimas, puodelis
🍻	alus, baras, bokalai, gėrimas, puodelis, susidaužiantys alaus bokalai, susidaužti
🥂	gėrimas, sudaužti, sudaužtos taurės, taurės, šventimas
🥃	alkoholis, gėrimas, stiklinė, viskis
🫗	gėrimas, išlieti, oi, pilamas skystis, pilti, stiklinė, tuščias, vanduo
🥤	gazuotas gėrimas, gėrimas, puodelis su šiaudeliu, soda, sultys
🧋	arbata, burbulai, burbulinė arbata, gėrimas su šiaudeliu, maistas, pienas
🧃	gėrimas, gėrimo pakelis, sulčių pakelis, šiaudelis
🧉	gėrimas, matė
🧊	ledas, ledo kubelis, maistas, šaltas
🥢	haši, lazdelės, įrankiai
🍽️	lėkštė, maisto gaminimas, peilis, įrankiai, šakutė, šakutė ir peilis su lėkšte
🍴	maisto gaminimas, peilis, įrankiai, šakutė, šakutė ir peilis
🥄	įrankiai, įrankis, šaukštas
🔪	ginklas, maisto gaminimas, peilis, virtuvinis peilis, įrankiai, įrankis
🫙	indas, niekas, padažas, prieskonis, saugoti, stiklainis, tuščias
🏺	maisto gaminimas, senovinė vaza, vandenis, vaza, zodiakas
🌍	Afrika, Europa, gaublys, pasaulis, žemė, žemės rutulys su Europos ir Afrikos žemynais
🌎️	Amerika, gaublys, pasaulis, žemė, žemės rutulys su Šiaurės ir Pietų Amerikos žemynais
🌏	Australija, Azija, gaublys, pasaulis, žemė, žemės rutulys su Azijos ir Australijos žemynais
🌐	dienovidiniai, gaublys, pasaulis, žemė, žemės rutulys su dienovidiniais
🗺️	pasaulio žemėlapis, pasaulis, žemėlapis
🗾	Japonijos, Japonijos žemėlapis, žemėlapis
🧭	kompasas, kryptis, magnetinis, navigacija, orientacinis
🏔️	kalnas, kalnas su snieguota viršūne, sniegas, šaltis
⛰️	kalnas
🌋	gamta, išsiveržimas, kalnas, ugnikalnis
🗻	Fudžio kalnas, Fudžis, gamta, kalnas
🏕️	stovyklavimas
🏖️	paplūdimys, paplūdimys ir skėtis, skėtis
🏜️	dykuma
🏝️	atoki sala, dykuma, sala
🏞️	nacionalinis parkas, parkas
🏟️	stadionas
🏛️	klasikinis, klasikinis pastatas, pastatas
🏗️	klasikinis, kranas, pastato konstrukcija, statybos
🧱	molis, plyta, plytos, siena, skiedinys
🪨	akmuo, kietas, riedulys, sunkus, uola, uoliena
🪵	mediena, medis, rąstas
🛖	apvalus namas, jurta, namas, namelis
🏘️	namai
🏚️	apleistas, apleistas pastatas, namai, namas
🏠️	namai, namas, pastatas, priemiestis
🏡	namai, namas, namas su sodu, pastatas, priemiestis, sodas
🏢	biuras, biurų pastatas, pastatas
🏣	japoniškas paštas, japonų, pastatas, paštas
🏤	europietiškas, pastatas, paštas, pašto pastatas
🏥	gydytojas, ligoninė, medicina, pastatas
🏦	bankas, pastatas
🏨	pastatas, viešbutis
🏩	meilė, meilės viešbutis, pastatas, viešbutis
🏪	parduotuvė, pastatas, visą parą, visą parą dirbanti parduotuvė
🏫	mokykla, pastatas
🏬	parduotuvė, pastatas, prekyba, prekybos centras
🏭️	gamykla, pastatas
🏯	japoniška pilis, japonų, pastatas, pilis
🏰	Europos, pastatas, pilis
💒	koplyčia, romantika, vestuvės
🗼	Tokijas, Tokijo bokštas, bokštas
🗽	Niujorkas, laisvė, laisvės statula, statula
⛪️	bažnyčia, krikščionis, kryžius, pastatas, religija
🕌	islamas, mečetė, musulmonas, religija
🛕	induistai, induistų šventykla, šventykla
🕍	pastatas, religija, sinagoga, šventykla, žydas, žydų
⛩️	religija, Šintoizmo šventykla, šintoizmas, šventykla
🕋	islamas, kaaba, musulmonas, religija
⛲️	fontanas
⛺️	palapinė, stovyklavimas
🌁	oras, rūkas, ūkanota
🌃	naktis, žvaigždė, žvaigždėta naktis
🏙️	miestas, miesto vaizdas
🌄	kalnas, rytas, saulė, saulėtekis, saulėtekis virš kalnų
🌅	gamta, rytas, saulė, saulėtekis
🌆	kraštovaizdis, miestas, pastatas, saulėlydis, sutemos virš miesto, vakaras
🌇	pastatas, saulė, saulėlydis, sutemos
🌉	naktis, tiltas, tiltas naktį
♨️	garai, karšta, karštosios versmės, versmės
🎠	arklys, karuselė, karuselės arkliukas, pramogos
🛝	pramogų parkas, čiuožykla, šliuožti, šliuožykla, žaidimų aikštelė, žaisti
🎡	apžvalgos, apžvalgos ratas, atrakcionų parkas, ratas
🎢	atrakcionų parkas, kalneliai, linksmieji, linksmieji kalneliai
💈	kirpėjas, kirpėjo suktukas, suktukas, šukuosena
🎪	cirkas, cirko palapinė, palapinė
🚂	garai, garvežys, geležinkelis, kelionė, lokomotyvas, traukinys, variklis
🚃	automobilis, elektrinis, geležinkelis, kelionė, tramvajus, transporto priemonė, traukinio vagonas, traukinys, troleibusas
🚄	geležinkelis, greitasis, greitasis traukinys, greitis, traukinys
🚅	geležinkelis, greitasis traukinys, greitasis traukinys su smailu priekiu, greitis, kelionė, kulka, traukinys
🚆	geležinkelis, traukinys
🚇️	kelionė, metro, transporto priemonė
🚈	geležinkelis, miesto tramvajus
🚉	geležinkelis, stotis, traukinys
🚊	tramvajus, troleibusas
🚝	transporto priemonė, vienbėgis geležinkelis
🚞	automobilis, geležinkelis, kalnas, kalnų traukinys, kelionė traukiniu, transporto priemonė, traukinys
🚋	automobilis, tramvajaus vagonas, tramvajus, transporto priemonė, troleibusas
🚌	autobusas, mokyklinis autobusas, transporto priemonė
🚍️	artėjantis, artėjantis autobusas, autobusas, transporto priemonė
🚎	autobusas, tramvajus, troleibusas
🚐	autobusas, mikroautobusas, transporto priemonė
🚑️	greitoji pagalba, greitosios pagalbos automobilis, transporto priemonė
🚒	sunkvežimis, ugniagesių automobilis, ugnis, variklis
🚓	automobilis, patruliai, policija, policijos automobilis
🚔️	artėjantis, artėjantis policijos automobilis, automobilis, policija, transporto priemonė
🚕	automobilis, geltona taksi, taksi, transporto priemonė, uber
🚖	artėjantis, artėjantis taksi, taksi, transporto priemonė, uber
🚗	automobilis, transporto priemonė, vairavimas
🚘️	artėjanti, artėjantis automobilis, automobilis, mašina, transporto priemonė
🚙	SUV, automobilis, padidinto pravažumo automobilis, rekreacijos, rekreacijos automobilis, transporto priemonė
🛻	automobilis, mašina, pikapas, sunkvežimis
🚚	krovininis sunkvežimis, pristatymas, sunkvežimis, transporto priemonė
🚛	priekaba, pusė, sunkvežimis, sunkvežimis su priekaba, transporto priemonė
🚜	traktorius, transporto priemonė
🏎️	automobilis, lenktyninis automobilis, lenktynės
🏍️	lenktynės, motociklas
🛵	motoroleris, transportas, transporto priemonė
🦽	neįgaliųjų prieinamumas, prieinamumas, rankomis valdomas vežimėlis, važimėlis
🦼	motorizuotas vežimėlis, neįgaliųjų prieinamumas, prieinamumas, vežimėlis
🛺	autorikša, rikša, transporto priemonė, tuk tuk
🚲️	dviratis, transporto priemonė
🛴	paspirtukas, spirti
🛹	lenta, riedlentė
🛼	riedučiai, sportas
🚏	autobusas, autobusų stotelė, stotelė
🛣️	greitkelis, kelias
🛤️	geležinkelio bėgiai, geležinkelis, traukinys
🛢️	degalai, degalų statinė, statinė
⛽️	degalai, degalinė, degalų siurblys, dujos, siurblys
🛞	apskritimas, automobilis, padanga, ratas, suktis
🚨	automobilis, besisukanti, policija, policijos automobilio lempa, signalinis žibintas, sirena, transporto priemonė, šviesa
🚥	eismas, horizontalus šviesoforas, signalas, šviesa
🚦	eismas, signalas, vertikalus šviesoforas, šviesa
🛑	aštuonkampis, sustojimo ženklas, sustoti, ženklas
🚧	barjeras, statybos
⚓️	inkaras, laivas, įrankis
🛟	gelbėjimas, gelbėjimo ratas, plaukimas, plūduriavimas, saugumas
⛵️	burlaivis, jachta, jūra, kurortas, laivas, valtis
🛶	irkluoti, kanoja, valtis
🚤	kelionė, milijardierius, motorinis kateris, motorinė valtis, prabanga, valtis
🛳️	keleivinis laivas, keleivis, laivas
⛴️	keleivis, keltas, valtis
🛥️	motorinė valtis, valtis
🚢	Titanikas, keleivis, kelionė, laivas, valtis
✈️	kelionė, lėktuvas, skyrdis
🛩️	kelionė, lėktuvas, mažas lėktuvas
🛫	išvykimai, išvykimas, lėktuvas, lėktuvo pakilimas, registracija
🛬	atvykimai, atvyksta, lėktuvas, lėktuvo nusileidimas, nusileidimas
🪂	pakabinti, parašiutas
💺	kėdė, vieta
🚁	kelionė, sraigstasparnis, transporto priemonė
🚟	geležinkelis, kabanti, kabanti geležinkelio linija
🚠	gondola, kabelis, kalnas, kalnų keltuvas
🚡	automobilis, gondola, kabelis, lyno keltuvas, lynų keltuvas, orinis, tramvajus, transporto priemonė
🛰️	kosmosas, palydovas
🚀	kelionė, kosmosas, raketa
🛸	NSO, ateiviai, nežemiška, skraidanti lėkštė
🛎️	skambinti, skambutis, viešbutis
🧳	bagažas, kelionė, lagaminas, pakavimas
⌛️	laikas, laikmatis, laikrodis, smėlio laikrodis, smėlis
⏳️	laikas, laikmatis, laikrodis, smėlio laikrodis, smėlio laikrodis su krentančiu smėliu, smėlis
⌚️	laikas, laikrodis
⏰️	laikas, laikrodis, laukti, signalas, žadintuvas
⏱️	chronometras, laikas, laikmatis, laikrodis
⏲️	laikas, laikmatis, laikrodis
🕰️	laikas, laikrodis, virš židinio laikomas laikrodis
🕛️	00, 12, 12:00, dvylika, dvylika valandų, laikas, laikrodis, valandos
🕧	12, 12:30, 30, dvylika, dvylika trisdešimt, laikas, laikrodis, trisdešimt
🕐️	00, 1, 1:00, laikas, laikrodis, pirma valanda, valandos, viena
🕜	1, 1:30, 30, laikas, laikrodis, pusė dviejų, trisdešimt, viena
🕑️	00, 2, 2:00, dvi, dvi valandos, laikas, laikrodis, valandos
🕝	2, 2:30, 30, dvi, laikas, laikrodis, pusė trijų, trisdešimt
🕒️	00, 3, 3:00, laikas, laikrodis, trys, trys valandos, valandos
🕞	3, 30, 3:30, laikas, laikrodis, pusė keturių, trisdešimt, trys, valandos
🕓️	00, 4, 4:00, keturios, keturios valandos, laikrodis, valandos
🕟	30, 4, 4:30, laikas, laikrodis, pusė penkių, trisdešimt, valandos
🕔️	00, 5, 5:00, laikas, laikrodis, penkios, penkios valandos, valandos
🕠	30, 5, 5:30, laikas, laikrodis, penkios, pusė šešių, trisdešimt, valandos
🕕️	00, 6, 6:00, laikas, laikrodis, valandos, šešios, šešios valandos
🕡	30, 6, 6:00, laikas, laikrodis, pusė septynių, trisdešimt, valandos, šešios
🕖️	00, 7, 7:00, laikas, laikrodis, septynios, septynios valandos, valandos
🕢	30, 7, 7:30, laikas, laikrodis, pusė aštuonių, septynios, trisdešimt
🕗️	00, 8, 8:00, aštuonios, aštuonios valandos, laikas, laikrodis, valandos
🕣	30, 8, 8:30, aštuonios, laikas, laikrodis, pusė devynių, trisdešimt, valandos
🕘️	00, 9, 9:00, devinta valanda, devynios, laikas, laikrodis, valandos
🕤	30, 9, 9:30, devynios, laikas, laikrodis, pusė dešimt, trisdešimt, valandos
🕙️	00, 10, 10:00, dešimt, dešimt valandų, laikas, laikrodis, valandos
🕥	10, 10:30, 30, dešimt, laikas, laikrodis, pusė vienuolikos, trisdešimt, valandos
🕚️	00, 11, 11:00, laikrodis, valandos, vienuolika, vienuolika valandų
🕦	11, 11:30, 30, laikas, laikrodis, pusė dvylikos, trisdešimt, valandos, vienuolika
🌑	jaunas mėnulis, jaunatis, kosmosas, mėnulis, tamsa
🌒	kosmosas, mėnulis, priešpilnis, priešpilnis mėnulis, sapnai
🌓	ketvirtis, kosmosas, mėnulis, pirmas fazės ketvirtis, pirmoji mėnulio fazė
🌔	kosmosas, mėnulis, priešpilnis, priešpilnis (pabaiga)
🌕️	kosmosas, mėnulis, pilnas, pilnatis
🌖	delčia, dylantis, kosmosas, mėnulis
🌗	ketvirtis, kosmosas, mėnulis, paskutinis fazės ketvirtis, paskutinė mėnulio fazė
🌘	delčia (pabaiga), kosmosas, mėnulis, pusmėnulis
🌙	kosmosas, mėnulis, pusmėnulis, pusė, ramadanas
🌚	jaunas mėnulis su veidu, kosmosas, mėnulis, veidas
🌛	ketvirtis, kosmosas, mėnulis, priešpilnio mėnulis su veidu, priešpilnis, veidas
🌜️	delčios mėnulis su veidu, ketvirtis, mėnulis, veidas
🌡️	oras, termometras
☀️	kosmosas, oras, saulė, saulėta, spinduliai, šviesu
🌝	mėnulis, pilnatis, pilnatis su veidu, veidas, šviesu
🌞	oras, paplūdimys, saulė, saulė su veidu, veidas, šviesu
🪐	planeta, planeta su žiedu, saturnas
⭐️	astronomija, balta vidutinė žvaigždė, žvaigždė
🌟	kibirkštis, šviesti, žvaigždė, žėrinti, žėrinti žvaigždė, žėrėti
🌠	kosmosas, krintanti, krintanti žvaigždė, žvaigždė
🌌	kosmosas, paukščių takas
☁️	debesis, oras
⛅️	debesis, debesuota, oras, saulė, saulė už debesų
⛈️	audra, debesis, debesis su žaibu ir lietumi, lietus, oras, žaibas
🌤️	debesis, oras, saulė, saulė už nedidelio debesies
🌥️	debesis, oras, saulė, saulė už didelio debesies
🌦️	debesis, iš kurio lyja, lietus, oras, saulė, saulė už debesies, saulė už debesies, iš kurio lyja
🌧️	debesis, debesis, iš kurio lyja, iš kurio lyja, lietus, oras
🌨️	debesis, debesis, iš kurio sninga, iš kurio sninga, oras, sniegas, šaltis
🌩️	debesis, debesis su žaibu, oras, žaibas
🌪️	debesis, oras, sūkurys, tornadas
🌫️	debesis, oras, rūkas, ūkana
🌬️	debesis, pūsti, veidas, vėjas, vėjo veidas
🌀	apsvaigęs, ciklonas, oras, spiralė, taifūnas
🌈	gamta, homoseksualus, lgbt, lietus, vaivorykštė
🌂	drabužiai, lietus, skėtis, suskleistas skėtis
☂️	drabužiai, lietus, skėtis
☔️	drabužiai, lašas, lietus, oras, skėtis, skėtis su lietaus lašais
⛱️	lietus, saulė, skėtis, skėtis ant žemės
⚡️	aukšta įtampa, aukštoji įtampa, elektra, pavojus, įtampa, žaibas
❄️	oras, snaigė, sniegas, šaltis
☃️	sniegas, sniego senis, šaltis
⛄️	sniegas, sniego senis, sniego senis be sniego, šaltis
☄️	kometa, kosmosas
🔥	karšta, liepsna, ugnis, įrankis
💧	komiksas, lašas, oras, prakaitas, šaltis
🌊	banga, banglentininkas, gamta, vandens banga, vandenynas, vanduo
🎃	helovinas, šventė, žibintas, žibintas iš moliūgo
🎄	Kalėdos, Kalėdų eglutė, eglutė, šventė
🎆	fejerverkai, pramogos, šventė
🎇	fejerverkai, kibirkštis, šaltoji ugnelė, šventė
🧨	dinamitas, fejerverkai, fejerverkas, sprogus, šviesa
✨️	kibirkštis, kibirkštėlės, magija, žvaigždė
🎈	balionas, gimtadienis, šventė
🎉	bum, konfeti šaudyklė, vakarėlis, šauti, šventė
🎊	kamuolys, konfeti, konfeti kamuolys, šventė
🎋	japonų, medis, tanabata medis, šventė
🎍	augalas, bambukas, dekoracija iš pušies, japonų, pušis, šventė
🎎	festivalis, japoniškos lėlės, japonų, lėlė, šventė
🎏	gyvūnas, karpio vėtrungė, karpis, vėtrungė, šventė, žuvis
🎐	skambėti, varpelis, vėjas, vėjo varpeliai, šventė
🎑	ceremonija, mėnesienos ceremonija, mėnulis, šventė
🧧	dovana, pinigai, raudonas vokas, sėkmė, sėkmės
🎀	kaspinas, šventė
🎁	Kalėdos, dovana, dėžutė, gimtadienis, supakuota dovana, suvyniota, šventė
🎗️	atminimo kaspinas, kaspinas, priminimas, šventė
🎟️	bilietas, įėjimas, įėjimo bilietai
🎫	bilietas, įėjimas
🎖️	kariuomenė, kariuomenės medalis, medalis, šventė
🏆️	pergalė, prizas, sportas, trofėjus
🏅	auksas, laimėtojas, medalis, nugalėtojas, sporto medalis
🥇	1-osios vietos medalis, auksas, medalis, pirmoji
🥈	2 vieta, 2-osios vietos medalis, antroji, medalis, sidabras
🥉	3-osios vietos medalis, bronza, medalis, trečioji
⚽️	futbolas, futbolo kamuolys, kamuolys, sportas
⚾️	beisbolo kamuoliukas, kamuolys, sportas
🥎	kamuolys, pažastis, pirštinė, softbolas, sportas
🏀	kamuolys, krepšinio kamuolys, krepšinis, lankas, sportas
🏐	kamuolys, tinklinio kamuolys, tinklinis, žaidimas
🏈	amerikietiškas, amerikietiškojo futbolo kamuolys, futbolas, kamuolys, sportas
🏉	futbolas, kamuolys, regbio kamuolys, regbis, sportas
🎾	kamuolys, raketė, sportas, tenisas, teniso kamuoliukas
🥏	aukščiausioji riba, diskas, skraidantis diskas
🎳	boulingas, kamuolys, sportas, žaidimas
🏏	kamuolys, kriketas, lazda, žaidimas
🏑	kamuolys, laukas, lazda, riedulys, žaidimas, žolės riedulys
🏒	lazda, ledas, ledo riedulys, ledo ritulio lazda ir ritulys, ledo ritulys, ritulys, žaidimas
🥍	kamuoliukas, lakrosas, lazda, sportas, įvartis
🏓	kamuolys, lazda, raketė, stalo tenisas, žaidimas
🏸	badmintonas, plunksninukas, raketė, žaidimas
🥊	boksas, bokso pirštinė, pirštinė
🥋	dziudo, karatė, kovos menas, kovos sporto šakos uniforma, sportas, uniforma
🥅	tinklas, vartai
⛳️	duobutė, golfas, skylutė, sportas, vėliava duobutėje, vėliava skylutėje
⛸️	ledas, pačiūžos, čiuožinėti
🎣	meškerė, sportas, žuvis
🤿	nardymas, nardymo kaukė
🎽	atletika, bėgimas, bėgimo marškinėliai, juosta, marškinėliai
🎿	slidinėti, slidės, sniegas, sportas
🛷	rogės, sniegas
🥌	akmenslydis, akmuo, kerlingas, sportas, žaidimas
🎯	akis, dartas, pataikyti, smūgis tiesiai į taikinį, taikinys, žaidimas
🪀	jo-jo, svyruojantis, žaislas
🪁	aitvaras, pakilti, skristi
🔫	ginklas, pistoletas, revolveris, vandens šautuvas, įrankis
🎱	8, 8 kamuoliukas, biliardas, biliardo kamuoliukas, žaidimas
🔮	fantazija, fortūna, krištolinis, krištolinis rutulys, pasaka, rutulys
🪄	burtininkas, magija, ragana, stebuklinga lazdelė, stebuklingas
🎮️	pramogos, pultelis, vaizdo žaidimas, valdiklis, žaidimas
🕹️	vaizdo žaidimas, valdymo svirtis, žaidimas
🎰	automatas, lošimas, lošimų automatas, žaidimas, žaidimų automatas
🎲	kauliukas, pramogos, žaidimas
🧩	dalis, dėlionė, galvosūkis, raktas, susijungiantis, žaidimas
🧸	kimštas, meškiukas, pliušas, pliušinis meškiukas, žaislas
🪅	meksikietiška, pinjata, vakarėlis, šventė
🪩	blizgesys, diskoteka, rutulys, vakarėlis, veidrodinis rutulys, šokiai
🪆	Rusija, lėlė, matrioška, matrioškos
♠️	kortos, pikai, žaidimas
♥️	kortos, širdys, žaidimas
♦️	būgnai, būgnas, kortos, žaidimas
♣️	kortos, kryžiai, žaidimas
♟️	naivuolis, paaukotinas, šachmatai, šachmatų pėstininkas
🃏	juokdarys, kortos, žaidimas
🀄️	madžongas, madžongo raudonas drakonas, raudonas, žaidimas
🎴	gėlė, japonų, kortos, kortos su gėlėmis, žaidimas
🎭️	kaukė, menas, pasirodymas, scenos menas, teatras
🖼️	menas, muziejus, paveikslas, piešinys, rėmas, rėmas su paveikslu
🎨	dailininko paletė, menas, muziejus, paletė, piešinys
🧵	adata, gija, ritė, siuvimas, siūlas
🪡	adata, siuvimas, siuvimo adata, siuvinėjimas, siūlai
🧶	kamuolys, megzti, nerti, siūlai, siūlų kamuolys
🪢	kaklaraištis, mazgas, surišti, virvė
👓️	akiniai, akys, apranga, drabužiai
🕶️	akiniai, akiniai nuo saulės, akys, drabužiai, tamsūs
🥽	akių apsauga, apsauginiai akiniai, nardymas, plaukimas, suvirinimas
🥼	bandymas, drabužiai, gydytojas, laboratorinis chalatas, medicina, mokslas, mokslininkas
🦺	drabužis, gelbėjimosi, gelbėjimosi liemenė, kritinė padėtis, liemenė
👔	biuras, drabužiai, kaklaraištis, marškiniai
👕	drabužiai, kasdieniai, marškiniai, marškinėliai, vyras
👖	drabužiai, džinsai, kasdieniai, kelnės, trumpikės
🧣	drabužis, kaklas, skara, šalikas, šalta
🧤	drabužis, pirštinės, ranka
🧥	drabužis, paltas, striukė, švarkas
🧦	blauzdinė, drabužis, kojinės
👗	drabužiai, suknelė
👘	drabužiai, kimono, patogu
🥻	apranga, drabužis, saris, suknelė
🩱	drabužis, maudymosi kostiumėlis, vientisas maudymosi kostiumėlis
🩲	apatiniai, drabužis, maudymosi kostiumėlis, trumpikės, viena dalis
🩳	apatiniai, drabužis, maudymosi kostiumas, trumpikės, šortai
👙	bikinis, drabužiai, maudymosi kostiumėlis, moteris, paplūdimys, plaukti
👚	drabužiai, moteris, moteriški drabužiai, palaidinė
🪭	aušinimas, drovus, flirtas, karšta, plazdėjimas, sulankstoma vėduoklė, vėsinimas, šokti
👛	apsipirkimas, drabužiai, monetos, piniginė
👜	drabužiai, krepšys, rankinė
👝	drabužiai, drabužių krepšys, krepšys, maišelis, rankinė
🛍️	apsipirkimas, krepšys, pirkinių krepšeliai, viešbutis
🎒	krepšys, kuprinė, mokykla, mokyklinė kuprinė
🩴	batai, dirželiai, paplūdimio sandalai, paplūdimio šlepetė, sandalai, sandalai su dirželiu, šlepetė
👞	batai, batas, drabužiai, vyras, vyriškas batas
👟	atletiškas, batai, batas, bėgimo batelis, drabužiai, sportinis batelis
🥾	aulinis batas, batas, kuprinė, rudas batas, stovyklavietė, žygiai, žygio batai
🥿	avalynė be raištelių, baleto batelis, batai, lygiapadis batelis, patogu, šlepetė
👠	aukštakulnis batelis, batai, batas, drabužiai, kulnas, moteris
👡	basutė, batai, batas, drabužiai, moteris, moteriška basutė, sandalas
🩰	baletas, baleto bateliai, batai, šokis
👢	batai, batas, batelis, drabužiai, ilgaaulis batas, moteris, moteriškas batas
🪮	juodaodžių, plaukai, plaukų šukutės, rinkti, šukos, šukuoti
👑	drabužiai, karalienė, karalius, karūna
👒	drabužiai, moteris, moteriška skrybėlė, skrybėlė
🎩	aukšta, cilindras, drabužiai, kepurė, skrybėlė
🎓️	baigimas, drabužiai, kepurė, kepurėlė, mokyklos baigimo kepurėlė, šventė
🧢	beisbolo kepuraitė, drabužis, kepurė, kepurė su snapeliu, reklaminė kepurė
🪖	armija, kareivis, kareiviškas šalmas, kariuomenė, karys, šalmas
⛑️	kepurė, kryžius, pagalba, veidas, šalmas, šalmas su baltu kryžiumi
📿	drabužiai, karoliai, melstis, religija, rožinis, vėrinys
💄	kosmetika, lūpdažis, lūpų dažai, makiažas
💍	deimantas, sužadėtuvės, vestuvės, žiedas
💎	brangakmenis, deimantas, juvelyrika, romantika, sužadėtuvės
🔇	garsiakalbis, garsiakalbis išjungtas, garsumas, nutildytas, prietaisas, tylus
🔈️	garsiakalbis, prietaisas, tylus, tylus garsiakalbis
🔉	garsiakalbis, vidutinio garso garsiakalbis, vidutinis
🔊	didelis garsiakalbio garsumas, garsiakalbis, garsus, prietaisas
📢	garsiai, garsiakalbio simbolis, garsiakalbis, skelbimas, viešas
📣	džiaugsmingi šūksniai, garsiakalbis, garsintuvas
📯	paštas, pašto, pašto ragas, ragas
🔔	bažnyčia, pertrauka, varpas, varpelis
🔕	draudžiama, nutildyti, perbrauktas varpelis, tyliai, varpas, varpelis
🎼	muzika, nata, partitūra, smuiko raktas
🎵	muzika, muzikos nata, nata
🎶	muzika, muzikos natos, nata, natos
🎙️	mikrofonas, muzika, studija, studijos mikrofonas
🎚️	lygio slankiklis, lygis, muzika, slankiklis
🎛️	muzika, rankenos, rankenėlės, valdymas, valdymo pultas, valdymo rankenos
🎤	karaokė, mikrofonas, muzika
🎧️	ausinės, garsas
📻️	pramogos, radijas, vaizdo įrašas
🎷	instrumentas, muzika, saksofonas
🪗	akordeonas, armonika, instrumentas, muzika
🎸	gitara, instrumentas, muzika
🎹	instrumentas, klaviatūra, muzika, muzikos klaviatūra, pianinas
🎺	instrumentas, muzika, trimitas
🎻	instrumentas, muzika, smuikas
🪕	bandža, instrumentas, muzika, styginis
🥁	būgnas, lazdelės, muzika
🪘	Kongas, būgnas, ilgas būgnas, ritmas
🪇	barškalai, barškutis, barškynė, instrumentas, kratyti, marakasai, muzika, mušamieji, purtyti
🪈	fleita, grupė, instrumentas, mažoji fleita, mediniai pučiamieji, muzika, orkestras, skudutis, vamzdis, vargonai
🪉	arfa, instrumentas, kupidonas, meilė, muzika, orkestras
📱	mobilusis, mobilusis telefonas, prietaisas, telefonas
📲	mobilusis, mobilusis telefonas su rodykle, prietaisas, rodyklė, skambinti, telefonas
☎️	telefonas
📞	prietaisas, ragelis, telefonas, telefono ragelis
📟️	bedravimas, gaviklis
📠	faksas, fakso aparatas
🔋	baterija
🪫	akumuliatorius, elektronika, išeikvota baterija, išeikvota energija, išeikvotas akumuliatorius, mažai energijos
🔌	elektra, elektros kištukas, kištukas
💻️	asmeninis, buras, kompiuteris, nešiojamas kompiuteris, skreitinis kompiuteris
🖥️	kompiuteris, stalinis, stalinis kompiuteris
🖨️	kompiuteris, spausdintuvas
⌨️	klaviatūra, kompiuteris, prietaisas
🖱️	kompiuterio pelė, kompiuteris, pelė, prietaisas
🖲️	kompiuteris, prietaisas, rutulinis manipuliatorius
💽	diskas, kompiuterio diskas, kompiuteris, minidiskas, optinis
💾	diskas, diskelis, kompiuteris
💿️	CD, diskas, kompaktinis diskas, kompiuteris, optinis, optinis diskas
📀	Blu-Ray, diskas, kompaktinis diskas, kompiuteris, optinis, skaitmeninis vaizdo diskas
🧮	skaitliukas, skaitytuvai, skaitytuvas, skaičiavimas
🎥	filmas, filmavimo kamera, kamera, kinas
🎞️	filmas, filmo kadrai, juosta, kadrai, kinas
📽️	filmas, filmų projektorius, kinas, projektorius, vaizdo įrašas
🎬️	filmas, pliauškė, pranešimo lenta, veiksmas
📺️	TV, televizorius, vaizdo įrašas
📷️	asmenukė, fotoaparatas, vaizdo įrašas
📸	blykstė, fotoaparatas, fotoaparatas su blykste, vaizdo įrašas
📹️	fotoaparatas, vaizdo kamera, vaizdo įrašas
📼	VHS, juosta, kasetė, senovinė, vaizdo įrašas, vaizdo įrašų kasetė
🔍	didinimo, didinimo stiklas į kairę, laboratorija, mokslas, paieška, stiklas, įrankis
🔎	didinimo, didinimo stiklas į dešinę, paieška, stiklas, įrankis
🕯️	šviesa, žvakė
💡	elektra, idėja, komiksas, lemputė, šviesa
🔦	deglas, elektra, įrankis, šviesa, žibintuvėlis
🏮	baras, popierinis žibintas, raudonas, raudonas popierinis žibintas, šviesa, žibintas
🪔	daiktas, lempa, žibalas, žibalinė lempa, žvakė
📔	dekoratyvinis, knyga, užrašų knygelė, užrašų knygelė su dekoratyviniu viršeliu, viršelis
📕	knyga, mokslas, užversta, užversta knyga, užverta
📖	atversta, atversta knyga, biblioteka, knyga, mokslas, žinios
📗	knyga, mokslas, žalia, žalia knyga
📘	biblioteka, išsilavinimas, knyga, mėlyna, mėlyna knyga, skaitymas
📙	biblioteka, knyga, oranžinė, oranžinė knyga, skaitymas, žinios
📚️	knyga, knygos, mokslas, mokykla
📓	užrašinė
📒	knyga, sąskaitų knyga, užrašų knygelė
📃	dokumentas, puslapis, užsirietęs, užsirietęs puslapis
📜	lapas, popierius, susuktas lapas
📄	dokumentas, puslapis, puslapis viršutine puse
📰	laikraštis, naujienos, popierius
🗞	laikraštis, naujienos, popierius, susuktas, susuktas laikraštis
📑	skirtukai, skirtukas, žyma, žymeklis, žymių skirtukai, žymė
🔖	skirtukas, žyma, žymė
🏷️	etiketė
💰️	doleris, maišas, pinigai, pinigų maišas
🪙	auksas, lobis, metalas, moneta, pinigai, sidabras
💴	bankas, banknotas, jena, jenos banknotas, pinigai, valiuta
💵	bankas, banknotas, dolerio banknotas, doleris, pinigai, valiuta
💶	bankas, banknotas, euras, euro banknotas, pinigai, valiuta
💷	bankas, banknotas, pinigai, svaras sterlingų, svaro sterlingų banknotas, valiuta
