‾	overline
🤽🏼‍♂	Marco, isports, katamtamang light na kulay ng balat, lalaki, lalaking naglalaro ng water polo, lalaking naglalaro ng water polo: katamtamang light na kulay ng balat, sports, water polo
🤽🏽‍♂	Marco, isports, katamtamang kulay ng balat, lalaki, lalaking naglalaro ng water polo, lalaking naglalaro ng water polo: katamtamang kulay ng balat, sports, water polo
🤽🏾‍♂	Marco, isports, katamtamang dark na kulay ng balat, lalaki, lalaking naglalaro ng water polo, lalaking naglalaro ng water polo: katamtamang dark na kulay ng balat, sports, water polo
🤽🏿‍♂	Marco, dark na kulay ng balat, isports, lalaki, lalaking naglalaro ng water polo, lalaking naglalaro ng water polo: dark na kulay ng balat, sports, water polo
🤽‍♀	Marco, babae, babaeng naglalaro ng water polo, isports, sports, water polo
🤽🏻‍♀	Marco, babae, babaeng naglalaro ng water polo, babaeng naglalaro ng water polo: light na kulay ng balat, isports, light na kulay ng balat, sports, water polo
🤽🏼‍♀	Marco, babae, babaeng naglalaro ng water polo, babaeng naglalaro ng water polo: katamtamang light na kulay ng balat, isports, katamtamang light na kulay ng balat, sports, water polo
🤽🏽‍♀	Marco, babae, babaeng naglalaro ng water polo, babaeng naglalaro ng water polo: katamtamang kulay ng balat, isports, katamtamang kulay ng balat, sports, water polo
🤽🏾‍♀	Marco, babae, babaeng naglalaro ng water polo, babaeng naglalaro ng water polo: katamtamang dark na kulay ng balat, isports, katamtamang dark na kulay ng balat, sports, water polo
🤽🏿‍♀	Marco, babae, babaeng naglalaro ng water polo, babaeng naglalaro ng water polo: dark na kulay ng balat, dark na kulay ng balat, isports, sports, water polo
🤾	bola, hagis, handball, salo, sambot, sport, tao, taong naglalaro ng handball
🤾🏻	bola, hagis, handball, light na kulay ng balat, salo, sambot, sport, tao, taong naglalaro ng handball, taong naglalaro ng handball: light na kulay ng balat
🤾🏼	bola, hagis, handball, katamtamang light na kulay ng balat, salo, sambot, sport, tao, taong naglalaro ng handball, taong naglalaro ng handball: katamtamang light na kulay ng balat
🤾🏽	bola, hagis, handball, katamtamang kulay ng balat, salo, sambot, sport, tao, taong naglalaro ng handball, taong naglalaro ng handball: katamtamang kulay ng balat
🤾🏾	bola, hagis, handball, katamtamang dark na kulay ng balat, salo, sambot, sport, tao, taong naglalaro ng handball, taong naglalaro ng handball: katamtamang dark na kulay ng balat
🤾🏿	bola, dark na kulay ng balat, hagis, handball, salo, sambot, sport, tao, taong naglalaro ng handball, taong naglalaro ng handball: dark na kulay ng balat
🤾‍♂	handball, isports, lalaki, lalaking naglalaro ng handball, sports
🤾🏻‍♂	handball, isports, lalaki, lalaking naglalaro ng handball, lalaking naglalaro ng handball: light na kulay ng balat, light na kulay ng balat, sports
🤾🏼‍♂	handball, isports, katamtamang light na kulay ng balat, lalaki, lalaking naglalaro ng handball, lalaking naglalaro ng handball: katamtamang light na kulay ng balat, sports
🤾🏽‍♂	handball, isports, katamtamang kulay ng balat, lalaki, lalaking naglalaro ng handball, lalaking naglalaro ng handball: katamtamang kulay ng balat, sports
🤾🏾‍♂	handball, isports, katamtamang dark na kulay ng balat, lalaki, lalaking naglalaro ng handball, lalaking naglalaro ng handball: katamtamang dark na kulay ng balat, sports
🤾🏿‍♂	dark na kulay ng balat, handball, isports, lalaki, lalaking naglalaro ng handball, lalaking naglalaro ng handball: dark na kulay ng balat, sports
🤾‍♀	babae, babaeng naglalaro ng handball, hagis, handball, isports, salo, sambot, sports
🤾🏻‍♀	babae, babaeng naglalaro ng handball, babaeng naglalaro ng handball: light na kulay ng balat, hagis, handball, isports, light na kulay ng balat, salo, sambot, sports
🤾🏼‍♀	babae, babaeng naglalaro ng handball, babaeng naglalaro ng handball: katamtamang light na kulay ng balat, hagis, handball, isports, katamtamang light na kulay ng balat, salo, sambot, sports
🤾🏽‍♀	babae, babaeng naglalaro ng handball, babaeng naglalaro ng handball: katamtamang kulay ng balat, hagis, handball, isports, katamtamang kulay ng balat, salo, sambot, sports
🤾🏾‍♀	babae, babaeng naglalaro ng handball, babaeng naglalaro ng handball: katamtamang dark na kulay ng balat, hagis, handball, isports, katamtamang dark na kulay ng balat, salo, sambot, sports
🤾🏿‍♀	babae, babaeng naglalaro ng handball, babaeng naglalaro ng handball: dark na kulay ng balat, dark na kulay ng balat, hagis, handball, isports, salo, sambot, sports
🤹	balanse, juggle, multitask, skill, taong nagja-juggle
🤹🏻	balanse, juggle, light na kulay ng balat, multitask, skill, taong nagja-juggle, taong nagja-juggle: light na kulay ng balat
🤹🏼	balanse, juggle, katamtamang light na kulay ng balat, multitask, skill, taong nagja-juggle, taong nagja-juggle: katamtamang light na kulay ng balat
🤹🏽	balanse, juggle, katamtamang kulay ng balat, multitask, skill, taong nagja-juggle, taong nagja-juggle: katamtamang kulay ng balat
🤹🏾	balanse, juggle, katamtamang dark na kulay ng balat, multitask, skill, taong nagja-juggle, taong nagja-juggle: katamtamang dark na kulay ng balat
🤹🏿	balanse, dark na kulay ng balat, juggle, multitask, skill, taong nagja-juggle, taong nagja-juggle: dark na kulay ng balat
🤹‍♂	lalaki, lalaking nagja-juggle, multitask, nagja-juggle
🤹🏻‍♂	lalaki, lalaking nagja-juggle, lalaking nagja-juggle: light na kulay ng balat, light na kulay ng balat, multitask, nagja-juggle
🤹🏼‍♂	katamtamang light na kulay ng balat, lalaki, lalaking nagja-juggle, lalaking nagja-juggle: katamtamang light na kulay ng balat, multitask, nagja-juggle
🤹🏽‍♂	katamtamang kulay ng balat, lalaki, lalaking nagja-juggle, lalaking nagja-juggle: katamtamang kulay ng balat, multitask, nagja-juggle
🤹🏾‍♂	katamtamang dark na kulay ng balat, lalaki, lalaking nagja-juggle, lalaking nagja-juggle: katamtamang dark na kulay ng balat, multitask, nagja-juggle
🤹🏿‍♂	dark na kulay ng balat, lalaki, lalaking nagja-juggle, lalaking nagja-juggle: dark na kulay ng balat, multitask, nagja-juggle
🤹‍♀	babae, babaeng nagja-juggle, multitask, nagja-juggle
🤹🏻‍♀	babae, babaeng nagja-juggle, babaeng nagja-juggle: light na kulay ng balat, light na kulay ng balat, multitask, nagja-juggle
🤹🏼‍♀	babae, babaeng nagja-juggle, babaeng nagja-juggle: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, multitask, nagja-juggle
🤹🏽‍♀	babae, babaeng nagja-juggle, babaeng nagja-juggle: katamtamang kulay ng balat, katamtamang kulay ng balat, multitask, nagja-juggle
🤹🏾‍♀	babae, babaeng nagja-juggle, babaeng nagja-juggle: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, multitask, nagja-juggle
🤹🏿‍♀	babae, babaeng nagja-juggle, babaeng nagja-juggle: dark na kulay ng balat, dark na kulay ng balat, multitask, nagja-juggle
🧘	kapayapaan, meditation, relaxing, tao na naka-lotus position, yoga, zen
🧘🏻	kapayapaan, light na kulay ng balat, meditation, relaxing, tao na naka-lotus position, tao na naka-lotus position: light na kulay ng balat, yoga, zen
🧘🏼	kapayapaan, katamtamang light na kulay ng balat, meditation, relaxing, tao na naka-lotus position, tao na naka-lotus position: katamtamang light na kulay ng balat, yoga, zen
🧘🏽	kapayapaan, katamtamang kulay ng balat, meditation, relaxing, tao na naka-lotus position, tao na naka-lotus position: katamtamang kulay ng balat, yoga, zen
🧘🏾	kapayapaan, katamtamang dark na kulay ng balat, meditation, relaxing, tao na naka-lotus position, tao na naka-lotus position: katamtamang dark na kulay ng balat, yoga, zen
🧘🏿	dark na kulay ng balat, kapayapaan, meditation, relaxing, tao na naka-lotus position, tao na naka-lotus position: dark na kulay ng balat, yoga, zen
🧘‍♂	lalaki na naka-lotus position, meditation, yoga
🧘🏻‍♂	lalaki na naka-lotus position, lalaki na naka-lotus position: light na kulay ng balat, light na kulay ng balat, meditation, yoga
🧘🏼‍♂	katamtamang light na kulay ng balat, lalaki na naka-lotus position, lalaki na naka-lotus position: katamtamang light na kulay ng balat, meditation, yoga
🧘🏽‍♂	katamtamang kulay ng balat, lalaki na naka-lotus position, lalaki na naka-lotus position: katamtamang kulay ng balat, meditation, yoga
🧘🏾‍♂	katamtamang dark na kulay ng balat, lalaki na naka-lotus position, lalaki na naka-lotus position: katamtamang dark na kulay ng balat, meditation, yoga
🧘🏿‍♂	dark na kulay ng balat, lalaki na naka-lotus position, lalaki na naka-lotus position: dark na kulay ng balat, meditation, yoga
🧘‍♀	babae na naka-lotus position, meditation, yoga
🧘🏻‍♀	babae na naka-lotus position, babae na naka-lotus position: light na kulay ng balat, light na kulay ng balat, meditation, yoga
🧘🏼‍♀	babae na naka-lotus position, babae na naka-lotus position: katamtamang light na kulay ng balat, katamtamang light na kulay ng balat, meditation, yoga
🧘🏽‍♀	babae na naka-lotus position, babae na naka-lotus position: katamtamang kulay ng balat, katamtamang kulay ng balat, meditation, yoga
🧘🏾‍♀	babae na naka-lotus position, babae na naka-lotus position: katamtamang dark na kulay ng balat, katamtamang dark na kulay ng balat, meditation, yoga
🧘🏿‍♀	babae na naka-lotus position, babae na naka-lotus position: dark na kulay ng balat, dark na kulay ng balat, meditation, yoga
🛀	bathtub, ligo, naliligo, taong naliligo, tub, tubig
🛀🏻	bathtub, light na kulay ng balat, ligo, naliligo, taong naliligo, taong naliligo: light na kulay ng balat, tub, tubig
🛀🏼	bathtub, katamtamang light na kulay ng balat, ligo, naliligo, taong naliligo, taong naliligo: katamtamang light na kulay ng balat, tub, tubig
🛀🏽	bathtub, katamtamang kulay ng balat, ligo, naliligo, taong naliligo, taong naliligo: katamtamang kulay ng balat, tub, tubig
🛀🏾	bathtub, katamtamang dark na kulay ng balat, ligo, naliligo, taong naliligo, taong naliligo: katamtamang dark na kulay ng balat, tub, tubig
🛀🏿	bathtub, dark na kulay ng balat, ligo, naliligo, taong naliligo, taong naliligo: dark na kulay ng balat, tub, tubig
🛌	hotel, logtu, natutulog, taong nakahiga, tulog, zz, zzzzz
🛌🏻	hotel, light na kulay ng balat, logtu, natutulog, taong nakahiga, taong nakahiga: light na kulay ng balat, tulog, zz, zzzzz
🛌🏼	hotel, katamtamang light na kulay ng balat, logtu, natutulog, taong nakahiga, taong nakahiga: katamtamang light na kulay ng balat, tulog, zz, zzzzz
🛌🏽	hotel, katamtamang kulay ng balat, logtu, natutulog, taong nakahiga, taong nakahiga: katamtamang kulay ng balat, tulog, zz, zzzzz
🛌🏾	hotel, katamtamang dark na kulay ng balat, logtu, natutulog, taong nakahiga, taong nakahiga: katamtamang dark na kulay ng balat, tulog, zz, zzzzz
🛌🏿	dark na kulay ng balat, hotel, logtu, natutulog, taong nakahiga, taong nakahiga: dark na kulay ng balat, tulog, zz, zzzzz
🧑‍🤝‍🧑	hawak, hawak-kamay, holding hands, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, tao
🧑🏻‍🤝‍🧑🏻	hawak, hawak-kamay, holding hands, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: light na kulay ng balat, tao
🧑🏻‍🤝‍🧑🏼	hawak, hawak-kamay, holding hands, katamtamang light na kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: light na kulay ng balat, katamtamang light na kulay ng balat, tao
🧑🏻‍🤝‍🧑🏽	hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: light na kulay ng balat, katamtamang kulay ng balat, tao
🧑🏻‍🤝‍🧑🏾	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: light na kulay ng balat, katamtamang dark na kulay ng balat, tao
🧑🏻‍🤝‍🧑🏿	dark na kulay ng balat, hawak, hawak-kamay, holding hands, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: light na kulay ng balat, dark na kulay ng balat, tao
🧑🏼‍🤝‍🧑🏻	hawak, hawak-kamay, holding hands, katamtamang light na kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang light na kulay ng balat, light na kulay ng balat, tao
🧑🏼‍🤝‍🧑🏼	hawak, hawak-kamay, holding hands, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang light na kulay ng balat, tao
🧑🏼‍🤝‍🧑🏽	hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang kulay ng balat, tao
🧑🏼‍🤝‍🧑🏾	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, tao
🧑🏼‍🤝‍🧑🏿	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang light na kulay ng balat, dark na kulay ng balat, tao
🧑🏽‍🤝‍🧑🏻	hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang kulay ng balat, light na kulay ng balat, tao
🧑🏽‍🤝‍🧑🏼	hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang kulay ng balat, katamtamang light na kulay ng balat, tao
🧑🏽‍🤝‍🧑🏽	hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang kulay ng balat, tao
🧑🏽‍🤝‍🧑🏾	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang kulay ng balat, katamtamang dark na kulay ng balat, tao
🧑🏽‍🤝‍🧑🏿	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang kulay ng balat, dark na kulay ng balat, tao
🧑🏾‍🤝‍🧑🏻	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang dark na kulay ng balat, light na kulay ng balat, tao
🧑🏾‍🤝‍🧑🏼	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, tao
🧑🏾‍🤝‍🧑🏽	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang kulay ng balat, tao
🧑🏾‍🤝‍🧑🏾	hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang dark na kulay ng balat, tao
🧑🏾‍🤝‍🧑🏿	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: katamtamang dark na kulay ng balat, dark na kulay ng balat, tao
🧑🏿‍🤝‍🧑🏻	dark na kulay ng balat, hawak, hawak-kamay, holding hands, light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: dark na kulay ng balat, light na kulay ng balat, tao
🧑🏿‍🤝‍🧑🏼	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang light na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: dark na kulay ng balat, katamtamang light na kulay ng balat, tao
🧑🏿‍🤝‍🧑🏽	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: dark na kulay ng balat, katamtamang kulay ng balat, tao
🧑🏿‍🤝‍🧑🏾	dark na kulay ng balat, hawak, hawak-kamay, holding hands, katamtamang dark na kulay ng balat, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: dark na kulay ng balat, katamtamang dark na kulay ng balat, tao
🧑🏿‍🤝‍🧑🏿	dark na kulay ng balat, hawak, hawak-kamay, holding hands, magkapareha, magkaparehang magkahawak-kamay, mga taong magkahawak-kamay, mga taong magkahawak-kamay: dark na kulay ng balat, tao
👭	babae, dalawang babaeng magkahawak-kamay, hawak-kamay, holding hands, kamay, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👭🏻	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: light na kulay ng balat, hawak-kamay, holding hands, kamay, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏻‍🤝‍👩🏼	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: light na kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏻‍🤝‍👩🏽	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: light na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏻‍🤝‍👩🏾	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: light na kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏻‍🤝‍👩🏿	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: light na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏼‍🤝‍👩🏻	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang light na kulay ng balat, light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👭🏼	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏼‍🤝‍👩🏽	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏼‍🤝‍👩🏾	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏼‍🤝‍👩🏿	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang light na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏽‍🤝‍👩🏻	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang kulay ng balat, light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏽‍🤝‍👩🏼	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👭🏽	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏽‍🤝‍👩🏾	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏽‍🤝‍👩🏿	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏾‍🤝‍👩🏻	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏾‍🤝‍👩🏼	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏾‍🤝‍👩🏽	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👭🏾	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏾‍🤝‍👩🏿	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏿‍🤝‍👩🏻	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: dark na kulay ng balat, light na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lgbt, light na kulay ng balat, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏿‍🤝‍👩🏼	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang light na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏿‍🤝‍👩🏽	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👩🏿‍🤝‍👩🏾	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👭🏿	babae, dalawang babaeng magkahawak-kamay, dalawang babaeng magkahawak-kamay: dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lgbt, magkaibigang babae, magkapareha, magkapatid na babae, pagkakaibigan, queer
👫	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, lalaki, lalaki at babaeng magkahawak-kamay, magkahawak-kamay, magkapareha
👫🏻	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏻‍🤝‍👨🏼	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: light na kulay ng balat, katamtamang light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏻‍🤝‍👨🏽	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: light na kulay ng balat, katamtamang kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏻‍🤝‍👨🏾	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: light na kulay ng balat, katamtamang dark na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏻‍🤝‍👨🏿	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: light na kulay ng balat, dark na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏼‍🤝‍👨🏻	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang light na kulay ng balat, light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
