‾	linha, linha superior, superior
⏱️	cronômetro, relógio, tempo
⏲️	cronômetro, relógio, relógio temporizador, timer
🕰️	relógio, relógio antigo, relógio de mesa
🕛️	12 horas, 12h00, doze, meia-noite, meio-dia, relógio
🕧	12h30, doze e meia, relógio
🕐️	1 hora, 13h, 1h, 1h00, relógio, uma
🕜	13:30, 13h30, 1:30, 1h30, relógio, uma e meia
🕑️	14h, 2 horas, 2h, 2h00, duas, relógio
🕝	2:30, 2h30, duas e meia, relógio
🕒️	15h, 3 horas, 3:00, 3h00, hora, horário, relógio, três
🕞	3:30, 3h30, relógio, três e meia
🕓️	4 horas, 4:00, 4h00, horário, quatro, relógio
🕟	4h30, quatro e meia, relógio
🕔️	5 horas, 5h00, cinco, relógio
🕠	17h30, 5h30, cinco e meia, relógio
🕕️	18h, 6 horas, 6h00, relógio, seis
🕡	18h30, 6h30, relógio, seis e meia
🕖️	19h, 7 horas, 7h00, relógio, sete
🕢	7:30, 7h30, relógio, sete e meia
🕗️	8 horas, 8:00, 8h00, hora, oito, relógio
🕣	8:30, 8h30, oito e meia, relógio
🕘️	21h, 9 horas, 9h00, nove, relógio
🕤	9:30, 9h30, hora, nove e meia, relógio
🕙️	10 horas, 10h00, 22h, dez, relógio
🕥	10h30, 22h30, dez e meia, relógio
🕚️	11 horas, 11:00, 11h00, onze, relógio
🕦	11h30, 23h30, onze e meia, relógio
🌑	escuro, lua, lua negra, lua nova, noite, nova
🌒	crescente, côncava, lua, lua crescente côncava, noite
🌓	lua, lua de quarto crescente, quarto, quarto crescente
🌔	convexa, crescente, lua, lua crescente convexa
🌕️	cheia, lua, lua cheia, luar
🌖	convexa, lua, lua minguante convexa, minguante
🌗	lua, lua de quarto minguante, quarto, quarto minguante
🌘	côncava, lua, lua minguante côncava, minguante
🌙	crescente, lua, lua crescente
🌚	lua, lua nova, lua nova com rosto, rosto, rosto da lua nova
🌛	crescente, lua, noite, quarto, rosto, rosto da lua de quarto crescente
🌜️	lua, lua com rosto, lua de quarto minguante, quarto minguante, quarto minguante com rosto, rosto, rosto da lua de quarto minguante
🌡️	clima, temperatura, tempo, termômetro
☀️	clima, dia claro, raios, sol, solar, tempo
🌝	cheia, lua, lua cheia com rosto, lua com rosto, rosto, rosto da lua cheia
🌞	praia, rosto, rosto do sol, sol
🪐	planeta, planeta com anéis, saturnino, saturno
⭐️	estrela, estrela branca média
🌟	brilhante, brilho, cintilante, estrela, estrela brilhante, luminosa, reluzente
🌠	cadente, cai, estrela, estrela cadente
🌌	céu, espaço, estrelado, via láctea
☁️	clima, nuvem
⛅️	clima, nublado, nuvem, sol, sol com nuvens, sol por trás das nuvens
⛈️	chuva, chuva com trovão, clima, nuvem, relâmpago, temporal, trovão
🌤️	clima, nublado, nuvem, sol, sol com nuvens
🌥️	clima, nublado, nuvem, sol
🌦️	chuva, clima, nuvem, sol, sol com chuva
🌧️	chovendo, chuva, clima, nuvem, nuvem com chuva
🌨️	clima, frio, neve, nuvem, nuvem com neve
🌩️	clima, nuvem, nuvem com trovão, relâmpago
🌪️	clima, furacão, nuvem, tornado
🌫️	clima, furacão, neblina, nevoeiro, nuvem
🌬️	clima, nuvem, rosto, rosto de vento, soprar, sopro, vento
🌀	ciclone, clima, espiral, furacão, tonto, twister, zonzo
🌈	arco-íris, chuva, clima, gay, lgbt, lgbtqia+, lésbica, natureza, orgulho, queer, transgênero
🌂	chuva, chuvoso, guarda-chuva, guarda-chuva fechado
☂️	acessório, chuva, clima, guarda-chuva, sombrinha aberta
☔️	acessório, chuva, clima, gotas, guarda-chuva, sombrinha, sombrinha na chuva
⛱️	chuva, clima, guarda-sol, praia, sol, sombra, sombrinha
⚡️	alta, alta tensão, eletricidade, natureza, perigo, relâmpago, sinal, tensão
❄️	clima, floco, floco de neve, frio, neve
☃️	boneco, boneco de neve, clima, frio, inverno, neve
⛄️	boneco, boneco de neve sem neve, frio, inverno, neve
☄️	cometa, espaço, estrela cadente, meteoro, satélite
🔥	chama, fogo
💧	com suor, engraçado, gota, gota de suor, suor
🌊	onda, onda de água, onda do oceano, tsunami
🎃	abóbora, abóbora de halloween, comemoração, dia das bruxas, halloween, jack, lanterna
🎄	Natal, comemoração, pinheirinho, árvore, árvore de natal
🎆	ano novo, comemoração, fogos, fogos de artifício
🎇	comemoração, fogo de artifício, fogo de artifício vela estrela, vela estrela
🧨	bomba, bomba chiando, bombinha, dinamite, estourando, estourar, explosivo, faísca, fogo, fogos de artifício, luz, pirotecnia, roubada
✨️	*, brilhos, estrelas, estrelas brilhantes, faíscas, mágica
🎈	aniversário, balão, celebração, comemoração, festa de aniversário, parabéns
🎉	alegria, aniversário, celebrar, comemoração, cone de festa, festa, parabéns
🎊	bola, bola de confetes, celebração, comemoração, confete, parabéns
🎋	Estrelas, Festival, comemoração, japonesa, papel, tanabata, tiras, árvore, árvore de tanabata
🎍	bambu, comemoração, decoração de pinhas, decoração de pinhos, japonês, pinha
🎎	bonecas, bonecas japonesas, comemoração, festival, japanesas, japonês
🎏	bandeira, bandeira de carpas, comemoração, koinobori, subida de carpas
🎐	carrilhão de vento, sino, som, vento
🎑	cerimônia de contemplação da lua, comemoração, contemplação, contemplação da lua, lua
🧧	boa sorte, dinheiro, envelope vermelho, hóngbāo, lai see, presente
🎀	comemoração, fita, laço, laço de fita, presente
🎁	comemoração, embrulhado, mimo, presente
🎗️	celebração, comemoração, fita de lembrete, laço, lembrete
🎟️	entrada, ingresso, ingresso de cinema, ticket
🎫	entretenimento, ingresso
🎖️	condecoração, medalha, medalha militar, militar, prêmio
🏆️	campeã, campeão, prêmio, troféu
🏅	medalha, medalha esportiva, vitória
🥇	1o. lugar, 1º. lugar, medalha, medalha de ouro, ouro, vitória
🥈	2o. lugar, 2º. lugar, medalha, medalha de prata, prata, segundo
🥉	3o. lugar, 3º. lugar, bronze, medalha, medalha de bronze, terceiro
⚽️	bola, bola de futebol, futebol, jogar
⚾️	beisebol, bola, bola de beisebol, esportes
🥎	bola, esporte, luva, softball, softbol
🏀	basquete, bola, bola de basquete, cesta, esporte, jogo
🏐	bola, bola de vôlei, jogar, jogo, vôlei
🏈	americano, bola, bola de futebol americano, esporte, futebol americano, super bowl
🏉	americano, bola, bola de rugby, esporte, futebol, rugby
🎾	bola, esporte, raquete, tênis
🥏	disco, esporte, frisbee, ultimate, voador
🎳	bola, boliche, jogo, strike
🏏	betes, bola, críquete, jogo, taco
🏑	bola, campo, hóquei, hóquei de campo, jogo, taco
🏒	disco, gelo, hóquei, hóquei no gelo, jogo, taco
🥍	bastão, bola, esporte, gol, lacrosse, raquete, taco
🏓	mesa, pingpong, pingue-pongue, raquete, tênis de mesa
🏸	badminton, jogo, peteca, raquete
🥊	boxe, esporte, lutar boxe, luva, luva de boxe
🥋	artes marciais, esporte, faixa preta, judô, karatê, quimono, quimono de artes marciais, taekwondo, uniforme
🥅	esporte, futebol, gol, goleira, goleiro, rede
⛳️	bandeira, bandeira no buraco, buraco, esporte, golfe
⛸️	gelo, patinação, patins, patins de gelo
🎣	entretenimento, peixe, pesca, pescador, pescaria, recreação, vara
🤿	esnórquel, mergulhador, mergulhadora, mergulho, máscara de mergulho, scuba, snorkel, snorkeling
🎽	camiseta, camiseta de corrida, corrida, esporte, faixa
🎿	bota, esporte, esqui, esquiar, neve
🛷	trenó, trenó, tobogã, neve
🥌	pedra, pedra de curling, pedra de curling, jogo
🎯	dardos, jogo, mira, na mosca, no alvo, tiro, tiro certeiro
🪀	brinquedo, flutua, ioiô
🪁	papagaio, pipa, planar, voar
🔫	arma, ferramenta, pistola, pistola d’água, revólver, água
🎱	bilhar, bola oito, jogo
🔮	adivinhação, bola, bola de cristal, cristal, destino, prever o futuro
🪄	bruxa, magia, mago, mágica, mágico, varinha, varinha de condão, varinha mágica
🎮️	controle, game, jogo, jogos, playstation, video, videogame, xbox
🕹️	controle, controle de atari, game, jogo, joystick, video game, videogame
🎰	aposta, cassino, caça-níquel, jogo de azar, máquina caça-níqueis
🎲	dado, dados, jogo, jogo de dado, sorte
🧩	dica, encaixe, peça, quebra-cabeça
🧸	bichinho, brinquedo, enchimento, pelúcia, ursinho, ursinho de pelúcia, urso
🪅	cinco de maio, comemoração, doce, festa, festival, pinhata
🪩	balada, boate, bola, brilho, dança, dançar, discoteca, espelhado, espelho, festa, globo, globo de espelhos, night
🪆	boneca, boneca russa, matriosca, matrioska, russa
♠️	baralho, carta, espadas, jogo, naipe, naipe de espadas
♥️	baralho, carta, copas, jogo, naipe, naipe de copas, s2
♦️	baralho, carta, jogo, naipe, naipe de ouros, ouro
♣️	baralho, carta, jogo, naipe, naipe de paus, paus
♟️	peão, peão de xadrez, truque, xadrez
🃏	baralho, carta, coringa, curinga, jogo, joker
🀄️	dragão, dragão vermelho de mahjong, jogo, mahjong, peça, vermelho
🎴	Hanafuda, baralho, carta de baralho, carta de flores, flores, jogo de baralho
🎭️	arte, arte dramática, ator, atriz, entretenimento, espetáculo, máscara, performance, peça, teatro
🖼️	arte, moldura, museu, pintura, quadro, quadro emoldurado
🎨	arte, artista, museu, paleta, paleta artística, paleta de tintas, pintor, pintura, tinta
🧵	agulha, barbante, carretel, costura, linha
🪡	agulha, agulha de costura, alfaiataria, bordados, costura, costurar, linha, pontos, suturas
🧶	bola, crochê, lã, novelo, tricotar, tricô
🪢	amarrar, corda, cordel, emaranhado, fio, laço, nó, nó de marinheiro
👓️	acessório, óculos
🕶️	óculos, óculos de sol, óculos escuros
🥽	mergulho, natação, proteção para os olhos, solda, soldagem, óculos, óculos de proteção
🥼	cientista, dr., experimento, experiência, jaleco, médico, roupa
🦺	colete, colete refletivo, colete salva-vidas, emergência, segurança
👔	acessório, gravata, roupa
👕	camisa, camiseta, roupa
👖	calça, jeans, roupa
🧣	cachecol, cachecol, pescoço, frio,, inverno, pescoço
🧤	inverno, luva, luvas, mão
🧥	blusa, casaco, casaco, jaqueta, frio, agasalho, jaqueta
🧦	meia, meias, meião
👗	peça única, roupa, vestido
👘	quimono, roupa, vestir
🥻	indiana, roupa, sari, vestido, Índia
🩱	maiô, nadar, roupa de banho, roupa de praia
🩲	cueca, nadar, peça única, roupa de banho, roupa de praia, roupa íntima, sunga
🩳	bermuda, nadar, roupa de banho, roupa de praia, shorts
👙	biquíni, piscina, praia, roupa, traje de banho
👚	blusa rosa, camiseta, roupas, roupas femininas
🪭	abanar, arejar, balançar, calor, dança, flertar, leque, leque dobrável, quente, refrescante, refrescar, timidez, tímida
👛	acessório, bolsa rosa, bolsinha, moedas, niqueleira, porta moeda
👜	acessório, bolsa, bolsa de mão, fashion
👝	acessório, bolsa, bolsa pequena, carteira, fashion
🛍️	compras, sacolas, sacolas de compras, sacolas de shopping, shopping
🎒	bolsa escolar, escola, mochila, mochila escolar, viagem, viajar
🩴	alpargatas, chinelo, piscina, praia, rasteirinha, sandália
👞	acessório, sapato masculino, sapatos
👟	acessório, correr, corrida, esportivo, sapato, tênis, tênis de corrida
🥾	acampamento, acampar, bota, bota de trekking, caminhada, marrom, mochilão, natureza, sapato, trilha
🥿	confortável, sapatilha, sapatilha de balé, sapato, sem fivela
👠	acessório, chique, fashion, moda, mulher, salto alto, sapato, sapato de salto alto
👡	acessório, feminino, sandália feminina, sandálias, sandálias femininas
🩰	bailarina, bailarino, balé, dança, sapatilha de balé
👢	acessório, bota, bota feminina, botas, feminino, sapato
🪮	afro, cabelo, crespo, pente, pente de cabelo, pente garfo, pentear, retrô
👑	acessório, coroa, família real, game of thrones, medieval, rainha, realeza, rei, reinado
👒	acessório, chapéu, chapéu feminino, fashion
🎩	cartola, chapéu, chique, entretenimento, roupa
🎓️	capelo, chapéu, chapéu de formatura, comemoração, formatura
🧢	boné, boné de beisebol, chapéu
🪖	capacete, capacete militar, exército, guerra, guerreiro, militar, soldado
⛑️	ajuda, branca, capacacete de socorrista, capacete, cruz, primeiros, resgate, rosto, salvamento, socorrista, socorros, vermelho
📿	acessório, oração, religião, reza, rosário, rosário de oração, terço
💄	batom, cosméticos, makeup, maquiagem, vermelho
💍	anel, diamante, romance
💎	diamante, joia, pedra preciosa
🔇	alto-falante, alto-falante com sinal de cancelamento, alto-falante silenciado, mudo, mute, quieto, silenciar, silêncio
🔈️	alto-falante, alto-falante com volume baixo, música, som, volume, volume baixo
🔉	alto-falante com som baixo, alto-falante com volume baixo, alto-falante com volume médio, baixo, diminuir o volume, volume baixo, volume médio
🔊	alto, alto-falante com som alto, alto-falante com volume alto, música, volume alto
📢	alto, alto-falante, alto-falante manual, buzina, comunicação, discurso público, megafone, megafone em uso
📣	aplausos, comunicação, megafone
📯	corneta, corneta postal, correios, postal
🔔	capela, sino
🔕	mudo, proibido, quieto, sem som, silencioso, sino, sino silenciado, símbolo de sino com sinal de cancelamento
🎼	música, partitura, partitura musical
🎵	música, nota, nota musical
🎶	música, nota, notas, notas musicais
🎙️	estúdio, microfone, microfone de estúdio, música
🎚️	controle, controle de volume, música, volume
🎛️	botões, botões giratórios, controle, música
🎤	cantar, entretenimento, karaokê, mic, microfone, música
🎧️	entretenimento, fone de ouvido, fones de ouvido, música, som
📻️	radiola, rádio, som, vídeo
🎷	instrumento, instrumento musical, música, sax, saxofone
🪗	acordeão, concertina, instrumento, música, sanfona
🎸	guitarra, instrumento, instrumento musical, música
🎹	instrumento, instrumento musical, música, piano, teclado, teclado musical
🎺	instrumento, instrumento musical, música, trompete
🎻	instrumento, instrumento musical, música, violino
🪕	banjo, cordas, instrumento de cordas, música
🥁	baquetas, música, percussão, tambor
🪘	atabaque, batida, conga, instrumento, percurssão, ritmo, tambor, tambor comprido
🪇	chacoalhar, chocalho, dança, festa, instrumento, maraca, maracas, maracás, mexer, música, percussão
🪈	banda, banda marcial, flauta, flautim, flautista, gravador, instrumento, música, orquestra, pife, pífano, sopro, tubo
🪉	amor, cupido, harpa, instrumento, música, orquestra
📱	celular, telefone, telefone celular, telefone móvel
📲	celular, celular com seta, fazer uma chamada, fazer uma ligação, receber, seta, telefone, telefone celular com seta, telefone móvel
☎️	gancho, telefone, telefone no gancho
📞	aparelho de telefone, comunicação, telefone
📟️	comunicação, pager
📠	comunicação, fax, máquina de fax
🔋	bateria, pilha
🪫	acabando a bateria, bateria, bateria fraca, descarregada, descarregado, eletrônico, fim da bateria, pilha, pilha fraca, pouca bateria, pouca energia, sem bateria
🔌	cabo de energia, eletricidade, elétrica, plugue, tomada elétrica
💻️	PC, computador, laptop, notebook, pessoal, trabalho
🖥️	computador, computador de mesa, desktop, mesa, monitor
🖨️	acessório, computador, impressora, impressão de documento, imprimir
⌨️	acessório, computador, digitação, teclado
🖱️	acessório, computador, mouse
🖲️	acessório, computador, mouse, mouse de bolinha, trackball
💽	MD, computador, computação, disco, disco de computador, mini disc, minidisc, minidisk
💾	computador, disco, disco flexível, disquete
💿️	CD, DVD, blu-ray, cd, computador, disco, óptico
📀	DVD, blu-ray, cd, computador, disco, dvd, óptico
🧮	calculadora, cálculo, matemática, número, ábaco
🎥	cinema, câmera, câmera de cinema, entretenimento, filmar, filme, hollywood
🎞️	cinema, filme, rolo de filmes
📽️	cinema, filme, projetor, projetor de filmes, vídeo
🎬️	cena, claquete, entretenimento, filme, tomada
📺️	TV, canal de tv, televisão, video, vídeo
📷️	câmera, foto, selfie, vídeo
📸	câmera, câmera com flash, flash, foto, fotografia, vídeo
📹️	câmera, câmera de vídeo, filmadora, vídeo
📼	cassete, cassete de vídeo, fita, vhs, videocassete, vídeo
🔍	busca, ferramenta, lente de aumento, lupa, lupa apontado para a esquerda, lupa para a esquerda, pesquisa, procura
🔎	ferramenta, lente de aumento, lupa, lupa apontado para a direita, lupa para a direita, pesquisa, procura
🕯️	acesa, luz, vela
💡	elétrica, ideia, luz, lâmpada, quadrinhos, tenho uma ideia
🔦	elétrica, ferramenta, lanterna, luz
🏮	bar, izakaya, lanterna, lanterna vermelha de papel, papel, restaurante, vermelha
🪔	diya, lâmpada, lâmpada de óleo, óleo
📔	caderno, caderno com decoração, caderno decorado, capa, decorado, livro
📕	apostila, fechado, livro, livro fechado
📖	aberto, biblioteca, leitura, lendo, ler, livraria, livro, livro aberto
📗	biblioteca, caderno, colégio, escola, estudar, lendo, ler, livraria, livro, livro verde, verde
📘	apostila azul, azul, estudo, leitura, livro, livro azul
📙	apostila, cartilha, laranja, livro, livro laranja
📚️	biblioteca, estudando, estudar, leitura, lendo, ler, livraria, livro, livros
📓	caderno, folhas
📒	caderno, livro contábil
📃	dobrado, documento, página, página com a parte inferior enrolada, página dobrada
📜	pergaminho, rolo de papel
📄	documento, folha, parte da frente para cima, página, página com a parte da frente para cima, página voltada para cima
📰	jornal, notícias
🗞	enrolado, jornal, jornal enrolado, notícias
📑	marcador, marcadores de página, marcar, página
🔖	livro, marcador, marcador de página, página
🏷️	etiqueta, identificar, rótulo
💰️	dinheiro, dólares, saco, saco de dinheiro
🪙	dinheiro, dólar, euro, metal, moeda, ouro, prata, real, rica, rico, tesouro
💴	cédula, dinheiro, grana, iene, moeda, nota, nota de iene
💵	dinheiro, dólar, moeda, nota, nota bancária, nota de dólar
💶	cédula, dinheiro, euro, grana, moeda, nota, nota de euro
💷	cédula, dinheiro, grana, libra, moeda, nota, nota de libra
💸	asas, banco, cédula, dinheiro, dinheiro indo embora, dinheiro voando, nota, voando
💳️	banco, cartão, cartão de crédito, crédito, dinheiro, débito
🧾	contabilidade, escrituração, evidência, fatura, prova, recibo
💹	ascendente, ascensão, crescimento, dinheiro, gráfico, gráfico subindo com iene, iene, iene em alta, mercado
✉️	carta, correspondência, e-mail, email, envelope
📧	carta, comunicação, correspondência, e-mail
📨	carta, chegando, comunicação, correspondência, e-mail, envelope, envelope chegando, nova, recebida
📩	carta, comunicação, correspondência, e-mail, email, envelope, envelope com seta, seta
📤️	bandeja, bandeja de saída, caixa, comunicação, correspondência, enviada, saída
📥️	bandeja, bandeja de entrada, caixa, comunicação, correspondência, e-mail, email, entrada, recebida, recebido
📦️	caixa, embrulho, pacote
📫️	bandeira, caixa, caixa de correio fechada com bandeira levantada, correio, correspondência, fechada, levantada
📪️	abaixada, bandeira, caixa, caixa de correio fechada com bandeira abaixada, correio, correspondência, fechada, vazia
📬️	aberta, bandeira, caixa de correio aberta com bandeira levantada, caixa de correspondência aberta com bandeira levantada, correspondência
📭️	aberta, bandeira, caixa de correio aberta com bandeira abaixada, caixa de correspondência aberta com bandeira abaixada, caixa de correspondência aberta e vazia, correspondência
📮	caixa, caixa de correio, carta, correio, correspondência, enviar
🗳️	cédula, eleitoral, eleição, urna, urna eleitoral com cédula, votar, voto
✏️	lápis
✒️	caneta, ponta, ponta de caneta tinteiro, preto, tinta, tinteiro
🖋️	caneta, caneta tinteiro, destro, tinteiro
🖊️	caneta, esferográfica, tinteiro
🖌️	pincel, pintando, pintar
🖍️	cera, desenho, giz, giz de cera, vermelho
📝	anotações, caderno, comunicação, lápis, memorando, notas
💼	mala, maleta, pasta
📁	arquivo, pasta, pasta de arquivos
📂	aberta, abrir, arquivo, pasta, pasta de arquivos aberta
🗂️	arquivo, divisor, divisores de pastas, organizador, pasta, índice
📅	calendário, data, datas
📆	calendário, calendário com folhas destacáveis, data, destacáveis, destacável, dia, folha, páginas, várias
🗒️	bloco, bloco espiral, caderno, espiral
🗓️	bloco, calendário, calendário espiral, data, espiral
📇	índice, índice de cartões
📈	crescimento, diagrama, gráfico, gráfico de tendência de crescimento, gráfico subindo, tendência de crescimento
📉	diagrama, gráfico, gráfico caindo, gráfico de tendência negativa, negativa, tendência negativa
📊	barra, diagrama, gráfico, gráfico de barras
📋️	anotações, prancheta
📌	alfinete, tacha
📍	alfinete, localização, mapa, redonda, tacha, tacha redonda
📎	clipe, clipe de papel
🖇️	clipe, clipes, clipes de papel, clipes de papel conectados
📏	régua, régua reta
📐	geometria, matemática, régua, régua triangular, triangular, triângulo, ângulo
✂️	aberta, cortar, ferramenta, tesoura
🗃️	arquivo, caixa, caixa de arquivos, cartão, documentos, ficheiro
🗄️	arquivo, escritório, gabinete, gavetas, gavetas de escritório
🗑️	cesto, lixeira, lixo
🔒️	cadeado, fechado, trancado
🔓️	aberto, cadeado, cadeado aberto, destrancado
🔏	cadeado, cadeado com caneta, caneta, privacidade, privado, tinteiro
🔐	cadeado, cadeado fechado com chave, chave, fechado, seguro, trancado
🔑	chave, senha, trancado, trancar
🗝️	antiga, chave, chave antiga, fechadura
🔨	construção, ferramenta, martelada, martelo, reparo
🪓	cortar, machado, madeira, partir
⛏️	ferramenta, mineração, picareta
⚒️	ferramenta, geologia, martelo, martelo e picareta, picareta
🛠️	chave, chave-inglesa, ferramenta, inglesa, martelo, martelo e chave-inglesa
🗡️	adaga, arma, faca
⚔️	arma, batalha, cruzadas, espadas, espadas cruzadas, guerra
💣️	bomba, emoção, engraçado, explosivo, explosão, perigo
🪃	aborígene, arma, austrália, bumerangue, rebote, repercussão
🏹	arco, arco e flecha, arma, flecha, sagitário, zodíaco
🛡️	arma, escudo
🪚	carpinteiro, cortar, ferramenta, madeira, serra, serrar, serrote
🔧	chave, chave inglesa, ferramenta, inglesa, obra, reforma
🪛	chave de fenda, ferramenta
🔩	construção, ferramenta, parafuso, porca, porca e parafuso
⚙️	engrenagem, ferramenta
🗜️	braçadeira, compressão, ferramenta, morsa, torno
⚖️	balança, ferramenta, justiça, libra, peso, zodíaco
🦯	acessibilidade, bengala, bengala para cegos, cega, cego, cegueira, deficiente, visual
🔗	anéis, corrente, dois, link, símbolo, vínculo
⛓‍💥	algema, corrente, corrente quebrada, liberdade, quebrada, quebrando, quebrar
⛓️	corrente, correntes, metal
🪝	atração para venda, bandido, curva, gancho, pegar, prender
🧰	caixa, caixa de ferramentas, ferramenta, mecânico, vermelha
🧲	atração, ferradura, magnético, positivo-negativo, ímã
🪜	degrau, escada, mão, subir
🪏	buraco, cavar, pazinha, pá
⚗️	alambique, ferramenta, química
🧪	ciência, ensaio, experimento, experiência, laboratório, química, químico, tubo, tubo de ensaio
🧫	Petri, bactéria, biologia, biologista, biólogo, ciência, cultura, laboratório, placa, placa de Petri
🧬	biologista, biólogo, código, dna, evolução, gene, genética, genético, vida
🔬	ciência, ferramenta, microscópico, microscópio
🔭	ciência, ferramenta, telescópio
📡	antena, antena parabólica, comunicação, parabólica, satélite
💉	agulha, injeção, médico, remédio, seringa, vacina, vacinação
🩸	doação, gota, gota de sangue, medicina, menstruação, sangrar, sangue
💊	comprimido, cápsula, medicina, médico, pílula, remédio
🩹	adesiva, atadura, atadura adesiva, bandaid, bandeide, curativo
🩼	ajuda, bastão, bengala, deficiência, desculpa, lesão, machucar, mobilidade, muleta
🩺	coração, estetoscópio, medicina, médica, médico, tum tum
🩻	doutor, esqueleto, médico, ossos, radiografia, raio x
🚪	fechada, porta
🛗	acessibilidade, descer, elevador, elevar, subir
🪞	espelho, espéculo, maquiagem, refletor, reflexo, reflexão
🪟	abertura, ar, fresco, janela, quadro, transparente, vidro, vista
🛏️	cama, dormir, hotel, sono
🛋️	hotel, lâmpada, sofá, sofá e luminária
🪑	assento, cadeira, sentar
🚽	banheiro, patente, privada, sanitário, toalete, vaso, vaso sanitário
🪠	banheiro, cocô, desentupidor, encanador, fezes, sanitário, sucção, vaso
🚿	banho, chuveiro, ducha, água
🛁	banheira, banho
🪤	armadilha, atrair, isca, prender, queijo, ratoeira
🪒	afiada, afiado, barbeador, barbear, depilar, gilete, lâmina, raspar
🧴	condicionador, creme, frasco, frasco de loção, hidratante, loção, protetor, shampoo, solar, xampu
🧷	alfinete, alfinete de segurança, fralda, punk, rock
🧹	bruxa, limpar, limpeza, varrer, vassoura
🧺	agricultura, agrícola, cesta, lavanderia, lavoura, piquenique, roupa, suja
🧻	higiênico, papel, rolo, rolo de papel, toalha
🪣	balde, baldinho, barril
🧼	banho, barra, espuma, limpar, limpeza, sabonete, saboneteira
🫧	aquática, aquático, arroto, bolha, bolhas, embaixo d’água, flutuar, limpo, pérolas, sabão, água
🪥	banheiro, dental, dentes, escova, escova de dentes, higiene, limpeza
🧽	absorvente, absorção, encharcar, esponja, limpeza, porosa, poroso
🧯	apagar, extinguir, extintor, extintor de incêndio, fogo, incêndio
🛒	carrinho, carrinho de compras, compras, mercado, supermercado
🚬	cigarro, fumante, fumar, fumo, símbolo, símbolo para “É permitido fumar”, é permitido fumar
⚰️	caixão, caixão funerário, funeral, morte, velório
🪦	cemitério, descanse em paz, lápide, morto, rip, sepultura, tumba, túmulo
⚱️	cinzas, funeral, morte, urna, urna funerária
🧿	amuleto, conta, grego, mau-olhado, miçanga, nazar, olho, olho grego, talismã
🪬	Fátima, Maria, Miriam, amuleto, guia, hamsa, hamsá, mão, palma, proteção, sorte
🗿	Moyai, estátua, moai, moyai, rosto
🪧	aviso, cartaz, demonstração, letreiro, piquete, placa, protesto, sinal
🪪	RG, carta, carteira, cartão, cartão de identificação, crachá, credenciais, documento, habilitação, identidade, identificação, licença, motorista, segurança
🏧	ATM, automático, banco, caixa, dinheiro, eletrônico, grana, saque, símbolo, símbolo de caixa automático
🚮	coloque o lixo no lixo, lata, lixeira, lixo, símbolo, símbolo de lixeira
🚰	beber, potável, símbolo, torneira, água, água potável
♿️	acesso, cadeira, rodas, sinal, símbolo, símbolo de cadeira de rodas
🚹️	banheiro, banheiro masculino, homem, lavatório, masculino, símbolo, toalete, wc
🚺️	banheiro, banheiro feminino, feminino, lavabo, lavatório, mulher, símbolo, toalete, wc
🚻	banheiro, lavabo, sanitário, símbolo, toalete
🚼️	bebê, fralda, fraldário, símbolo, símbolo de bebê, trocar
🚾	WC, latrina, lavabo, privada, toalete, vaso sanitário
🛂	controle, controle de passaportes, passaporte
🛃	aduana, aduaneira, alfândega, bens, federal, impostos, receita
🛄	aeroporto, bagagem, bagagens, esteira, férias, mala, recolhimento, restituição, restituição de bagagem, viagem, área
🛅	bagagem, depósito, depósito de bagagem, esquecida, malas, serviço
⚠️	atenção, aviso, cuidado, sinal
🚸	atravessando, criança, crianças, crianças atravessando, pedestre, símbolo, tráfego
⛔️	entrada, entrada proibida, entre, não, placa, proibida, proibido, sinal, trânsito
🚫	entrada, não, proibida, proibido, sinal, símbolo
🚳	bicicleta, não, permitidas, proibido, proibido andar de bicicleta, sem
🚭️	cigarro, fumar, não é permitido fumar, proibido, proibido fumar, símbolo
🚯	jogar, lixo, não, não jogue lixo no chão, proibido, proibido jogar lixo no chão, símbolo
🚱	consumo, imprópria, não, potável, proibido, seco, sem, água, água não potável
🚷	não, passagem, pedestre, permitidos, proibida, proibida a passagem de pedestres, proibido
📵	cel, celular, não, permitidos, proibido, proibido o uso de telefone celular, sem, smartphone, telefone
🔞	18, anos, dezoito, idade, menor, menores, proibido, proibido para menores de 18 anos, restrição
☢️	perigo, radiativo, radiação, radioativo, sinal, símbolo
☣️	biológico, ciência, perigo, resíduos, resíduos biológicos, risco, risco biológico
⬆️	cardinal, direção, norte, seta, seta para cima
↗️	diagonal, direita, direção, flecha, intercardinal, nordeste, seta, seta para cima e para a direita, superior
➡️	direita, direção, flecha, leste, seta, seta para a direita
↘️	diagonal, direita, direção, flecha, inferior, intercardinal, seta, seta para baixo e para a direita, sudeste
⬇️	abaixo, baixo, cardinal, direção, embaixo, flecha, seta, seta para baixo, sul
↙️	diagonal, direção, esquerda, flecha, inferior, intercardinal, seta, seta para baixo e para a esquerda, sudoeste
⬅️	atrás, direção, esquerda, flecha, oeste, seta, seta para a esquerda, voltar
↖️	diagonal superior esquerda, direção, flecha, intercardinal, noroeste, seta, seta para cima e para a esquerda, seta para esquerda superior
↕️	flecha, para baixo, para cima, seta, seta para cima e para baixo, vertical
↔️	flecha, horizontal, lados, seta, seta para esquerda e direita
↮	direita, esquerda, seta, traçado, traçado de seta para direita e esquerda
