‾	nadcrta
🧑🏿‍🤝‍🧑🏾	bff, blizanci, flert, ljudi, osobe se drže za ruke: tamna koža i srednje tamna koža, par, prijatelji, ruke, srednje tamna koža, tamna koža
🧑🏿‍🤝‍🧑🏿	bff, blizanci, flert, ljudi, osobe se drže za ruke: tamna koža, par, prijatelji, ruke, tamna koža
👭	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, žene, žene se drže za ruke
👭🏻	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, svetla koža, žene, žene se drže za ruke: svetla koža
👩🏻‍🤝‍👩🏼	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, svetla koža, žene, žene se drže za ruke: svetla koža i srednje svetla koža
👩🏻‍🤝‍👩🏽	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, svetla koža, žene, žene se drže za ruke: svetla koža i ni svetla ni tamna koža
👩🏻‍🤝‍👩🏾	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje tamna koža, svetla koža, žene, žene se drže za ruke: svetla koža i srednje tamna koža
👩🏻‍🤝‍👩🏿	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, svetla koža, tamna koža, žene, žene se drže za ruke: svetla koža i tamna koža
👩🏼‍🤝‍👩🏻	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, svetla koža, žene, žene se drže za ruke: srednje svetla koža i svetla koža
👭🏼	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, žene, žene se drže za ruke: srednje svetla koža
👩🏼‍🤝‍👩🏽	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, srednje svetla koža, žene, žene se drže za ruke: srednje svetla koža i ni svetla ni tamna koža
👩🏼‍🤝‍👩🏾	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, srednje tamna koža, žene, žene se drže za ruke: srednje svetla koža i srednje tamna koža
👩🏼‍🤝‍👩🏿	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, tamna koža, žene, žene se drže za ruke: srednje svetla koža i tamna koža
👩🏽‍🤝‍👩🏻	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, svetla koža, žene, žene se drže za ruke: ni svetla ni tamna koža i svetla koža
👩🏽‍🤝‍👩🏼	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, srednje svetla koža, žene, žene se drže za ruke: ni svetla ni tamna koža i srednje svetla koža
👭🏽	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, žene, žene se drže za ruke: ni svetla ni tamna koža
👩🏽‍🤝‍👩🏾	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, srednje tamna koža, žene, žene se drže za ruke: ni svetla ni tamna koža i srednje tamna koža
👩🏽‍🤝‍👩🏿	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, tamna koža, žene, žene se drže za ruke: ni svetla ni tamna koža i tamna koža
👩🏾‍🤝‍👩🏻	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje tamna koža, svetla koža, žene, žene se drže za ruke: srednje tamna koža i svetla koža
👩🏾‍🤝‍👩🏼	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, srednje tamna koža, žene, žene se drže za ruke: srednje tamna koža i srednje svetla koža
👩🏾‍🤝‍👩🏽	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, srednje tamna koža, žene, žene se drže za ruke: srednje tamna koža i ni svetla ni tamna koža
👭🏾	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje tamna koža, žene, žene se drže za ruke: srednje tamna koža
👩🏾‍🤝‍👩🏿	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje tamna koža, tamna koža, žene, žene se drže za ruke: srednje tamna koža i tamna koža
👩🏿‍🤝‍👩🏻	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, svetla koža, tamna koža, žene, žene se drže za ruke: tamna koža i svetla koža
👩🏿‍🤝‍👩🏼	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje svetla koža, tamna koža, žene, žene se drže za ruke: tamna koža i srednje svetla koža
👩🏿‍🤝‍👩🏽	bff, bliznakinje, drugarice, ekipa, flert, ni svetla ni tamna koža, par, prijateljice, ruke, sestre, tamna koža, žene, žene se drže za ruke: tamna koža i ni svetla ni tamna koža
👩🏿‍🤝‍👩🏾	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, srednje tamna koža, tamna koža, žene, žene se drže za ruke: tamna koža i srednje tamna koža
👭🏿	bff, bliznakinje, drugarice, ekipa, flert, par, prijateljice, ruke, sestre, tamna koža, žene, žene se drže za ruke: tamna koža
👫	blizanci, flert, muškarac, par, prijateljice, ruke, žena, žena i muškarac se drže za ruke
👫🏻	blizanci, flert, muškarac, par, prijateljice, ruke, svetla koža, žena, žena i muškarac se drže za ruke: svetla koža
👩🏻‍🤝‍👨🏼	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, svetla koža, žena, žena i muškarac se drže za ruke: svetla koža i srednje svetla koža
👩🏻‍🤝‍👨🏽	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, svetla koža, žena, žena i muškarac se drže za ruke: svetla koža i ni svetla ni tamna koža
👩🏻‍🤝‍👨🏾	blizanci, flert, muškarac, par, prijateljice, ruke, srednje tamna koža, svetla koža, žena, žena i muškarac se drže za ruke: svetla koža i srednje tamna koža
👩🏻‍🤝‍👨🏿	blizanci, flert, muškarac, par, prijateljice, ruke, svetla koža, tamna koža, žena, žena i muškarac se drže za ruke: svetla koža i tamna koža
👩🏼‍🤝‍👨🏻	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, svetla koža, žena, žena i muškarac se drže za ruke: srednje svetla koža i svetla koža
👫🏼	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, žena, žena i muškarac se drže za ruke: srednje svetla koža
👩🏼‍🤝‍👨🏽	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, srednje svetla koža, žena, žena i muškarac se drže za ruke: srednje svetla koža i ni svetla ni tamna koža
👩🏼‍🤝‍👨🏾	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, srednje tamna koža, žena, žena i muškarac se drže za ruke: srednje svetla koža i srednje tamna koža
👩🏼‍🤝‍👨🏿	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, tamna koža, žena, žena i muškarac se drže za ruke: srednje svetla koža i tamna koža
👩🏽‍🤝‍👨🏻	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, svetla koža, žena, žena i muškarac se drže za ruke: ni svetla ni tamna koža i svetla koža
👩🏽‍🤝‍👨🏼	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, srednje svetla koža, žena, žena i muškarac se drže za ruke: ni svetla ni tamna koža i srednje svetla koža
👫🏽	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, žena, žena i muškarac se drže za ruke: ni svetla ni tamna koža
👩🏽‍🤝‍👨🏾	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, srednje tamna koža, žena, žena i muškarac se drže za ruke: ni svetla ni tamna koža i srednje tamna koža
👩🏽‍🤝‍👨🏿	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, tamna koža, žena, žena i muškarac se drže za ruke: ni svetla ni tamna koža i tamna koža
👩🏾‍🤝‍👨🏻	blizanci, flert, muškarac, par, prijateljice, ruke, srednje tamna koža, svetla koža, žena, žena i muškarac se drže za ruke: srednje tamna koža i svetla koža
👩🏾‍🤝‍👨🏼	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, srednje tamna koža, žena, žena i muškarac se drže za ruke: srednje tamna koža i srednje svetla koža
👩🏾‍🤝‍👨🏽	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, srednje tamna koža, žena, žena i muškarac se drže za ruke: srednje tamna koža i ni svetla ni tamna koža
👫🏾	blizanci, flert, muškarac, par, prijateljice, ruke, srednje tamna koža, žena, žena i muškarac se drže za ruke: srednje tamna koža
👩🏾‍🤝‍👨🏿	blizanci, flert, muškarac, par, prijateljice, ruke, srednje tamna koža, tamna koža, žena, žena i muškarac se drže za ruke: srednje tamna koža i tamna koža
👩🏿‍🤝‍👨🏻	blizanci, flert, muškarac, par, prijateljice, ruke, svetla koža, tamna koža, žena, žena i muškarac se drže za ruke: tamna koža i svetla koža
👩🏿‍🤝‍👨🏼	blizanci, flert, muškarac, par, prijateljice, ruke, srednje svetla koža, tamna koža, žena, žena i muškarac se drže za ruke: tamna koža i srednje svetla koža
👩🏿‍🤝‍👨🏽	blizanci, flert, muškarac, ni svetla ni tamna koža, par, prijateljice, ruke, tamna koža, žena, žena i muškarac se drže za ruke: tamna koža i ni svetla ni tamna koža
👩🏿‍🤝‍👨🏾	blizanci, flert, muškarac, par, prijateljice, ruke, srednje tamna koža, tamna koža, žena, žena i muškarac se drže za ruke: tamna koža i srednje tamna koža
👫🏿	blizanci, flert, muškarac, par, prijateljice, ruke, tamna koža, žena, žena i muškarac se drže za ruke: tamna koža
👬	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke, par, prijatelji, ruke
👬🏻	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: svetla koža, par, prijatelji, ruke, svetla koža
👨🏻‍🤝‍👨🏼	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: svetla koža i srednje svetla koža, par, prijatelji, ruke, srednje svetla koža, svetla koža
👨🏻‍🤝‍👨🏽	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: svetla koža i ni svetla ni tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, svetla koža
👨🏻‍🤝‍👨🏾	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: svetla koža i srednje tamna koža, par, prijatelji, ruke, srednje tamna koža, svetla koža
👨🏻‍🤝‍👨🏿	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: svetla koža i tamna koža, par, prijatelji, ruke, svetla koža, tamna koža
👨🏼‍🤝‍👨🏻	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje svetla koža i svetla koža, par, prijatelji, ruke, srednje svetla koža, svetla koža
👬🏼	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje svetla koža, par, prijatelji, ruke, srednje svetla koža
👨🏼‍🤝‍👨🏽	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje svetla koža i ni svetla ni tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, srednje svetla koža
👨🏼‍🤝‍👨🏾	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje svetla koža i srednje tamna koža, par, prijatelji, ruke, srednje svetla koža, srednje tamna koža
👨🏼‍🤝‍👨🏿	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje svetla koža i tamna koža, par, prijatelji, ruke, srednje svetla koža, tamna koža
👨🏽‍🤝‍👨🏻	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: ni svetla ni tamna koža i svetla koža, ni svetla ni tamna koža, par, prijatelji, ruke, svetla koža
👨🏽‍🤝‍👨🏼	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: ni svetla ni tamna koža i srednje svetla koža, ni svetla ni tamna koža, par, prijatelji, ruke, srednje svetla koža
👬🏽	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: ni svetla ni tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke
👨🏽‍🤝‍👨🏾	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: ni svetla ni tamna koža i srednje tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, srednje tamna koža
👨🏽‍🤝‍👨🏿	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: ni svetla ni tamna koža i tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, tamna koža
👨🏾‍🤝‍👨🏻	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje tamna koža i svetla koža, par, prijatelji, ruke, srednje tamna koža, svetla koža
👨🏾‍🤝‍👨🏼	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje tamna koža i srednje svetla koža, par, prijatelji, ruke, srednje svetla koža, srednje tamna koža
👨🏾‍🤝‍👨🏽	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje tamna koža i ni svetla ni tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, srednje tamna koža
👬🏾	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje tamna koža, par, prijatelji, ruke, srednje tamna koža
👨🏾‍🤝‍👨🏿	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: srednje tamna koža i tamna koža, par, prijatelji, ruke, srednje tamna koža, tamna koža
👨🏿‍🤝‍👨🏻	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: tamna koža i svetla koža, par, prijatelji, ruke, svetla koža, tamna koža
👨🏿‍🤝‍👨🏼	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: tamna koža i srednje svetla koža, par, prijatelji, ruke, srednje svetla koža, tamna koža
👨🏿‍🤝‍👨🏽	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: tamna koža i ni svetla ni tamna koža, ni svetla ni tamna koža, par, prijatelji, ruke, tamna koža
👨🏿‍🤝‍👨🏾	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: tamna koža i srednje tamna koža, par, prijatelji, ruke, srednje tamna koža, tamna koža
👬🏿	bff, blizanci, braća, drugari, ekipa, flert, muškarci, muškarci se drže za ruke: tamna koža, par, prijatelji, ruke, tamna koža
💏	godišnjica, ljubav, osoba, par, poljubac, romantika, srce, veza, zajedno
💏🏻	godišnjica, ljubav, osoba, par, poljubac, poljubac: svetla koža, romantika, srce, svetla koža, veza, zajedno
💏🏼	godišnjica, ljubav, osoba, par, poljubac, poljubac: srednje svetla koža, romantika, srce, srednje svetla koža, veza, zajedno
💏🏽	godišnjica, ljubav, ni svetla ni tamna koža, osoba, par, poljubac, poljubac: ni svetla ni tamna koža, romantika, srce, veza, zajedno
💏🏾	godišnjica, ljubav, osoba, par, poljubac, poljubac: srednje tamna koža, romantika, srce, srednje tamna koža, veza, zajedno
💏🏿	godišnjica, ljubav, osoba, par, poljubac, poljubac: tamna koža, romantika, srce, tamna koža, veza, zajedno
👩‍❤‍💋‍👨	godišnjica, ljubav, muškarac, osoba, par, poljubac, poljubac: žena i muškarac, romantika, srce, veza, zajedno, žena
👨‍❤‍💋‍👨	godišnjica, ljubav, muškarac, osoba, par, poljubac, poljubac: muškarac i muškarac, romantika, srce, veza, zajedno
👩‍❤‍💋‍👩	godišnjica, ljubav, osoba, par, poljubac, poljubac: žena i žena, romantika, srce, veza, zajedno, žena
💑	godišnjica, ljubav, osoba, par, par sa srcem, poljubac, romantika, srce, veza, zajedno
💑🏻	godišnjica, ljubav, osoba, par, par sa srcem: svetla koža, poljubac, romantika, srce, svetla koža, veza, zajedno
💑🏼	godišnjica, ljubav, osoba, par, par sa srcem: srednje svetla koža, poljubac, romantika, srce, srednje svetla koža, veza, zajedno
💑🏽	godišnjica, ljubav, ni svetla ni tamna koža, osoba, par, par sa srcem: ni svetla ni tamna koža, poljubac, romantika, srce, veza, zajedno
💑🏾	godišnjica, ljubav, osoba, par, par sa srcem: srednje tamna koža, poljubac, romantika, srce, srednje tamna koža, veza, zajedno
💑🏿	godišnjica, ljubav, osoba, par, par sa srcem: tamna koža, poljubac, romantika, srce, tamna koža, veza, zajedno
👩‍❤‍👨	godišnjica, ljubav, muškarac, osoba, par, par sa srcem: žena i muškarac, poljubac, romantika, srce, veza, zajedno, žena
👨‍❤‍👨	godišnjica, ljubav, muškarac, osoba, par, par sa srcem: muškarac i muškarac, poljubac, romantika, srce, veza, zajedno
👩‍❤‍👩	godišnjica, ljubav, osoba, par, par sa srcem: žena i žena, poljubac, romantika, srce, veza, zajedno, žena
👨‍👩‍👦	dete, dečak, muškarac, porodica, porodica: muškarac, žena i dečak, žena
👨‍👩‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac, žena i devojčica, žena
👨‍👩‍👧‍👦	dete, devojčica, dečak, muškarac, porodica, porodica: muškarac, žena, devojčica i dečak, žena
👨‍👩‍👦‍👦	dete, dečak, muškarac, porodica, porodica: muškarac, žena, dečak i dečak, žena
👨‍👩‍👧‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac, žena, devojčica i devojčica, žena
👨‍👨‍👦	dete, dečak, muškarac, porodica, porodica: muškarac, muškarac i dečak
👨‍👨‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac, muškarac i devojčica
👨‍👨‍👧‍👦	dete, devojčica, dečak, muškarac, porodica, porodica: muškarac, muškarac, devojčica i dečak
👨‍👨‍👦‍👦	dete, dečak, muškarac, porodica, porodica: muškarac, muškarac, dečak i dečak
👨‍👨‍👧‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac, muškarac, devojčica i devojčica
👩‍👩‍👦	dete, dečak, porodica, porodica: žena, žena i dečak, žena
👩‍👩‍👧	dete, devojčica, porodica, porodica: žena, žena i devojčica, žena
👩‍👩‍👧‍👦	dete, devojčica, dečak, porodica, porodica: žena, žena, devojčica i dečak, žena
👩‍👩‍👦‍👦	dete, dečak, porodica, porodica: žena, žena, dečak i dečak, žena
👩‍👩‍👧‍👧	dete, devojčica, porodica, porodica: žena, žena, devojčica i devojčica, žena
👨‍👦	dete, dečak, muškarac, porodica, porodica: muškarac i dečak
👨‍👦‍👦	dete, dečak, muškarac, porodica, porodica: muškarac, dečak i dečak
👨‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac i devojčica
👨‍👧‍👦	dete, devojčica, dečak, muškarac, porodica, porodica: muškarac, devojčica i dečak
👨‍👧‍👧	dete, devojčica, muškarac, porodica, porodica: muškarac, devojčica i devojčica
👩‍👦	dete, dečak, porodica, porodica: žena i dečak, žena
👩‍👦‍👦	dete, dečak, porodica, porodica: žena, dečak i dečak, žena
👩‍👧	dete, devojčica, porodica, porodica: žena i devojčica, žena
👩‍👧‍👦	dete, devojčica, dečak, porodica, porodica: žena, devojčica i dečak, žena
👩‍👧‍👧	dete, devojčica, porodica, porodica: žena, devojčica i devojčica, žena
🗣️	glava, glava koja govori, govor, lice, silueta
👤	bista, misteriozno, senka, silueta, silueta čoveka
👥	bista, ljudi, prijatelji, silueta, siluete ljudi, svi
🫂	doviđenja, hvala, ljubav, ljudi se grle, prijateljstvo, uteha, zagrljaj, zdravo
👪️	dete, porodica
🧑‍🧑‍🧒	dete, odrasli, porodica, porodica: odrasla osoba, odrasla osoba, dete
🧑‍🧑‍🧒‍🧒	dete, odrasli, porodica, porodica: odrasla osoba, odrasla osoba, dete, dete
🧑‍🧒	dete, odrasli, porodica, porodica: odrasla osoba, dete
🧑‍🧒‍🧒	dete, odrasli, porodica, porodica: odrasla osoba, dete, dete
👣	bosonog, otisak, otisci stopala, stopalo, telo
🫆	bezbednost, forenzika, identitet, otisak prsta
🦰	crvena, crvena kosa, crvenokos
🦱	afro, kovrdžava kosa, kovrdže
🦳	bela, kosa, seda, seda kosa, staro
🦲	bez kose, hemoterapija, obrijan, ćelav
🐵	banana, lice, lice majmuna, majmun, životinja
🐒	banana, majmun, životinja
🦍	gorila, životinja
🦧	majmun, orangutan, životinja
🐶	lice, lice psa, ljubimac, pas, štene, životinja
🐕️	ljubimac, pas, psi, životinja
🦮	pas, pas vodič, pristup, pristupačnost, slep, vodič
🐕‍🦺	pas, pomoć, pristup, pristupačnost, službeni pas
🐩	ljubimac, pas, pudla, životinja
🐺	lice, vuk, životinja
🦊	lice, lisica, životinja
🦝	lukav, radoznao, rakun, životinja
🐱	lice, lice mačke, ljubimac, maca, mače, mačka, životinja
🐈️	ljubimac, mače, mačka, mačke, životinja, životinje
🐈‍⬛	crna mačka, crno, mačka, mjau, nesreća, životinja
🦁	horoskop, jak, lav, lice, red, safari, zodijak, životinja
🐯	lice, lice tigra, mačka, predator, tigar, veliko, životinja
🐅	mačka, predator, tigar, veliko, životinja
🐆	leopard, lice, mačka, predator, veliko, životinja
🐴	farma, konj, lice, lice konja, životinja
🫎	los, rogovi, sisar, vapiti, životinja
🫏	magarac, mazga, sisar, tvrdoglav, životinja
🐎	farma, konj, trka, životinja
🦄	jednorog, lice, lice jednoroga
🦓	pruge, zebra
🦌	jelen, životinja
🦬	bizon, bufalo, krdo, životinja
🐮	farma, krava, lice, lice krave, mleko, životinja
🐂	bik, farma, govedo, vo, zodijak, životinja
🐃	bivo, voda, vodeni bivo, životinja
🐄	farma, krava, mleko, mu, životinja
🐷	farma, lice, lice svinje, svinja, svinjetina, životinja
🐖	farma, krmača, slanina, svinja, svinjetina, životinja
🐗	svinja, vepar, životinja
🐽	lice, miris, njuška, svinja, svinjska njuška, životinja
🐏	mužjak, ovan, zodijak, životinja
🐑	farma, ovca, ovčetina, vuna, ženka, životinja
🐐	farma, koza, mleko, zodijak
🐪	grba, jednogrba, kamila, pustinja, životinja
🐫	dvogrba, dvogrba kamila, grba, kamila, pustinja, životinja
🦙	alpaka, lama, vuna, životinja
🦒	pege, žirafa, životinja
🐘	slon, životinja
🦣	istrebljen, kljova, mamut, veliko, životinja
🦏	nosorog, životinja
🦛	nil, nilski, nilski konj, životinja
🐭	lice, lice miša, miš, životinja
🐁	miš, životinja
🐀	pacov, životinja
🐹	hrčak, lice, lice hrčka, ljubimac, životinja
🐰	kunić, lice, lice zeca, ljubimac, zec, životinja
🐇	kunić, ljubimac, zec, životinja
🐿️	veverica, životinja
🦫	brana, dabar, zubi, životinja
🦔	bodljikavo, jež, životinja
🦇	vampir, šišmiš, životinja
🐻	grizli, lice, meda, medved, životinja
🐻‍❄	arktički, belo, medved, polarni medved
🐨	australija, koala, lice, medved, torbar, životinja
🐼	bambus, lice, panda, životinja
🦥	lenj, lenjivac, spor
🦦	igranje, pecanje, vidra, životinja
🦨	smrad, tvor, životinja
🦘	kengur, skok, torbar, životinja
🦡	jazavac, napast, životinja
🐾	otisak, otisci, otisci šapa, stopala, šapa, šape
🦃	ptica, ćurka
🐔	kokoška, ptica, životinja
🐓	petao, pevac, ptica, životinja
🐣	beba, izleganje, jaje, pile, pile u jajetu, ptica, životinja
🐤	beba, pile, pilence, ptica, životinja
🐥	beba, pile, pile spreda, ptica, spreda, životinja
🐦️	ornitologija, ptica, životinja
🐧	antarktik, pingvin, ptica, životinja
🕊️	golubica, letenje, mir, ptica
🦅	orao, ptica, životinja
🦆	patka, ptica, životinja
🦢	labud, pače, ptica, ružno, životinja
🦉	mudrost, ptica, sova, životinja
🦤	Mauricijus, dodo, istrebljeno, ptica, veliko, životinja
🪶	lako, let, pero, ptica
🦩	flamingo, ptica, tropski, upadljiv, životinja
🦚	paun, ponosan, ptica, razmetljiv, životinja
🦜	govori, papagaj, pirat, ptica, životinja
🪽	anđeoski, avijacija, krilo, letenje, mitologija, ptica
🐦‍⬛	crna, crna ptica, gavran, kljun, ptica, vrana, životinja
🪿	blesav, graktanje, guska, patka, ptica, životinja
🐦‍🔥	besmrtno, fantazija, feniks, izdizanje, obnavljanje, oživeti, oživljavanje, reinkarnacija, reinkarnirati, slava, transformisati, uzdizanje, životinja
🐸	lice, žaba, životinja
🐊	krokodil, životinja
🐢	kornjača, životinja
🦎	gmizavac, gušter, reptil, životinja
🐍	guja, zmija, zmijonoša, zodijak, životinja
🐲	bajka, lice, lice zmaja, zmaj, životinja
🐉	bajka, vitez, zmaj, životinja
🦕	brahiosaur, brontosaur, dinosaurus, diplodokus, sauropod
🦖	dinosaurus, reks, tiranosaurus, tiranosaurus reks
🐳	kit, kit koji prska, lice, mlaz, okean, plaža, životinja
🐋	kit, okean, plaža, životinja
🐬	delfin, okean, peraje, plaža, životinja
🦭	foka, lav, morski, okean, životinja
🐟️	riba, ribe, večera, zodijak, životinja
🐠	riba, ribe, tropska riba, tropsko, životinja
🐡	naduvana, naduvana riba, riba, životinja
🦈	ajkula, riba, životinja
🐙	hobotnica, okean, oktopod, stvorenje, životinja
🐚	plaža, spirala, spiralna školjka, školjka, životinja
🪸	klima, koral, more, okean, promene
🪼	beskičmenjak, joj, meduza, morska, opekotina, peče, pipci, životinja
🐌	bašta, priroda, puž, životinja
🦋	insekt, lepo, leptir
🐛	bašta, gusenica, insekt, životinja
🐜	bašta, insekt, mrav, životinja
🐝	bumbar, insekt, med, medonosna, priroda, proleće, pčela, životinja
🪲	buba, insekt, životinja
🐞	buba, bubamara, insekt, priroda, životinja
🦗	buba, insekt, skakavac, zrikavac
🪳	buba, bubašvaba, insekt, napast, životinja
🕷️	insekt, pauk, životinja
🕸️	mreža, pauk, paukova mreža
🦂	zodijak, škorpija, škorpion
🦟	bolest, groznica, insekt, komarac, malarija, napast, virus
🪰	bolest, insekt, larva, muva, napast, trulo, životinja
🪱	crv, glista, parazit, životinja
🦠	ameba, bakterija, mikrob, nauka, virus
💐	biljka, buket, cvet, ljubav, romantika, rođendan
🌸	biljka, cvet, cvet trešnje, cveće, proleće, trešnja
💮	beli cvet, belo, cvet
🪷	Indija, Vijetnam, budizam, cvet, hinduizam, lepota, lotos, lotus, mir, smiren, spokojstvo
🏵️	biljka, rozeta
🌹	biljka, cvet, elegancija, lepota, ruža
🥀	cvet, uveli cvet, uvelo
🌺	biljka, cvet, hibiskus
🌻	biljka, cvet, sunce, suncokret
🌼	biljka, cvet, maslačak
🌷	biljka, cvet, lala
🪻	biljka, cvet, cvetići, lavanda, zumbul
🌱	biljka, mladica, mlado
🪴	beskorisno, biljka, biljka u saksiji, dosadno, kuća, nega, raste
🌲	bor, božić, drvo, zimzelen, četinar, šuma
🌳	drvo, listopadno, listopadno drvo, opadanje, zeleno, šuma
🌴	drvo, palma, plaža, tropsko
🌵	biljka, kaktus, priroda, pustinja, suša
🌾	biljka, klas, pirinač, pšenica, snop pirinča, žitarica
🌿	biljka, list, trava
☘️	biljka, detelina, irsko
🍀	4, biljka, detelina list, detelina sa četiri lista, sreća, četiri
🍁	javor, javorov list, list, padanje
🍂	jesen, list, opali list, padanje
🍃	duvanje, lepršanje, list, list koji leprša na vetru, promaja, vetar
🪹	dom, gnezdo, gnežđenje, grana, kuća, prazno gnezdo
🪺	gnezdo, gnezdo s jajima, gnežđenje, grana, jaja, jaje, ptica
🍄	gljiva, pečurka
🪾	drvo bez lišća, neplodno, suša, zima
🍇	grožđe, voće
🍈	dinja, voće
🍉	lubenica, voće
🍊	c, mandarina, nektarina, pomorandža, vitamin, voće
