‾	үстіңгі сызық
👩🏻‍🤝‍👩🏼	1–2 тері түсі, 3-тері түрі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 1–2 тері түсі 3-тері түрі, ұстау, әйел
👩🏻‍🤝‍👩🏽	1–2 тері түсі, 4-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 1–2 тері түсі 4-тері түсі, ұстау, әйел
👩🏻‍🤝‍👩🏾	1–2 тері түсі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 1–2 тері түсі 5-тері түсі, ұстау, әйел
👩🏻‍🤝‍👩🏿	1–2 тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 1–2 тері түсі 6-тері түсі, ұстау, әйел
👩🏼‍🤝‍👩🏻	1–2 тері түсі, 3-тері түрі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 3-тері түрі 1–2 тері түсі, ұстау, әйел
👭🏼	3-тері түрі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 3-тері түрі, ұстау, әйел
👩🏼‍🤝‍👩🏽	3-тері түрі, 4-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 3-тері түрі 4-тері түсі, ұстау, әйел
👩🏼‍🤝‍👩🏾	3-тері түрі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 3-тері түрі 5-тері түсі, ұстау, әйел
👩🏼‍🤝‍👩🏿	3-тері түрі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 3-тері түрі 6-тері түсі, ұстау, әйел
👩🏽‍🤝‍👩🏻	1–2 тері түсі, 4-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 4-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏽‍🤝‍👩🏼	3-тері түрі, 4-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 4-тері түсі 3-тері түрі, ұстау, әйел
👭🏽	4-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 4-тері түсі, ұстау, әйел
👩🏽‍🤝‍👩🏾	4-тері түсі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 4-тері түсі 5-тері түсі, ұстау, әйел
👩🏽‍🤝‍👩🏿	4-тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 4-тері түсі 6-тері түсі, ұстау, әйел
👩🏾‍🤝‍👩🏻	1–2 тері түсі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 5-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏾‍🤝‍👩🏼	3-тері түрі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 5-тері түсі 3-тері түрі, ұстау, әйел
👩🏾‍🤝‍👩🏽	4-тері түсі, 5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 5-тері түсі 4-тері түсі, ұстау, әйел
👭🏾	5-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 5-тері түсі, ұстау, әйел
👩🏾‍🤝‍👩🏿	5-тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 5-тері түсі 6-тері түсі, ұстау, әйел
👩🏿‍🤝‍👩🏻	1–2 тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 6-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏿‍🤝‍👩🏼	3-тері түрі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 6-тері түсі 3-тері түрі, ұстау, әйел
👩🏿‍🤝‍👩🏽	4-тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 6-тері түсі 4-тері түсі, ұстау, әйел
👩🏿‍🤝‍👩🏾	5-тері түсі, 6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 6-тері түсі 5-тері түсі, ұстау, әйел
👭🏿	6-тері түсі, гомосексуализм, жұбайлар, лгбт, махаббат, қол, қол ұстасып тұрған екі әйел, қол ұстасып тұрған екі әйел: 6-тері түсі, ұстау, әйел
👫	ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, ұстау, әйел
👫🏻	1–2 тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 1–2 тері түсі, ұстау, әйел
👩🏻‍🤝‍👨🏼	1–2 тері түсі, 3-тері түрі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 1–2 тері түсі 3-тері түрі, ұстау, әйел
👩🏻‍🤝‍👨🏽	1–2 тері түсі, 4-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 1–2 тері түсі 4-тері түсі, ұстау, әйел
👩🏻‍🤝‍👨🏾	1–2 тері түсі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 1–2 тері түсі 5-тері түсі, ұстау, әйел
👩🏻‍🤝‍👨🏿	1–2 тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 1–2 тері түсі 6-тері түсі, ұстау, әйел
👩🏼‍🤝‍👨🏻	1–2 тері түсі, 3-тері түрі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 3-тері түрі 1–2 тері түсі, ұстау, әйел
👫🏼	3-тері түрі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 3-тері түрі, ұстау, әйел
👩🏼‍🤝‍👨🏽	3-тері түрі, 4-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 3-тері түрі 4-тері түсі, ұстау, әйел
👩🏼‍🤝‍👨🏾	3-тері түрі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 3-тері түрі 5-тері түсі, ұстау, әйел
👩🏼‍🤝‍👨🏿	3-тері түрі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 3-тері түрі 6-тері түсі, ұстау, әйел
👩🏽‍🤝‍👨🏻	1–2 тері түсі, 4-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 4-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏽‍🤝‍👨🏼	3-тері түрі, 4-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 4-тері түсі 3-тері түрі, ұстау, әйел
👫🏽	4-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 4-тері түсі, ұстау, әйел
👩🏽‍🤝‍👨🏾	4-тері түсі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 4-тері түсі 5-тері түсі, ұстау, әйел
👩🏽‍🤝‍👨🏿	4-тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 4-тері түсі 6-тері түсі, ұстау, әйел
👩🏾‍🤝‍👨🏻	1–2 тері түсі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 5-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏾‍🤝‍👨🏼	3-тері түрі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 5-тері түсі 3-тері түрі, ұстау, әйел
👩🏾‍🤝‍👨🏽	4-тері түсі, 5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 5-тері түсі 4-тері түсі, ұстау, әйел
👫🏾	5-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 5-тері түсі, ұстау, әйел
👩🏾‍🤝‍👨🏿	5-тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 5-тері түсі 6-тері түсі, ұстау, әйел
👩🏿‍🤝‍👨🏻	1–2 тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 6-тері түсі 1–2 тері түсі, ұстау, әйел
👩🏿‍🤝‍👨🏼	3-тері түрі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 6-тері түсі 3-тері түрі, ұстау, әйел
👩🏿‍🤝‍👨🏽	4-тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 6-тері түсі 4-тері түсі, ұстау, әйел
👩🏿‍🤝‍👨🏾	5-тері түсі, 6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 6-тері түсі 5-тері түсі, ұстау, әйел
👫🏿	6-тері түсі, ер, жұбайлар, қол, қол ұстасып тұрған еркек пен әйел, қол ұстасып тұрған еркек пен әйел: 6-тері түсі, ұстау, әйел
👬	гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек
👬🏻	1–2 тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 1–2 тері түсі
👨🏻‍🤝‍👨🏼	1–2 тері түсі, 3-тері түрі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 1–2 тері түсі 3-тері түрі
👨🏻‍🤝‍👨🏽	1–2 тері түсі, 4-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 1–2 тері түсі 4-тері түсі
👨🏻‍🤝‍👨🏾	1–2 тері түсі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 1–2 тері түсі 5-тері түсі
👨🏻‍🤝‍👨🏿	1–2 тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 1–2 тері түсі 6-тері түсі
👨🏼‍🤝‍👨🏻	1–2 тері түсі, 3-тері түрі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 3-тері түрі 1–2 тері түсі
👬🏼	3-тері түрі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 3-тері түрі
👨🏼‍🤝‍👨🏽	3-тері түрі, 4-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 3-тері түрі 4-тері түсі
👨🏼‍🤝‍👨🏾	3-тері түрі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 3-тері түрі 5-тері түсі
👨🏼‍🤝‍👨🏿	3-тері түрі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 3-тері түрі 6-тері түсі
👨🏽‍🤝‍👨🏻	1–2 тері түсі, 4-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 4-тері түсі 1–2 тері түсі
👨🏽‍🤝‍👨🏼	3-тері түрі, 4-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 4-тері түсі 3-тері түрі
👬🏽	4-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 4-тері түсі
👨🏽‍🤝‍👨🏾	4-тері түсі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 4-тері түсі 5-тері түсі
👨🏽‍🤝‍👨🏿	4-тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 4-тері түсі 6-тері түсі
👨🏾‍🤝‍👨🏻	1–2 тері түсі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 5-тері түсі 1–2 тері түсі
👨🏾‍🤝‍👨🏼	3-тері түрі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 5-тері түсі 3-тері түрі
👨🏾‍🤝‍👨🏽	4-тері түсі, 5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 5-тері түсі 4-тері түсі
👬🏾	5-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 5-тері түсі
👨🏾‍🤝‍👨🏿	5-тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 5-тері түсі 6-тері түсі
👨🏿‍🤝‍👨🏻	1–2 тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 6-тері түсі 1–2 тері түсі
👨🏿‍🤝‍👨🏼	3-тері түрі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 6-тері түсі 3-тері түрі
👨🏿‍🤝‍👨🏽	4-тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 6-тері түсі 4-тері түсі
👨🏿‍🤝‍👨🏾	5-тері түсі, 6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 6-тері түсі 5-тері түсі
👬🏿	6-тері түсі, гомосексуализм, егіздер, егізектер, ер, жұбайлар, зодиак, лгбт, махаббат, қол ұстасып тұрған екі еркек, қол ұстасып тұрған екі еркек: 6-тері түсі
💏	жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс
💏🏻	1–2 тері түсі, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: 1–2 тері түсі
💏🏼	3-тері түрі, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: 3-тері түрі
💏🏽	4-тері түсі, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: 4-тері түсі
💏🏾	5-тері түсі, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: 5-тері түсі
💏🏿	6-тері түсі, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: 6-тері түсі
👩‍❤‍💋‍👨	ер адам, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, әйел, өбіс, өбіс: әйел ер адам
👨‍❤‍💋‍👨	ер адам, жүрек, жұбайлар, жұп, махаббат, романтика, сүю, өбіс, өбіс: ер адам ер адам
👩‍❤‍💋‍👩	жүрек, жұбайлар, жұп, махаббат, романтика, сүю, әйел, өбіс, өбіс: әйел әйел
💑	жүрек, жұбайлар, жұп, махаббат, романтика
💑🏻	1–2 тері түсі, жүрек, жұбайлар, жұп, махаббат, махаббат: 1–2 тері түсі, романтика
💑🏼	3-тері түрі, жүрек, жұбайлар, жұп, махаббат, махаббат: 3-тері түрі, романтика
💑🏽	4-тері түсі, жүрек, жұбайлар, жұп, махаббат, махаббат: 4-тері түсі, романтика
💑🏾	5-тері түсі, жүрек, жұбайлар, жұп, махаббат, махаббат: 5-тері түсі, романтика
💑🏿	6-тері түсі, жүрек, жұбайлар, жұп, махаббат, махаббат: 6-тері түсі, романтика
👩‍❤‍👨	ер адам, жүрек, жұбайлар, жұп, махаббат, махаббат: әйел ер адам, романтика, әйел
👨‍❤‍👨	ер адам, жүрек, жұбайлар, жұп, махаббат, махаббат: ер адам ер адам, романтика
👩‍❤‍👩	жүрек, жұбайлар, жұп, махаббат, махаббат: әйел әйел, романтика, әйел
👨‍👩‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам әйел ұл, ұл, әйел, әке
👨‍👩‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам әйел қыз, қыз, әйел, әке
👨‍👩‍👧‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам әйел қыз ұл, қыз, ұл, әйел, әке
👨‍👩‍👦‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам әйел ұл ұл, ұл, әйел, әке
👨‍👩‍👧‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам әйел қыз қыз, қыз, әйел, әке
👨‍👨‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ер адам ұл, ұл, әйел, әке
👨‍👨‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ер адам қыз, қыз, әйел, әке
👨‍👨‍👧‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ер адам қыз ұл, қыз, ұл, әйел, әке
👨‍👨‍👦‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ер адам ұл ұл, ұл, әйел, әке
👨‍👨‍👧‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ер адам қыз қыз, қыз, әйел, әке
👩‍👩‍👦	ана, бала, ер, отбасы, отбасы: әйел әйел ұл, ұл, әйел, әке
👩‍👩‍👧	ана, бала, ер, отбасы, отбасы: әйел әйел қыз, қыз, әйел, әке
👩‍👩‍👧‍👦	ана, бала, ер, отбасы, отбасы: әйел әйел қыз ұл, қыз, ұл, әйел, әке
👩‍👩‍👦‍👦	ана, бала, ер, отбасы, отбасы: әйел әйел ұл ұл, ұл, әйел, әке
👩‍👩‍👧‍👧	ана, бала, ер, отбасы, отбасы: әйел әйел қыз қыз, қыз, әйел, әке
👨‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ұл, ұл, әйел, әке
👨‍👦‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам ұл ұл, ұл, әйел, әке
👨‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам қыз, қыз, әйел, әке
👨‍👧‍👦	ана, бала, ер, ер адам, отбасы, отбасы: ер адам қыз ұл, қыз, ұл, әйел, әке
👨‍👧‍👧	ана, бала, ер, ер адам, отбасы, отбасы: ер адам қыз қыз, қыз, әйел, әке
👩‍👦	ана, бала, ер, отбасы, отбасы: әйел ұл, ұл, әйел, әке
👩‍👦‍👦	ана, бала, ер, отбасы, отбасы: әйел ұл ұл, ұл, әйел, әке
👩‍👧	ана, бала, ер, отбасы, отбасы: әйел қыз, қыз, әйел, әке
👩‍👧‍👦	ана, бала, ер, отбасы, отбасы: әйел қыз ұл, қыз, ұл, әйел, әке
👩‍👧‍👧	ана, бала, ер, отбасы, отбасы: әйел қыз қыз, қыз, әйел, әке
🗣️	бас, бет, сұлба, сөйлеп жатыр, сөйлеу
👤	адам сұлбасы, мүсін, сұлба
👥	адамдар сұлбасы, мүсін, сұлба
🫂	алғыс айту, достық, махаббат, сәлемдесу, қоштасу, құшақтасу, құшақтасқан адамдар, құшақтау
👪️	ана, бала, ер, отбасы, әйел, әке
🧑‍🧑‍🧒	бала, ересек, отбасы: ересек, отбасы: ересек, ересек, бала
🧑‍🧑‍🧒‍🧒	бала, ересек, отбасы: ересек, отбасы: ересек, ересек, бала, бала
🧑‍🧒	бала, отбасы: ересек, отбасы: ересек, бала
🧑‍🧒‍🧒	бала, отбасы: ересек, отбасы: ересек, бала, бала
👣	аяқ іздері, дене, жүру, киім, ізі
🫆	саусақ ізі, сәйкестендіру, қауіпсіздік
🦰	жирен, жирен шаш, қызыл бас
🦱	афро, бұйра, бұйра шаш, бұйраланған
🦳	ақ, ақ шаш, сұр, шаш, қарт
🦲	тақырбас, химиотерапия, шаш жоқ, шашсыз, қырып тастаған
🐵	банан, бет, жануар, зообақ, маймыл, маймылдың беті, ойнақы, әуестік
🐒	жануар, маймыл
🦍	горилла, жануар
🦧	жануар, маймыл, орангутанг
🐶	бет, жануар, ит, иттің беті, үй жануары
🐕️	жануар, ит, үй жануары
🦮	жануар, жетектеуші, жетектеуші ит, ит, көмекші, мүгедек, мүмкіндігі шектеулі, соқыр
🐕‍🦺	жануар, жетектеуші, ит, көмекші, көмекші ит, мүмкіндігі шектеулі, үй жануары
🐩	жануар, ит, пудель
🐺	бет, жануар, қасқыр, қасқырдың беті
🦊	бет, жануар, түлкі, түлкінің беті, қу
🦝	жанат, жануар, қу, қызыққұмар
🐱	бет, жануар, мысық, мысықтың беті, үй жануары
🐈️	жануар, мысық, үй жануары
🐈‍⬛	жануар, мысық, мяу, қара, қара мысық
🦁	арыстан, арыстанның беті, бет, жануар, жыртқыш, зодиак, күш
🐯	бет, жануар, жолбарыс, жолбарыстың беті, жыртқыш
🐅	жануар, жолбарыс, жыртқыш, зообақ, мысық, теңбіл
🐆	жануар, жыртқыш, зообақ, леопард, мысық, теңбіл, шұбар, қабылан
🐴	бет, жануар, жылқы, жылқының беті
🫎	бұлан, жануар, сүтқоректі, хайуан
🫏	есек, жануар, сүтқоректі, қашыр, қырсық, қыңыр
🐎	ат, ат жарыс, жануар, жарысқа қатысу, жылқы, салт атты
🦄	бет, ертегі, жалғыз мүйіз, жалғыз мүйіздің беті, қыз бала
🦓	ала құлан, алай, жануар, жаяу өткел, жол, зебра
🦌	бұғы, жануар, марал
🦬	бизон, енеке, жабайы өгіз, жануар, мал бағу
🐮	бет, жануар, мүйіз, сиыр, сиырдың беті, үй жануары
🐂	бұқа, ет, жануар, зодиак, мүйіз, торпақ, үй жануары, өгіз
🐃	енеке, жануар, мүйіз, су, су енекесі
🐄	ет, жануар, желін, мүйіз, сиыр, сүт, үй жануары
🐷	бет, жануар, шошқа, шошқаның беті, үй жануары
🐖	бекон, доңыз, жануар, май, семіз, шошқа, үй жануары
🐗	жануар, шошқа, қабан
🐽	бет, жануар, мұрын, шошқа, шошқаның мұрны, үй жануары
🐏	зодиак, тоқты, қой, қошқар, үй жануары
🐑	жануар, саулық, қой, үй жануары
🐐	ешкі, ешкімүйіз, жануар, зодиак, тауешкі, таутеке, үй жануары
🐪	бір өркешті, жануар, нар, түйе, шөл, өркеш
🐫	айыр өркеш, жануар, түйе, шөл, қос өркешті түйе, үй жануары
🦙	альпака, вигонь, викунья, гуанако, жануар, жүнді, лама
🦒	биік, жануар, жираф, керік, тарғыл, теңбіл, шұбар, ұзын
🐘	жануар, піл
🦣	азу, жануар, жойылу, мамонт, түкті, ірі
🦏	жануар, мүйізтұмсық
🦛	бегемот, гиппопотам, жануар
🐭	бет, жануар, тыныш, тышқан, тышқанның беті
🐁	жануар, тыныш, тышқан
🐀	егеуқұйрық, жануар, кеміргіш
🐹	алақоржын, алақоржынның беті, бет, жануар, үй жануары
🐰	бет, жануар, қорқақ, қоян, қоянның беті, үй жануары
🐇	жануар, жүндес, қорқақ, қоян, үй жануары, үлкенқұлақты
🐿️	боршатышқан, жануар, тиін
🦫	бөгет, жануар, тіс, құндыз
🦔	жануар, кірпі, тікен, тікенек
🦇	вампир, жануар, жарқанат, түн, қансорғыш
🐻	аю, аюдың беті, бет, жануар
🐻‍❄	аю, ақ аю, полярлық, полярлық аю
🐨	аю, жануар, коала
🐼	бет, жануар, панда, панданың беті
🦥	баяу, жалқау, жалқау аң, жануар
🦦	балық аулау, жануар, кәмшат, ойнақы
🦨	жануар, сасық, сасықиісті, скунс
🦘	Аустралия, жануар, кенгуру, кенгуру баласы, секіру, қалталылар
🦡	бал жегіш, борсық, жануар, шаршату
🐾	аяқтар, табан, табан іздері, ізі
🦃	күркетауық, құс
🐔	тауық, құс
🐓	құс, әтеш
🐣	балапан, жарып шығу, жұмыртқаны жарып шыққан балапан, нәресте, сәби, шөже
🐤	балапан, нәресте, сәби, шөже
🐥	алға қарап тұрған балапан, балапан, нәресте, сәби, шөже
🐦️	жануар, құс
🐧	пингвин, құс
🕊️	бейбітшілік, көгершін, махаббат, тыныштық, құс, ұшу
🦅	бүркіт, намыс, құс
🦆	құс, үйрек
🦢	аққу, жас аққу, махаббат, неке, сұмпайы үйрек балапаны, құс
🦉	дана, жапалақ, түн, құс, үкі
