‾	traço sobrescrito
🕊️	animal, paz, pomba, pomba branca, pássaro, voar
🦅	animal, ave, pássaro, águia
🦆	animal, ave, pato, pássaro
🦢	animal, cisne, patinho feio, pinto de cisne, pássaro
🦉	animal, coruja, mocho, pássaro, sabedoria, sensato
🦤	Maurícias, animal, dodó, extinto, grande, pássaro
🪶	leve, pena, plumagem, pássaro
🦩	extravagante, flamingo, tropical
🦚	ave, orgulhoso, pavoa, pavão, pomposo
🦜	animal, falar, papagaio, pirata, pássaro
🪽	angelical, anjo, asa, ave, aviação, mitologia, pássaro, voar
🐦‍⬛	animal, ave, corvo, gralha, passarinho, preto, pássaro, pássaro cinzento, pássaro de bico amarelo
🪿	ave, cisne, ganso, ganso branco, grasnido, pateta, pato, pescoço comprido, pássaro
🐦‍🔥	fantasia, fénix, imortal, pássaro de fogo, reencarnação, reincarnação, renascimento, transformação
🐸	animal, cara, cara de sapo, princesa, sapo
🐊	animal, crocodilo, jacaré, zoo
🐢	animal, cágado, tartaruga
🦎	lagarto
🐍	animal, cobra, ofiúco, réptil, serpente, serpentário, signo
🐲	animal, cara, cara de dragão, conto de fadas, dragão
🐉	animal, conto de fadas, dragão, guerra dos tronos
🦕	braquiossauro, brontossauro, dinossauro, diplodoco, saurópode
🦖	T-Rex, dinossauro, tiranossauro rex
🐳	animal, baleia, baleia com esguicho de água, cara, esguichar, esguicho, oceano
🐋	animal, baleia, oceano
🦭	animal, foca, leão marinho, mar, oceano
🐟️	animal, peixe, peixes, signo, zodíaco
🐠	animal, peixe, tropical
🐡	animal, peixe, peixe-balão
🦈	animal, peixe, tubarão
🐙	animal, oceano, polvo
🐚	animal, búzio, concha, espiral, praia
🪸	corais, coral, mar, marinho, mergulho, oceano, recife, tropical
🪼	ai, alforreca, animal, ferrão, geleia, invertebrado, mar, medusa, oceano, queimadura, tentáculos, água-viva
🐌	animal, caracol, caracoleta, jardim
🦋	beleza, bonita, borboleta, insecto, inseto
🐛	animal, bicho, insecto, inseto, jardim, lagarta
🐜	animal, formiga, insecto, inseto, jardim
🐝	abelha, insecto, inseto, mel, zangão
🪲	animal, besouro, bicho, escaravelho, inseto
🐞	animal, bicho, inseto, jardim, joaninha, natureza, voa voa
🪳	animal, barata, inseto, nojo, praga
🕷️	aranha, insecto, inseto
🕸️	aranha, teia, teia de aranha
🦂	escorpião, escorpião (animal), signo, zodíaco
🦟	doença, febre, insecto, inseto, malária, melga, mosquito, vírus
🪰	animal, decomposição, doença, inseto, larva, mosca, praga
🪱	animal, minhoca
🦠	ameba, bactéria, micróbio, vírus
💐	amor, flor, planta, ramo de flores, romance
🌸	cereja, cerejeira, cerejeira em flor, em flor, flor, flor de cerejeira, planta
💮	flor, flor branca
🪷	beleza, budismo, espiritual, flor, flor de lótus, hinduísmo, lótus, paz, pureza, serenidade
🏵️	flor, planta, roseta, rosácea
🌹	amor, flor, rosa, vermelha
🥀	flor, murcha
🌺	flor, hibisco, planta
🌻	flor, girassol, sol
🌼	flor, florescer, malmequer
🌷	flor, planta, túlipa
🪻	desabrochar, flor, florescer, jacinto, lavanda, lilás, planta, roxo, violeta
🌱	nova, planta, rebento, viveiro, árvore jovem
🪴	decoração, planta, vaso, vaso com planta
🌲	pinheiro, planta, árvore, árvore de folha perene, árvore de natal
🌳	caduca, floresta, árvore, árvore de folha caduca
🌴	palma, palmeira, planta, praia, tropical, árvore
🌵	cato, deserto, natureza, planta, seca
🌾	arroz, espiga, feixe de arroz, planta, planta de arroz
🌿	erva, erva aromática, folha, planta
☘️	planta, trevo, trevo de três folhas
🍀	4, folha, folhas, planta, quatro, sorte, trevo, trevo de quatro folhas
🍁	folha, folha de ácer, planta, queda, ácer
🍂	folha, folha caída, outono, planta, queda
🍃	esvoaçar, folha, folha a esvoaçar ao vento, planta, soprar, vento
🪹	aninhada, aninhado, aninhar, casa, lar, melancolia, nidificar, ninho vazio
🪺	aninhada, aninhado, aninhando, aninhar, nidificar, ninho com ovos, pássaro
🍄	cogumelo, fungo, venenoso
🪾	inverno, madeira, morta, ramos, seca, sem folhas, tronco, árvore
🍇	baco, fruta, uva, uvas, vinho
🍈	fruta, meloa, melão
🍉	fatia, fruta, melancia
🍊	clementina, fruta, laranja, tangerina, vitamina c
🍋	azedo, citrino, fruta, limão, ácido
🍋‍🟩	azedo, citrino, cocktail, fruta, lima, limão, refrescante, sumo, tropical, verde, ácido
🍌	banana, fruta, potássio
🍍	abacaxi, ananás, fruta, tropical
🥭	alimento, batido, fruta, manga, tropical
🍎	comida, fruta, maçã, pêro, saúde, vermelha
🍏	fruta, maçã, verde
🍐	fruta, pera
🍒	cereja, cerejas, fruta, ginja
🍓	baga, fruta, morango
🫐	alimento, azul, baga, comida, fruta, mirtilo, mirtilos
🥝	comida, fruta, kiwi, quivi
🍅	alimento, comida, fruta, legume, tomate, vegetal
🫒	alimento, azeite, azeitona, comida, oliveira
🍆	beringela, legume, vegetal
🥔	batata, comida, legume, vegetal
🥕	cenoura, comida, legume, vegetal
🌽	cereal, espiga, espiga de milho, milho
🌶️	legume, malagueta, picante, pimenta
🫑	alimento, capsicum, comida, pimento, vegetal
🥒	comida, legume, pepino, pickle, picles
🥬	alface, couve, repolho, salada, verdura
🥦	brócolos, legume
🥜	amendoim, amendoins, comida, leguminosa, noz, vegetal
🫘	alimento, comida, feijão, feijões, legume
🌰	amêndoa, castanha
🫚	alimentação, cerveja, especiaria, gengibre, natural, plantas, raiz, tempero
🫛	alimentação, comida, edamame, ervilha, feijão, feijões, legume, leguminosa, vagem, vegetal, verde
🍄‍🟫	cogumelo castanho, comida, fungo, ingrediente, natureza, shiitake, topping, trufa, vegetal
🍞	hidrato de carbono, pão, pão de forma, restaurante, torrada
🥐	comida, croissant, folhado, francês, pequeno-almoço, pão
🥖	baguete, cacete, comida, francês, pão
🫓	arepa, comida, naan, pita, pão
🥨	pretzel, retorcido
🥯	argola, bagel, padaria, pequeno-almoço, pão
🥞	comida, crepe, doce, panqueca, panquecas, pequeno-almoço
🧇	gofre, pequeno-almoço, waffle
🧀	fatia de queijo, queijo
🍖	carne, osso, osso com carne
🍗	aves, coxa, coxa de ave, frango, galinha, osso, perna, peru
🥩	bife, carne vermelha, costeleta, costeleta de cordeiro, costeleta de porco, naco de carne
🥓	bacon, carne, comida, toucinho
🍔	cheeseburger, comer, comida, fast food, fome, hambúrger, hambúrguer
🍟	alimento, batata, batata frita, batatas, batatas fritas, comida, fast food, fritas
🍕	comida, fatia, piza, pizza, queijo
🌭	cachorro, cachorro quente, cachorro-quente, pão com salsicha, salsicha
🥪	pão, sande, sandes, sanduíche
🌮	comida, mexicana, taco
🌯	burrito, comida, mexicana
🫔	alimento, comida, mexicano, tamale, wrap
🥙	comida, falafel, faláfel, kebab, pita, pão, recheado
🧆	almôndega, faláfel, grão de bico, grão-de-bico
🥚	alimento, comida, ovo
🍳	cozinhar, frigideira, ovo, ovo estrelado, restaurante
🥘	caçarola, caçarola de comida, comida, guisado, paelha, panela, rasa
🍲	caçarola, caçarola com comida, comida, guisado, sopa, tacho, tacho com comida
🫕	Suíça, comida, derretido, esqui, fondue, queijo, suíço
🥣	aveia, cereais, flocos, pequeno-almoço, tigela com colher
🥗	alface, comida, salada, salada verde, verdura
🍿	balde de pipocas, cinema, filme, pipoca de cinema, pipocas
🧈	laticínio, manteiga
🧂	condimento, sal, saleiro
🥫	comida de lata, comida enlatada, lata
🍱	bentô, caixa, caixa de refeições, comida, marmita japonesa, refeições
🍘	arroz, bolacha, bolacha de arroz, comida
🍙	arroz, bola de arroz, bolinho, japonês, nigiri
🍚	arroz, comida, cozido, tigela de arroz
🍛	arroz, arroz com caril, caril, comida
🍜	massa, noodles, quente, ramen, sopa, tigela, tigela com comida quente
🍝	almôndegas, comida, esparguete, italiano, massa
🍠	assada, batata, batata-doce assada, comida, doce
🍢	comida, espetada, kebab, marisco, oden, restaurante
🍣	comida, comida japonesa, sushi
🍤	camarão, frito, gamba, tempura
🍥	comida, espiral, pastel, pastel de peixe com espiral, peixe
🥮	bolo da lua, bolo lunar, festival, outono, yuèbǐng
🍡	dango, doce, espetada, espeto, japonesa, japonês, sobremesa
🥟	bolinho asiático, empanada, guioza, pierogi, ravioli
🥠	biscoito da sorte, bolinho, profecia, sorte
🥡	caixa, caixa de takeaway, comida pronta, pauzinhos, takeaway
🦀	animal, caranguejo, caranguejo (animal), signo, zodíaco
🦞	animal, fruto do mar, garras, lagosta, mariscada, marisco, pinças
🦐	camarão, comida, crustáceo, gamba, marisco
🦪	mergulho, ostra, pérola
🍦	cone de gelado, creme, cremoso, doce, gelado, gelo, sobremesa, sorvete
🍧	doce, gelo, granizado, sobremesa
🍨	comida, creme, doce, gelado, gelo, natas, sobremesa
🍩	doce, dónute, sobremesa
🍪	biscoito, bolacha, bolacha de chocolate, doce, sobremesa
🎂	aniversário, bolo, bolo de aniversário, bolo de anos, celebração, doce, parabéns, pastelaria, sobremesa
🍰	bolo, doce, fatia, fatia de bolo, pastelaria, sobremesa
🧁	bolo, cupcake, doce, pastelaria, queque
🥧	empadão, fatia de torta, pastel, pastelaria, recheio, tarte, torta
🍫	barra, barra de chocolate, chocolate, doce, sobremesa, tablete, tablete de chocolate
🍬	cárie, doce, guloso, rebuçado, sobremesa
🍭	chupa-chupa, doce, guloseima, sobremesa
🍮	creme de leite, doce, pudim, pudim de leite, pudim de ovos, sobremesa
🍯	doce, mel, pote, pote de mel
🍼	beber, bebé, biberão, leite, recém-nascido
🥛	bebida, copo, copo de leite, leite
☕️	beber, bebida, bebida quente, café, chá, quente, vapor
🫖	bebida, bule, chaleira, chá, comida
🍵	beber, bebida, chá, chávena, chávena de chá, chávena de chá sem asa
🍶	bar, bebida, garrafa, saqué, saquê, taça
🍾	bar, beber, bebida, garrafa, garrafa com rolha a saltar, garrafa de champanhe, rolha, saltar
🍷	bar, beber, bebida, copo, copo de vinho, vinho
🍸️	bar, beber, bebida, cocktail, copo, copo de cocktail, martini
🍹	bar, bebida, tropical
🍺	bar, beber, caneca, caneca de cerveja, cerveja
🍻	bar, beber, bebida, brindar, brinde com canecas de cerveja, caneca, cerveja
🥂	bebida, brinde, celebrar, copo, flute
🥃	baixo, bebida, copo, copo de whisky, shot, whisky
🫗	a derramar líquido, bebida, copo, derramar, entornar, vazio, vidro
🥤	copo com palhinha, refrigerante, sumo, água
🧋	bebida, bolha, chá, chá bubble, chá de bolhas, chá perolado, comida, leite, pérola
🧃	bebida, doce, pacote de sumo, palinha, sumo
🧉	bebida, mate
🧊	cubo de gelo, frio, gelo, icebergue
🥢	hashi, pauzinhos
🍽️	cozinhar, faca, faca e garfo com prato, garfo, prato, talheres
🍴	com fome, comer, cozinhar, faca, faca e garfo, garfo, garfo e faca, refeição, restaurante, talher, talheres
🥄	colher, comer, talher, talheres
🔪	arma, cortar, cozinhar, faca, faca de cozinha, utensílio
🫙	armazenar, condimento, frasco, jarro, molho, recipiente, vazio
🏺	beber, jarro, líquidos, utensílio, vaso, ânfora
🌍	Europa, Terra, globo, globo com a Europa e a África visíveis, mundo, África
🌎️	Américas, Terra, globo, globo com as Américas visíveis, mundo
🌏	Austrália, Terra, globo, globo a mostrar Ásia e Austrália, globo com a Ásia e a Austrália visíveis, mundo, Ásia
🌐	Terra, globo, globo com meridianos, internet, meridianos, mundo
🗺️	mapa, mapa do mundo, mundo
🗾	Japão, mapa, mapa do Japão
🧭	bússola, direção, navegação, orientação
🏔️	frio, montanha, montanha coberta de neve, neve
⛰️	montanha, monte, serra
🌋	erupção, erupção vulcânica, montanha, natureza, vulcão
🗻	Monte Fuji, fuji, montanha, monte Fuji, natureza
🏕️	acampamento, acampar, campismo, tenda
🏖️	guarda-sol, praia, praia com guarda-sol
🏜️	areia, cato, deserto
🏝️	deserta, ilha
🏞️	parque, parque nacional
🏟️	estádio
🏛️	clássico, edifício clássico, edifício da antiguidade
🏗️	construção, construção civil, edifício, obra, obras
🧱	argamassa, argila, muro, parede, tijolo
🪨	pedra, pedregulho, resistente, rocha, sólido
🪵	lenha, madeira, tronco
🏘️	casas, edifícios, edifícios de habitação, habitação
🏚️	abandonado, casa, casa abandonada, casa em ruínas
🏠️	casa, construção, edifício, habitação
🏡	casa, casa com jardim, habitação, jardim, lar, vivenda
🏢	cidade, edifício, edifício de escritórios, escritórios, trabalho
🏣	correios, edifício, estação de correios japonesa, japonês, prédio
🏤	correios, edifício, estação de correios, europeu, prédio
🏥	edifício, hospital, medicina, médico, prédio
🏦	banca, banco, edifício, prédio
🏨	edifício, hotel, prédio
🏩	amor, edifício, hotel, hotel com coração, motel
🏪	24 horas, conveniência, edifício, loja, loja de conveniência, prédio
🏫	edifício, escola, prédio
🏬	comércio, edifício, grande armazém, loja, lojas
🏭️	edifício, fábrica, prédio
🏯	castelo, edifício, japonês, prédio
🏰	castelo, edifício, europeu, prédio
💒	capela, casamento, romance
🗼	Torre de Tóquio, Tóquio, torre, torre de Tóquio
🗽	Estátua da Liberdade, estátua, liberdade, nova iorque
⛪️	capela, cristã, cristão, cruz, igreja, religião
🕌	islão, mesquita, muçulmano, religião
🕍	judaica, judaísmo, judeu, religião, sinagoga, templo
⛩️	religião, templo, templo xintoísta, xintoísmo
🕋	caaba, islamismo, muçulmano, religião
⛲️	chafariz, fonte
⛺️	acampamento, campismo, tenda
🌁	enevoado, nevoeiro, nublado
🌃	estrelas, noite, noite com estrelas, noite estrelada
🏙️	cidade, edifícios, paisagem urbana
🌄	manhã, montanha, nascer do sol, nascer do sol nas montanhas, sol
🌅	manhã, nascer do sol, natureza, sol
🌆	anoitecer, cidade, crepúsculo, paisagem, paisagem urbana ao anoitecer, prédio, pôr do sol, sol
🌇	anoitecer, crepúsculo, edifícios, pôr do sol, pôr do sol sobre prédios, pôr-do-sol, sol
🌉	noite, ponte, ponte à noite
♨️	nascentes, quente, termas, vapor, águas termais
🎠	carrossel, cavalo, cavalo de carrossel, entretenimento
🛝	brincar, escorrega, parque de diversões, parque infantil
🎢	entretenimento, montanha, montanha-russa, parque de diversões, russa
💈	barbearia, barbeiro, corte de cabelo, símbolo de barbearia
🎪	circo, tenda, tenda de circo
🚂	comboio, linha ferroviária, locomotiva, máquina, vapor, veículo
🚃	carro, carruagem, comboio, eléctrico, elétrico, linha ferroviária, troleibus, troleicarro, trólei, veículo
🚄	comboio, comboio de alta velocidade, linha ferroviária, shinkansen, velocidade, veículo
🚅	bala, comboio, comboio bala, comboio de alta velocidade, comboio-bala, linha ferroviária, shinkansen, velocidade, veículo
🚆	comboio, linha ferroviária, linha férrea, veículo
🚇️	metro, metropolitano, veículo
🚈	linha ferroviária, metro de superfície, monocarril, veículo
🚉	comboio, estação, linha ferroviária
🚊	eléctrico, elétrico, veículo
🚝	monocarril, veículo
🚞	carruagem, comboio de montanha, linha ferroviária, montanha, transporte, veículo
🚋	carro, carro elétrico, comboio elétrico, elétrico, veículo
🚌	autocarro, escola, veículo
🚍️	aproximação, autocarro, autocarro a aproximar-se, autocarro a chegar, veículo
🚎	autocarro, troleibus, troleicarro, trólei, veículo
🚐	autocarro, miniautocarro, veículo
🚑️	ambulância, emergência, veículo
🚒	bombeiros, camião, carro, carro de bombeiros, fogo, veículo
🚓	carro, carro da polícia, patrulha, polícia, veículo
🚔️	aproximação, carro, carro da polícia a aproximar-se, polícia, veículo
🚕	taxista, táxi, uber, veículo
🚖	aproximação, chamar táxi, táxi, táxi a aproximar-se, veículo
🚗	automóvel
🚘️	aproximação, automóvel, automóvel a aproximar-se, carro, veículo
🚙	SUV, carro, recreio, utilitário, veículo
🛻	camião, carrinha, pick-up, transporte, veículo
🚚	camião, camião de entregas, entregas, veículo
🚛	camião, camião articulado, semirreboque, veículo
🚜	trator, veículo
🏎️	automobilismo, carro, carro de corrida
🏍️	corrida, mota, moto, motocicleta, motociclismo, motociclo
🛵	lambreta, motorizada, scooter
🦽	acessibilidade, cadeira de rodas manual
🦼	acessibilidade, cadeira de rodas elétrica, cadeira de rodas motorizada
🛺	riquexó motorizado, tuk-tuk
🚲️	bicicleta, bicla, ciclismo, veículo
🛴	empurrar com pé, pontapé, trotineta, trotinete
🛹	prancha, rodas, skate
🛼	desporto, patins, patins de rodas, rodas
🚏	autocarro, paragem, paragem de autocarro
🛣️	autoestrada, estrada, via rápida
🛤️	comboio, linha ferroviária, trilhos
🛢️	barril, barril de petróleo, petróleo
⛽️	abastecimento, bomba, bomba de gasolina, combustível, gasolina, posto de gasolina
🛞	círculo, girar, pneu, pneumático, roda, rodar, veículo, viatura
🚨	carro, luz, luz de carro da polícia, luz giratória, polícia, sirene
🚥	luz, semáforo, semáforo horizontal, sinais de trânsito, sinal, trânsito
🚦	cruzamento, semáforo, semáforo vertical, sinais de trânsito, sinal, trânsito
🛑	octagonal, sinal, sinal de stop, stop
🚧	barreira, construção, obras
⚓️	instrumento, navio, âncora
🛟	boia, boia circular, colete salva-vidas, flutuar, nadar, resgate, salva-vidas, salvamento, segurança
⛵️	barco, barco à vela, estância, iate, mar, veleiro, veículo
🚤	barco, lancha, milionário, veículo, viagem
🛳️	navio, navio de passageiros, passageiros, veículo
⛴️	barco, ferry, passageiro
🛥️	barco, barco a motor, motor, veículo
🚢	barco, navio, passageiro, titanic, viagem
✈️	avião, jato, veículo, viajar, voar
🛩️	avioneta, avião, avião pequeno, veículo
🛫	avião, avião a levantar, check-in, levantar, partida, veículo
🛬	aterragem, avião, avião a aterrar, chegadas, veículo
🪂	asa-delta, paraquedas, paraquedismo, parasailing, saltar de paraquedas
💺	assento, cadeira
🚁	helicóptero, veículo
🚟	monocarril suspenso, suspensão, veículo
🚠	cabo, cabo suspenso usado em teleféricos nas montanhas, montanha, teleférico, teleférico de montanha, veículo
🚡	aéreo, cabo, funicular, gôndola, teleférico, veículo
🛰️	espaço, satélite, veículo
🚀	espaço, foguete, foguetão, veículo
🛸	OVNI, disco voador, extraterrestre
🛎️	campainha, campainha de receção, hotel, paquete, rececionista
🧳	bagagem, mala, trólei, viagem
⌛️	ampulheta, ampulheta terminada, areia, horas, temporizador
⏳️	ampulheta, ampulheta com areia a cair, areia, horas, temporizador
⌚️	horas, relógio, relógio de pulso
⏰️	alarme, despertador, horas, relógio
⏱️	cronómetro, horas, relógio
⏲️	cronómetro, relógio, temporizador
🕰️	horas, relógio, relógio de lareira, relógio de mesa
🕛️	00, 12, 12:00, 12h00, doze, doze horas, horas, meia-noite, meio-dia, relógio, vinte e quatro
🕧	12, 12:30, 12h30, doze, doze e meia, doze e trinta, meia-noite e meia, meio-dia e meia, relógio, trinta
🕐️	1, 13:00, 13h00, 1:00, 1h00, horas, relógio, treze, uma, uma hora
🕜	1, 13:30, 13h30, 1:30, 1h30, horas, relógio, treze, uma, uma hora
🕑️	14:00, 14h00, 2, 2:00, 2h00, catorze, duas, duas horas, horas, relógio
🕝	14:30, 14h30, 2, 2:30, 2h30, 30, duas, duas e meia, meia, relógio, trinta
🕒️	15:00, 15h00, 3, 3:00, 3h00, horas, quinze, relógio, três, três horas
🕞	15:30, 15h30, 3, 30, 3:30, 3h30, meia, relógio, trinta, três, três e meia
🕓️	16:00, 16h00, 4, 4:00, 4h00, dezasseis, horas, quatro, quatro horas, relógio
🕟	16:30, 16h30, 30, 4, 4:30, 4h30, meia, quatro, quatro e meia, relógio, trinta
🕔️	17:00, 17h00, 5, 5:00, 5h00, cinco, cinco horas, dezassete, horas, relógio
🕠	17:30, 17h30, 5, 5:30, 5h30, cinco, cinco e meia, meia, relógio, trinta
🕕️	18:00, 18h00, 6, 6:00, 6h00, dezoito, horas, relógio, seis, seis horas
🕡	18:30, 18h30, 30, 6, 6:30, 6h30, meia, relógio, seis, seis e meia, trinta
🕖️	19:00, 19h00, 7, 7:00, 7h00, dezanove, horas, relógio, sete, sete horas
🕢	19:30, 19h30, 30, 7, 7:30, 7h30, meia, relógio, sete, sete e meia, trinta
🕗️	20:00, 20h00, 8, 8:00, 8h00, horas, oito, oito horas, relógio, vinte
🕣	20:30, 20h30, 30, 8, 8:30, 8h30, meia, oito, oito e meia, relógio, trinta
🕘️	21:00, 21h00, 9, 9:00, 9h00, horas, nove, nove horas, relógio, vinte e uma
🕤	21:30, 21h30, 30, 9, 9:30, 9h30, meia, nove, nove e meia, relógio, trinta
🕙️	10, 10:00, 10h00, 22:00, 22h00, dez, dez horas, horas, relógio, vinte e duas
🕥	10, 10:30, 10h30, 22:30, 22h30, 30, dez, dez e meia, meia, relógio, trinta
🕚️	11, 11:00, 11h00, 23:00, 23h00, horas, onze, onze horas, relógio, vinte e três
🕦	11, 11:30, 11h30, 23:30, 23h30, 30, meia, onze, onze e meia, relógio, trinta
🌑	escuro, espaço, lua, lua nova, meteorologia
🌒	crescente, espaço, lua, lua crescente convexa, lua crescente gibosa, lua na primeira falcada, meteorologia
🌓	crescente, espaço, lua, lua em quarto crescente, meteorologia, quarto crescente, quatro
🌔	convexa, crescente, espaço, gibosa, lua, lua na primeira giba, meteorologia
🌕️	cheia, espaço, lua, meteorologia
🌖	convexa, espaço, lua, meteorologia, minguante
🌗	espaço, lua, lua em quarto minguante, meteorologia, minguante, quarto minguante, quatro
🌘	crescente, côncava, espaço, lua, meteorologia, minguante
🌙	crescente, espaço, lua, lua crescente sem sombra, meteorologia
🌚	cara, cara de lua nova, espaço, lua, lua nova, lua nova com cara, meteorologia
🌛	cara, espaço, lua, lua em quarto crescente com cara, meteorologia, quarto, quarto crescente
🌜️	cara, espaço, lua, lua em quarto minguante com cara, meteorologia, quarto, quarto minguante
🌡️	meteorologia, temperatura, termómetro
☀️	brilhante, espaço, meteorologia, raios, soalheiro, sol
🌝	brilhante, cara, cheia, espaço, lua, lua cheia com cara, meteorologia
🌞	brilhante, calor, cara, espaço, meteorologia, sol, sol com cara
🪐	planeta anelado, planeta com anéis, saturnino, saturno
⭐️	astronomia, estrela, estrela amarela, estrela branca média
🌟	brilhante, brilho, cintilante, estrela
🌠	cadente, espaço, estrela
🌌	espaço, via láctea
☁️	meteorologia, nuvem, tempo
⛅️	encoberto, meteorologia, nublado, nuvem, sol, sol atrás de nuvem
⛈️	chuva, meteorologia, nuvem, nuvem com relâmpago e chuva, trovoada, trovão
🌤️	meteorologia, nuvem, sol, sol atrás de nuvem pequena
🌥️	meteorologia, nuvem, sol, sol atrás de nuvem grande
🌦️	chuva, meteorologia, nuvem, sol, sol atrás de nuvem com chuva
🌧️	chuva, meteorologia, nuvem, nuvem com chuva
🌨️	frio, meteorologia, neve, nuvem, nuvem com neve
🌩️	meteorologia, nuvem, nuvem com relâmpago, relâmpago
🌪️	furacão, meteorologia, nuvem, tornado
🌫️	meteorologia, nevoeiro, nuvem, névoa
🌬️	cara, cara de vento, meteorologia, nuvem, soprar, vento
🌀	ciclone, furacão, meteorologia, tonto, tufão
🌈	arco-íris, chuva, cores, lgbt, meteorologia, natureza, orgulho
🌂	acessório, chuva, guarda-chuva, guarda-chuva fechado, meteorologia
☂️	acessório, chuva, guarda-chuva, meteorologia
☔️	acessório, chuva, gotas, guarda-chuva, guarda-chuva com gotas de chuva, meteorologia
⛱️	chuva, guarda-chuva no chão, guarda-sol, guarda-sol na areia, guarda-sol no chão, meteorologia, sol
⚡️	alta tensão, choque elétrico, eletricidade, perigo, tensão, voltagem
❄️	floco de neve, frio, meteorologia, neve
☃️	boneco, boneco de neve, frio, meteorologia, neve
⛄️	boneco de neve, boneco de neve sem neve, frio, meteorologia, neve
☄️	astro, cometa, espaço
🔥	chama, fogo, incêndio
💧	desenho, frio, gota, lágrima, meteorologia, suor
🌊	meteorologia, natureza, oceano, onda, surf, surfar, água
🎃	abóbora, abóbora de halloween, celebração, dia das bruxas, halloween, lanterna
🎄	celebração, comemoração, natal, pinheiro, pinheiro de natal, árvore, árvore de natal
🎆	celebração, comemoração, fogo de artifício
🎇	celebração, comemoração, faísca, fogo de artifício, vela, vela com faísca
🧨	dinamite, explosivo, fogo de artifício, fogos de artifício, petardo
✨️	*, centelha, cintilação, estrelas, estrelas brilhantes, faíscas, magia
🎈	aniversário, balão, celebração, comemoração, festa
🎉	alegria, celebração, comemoração, confetti, festa, lança-confetes, lança-confetti, surpresa
🎊	bola, bola de confete, bola de confetti, celebração, comemoração, confetti
🎋	celebração, faixa, japonês, tanabata, árvore, árvore do Tanabata
🎍	bambu, celebração, decoração com bambu, japonês, pinha, planta
🎎	boneca, bonecas, bonecas japonesas, bonecas japoneses, celebração, festival, japonês
🎏	bandeira de carpas, bandeirola, bandeirola de carpas, carpas, celebração, koinobori
🎐	campainha, celebração, espanta-espíritos, sino, som, vento
🎑	celebração, cerimónia, cerimónia da lua, comemoração, contemplação da lua, lua
🧧	boa sorte, dinheiro, envelope vermelho, presente
🎀	celebração, comemoração, festa, fita, laço de fita
🎁	caixa, celebração, embrulhado, natal, presente, presente embrulhado
🎗️	celebração, laço, laço de solidariedade, solidariedade
🎟️	bilhete, bilhetes, entrada
🎫	bilhete, entrada
🎖️	celebração, condecoração, medalha, militar
🏆️	campeão, prémio, taça, troféu, vitória
🏅	medalha, medalha desportiva, ouro, vitória
🥇	1º. lugar, medalha, medalha de 1.º lugar, medalha de ouro, ouro, primeiro
🥈	medalha, medalha de 2.º lugar, medalha de prata, prata, segundo
🥉	3º. lugar, bronze, medalha, medalha de 3.º lugar, medalha de bronze, terceiro
⚽️	bola, desporto, futebol, messi, ronaldo
⚾️	beisebol, bola, bola de beisebol, desporto
🥎	bola, desporto, luva, por baixo, por baixo do braço, softbol
🏀	basquetebol, bola, cesto, desporto
🏐	bola, jogo, voleibol
🏈	americano, bola, bola de futebol americano, desporto, futebol
🏉	bola, bola de râguebi, desporto, futebol, râguebi
🎾	bola, desporto, raquete, ténis
🥏	disco, frisbee
🎳	bola, bowling, desporto, jogo
🏏	bola, críquete, jogo, taco
🏑	bola, campo, hóquei, hóquei em campo, jogo, stick
🏒	disco, gelo, hóquei, hóquei no gelo, jogo, stick, stick e disco de hóquei no gelo
🥍	baliza, bastão, bola, desporto, golo, lacrosse
🏓	bola, jogo, mesa, pingue-pongue, raquete, ténis de mesa
🏸	badminton, badmínton, jogo, pena, raquete, volante
🥊	boxe, desporto, luva, luva de boxe, pugilismo, pugilista
🥋	artes marciais, desporto, judo, karaté, quimono de artes marciais, taekwondo, uniforme
🥅	baliza, desporto, golo, objetivo, rede
⛳️	bandeira no buraco, buraco, desporto, golfe
⛸️	gelo, patim, patim de gelo, patinagem, patinagem no gelo
🎣	cana, cana de pesca, desporto, peixe, pesca
🤿	mergulho, máscara de mergulho, snorkel
🎽	atletismo, camisola, camisola de corrida, corrida, faixa, t-shirt de alças
🎿	bota, esqui, esquis, neve
🛷	neve, tobogã, trenó
🥌	curling, jogo, pedra, pedra de curling
🎯	alvo, centro, dardo, em cheio no alvo, jogo, tiro certeiro
🪀	brinquedo, flutuar, ioió
🪁	papagaio de papel, planar, voar
🔫	arma, ferramenta, pistola, pistola de água, revólver
🎱	bilhar, bola, bola 8, jogo, oito, snooker
🔮	bola, bola de cristal, conto de fadas, cristal, fantasia, instrumento, magia, sorte
🪄	bruxa, feiticeiro, magia, mago, mágico, varinha mágica
🎮️	comando, comando de consola, comando de jogos, jogo, videojogo
🕹️	jogo, joystick, videojogo
🎰	jogo, jogo de azar, slot, slot machine
🎲	dado, entretenimento, jogo, jogo de dados, valor
🧩	dica, encaixe, peça, peça de puzzle, pista, puzzle, quebra-cabeça, quebra-cabeças
🧸	brinquedo, enchimento, peluche, ursinho de peluche
🪅	México, cinco de maio, comemoração, doces, festa, mexicano, pinhata
🪩	bola de espelhos, brilho, dançar, disco, discoteca, festa, globo de espelhos
🪆	boneca, matriosca, russa
♥️	baralho, carta, copas, jogo, naipe, naipe de copas
♦️	baralho, carta, jogo, naipe, naipe de ouros, ouros
